* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: May 8, 2026 4:30:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L IE600 (AET07)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.359	-178.8740
20.600000	89.370	-179.2805
20.900000	89.376	-179.7569
21.200001	89.371	179.7272
21.400000	89.363	179.3587
21.799999	89.341	178.6026
22.000000	89.333	178.2491
22.400000	89.332	177.6623
22.700001	89.350	177.4274
23.000000	89.380	177.3482
23.299999	89.410	177.2931
23.600000	89.425	177.1785
24.000000	89.405	176.7524
24.299999	89.361	176.1403
24.700001	89.279	175.1035
25.000000	89.221	174.3189
25.400000	89.168	173.4252
25.799999	89.145	172.8261
26.200001	89.139	172.3842
26.500000	89.133	172.0380
26.900000	89.115	171.4899
27.200001	89.095	171.0405
27.600000	89.070	170.4916
28.000000	89.052	170.0803
28.500000	89.038	169.7177
29.000000	89.023	169.2825
29.500000	88.996	168.6492
30.000000	88.963	167.9261
30.400000	88.937	167.4172
30.700001	88.918	167.1151
31.100000	88.893	166.7974
31.500000	88.866	166.5168
32.000000	88.826	166.1669
32.500000	88.782	165.7539
33.000000	88.737	165.3129
33.500000	88.694	164.8256
34.000000	88.653	164.3400
34.500000	88.613	163.8782
35.000000	88.574	163.4799
35.500000	88.536	163.1108
36.000000	88.498	162.7268
36.500000	88.460	162.3023
37.000000	88.421	161.8685
37.500000	88.382	161.4883
38.200001	88.329	161.0694
38.700001	88.290	160.7922
39.500000	88.218	160.2667
40.000000	88.170	159.9266
40.599998	88.116	159.5799
41.200001	88.067	159.3042
41.799999	88.016	159.0250
42.500000	87.951	158.6479
43.099998	87.898	158.2970
43.700001	87.856	157.9189
44.400002	87.811	157.4745
45.000000	87.763	157.1519
45.500000	87.713	156.9366
46.200001	87.649	156.6423
46.799999	87.608	156.3369
47.500000	87.562	155.9801
48.200001	87.499	155.7278
48.700001	87.451	155.6007
49.400002	87.389	155.4278
50.000000	87.342	155.2621
50.799999	87.285	155.0034
51.500000	87.237	154.7247
52.200001	87.182	154.4286
53.000000	87.110	154.1519
53.799999	87.047	153.9396
54.500000	86.999	153.7675
55.200001	86.944	153.5893
56.000000	86.875	153.3620
57.000000	86.804	153.0596
58.000000	86.732	152.8082
59.000000	86.648	152.6316
60.000000	86.565	152.4769
60.799999	86.503	152.3427
61.500000	86.458	152.2274
62.200001	86.416	152.0913
63.000000	86.361	151.8968
64.000000	86.283	151.6942
65.000000	86.205	151.5590
66.000000	86.128	151.4137
67.000000	86.060	151.2992
68.000000	86.002	151.2044
69.000000	85.938	151.0587
70.000000	85.867	150.8669
71.000000	85.802	150.7343
72.000000	85.738	150.6989
73.000000	85.668	150.6771
74.000000	85.599	150.6124
75.000000	85.543	150.5054
76.199997	85.472	150.3087
77.500000	85.385	150.1595
78.800003	85.319	150.1414
80.000000	85.253	150.2126
81.199997	85.178	150.2188
82.500000	85.098	150.2039
83.800003	85.013	150.1774
85.000000	84.934	150.1154
86.199997	84.871	150.1039
87.500000	84.796	150.1191
88.500000	84.733	150.0943
90.000000	84.662	150.0906
91.199997	84.599	150.1608
92.500000	84.530	150.2072
93.800003	84.473	150.3405
