* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -2.9 dBFS with no timing reference
* Dated: Mar 20, 2025 9:02:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L EW100P (SBC, ET4)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.051	-51.1600
20.299999	85.111	-53.4983
20.600000	85.166	-55.8236
20.900000	85.217	-58.1291
21.200001	85.263	-60.4085
21.400000	85.293	-61.9117
21.799999	85.348	-64.8786
22.000000	85.375	-66.3438
22.400000	85.428	-69.2437
22.700001	85.467	-71.3977
23.000000	85.506	-73.5380
23.299999	85.543	-75.6671
23.600000	85.580	-77.7857
24.000000	85.626	-80.5933
24.299999	85.658	-82.6842
24.700001	85.698	-85.4484
25.000000	85.727	-87.5019
25.400000	85.763	-90.2133
25.799999	85.798	-92.8978
26.200001	85.832	-95.5616
26.500000	85.857	-97.5491
26.900000	85.888	-100.1859
27.200001	85.909	-102.1513
27.600000	85.934	-104.7504
28.000000	85.957	-107.3214
28.500000	85.984	-110.4992
29.000000	86.011	-113.6504
29.500000	86.036	-116.7854
30.000000	86.057	-119.9005
30.400000	86.072	-122.3711
30.700001	86.082	-124.2095
31.100000	86.094	-126.6426
31.500000	86.105	-129.0578
32.000000	86.118	-132.0528
32.500000	86.130	-135.0162
33.000000	86.141	-137.9471
33.500000	86.154	-140.8588
34.000000	86.166	-143.7688
34.500000	86.174	-146.6760
35.000000	86.175	-149.5543
35.500000	86.171	-152.3757
36.000000	86.168	-155.1401
36.500000	86.170	-157.8763
37.000000	86.174	-160.6125
37.500000	86.176	-163.3524
38.200001	86.175	-167.1665
38.700001	86.173	-169.8698
39.500000	86.171	-174.1948
40.000000	86.166	-176.9047
40.599998	86.154	179.8615
41.200001	86.138	176.6732
41.799999	86.123	173.5328
42.500000	86.109	169.9053
43.099998	86.100	166.8051
43.700001	86.090	163.7077
44.400002	86.075	160.1226
45.000000	86.060	157.0979
45.500000	86.051	154.6051
46.200001	86.042	151.1180
46.799999	86.033	148.1158
47.500000	86.013	144.6321
48.200001	85.988	141.2067
48.700001	85.970	138.7927
49.400002	85.945	135.4390
50.000000	85.925	132.5806
50.799999	85.898	128.7868
51.500000	85.875	125.4734
52.200001	85.851	122.1628
53.000000	85.825	118.3813
53.799999	85.796	114.6016
54.500000	85.766	111.3213
