* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -2.9 dBFS with no timing reference
* Dated: Mar 20, 2025 8:59:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R EW100P (SBC, ET4)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.283	-50.8490
20.299999	85.339	-53.1658
20.600000	85.394	-55.4627
20.900000	85.449	-57.7469
21.200001	85.502	-60.0229
21.400000	85.535	-61.5354
21.799999	85.598	-64.5436
22.000000	85.628	-66.0356
22.400000	85.683	-68.9885
22.700001	85.722	-71.1741
23.000000	85.760	-73.3370
23.299999	85.798	-75.4812
23.600000	85.835	-77.6104
24.000000	85.882	-80.4284
24.299999	85.915	-82.5248
24.700001	85.957	-85.2932
25.000000	85.986	-87.3478
25.400000	86.024	-90.0601
25.799999	86.060	-92.7469
26.200001	86.095	-95.4136
26.500000	86.119	-97.4011
26.900000	86.149	-100.0327
27.200001	86.170	-101.9914
27.600000	86.196	-104.5838
28.000000	86.220	-107.1578
28.500000	86.248	-110.3545
29.000000	86.272	-113.5247
29.500000	86.292	-116.6574
30.000000	86.312	-119.7497
30.400000	86.329	-122.2039
30.700001	86.343	-124.0407
31.100000	86.360	-126.4905
31.500000	86.375	-128.9397
32.000000	86.389	-131.9856
32.500000	86.398	-134.9938
33.000000	86.405	-137.9548
33.500000	86.411	-140.8739
34.000000	86.419	-143.7604
34.500000	86.427	-146.6228
35.000000	86.436	-149.4720
35.500000	86.446	-152.3213
36.000000	86.451	-155.1761
36.500000	86.451	-158.0212
37.000000	86.444	-160.8287
37.500000	86.436	-163.5805
38.200001	86.431	-167.3672
38.700001	86.433	-170.0731
39.500000	86.432	-174.4440
40.000000	86.423	-177.1638
40.599998	86.407	179.6378
41.200001	86.394	176.5097
41.799999	86.388	173.4033
42.500000	86.381	169.7648
43.099998	86.370	166.6564
43.700001	86.356	163.5829
44.400002	86.341	160.0205
45.000000	86.325	156.9666
45.500000	86.306	154.4410
46.200001	86.277	150.9832
46.799999	86.259	148.0797
47.500000	86.251	144.6716
48.200001	86.242	141.1959
48.700001	86.228	138.7039
49.400002	86.202	135.2581
50.000000	86.181	132.3466
50.799999	86.153	128.4902
51.500000	86.127	125.1420
52.200001	86.099	121.8415
53.000000	86.074	118.1140
53.799999	86.053	114.3783
54.500000	86.033	111.0872
55.200001	86.005	107.8070
56.000000	85.969	104.1057
57.000000	85.922	99.5419
58.000000	85.874	95.0617
59.000000	85.837	90.6345
60.000000	85.804	86.1826
60.799999	85.775	82.6199
61.500000	85.748	79.5075
62.200001	85.719	76.4021
63.000000	85.681	72.8885
64.000000	85.635	68.5606
65.000000	85.591	64.2696
66.000000	85.549	60.0065
67.000000	85.509	55.7592
68.000000	85.469	51.5137
69.000000	85.426	47.2769
70.000000	85.380	43.0713
71.000000	85.334	38.8987
72.000000	85.288	34.7677
73.000000	85.244	30.6841
74.000000	85.203	26.6119
75.000000	85.160	22.5411
76.199997	85.105	17.6854
77.500000	85.045	12.4456
78.800003	84.986	7.2375
80.000000	84.935	2.4542
81.199997	84.885	-2.2947
82.500000	84.834	-7.3923
83.800003	84.782	-12.4789
85.000000	84.730	-17.1484
86.199997	84.676	-21.7854
87.500000	84.618	-26.7889
88.500000	84.575	-30.6111
90.000000	84.516	-36.3063
91.199997	84.472	-40.8439
92.500000	84.423	-45.7430
93.800003	84.368	-50.6177
95.000000	84.313	-55.0772
96.199997	84.258	-59.4890
97.500000	84.208	-64.2734
98.800003	84.159	-69.1044
100.000000	84.110	-73.5424
101.500000	84.054	-79.0521
103.000000	84.001	-84.5282
104.400002	83.951	-89.5934
106.000000	83.891	-95.3257
107.500000	83.833	-100.6617
109.000000	83.776	-105.9862
110.599998	83.716	-111.6809
112.000000	83.665	-116.6516
113.800003	83.605	-122.9983
115.000000	83.564	-127.2089
117.199997	83.484	-134.8618
118.000000	83.454	-137.6276
120.599998	83.364	-146.6075
122.000000	83.316	-151.4285
124.099998	83.245	-158.5991
125.000000	83.215	-161.6559
126.500000	83.165	-166.7610
128.000000	83.114	-171.8733
131.500000	83.001	176.2946
132.000000	82.985	174.6234
134.000000	82.925	167.9704
136.000000	82.867	161.3400
138.000000	82.812	154.6642
140.000000	82.752	148.0209
143.000000	82.673	138.2180
145.000000	82.619	131.7121
147.500000	82.548	123.6459
150.000000	82.478	115.5955
152.500000	82.405	107.5605
155.000000	82.337	99.5514
157.500000	82.277	91.5926
160.000000	82.218	83.6998
162.500000	82.155	75.8643
165.000000	82.093	68.0317
167.500000	82.037	60.1956
170.000000	81.986	52.3748
172.500000	81.933	44.6341
175.000000	81.875	36.9780
177.500000	81.817	29.3292
180.000000	81.762	21.6322
182.500000	81.712	13.9567
