* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -2.9 dBFS with no timing reference
* Dated: Mar 14, 2025 9:21:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L EW100P (SBC, Final E)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.729	-45.3305
20.299999	84.781	-47.5307
20.600000	84.831	-49.6971
20.900000	84.880	-51.8313
21.200001	84.929	-53.9400
21.400000	84.962	-55.3359
21.799999	85.028	-58.1150
22.000000	85.060	-59.5008
22.400000	85.121	-62.2654
22.700001	85.163	-64.3280
23.000000	85.202	-66.3756
23.299999	85.239	-68.4043
23.600000	85.273	-70.4129
24.000000	85.316	-73.0616
24.299999	85.347	-75.0292
24.700001	85.386	-77.6312
25.000000	85.414	-79.5670
25.400000	85.448	-82.1258
25.799999	85.480	-84.6562
26.200001	85.509	-87.1565
26.500000	85.530	-89.0124
26.900000	85.557	-91.4633
27.200001	85.577	-93.2860
27.600000	85.603	-95.6992
28.000000	85.628	-98.0956
28.500000	85.656	-101.0688
29.000000	85.682	-104.0142
29.500000	85.704	-106.9270
30.000000	85.725	-109.8075
30.400000	85.741	-112.0934
30.700001	85.752	-113.7999
31.100000	85.765	-116.0669
31.500000	85.777	-118.3232
32.000000	85.787	-121.1217
32.500000	85.794	-123.8871
33.000000	85.798	-126.6154
33.500000	85.802	-129.3100
34.000000	85.806	-131.9767
34.500000	85.810	-134.6199
35.000000	85.813	-137.2427
35.500000	85.816	-139.8458
36.000000	85.817	-142.4271
36.500000	85.818	-144.9814
37.000000	85.819	-147.5075
37.500000	85.822	-150.0157
38.200001	85.828	-153.5289
38.700001	85.830	-156.0486
39.500000	85.821	-160.0603
40.000000	85.811	-162.5305
40.599998	85.796	-165.4545
41.200001	85.779	-168.3435
41.799999	85.761	-171.1968
42.500000	85.741	-174.4799
43.099998	85.726	-177.2724
43.700001	85.713	179.9401
44.400002	85.696	176.6989
45.000000	85.682	173.9334
45.500000	85.670	171.6333
46.200001	85.651	168.4282
46.799999	85.631	165.7196
47.500000	85.612	162.6066
48.200001	85.596	159.5107
48.700001	85.583	157.3109
49.400002	85.563	154.2710
50.000000	85.548	151.6893
50.799999	85.525	148.2433
51.500000	85.495	145.2661
52.200001	85.464	142.3393
53.000000	85.424	138.9801
53.799999	85.361	135.7298
54.500000	85.318	133.1124
55.200001	85.323	130.4790
56.000000	85.344	127.1008
57.000000	85.304	122.6773
58.000000	85.242	118.5298
59.000000	85.197	114.4442
60.000000	85.148	110.3881
60.799999	85.110	107.1973
61.500000	85.076	104.4381
62.200001	85.043	101.7211
63.000000	85.010	98.6491
64.000000	84.973	94.8099
65.000000	84.933	90.9872
66.000000	84.892	87.2051
67.000000	84.850	83.4529
68.000000	84.807	79.7372
69.000000	84.764	76.0556
70.000000	84.721	72.3868
71.000000	84.675	68.7259
72.000000	84.628	65.0803
73.000000	84.581	61.4466
74.000000	84.534	57.8177
75.000000	84.486	54.2221
76.199997	84.435	49.9617
77.500000	84.382	45.3682
78.800003	84.323	40.8292
80.000000	84.270	36.7038
81.199997	84.218	32.5974
82.500000	84.162	28.1521
83.800003	84.104	23.7332
85.000000	84.052	19.6782
86.199997	83.999	15.6481
87.500000	83.940	11.3072
88.500000	83.893	7.9897
90.000000	83.820	3.0430
91.199997	83.763	-0.9021
92.500000	83.700	-5.1439
