* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -2.9 dBFS with no timing reference
* Dated: Mar 14, 2025 9:13:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R EW100P (SBC, Final E)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.946	-50.5325
20.299999	85.003	-52.7963
20.600000	85.059	-55.0424
20.900000	85.113	-57.2746
21.200001	85.166	-59.4939
21.400000	85.199	-60.9653
21.799999	85.261	-63.8833
22.000000	85.290	-65.3277
22.400000	85.346	-68.1846
22.700001	85.386	-70.3008
23.000000	85.426	-72.3980
23.299999	85.464	-74.4800
23.600000	85.501	-76.5492
24.000000	85.547	-79.2881
24.299999	85.579	-81.3250
24.700001	85.619	-84.0140
25.000000	85.647	-86.0102
25.400000	85.683	-88.6475
25.799999	85.718	-91.2628
26.200001	85.750	-93.8596
26.500000	85.772	-95.7940
26.900000	85.799	-98.3512
27.200001	85.818	-100.2495
27.600000	85.842	-102.7532
28.000000	85.865	-105.2289
28.500000	85.894	-108.2951
29.000000	85.923	-111.3415
29.500000	85.950	-114.3730
30.000000	85.973	-117.3866
30.400000	85.989	-119.7790
30.700001	85.998	-121.5593
31.100000	86.008	-123.9104
31.500000	86.017	-126.2338
32.000000	86.026	-129.1008
32.500000	86.034	-131.9324
33.000000	86.040	-134.7340
33.500000	86.047	-137.5080
34.000000	86.053	-140.2612
34.500000	86.059	-143.0052
35.000000	86.063	-145.7458
35.500000	86.064	-148.4721
36.000000	86.062	-151.1670
36.500000	86.060	-153.8297
37.000000	86.062	-156.4812
37.500000	86.063	-159.1401
38.200001	86.056	-162.8461
38.700001	86.045	-165.4362
39.500000	86.035	-169.4813
40.000000	86.033	-171.9993
40.599998	86.028	-175.0315
41.200001	86.015	-178.0329
41.799999	85.999	179.0255
42.500000	85.986	175.6255
43.099998	85.974	172.7012
43.700001	85.957	169.7857
44.400002	85.935	166.4273
45.000000	85.920	163.5672
45.500000	85.909	161.1771
46.200001	85.889	157.8318
46.799999	85.867	155.0057
47.500000	85.843	151.7841
48.200001	85.826	148.6107
48.700001	85.815	146.3490
49.400002	85.797	143.1904
50.000000	85.777	140.5017
50.799999	85.744	136.9422
51.500000	85.707	133.8602
52.200001	85.669	130.8172
53.000000	85.627	127.3123
53.799999	85.568	123.7810
54.500000	85.504	120.8506
55.200001	85.470	118.0864
56.000000	85.481	114.7873
57.000000	85.479	110.3053
58.000000	85.436	105.9501
59.000000	85.405	101.7618
60.000000	85.368	97.5846
60.799999	85.330	94.3026
61.500000	85.295	91.4665
62.200001	85.257	88.6577
