* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -2.9 dBFS with no timing reference
* Dated: Mar 12, 2025 10:23:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L EW100P (SBC, Origin)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.176	-63.5167
20.299999	85.228	-65.9383
20.600000	85.279	-68.3447
20.900000	85.327	-70.7383
21.200001	85.374	-73.1192
21.400000	85.403	-74.6991
21.799999	85.460	-77.8389
22.000000	85.486	-79.3982
22.400000	85.537	-82.4941
22.700001	85.573	-84.7957
23.000000	85.607	-87.0795
23.299999	85.640	-89.3456
23.600000	85.672	-91.5944
24.000000	85.714	-94.5670
24.299999	85.743	-96.7783
24.700001	85.782	-99.7045
25.000000	85.809	-101.8830
25.400000	85.843	-104.7656
25.799999	85.875	-107.6220
26.200001	85.905	-110.4512
26.500000	85.926	-112.5556
26.900000	85.952	-115.3394
27.200001	85.971	-117.4118
27.600000	85.994	-120.1562
28.000000	86.015	-122.8801
28.500000	86.038	-126.2564
29.000000	86.058	-129.5995
29.500000	86.076	-132.9102
30.000000	86.093	-136.1948
30.400000	86.106	-138.8100
30.700001	86.115	-140.7658
31.100000	86.124	-143.3639
31.500000	86.131	-145.9447
32.000000	86.137	-149.1364
32.500000	86.143	-152.2894
33.000000	86.149	-155.4153
33.500000	86.156	-158.5245
34.000000	86.160	-161.6145
34.500000	86.163	-164.6772
35.000000	86.165	-167.7147
35.500000	86.167	-170.7381
36.000000	86.167	-173.7512
36.500000	86.163	-176.7415
37.000000	86.155	-179.6945
37.500000	86.149	177.3881
38.200001	86.142	173.3318
38.700001	86.137	170.4384
39.500000	86.126	165.8235
40.000000	86.116	162.9550
40.599998	86.102	159.5342
41.200001	86.085	156.1486
41.799999	86.068	152.8044
42.500000	86.052	148.9329
43.099998	86.038	145.6237
43.700001	86.022	142.3346
44.400002	86.004	138.5295
45.000000	85.989	135.2675
45.500000	85.974	132.5411
46.200001	85.943	128.7582
46.799999	85.914	125.5914
47.500000	85.890	121.9478
48.200001	85.873	118.2834
48.700001	85.858	115.6580
49.400002	85.834	112.0141
50.000000	85.814	108.9204
50.799999	85.785	104.8241
51.500000	85.755	101.3014
52.200001	85.728	97.8210
53.000000	85.692	93.8405
53.799999	85.640	89.9863
54.500000	85.612	86.7588
55.200001	85.618	83.4276
56.000000	85.617	79.3142
57.000000	85.555	74.1205
58.000000	85.485	69.1548
59.000000	85.424	64.2566
60.000000	85.371	59.4557
60.799999	85.338	55.6548
61.500000	85.311	52.3374
62.200001	85.282	49.0446
63.000000	85.250	45.3022
64.000000	85.204	40.6351
65.000000	85.151	36.0161
66.000000	85.097	31.4508
67.000000	85.049	26.9086
68.000000	85.005	22.3705
69.000000	84.964	17.8291
70.000000	84.921	13.3137
71.000000	84.878	8.8333
72.000000	84.835	4.3734
73.000000	84.788	-0.0665
74.000000	84.738	-4.4797
75.000000	84.688	-8.8568
76.199997	84.634	-14.0776
77.500000	84.580	-19.7326
78.800003	84.521	-25.3682
