* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -2.9 dBFS with no timing reference
* Dated: Mar 12, 2025 10:26:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R EW100P (SBC, Origin)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.011	-57.2517
20.299999	85.068	-59.6301
20.600000	85.123	-61.9906
20.900000	85.175	-64.3335
21.200001	85.226	-66.6596
21.400000	85.258	-68.2017
21.799999	85.320	-71.2661
22.000000	85.349	-72.7881
22.400000	85.403	-75.8100
22.700001	85.442	-78.0550
23.000000	85.477	-80.2795
23.299999	85.512	-82.4828
23.600000	85.544	-84.6651
24.000000	85.586	-87.5440
24.299999	85.617	-89.6826
24.700001	85.657	-92.5105
25.000000	85.686	-94.6165
25.400000	85.724	-97.4085
25.799999	85.760	-100.1855
26.200001	85.794	-102.9489
26.500000	85.817	-105.0112
26.900000	85.845	-107.7426
27.200001	85.863	-109.7734
27.600000	85.885	-112.4533
28.000000	85.905	-115.1006
28.500000	85.930	-118.3716
29.000000	85.954	-121.6133
29.500000	85.977	-124.8346
30.000000	85.996	-128.0356
30.400000	86.010	-130.5798
30.700001	86.019	-132.4778
31.100000	86.028	-134.9942
31.500000	86.036	-137.4922
32.000000	86.043	-140.5829
32.500000	86.048	-143.6339
33.000000	86.055	-146.6534
33.500000	86.063	-149.6606
34.000000	86.071	-152.6696
34.500000	86.074	-155.6736
35.000000	86.072	-158.6507
35.500000	86.067	-161.5853
36.000000	86.064	-164.4845
36.500000	86.064	-167.3701
37.000000	86.062	-170.2553
37.500000	86.057	-173.1316
38.200001	86.044	-177.1062
38.700001	86.033	-179.8971
39.500000	86.021	175.6933
40.000000	86.015	172.9559
40.599998	86.007	169.6852
41.200001	85.999	166.4276
41.799999	85.988	163.1846
42.500000	85.971	159.4384
43.099998	85.955	156.2683
