* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -2.9 dBFS with no timing reference
* Dated: Mar 20, 2025 9:25:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L EW100P (SBC, Pro01)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.909	-38.6487
20.299999	84.964	-40.7991
20.600000	85.016	-42.9282
20.900000	85.065	-45.0355
21.200001	85.113	-47.1207
21.400000	85.143	-48.4988
21.799999	85.203	-51.2286
22.000000	85.231	-52.5818
22.400000	85.287	-55.2686
22.700001	85.327	-57.2689
23.000000	85.366	-59.2572
23.299999	85.403	-61.2333
23.600000	85.437	-63.1959
24.000000	85.481	-65.7895
24.299999	85.511	-67.7162
24.700001	85.550	-70.2605
25.000000	85.578	-72.1515
25.400000	85.614	-74.6523
25.799999	85.648	-77.1325
26.200001	85.680	-79.5938
26.500000	85.703	-81.4274
26.900000	85.731	-83.8538
27.200001	85.750	-85.6581
27.600000	85.774	-88.0409
28.000000	85.796	-90.3970
28.500000	85.823	-93.3082
29.000000	85.848	-96.1898
29.500000	85.873	-99.0486
30.000000	85.894	-101.8852
30.400000	85.910	-104.1363
30.700001	85.920	-105.8131
31.100000	85.932	-108.0331
31.500000	85.942	-110.2347
32.000000	85.953	-112.9584
32.500000	85.962	-115.6478
33.000000	85.972	-118.3074
33.500000	85.983	-120.9530
34.000000	85.992	-123.5987
34.500000	85.998	-126.2414
35.000000	85.999	-128.8614
35.500000	85.997	-131.4429
36.000000	85.995	-133.9898
36.500000	85.993	-136.5160
37.000000	85.989	-139.0233
37.500000	85.984	-141.4979
38.200001	85.977	-144.8953
38.700001	85.978	-147.2991
39.500000	85.981	-151.1752
40.000000	85.978	-153.6163
40.599998	85.965	-156.5270
41.200001	85.947	-159.3887
41.799999	85.930	-162.2092
42.500000	85.913	-165.4884
43.099998	85.897	-168.3007
43.700001	85.880	-171.0948
44.400002	85.862	-174.3216
45.000000	85.850	-177.0827
45.500000	85.839	-179.3873
46.200001	85.816	177.4170
46.799999	85.794	174.7480
47.500000	85.771	171.7146
48.200001	85.756	168.7097
48.700001	85.745	166.5510
49.400002	85.723	163.5195
50.000000	85.698	160.9481
50.799999	85.667	157.5487
51.500000	85.644	154.5224
52.200001	85.613	151.4711
53.000000	85.585	148.0197
53.799999	85.574	144.4027
54.500000	85.528	141.0947
55.200001	85.434	138.0654
56.000000	85.358	135.1677
57.000000	85.377	131.5435
58.000000	85.388	127.5142
59.000000	85.365	123.5587
60.000000	85.337	119.6276
60.799999	85.302	116.4670
61.500000	85.264	113.7239
62.200001	85.224	111.0144
63.000000	85.185	107.9472
64.000000	85.146	104.0906
65.000000	85.107	100.2218
66.000000	85.069	96.3993
67.000000	85.030	92.6054
68.000000	84.987	88.8482
69.000000	84.941	85.1179
70.000000	84.891	81.3975
71.000000	84.840	77.7090
72.000000	84.794	74.0446
73.000000	84.752	70.3823
74.000000	84.712	66.7360
75.000000	84.673	63.1159
76.199997	84.625	58.8002
77.500000	84.567	54.1591
78.800003	84.506	49.5508
80.000000	84.450	45.3213
81.199997	84.398	41.1182
82.500000	84.345	36.5673
83.800003	84.289	32.0615
85.000000	84.240	27.9554
86.199997	84.190	23.8659
87.500000	84.135	19.4423
88.500000	84.090	16.0414
90.000000	84.022	10.9695
91.199997	83.971	6.9482
92.500000	83.921	2.6251
93.800003	83.873	-1.6875
95.000000	83.824	-5.6530
96.199997	83.772	-9.5652
97.500000	83.720	-13.8035
98.800003	83.666	-18.0670
100.000000	83.615	-21.9871
101.500000	83.556	-26.8584
103.000000	83.499	-31.6816
104.400002	83.448	-36.1210
106.000000	83.390	-41.1519
107.500000	83.334	-45.8519
109.000000	83.278	-50.5475
110.599998	83.223	-55.5751
112.000000	83.172	-59.9838
113.800003	83.102	-65.5731
115.000000	83.056	-69.2496
117.199997	82.974	-75.9509
118.000000	82.945	-78.3917
120.599998	82.847	-86.3283
122.000000	82.796	-90.5706
124.099998	82.723	-96.8804
125.000000	82.691	-99.5687
126.500000	82.638	-104.0182
128.000000	82.586	-108.4238
131.500000	82.479	-118.5592
132.000000	82.465	-119.9897
134.000000	82.419	-125.6931
136.000000	82.384	-131.4628
138.000000	82.343	-137.3282
140.000000	82.297	-143.1840
143.000000	82.219	-151.8778
145.000000	82.160	-157.6211
147.500000	82.088	-164.7861
150.000000	82.027	-171.9515
152.500000	81.971	-179.0767
155.000000	81.912	173.8625
157.500000	81.846	166.8286
160.000000	81.779	159.8512
162.500000	81.715	152.9142
165.000000	81.653	146.0139
167.500000	81.594	139.1347
170.000000	81.541	132.2656
172.500000	81.489	125.4287
175.000000	81.436	118.6389
177.500000	81.380	111.8951
180.000000	81.324	105.1906
182.500000	81.270	98.4755
185.000000	81.215	91.7776
187.500000	81.166	85.1220
190.000000	81.122	78.4977
192.500000	81.077	71.9070
195.000000	81.030	65.3525
197.500000	80.982	58.8096
200.000000	80.933	52.2788
