* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -2.9 dBFS with no timing reference
* Dated: Mar 20, 2025 9:19:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R EW100P (SBC, Pro01)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.180	-45.4051
20.299999	85.234	-47.6670
20.600000	85.283	-49.8991
20.900000	85.331	-52.0974
21.200001	85.377	-54.2642
21.400000	85.408	-55.6950
21.799999	85.470	-58.5358
22.000000	85.500	-59.9499
22.400000	85.559	-62.7693
22.700001	85.600	-64.8732
23.000000	85.638	-66.9624
23.299999	85.673	-69.0330
23.600000	85.707	-71.0838
24.000000	85.750	-73.7906
24.299999	85.781	-75.8035
24.700001	85.819	-78.4667
25.000000	85.845	-80.4467
25.400000	85.878	-83.0585
25.799999	85.908	-85.6350
26.200001	85.938	-88.1799
26.500000	85.961	-90.0737
26.900000	85.990	-92.5872
27.200001	86.012	-94.4665
27.600000	86.038	-96.9638
28.000000	86.061	-99.4459
28.500000	86.086	-102.5169
29.000000	86.108	-105.5471
29.500000	86.128	-108.5397
30.000000	86.148	-111.5038
30.400000	86.163	-113.8604
30.700001	86.174	-115.6205
31.100000	86.186	-117.9557
31.500000	86.196	-120.2734
32.000000	86.206	-123.1391
32.500000	86.215	-125.9687
33.000000	86.224	-128.7706
33.500000	86.233	-131.5566
34.000000	86.240	-134.3323
34.500000	86.244	-137.0946
35.000000	86.245	-139.8361
35.500000	86.243	-142.5505
36.000000	86.240	-145.2352
36.500000	86.236	-147.8909
37.000000	86.233	-150.5233
37.500000	86.232	-153.1432
38.200001	86.229	-156.8031
38.700001	86.224	-159.4061
39.500000	86.210	-163.5172
40.000000	86.202	-166.0471
40.599998	86.194	-169.0596
41.200001	86.185	-172.0643
41.799999	86.175	-175.0604
42.500000	86.159	-178.5306
43.099998	86.143	178.5192
43.700001	86.126	175.5917
44.400002	86.105	172.2190
45.000000	86.091	169.3647
45.500000	86.084	166.9879
46.200001	86.076	163.6238
46.799999	86.060	160.7281
47.500000	86.031	157.4207
48.200001	86.003	154.2072
48.700001	85.985	151.9317
49.400002	85.958	148.7551
50.000000	85.931	146.0630
50.799999	85.898	142.4868
51.500000	85.867	139.3155
52.200001	85.827	136.1486
53.000000	85.788	132.5137
53.799999	85.740	128.7296
54.500000	85.660	125.5010
55.200001	85.581	122.6351
56.000000	85.570	119.5253
57.000000	85.602	115.1838
58.000000	85.580	110.7509
59.000000	85.558	106.5400
60.000000	85.530	102.3292
60.799999	85.496	99.0179
61.500000	85.467	96.1388
62.200001	85.434	93.2428
63.000000	85.391	89.9438
64.000000	85.339	85.8549
65.000000	85.292	81.7747
66.000000	85.249	77.7166
67.000000	85.207	73.6920
