* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -2.9 dBFS with no timing reference
* Dated: Mar 11, 2025 9:36:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L EW100P (SBC, Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.108	-40.6039
20.299999	85.162	-42.7655
20.600000	85.215	-44.9099
20.900000	85.265	-47.0376
21.200001	85.313	-49.1485
21.400000	85.343	-50.5460
21.799999	85.401	-53.3162
22.000000	85.428	-54.6884
22.400000	85.481	-57.4071
22.700001	85.519	-59.4248
23.000000	85.556	-61.4254
23.299999	85.592	-63.4091
23.600000	85.626	-65.3759
24.000000	85.670	-67.9722
24.299999	85.702	-69.9018
24.700001	85.744	-72.4565
25.000000	85.774	-74.3619
25.400000	85.810	-76.8867
25.799999	85.842	-79.3831
26.200001	85.869	-81.8381
26.500000	85.889	-83.6508
26.900000	85.916	-86.0409
27.200001	85.937	-87.8263
27.600000	85.963	-90.2100
28.000000	85.982	-92.5890
28.500000	85.996	-95.5066
29.000000	86.005	-98.3114
29.500000	86.027	-101.0321
30.000000	86.065	-103.7778
30.400000	86.099	-106.0536
30.700001	86.120	-107.8062
31.100000	86.135	-110.1653
31.500000	86.137	-112.4945
32.000000	86.130	-115.3043
32.500000	86.127	-118.0100
33.000000	86.133	-120.6732
33.500000	86.143	-123.3398
34.000000	86.152	-126.0090
34.500000	86.158	-128.6609
35.000000	86.163	-131.2879
35.500000	86.167	-133.8942
36.000000	86.169	-136.4817
36.500000	86.168	-139.0450
37.000000	86.166	-141.5807
37.500000	86.162	-144.0902
38.200001	86.154	-147.5619
38.700001	86.147	-150.0105
39.500000	86.139	-153.8880
40.000000	86.134	-156.3037
40.599998	86.127	-159.2026
41.200001	86.116	-162.0887
41.799999	86.102	-164.9464
42.500000	86.086	-168.2461
43.099998	86.072	-171.0559
43.700001	86.058	-173.8543
44.400002	86.042	-177.1114
45.000000	86.025	-179.9006
45.500000	86.007	177.7895
46.200001	85.978	174.6161
46.799999	85.955	171.9621
47.500000	85.939	168.8903
48.200001	85.927	165.7946
48.700001	85.915	163.5795
49.400002	85.894	160.5056
50.000000	85.876	157.8949
50.799999	85.849	154.4349
51.500000	85.821	151.4471
52.200001	85.794	148.4955
53.000000	85.766	145.1228
53.799999	85.734	141.7540
54.500000	85.707	138.8264
55.200001	85.680	135.9060
56.000000	85.649	132.5898
57.000000	85.615	128.4911
58.000000	85.580	124.4718
59.000000	85.568	120.5693
60.000000	85.573	116.4307
60.799999	85.532	113.0121
61.500000	85.468	110.2134
62.200001	85.416	107.5815
63.000000	85.375	104.5760
64.000000	85.324	100.7508
65.000000	85.276	96.9075
66.000000	85.229	93.0281
67.000000	85.180	89.1669
68.000000	85.136	85.3454
69.000000	85.095	81.5586
70.000000	85.055	77.7966
71.000000	85.012	74.0775
72.000000	84.967	70.4002
73.000000	84.922	66.7455
74.000000	84.875	63.1067
75.000000	84.830	59.4767
76.199997	84.779	55.1287
77.500000	84.727	50.4078
78.800003	84.671	45.7194
80.000000	84.620	41.4544
81.199997	84.569	37.2340
82.500000	84.513	32.7048
83.800003	84.456	28.1990
85.000000	84.402	24.0462
86.199997	84.349	19.9016
87.500000	84.293	15.4310
88.500000	84.254	12.0037
90.000000	84.194	6.8751
91.199997	84.144	2.8401
92.500000	84.095	-1.4857
93.800003	84.044	-5.8146
95.000000	83.994	-9.7919
96.199997	83.942	-13.7556
97.500000	83.887	-18.0344
98.800003	83.835	-22.3024
100.000000	83.788	-26.2358
101.500000	83.730	-31.1147
103.000000	83.676	-35.9661
104.400002	83.624	-40.4666
106.000000	83.566	-45.5701
107.500000	83.512	-50.3401
109.000000	83.454	-55.0800
110.599998	83.391	-60.1065
112.000000	83.334	-64.4948
113.800003	83.261	-70.1106
115.000000	83.218	-73.8403
117.199997	83.144	-80.6454
118.000000	83.119	-83.0909
120.599998	83.044	-90.9668
122.000000	83.000	-95.1826
124.099998	82.937	-101.5123
125.000000	82.909	-104.2462
126.500000	82.861	-108.8086
128.000000	82.813	-113.3632
131.500000	82.698	-123.8840
132.000000	82.683	-125.3687
134.000000	82.628	-131.2784
136.000000	82.579	-137.1522
138.000000	82.529	-142.9982
140.000000	82.470	-148.8590
143.000000	82.367	-157.5522
145.000000	82.309	-163.3269
147.500000	82.240	-170.5491
150.000000	82.169	-177.7088
152.500000	82.103	175.1902
155.000000	82.038	168.1256
157.500000	81.975	161.1194
160.000000	81.916	154.1356
162.500000	81.858	147.1737
165.000000	81.798	140.2400
167.500000	81.737	133.3146
170.000000	81.679	126.3951
172.500000	81.623	119.5164
175.000000	81.570	112.6829
177.500000	81.516	105.8898
180.000000	81.462	99.1400
182.500000	81.411	92.4332
