* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -2.9 dBFS with no timing reference
* Dated: Mar 11, 2025 9:30:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R EW100P (SBC, Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.117	-49.0622
20.299999	85.172	-51.3523
20.600000	85.224	-53.6216
20.900000	85.275	-55.8726
21.200001	85.325	-58.1064
21.400000	85.356	-59.5858
21.799999	85.417	-62.5200
22.000000	85.446	-63.9746
22.400000	85.503	-66.8597
22.700001	85.545	-69.0046
23.000000	85.585	-71.1349
23.299999	85.623	-73.2508
23.600000	85.660	-75.3510
24.000000	85.706	-78.1246
24.299999	85.740	-80.1846
24.700001	85.783	-82.9083
25.000000	85.813	-84.9379
25.400000	85.851	-87.6286
25.799999	85.885	-90.2960
26.200001	85.913	-92.9285
26.500000	85.933	-94.8764
26.900000	85.960	-97.4451
27.200001	85.980	-99.3612
27.600000	86.005	-101.9156
28.000000	86.025	-104.4667
28.500000	86.038	-107.6086
29.000000	86.046	-110.6426
29.500000	86.065	-113.5781
30.000000	86.101	-116.5110
30.400000	86.137	-118.9228
30.700001	86.161	-120.7775
31.100000	86.184	-123.2825
31.500000	86.193	-125.7731
32.000000	86.195	-128.8035
32.500000	86.197	-131.7390
33.000000	86.205	-134.6315
33.500000	86.215	-137.5198
34.000000	86.219	-140.3950
34.500000	86.220	-143.2294
35.000000	86.221	-146.0166
35.500000	86.224	-148.7767
36.000000	86.229	-151.5309
36.500000	86.231	-154.2828
37.000000	86.229	-157.0198
37.500000	86.224	-159.7268
38.200001	86.216	-163.4603
38.700001	86.214	-166.1039
39.500000	86.211	-170.3359
40.000000	86.206	-172.9799
40.599998	86.194	-176.1251
41.200001	86.180	-179.2261
41.799999	86.168	177.7048
42.500000	86.152	174.1448
43.099998	86.137	171.1155
43.700001	86.121	168.1168
44.400002	86.106	164.6498
45.000000	86.095	161.6807
45.500000	86.087	159.1960
46.200001	86.069	155.7155
46.799999	86.048	152.7710
47.500000	86.022	149.4107
48.200001	86.003	146.0964
48.700001	85.991	143.7316
49.400002	85.970	140.4274
50.000000	85.950	137.6162
50.799999	85.920	133.8918
51.500000	85.891	130.6429
52.200001	85.859	127.4131
53.000000	85.822	123.7513
53.799999	85.790	120.1020
54.500000	85.765	116.9015
55.200001	85.739	113.7040
56.000000	85.710	110.1030
57.000000	85.683	105.6664
58.000000	85.652	101.2677
59.000000	85.624	97.0470
60.000000	85.623	92.7218
60.799999	85.593	89.0797
61.500000	85.535	85.9811
62.200001	85.478	83.0315
63.000000	85.431	79.6874
64.000000	85.376	75.4346
65.000000	85.322	71.1935
66.000000	85.276	66.9687
67.000000	85.232	62.7831
68.000000	85.190	58.6552
69.000000	85.150	54.5742
70.000000	85.109	50.5327
71.000000	85.065	46.5115
72.000000	85.019	42.5038
73.000000	84.970	38.5100
74.000000	84.921	34.5278
75.000000	84.871	30.5704
76.199997	84.816	25.8379
77.500000	84.755	20.7379
78.800003	84.699	15.6986
80.000000	84.653	11.0447
81.199997	84.605	6.3904
82.500000	84.549	1.3923
83.800003	84.494	-3.5626
85.000000	84.443	-8.1044
86.199997	84.390	-12.6149
87.500000	84.331	-17.4637
88.500000	84.286	-21.1676
90.000000	84.217	-26.6857
91.199997	84.164	-31.0483
92.500000	84.113	-35.7728
93.800003	84.063	-40.5136
95.000000	84.020	-44.8959
96.199997	83.976	-49.2877
97.500000	83.930	-54.0014
98.800003	83.886	-58.7051
100.000000	83.841	-63.0161
101.500000	83.779	-68.3391
103.000000	83.715	-73.6099
104.400002	83.657	-78.4885
106.000000	83.597	-84.0614
107.500000	83.544	-89.2848
109.000000	83.492	-94.4897
110.599998	83.435	-100.0328
112.000000	83.384	-104.8815
113.800003	83.317	-111.1027
115.000000	83.273	-115.2277
117.199997	83.198	-122.7097
118.000000	83.171	-125.4044
120.599998	83.085	-134.1122
122.000000	83.034	-138.7970
124.099998	82.957	-145.7714
125.000000	82.926	-148.7428
126.500000	82.878	-153.6890
128.000000	82.831	-158.6227
131.500000	82.719	-170.0898
132.000000	82.703	-171.7212
134.000000	82.639	-178.2086
136.000000	82.582	175.3442
138.000000	82.523	168.8928
140.000000	82.459	162.4520
143.000000	82.364	152.8910
145.000000	82.307	146.5414
147.500000	82.240	138.6379
150.000000	82.175	130.7840
152.500000	82.103	123.0060
155.000000	82.025	115.2892
157.500000	81.952	107.5886
160.000000	81.884	99.9017
162.500000	81.816	92.2581
165.000000	81.749	84.6598
167.500000	81.684	77.1029
170.000000	81.619	69.5862
172.500000	81.558	62.1315
175.000000	81.505	54.7682
177.500000	81.456	47.4414
180.000000	81.407	40.0980
182.500000	81.371	32.7661
185.000000	81.354	25.3902
187.500000	81.329	17.9898
190.000000	81.293	10.6014
192.500000	81.248	3.1931
195.000000	81.191	-4.1639
197.500000	81.135	-11.4680
200.000000	81.085	-18.7434
203.000000	81.035	-27.4167
206.000000	80.979	-36.0091
209.000000	80.925	-44.5112
212.000000	80.884	-53.0692
214.000000	80.860	-58.7885
218.000000	80.810	-70.1836
220.000000	80.779	-75.8215
224.000000	80.712	-86.9889
227.000000	80.663	-95.2989
230.000000	80.616	-103.5894
233.000000	80.568	-111.8817
236.000000	80.521	-120.1732
240.000000	80.465	-131.2253
243.000000	80.425	-139.4855
247.000000	80.377	-150.4166
250.000000	80.341	-158.5775
254.000000	80.293	-169.4226
258.000000	80.247	179.7961
262.000000	80.199	169.0825
265.000000	80.163	161.0496
269.000000	80.117	150.3979
272.000000	80.083	142.4698
276.000000	80.036	131.9097
280.000000	79.990	121.3821
285.000000	79.938	108.3022
290.000000	79.887	95.2401
295.000000	79.841	82.2152
300.000000	79.796	69.2695
304.000000	79.758	58.9479
307.000000	79.730	51.2214
311.000000	79.695	40.9691
315.000000	79.664	30.7889
320.000000	79.632	18.1466
325.000000	79.601	5.5535
330.000000	79.571	-7.0093
335.000000	79.540	-19.5409
340.000000	79.504	-32.0398
345.000000	79.466	-44.5079
350.000000	79.430	-56.9412
355.000000	79.398	-69.3258
360.000000	79.366	-81.6418
365.000000	79.336	-93.9058
370.000000	79.308	-106.1202
375.000000	79.282	-118.2693
382.000000	79.247	-135.2103
387.000000	79.224	-147.2435
395.000000	79.185	-166.3979
400.000000	79.159	-178.3032
406.000000	79.126	167.4733
412.000000	79.092	153.2888
418.000000	79.061	139.1582
425.000000	79.030	122.7410
431.000000	79.007	108.7478
437.000000	78.982	94.8112
444.000000	78.951	78.5900
450.000000	78.923	64.7601
455.000000	78.901	53.2865
462.000000	78.878	37.3353
468.000000	78.864	23.7727
475.000000	78.850	8.0199
482.000000	78.845	-7.6454
487.000000	78.849	-18.8057
494.000000	78.858	-34.4401
500.000000	78.857	-47.8588
508.000000	78.844	-65.7532
515.000000	78.826	-81.3750
522.000000	78.808	-96.9077
530.000000	78.787	-114.5254
538.000000	78.771	-132.0361
545.000000	78.757	-147.2494
552.000000	78.744	-162.3923
560.000000	78.733	-179.6155
570.000000	78.723	158.9935
580.000000	78.714	137.7349
590.000000	78.705	116.5831
600.000000	78.694	95.5363
608.000000	78.681	78.7610
615.000000	78.670	64.1165
622.000000	78.662	49.5277
630.000000	78.656	32.9489
640.000000	78.651	12.3367
650.000000	78.649	-8.1389
660.000000	78.651	-28.4952
670.000000	78.652	-48.7728
680.000000	78.651	-68.9475
690.000000	78.653	-88.9851
700.000000	78.660	-108.9243
710.000000	78.671	-128.7581
720.000000	78.683	-148.4729
730.000000	78.692	-168.0728
740.000000	78.701	172.3906
750.000000	78.713	152.9001
762.000000	78.735	129.6277
775.000000	78.761	104.5830
788.000000	78.788	79.6721
800.000000	78.817	56.8213
812.000000	78.852	34.0942
825.000000	78.891	9.6226
838.000000	78.937	-14.6672
850.000000	78.987	-36.9531
862.000000	79.043	-59.1243
875.000000	79.103	-83.0171
885.000000	79.146	-101.3308
900.000000	79.213	-128.7419
912.000000	79.275	-150.5801
