* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -2.9 dBFS with no timing reference
* Dated: Mar 12, 2025 9:58:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L EW100P (SBC,Vent,Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.138	-65.7152
20.299999	85.198	-68.2106
20.600000	85.254	-70.6986
20.900000	85.305	-73.1721
21.200001	85.352	-75.6229
21.400000	85.382	-77.2413
21.799999	85.437	-80.4386
22.000000	85.464	-82.0188
22.400000	85.516	-85.1486
22.700001	85.553	-87.4742
23.000000	85.590	-89.7837
23.299999	85.625	-92.0773
23.600000	85.659	-94.3544
24.000000	85.702	-97.3659
24.299999	85.734	-99.6086
24.700001	85.775	-102.5827
25.000000	85.804	-104.8030
25.400000	85.839	-107.7470
25.799999	85.870	-110.6645
26.200001	85.897	-113.5468
26.500000	85.917	-115.6842
26.900000	85.943	-118.5066
27.200001	85.963	-120.6081
27.600000	85.989	-123.3968
28.000000	86.013	-126.1717
28.500000	86.040	-129.6152
29.000000	86.064	-133.0246
29.500000	86.086	-136.4047
30.000000	86.107	-139.7654
30.400000	86.120	-142.4397
30.700001	86.129	-144.4322
31.100000	86.137	-147.0647
31.500000	86.146	-149.6680
32.000000	86.158	-152.8940
32.500000	86.172	-156.1122
33.000000	86.184	-159.3322
33.500000	86.190	-162.5373
34.000000	86.191	-165.7054
34.500000	86.193	-168.8338
35.000000	86.194	-171.9382
35.500000	86.195	-175.0267
36.000000	86.192	-178.0880
36.500000	86.188	178.8927
37.000000	86.188	175.9080
37.500000	86.191	172.9278
38.200001	86.197	168.7220
38.700001	86.193	165.7085
39.500000	86.175	160.9524
40.000000	86.162	158.0380
40.599998	86.149	154.5795
41.200001	86.138	151.1404
41.799999	86.127	147.7165
42.500000	86.115	143.7428
43.099998	86.103	140.3524
43.700001	86.089	136.9853
44.400002	86.071	133.1115
45.000000	86.059	129.8334
45.500000	86.053	127.1059
46.200001	86.043	123.2645
46.799999	86.026	119.9732
47.500000	85.998	116.1952
48.200001	85.972	112.4799
48.700001	85.956	109.8249
49.400002	85.929	106.0865
50.000000	85.899	102.8967
50.799999	85.861	98.6853
51.500000	85.833	94.9858
52.200001	85.802	91.2840
53.000000	85.775	87.0925
53.799999	85.764	82.7921
54.500000	85.728	78.9305
55.200001	85.657	75.2630
56.000000	85.593	71.4719
57.000000	85.587	66.7886
58.000000	85.582	61.8765
59.000000	85.557	56.9795
60.000000	85.523	52.0841
60.799999	85.488	48.1825
61.500000	85.456	44.7794
62.200001	85.423	41.3831
63.000000	85.384	37.5272
64.000000	85.340	32.7274
65.000000	85.296	27.9475
66.000000	85.253	23.2226
67.000000	85.211	18.5240
68.000000	85.167	13.8446
69.000000	85.120	9.1938
70.000000	85.073	4.5767
71.000000	85.028	-0.0065
72.000000	84.987	-4.5721
73.000000	84.948	-9.1370
74.000000	84.906	-13.6828
75.000000	84.864	-18.1918
76.199997	84.814	-23.5781
77.500000	84.759	-29.3870
78.800003	84.704	-35.1743
80.000000	84.651	-40.4863
81.199997	84.597	-45.7567
82.500000	84.539	-51.4285
83.800003	84.482	-57.0687
85.000000	84.429	-62.2466
86.199997	84.377	-67.3915
87.500000	84.323	-72.9343
88.500000	84.281	-77.1774
90.000000	84.217	-83.5045
91.199997	84.165	-88.5505
92.500000	84.106	-94.0039
93.800003	84.049	-99.4012
95.000000	84.007	-104.3616
96.199997	83.968	-109.3262
97.500000	83.925	-114.6810
98.800003	83.879	-120.0119
100.000000	83.833	-124.9189
101.500000	83.773	-131.0330
103.000000	83.714	-137.1428
104.400002	83.659	-142.8323
106.000000	83.598	-149.2827
107.500000	83.542	-155.2594
109.000000	83.488	-161.1921
110.599998	83.430	-167.4926
112.000000	83.380	-173.0112
113.800003	83.314	179.8727
115.000000	83.268	175.1493
117.199997	83.189	166.5590
118.000000	83.161	163.4514
120.599998	83.073	153.4089
122.000000	83.025	148.0422
124.099998	82.956	140.0319
125.000000	82.927	136.6107
126.500000	82.879	130.9213
128.000000	82.831	125.2365
131.500000	82.722	112.0464
132.000000	82.707	110.1755
134.000000	82.645	102.7345
136.000000	82.577	95.3458
138.000000	82.506	87.9280
140.000000	82.439	80.4500
143.000000	82.361	69.3596
145.000000	82.321	62.1169
147.500000	82.255	53.1157
150.000000	82.172	44.1173
152.500000	82.094	35.0898
155.000000	82.029	26.1464
157.500000	81.975	17.2787
160.000000	81.931	8.4067
162.500000	81.881	-0.4489
165.000000	81.821	-9.1796
167.500000	81.758	-17.8986
170.000000	81.701	-26.6682
172.500000	81.646	-35.4316
175.000000	81.589	-44.0679
177.500000	81.529	-52.5861
180.000000	81.476	-61.0721
182.500000	81.423	-69.6338
185.000000	81.360	-78.2261
187.500000	81.305	-86.7798
190.000000	81.263	-95.3049
192.500000	81.220	-103.7595
195.000000	81.167	-112.1579
197.500000	81.112	-120.4796
200.000000	81.065	-128.7332
203.000000	81.013	-138.6287
206.000000	80.966	-148.5691
209.000000	80.917	-158.5012
212.000000	80.862	-168.3494
214.000000	80.828	-174.9034
218.000000	80.749	172.0547
220.000000	80.707	165.6360
224.000000	80.656	152.7579
227.000000	80.617	143.0234
230.000000	80.567	133.3247
233.000000	80.526	123.7219
236.000000	80.513	114.2791
240.000000	80.513	101.6182
243.000000	80.501	92.0437
247.000000	80.462	79.3179
250.000000	80.425	69.8042
254.000000	80.377	57.2211
258.000000	80.319	44.7372
262.000000	80.259	32.2456
265.000000	80.220	22.8995
269.000000	80.176	10.5194
272.000000	80.146	1.2969
276.000000	80.107	-10.9111
280.000000	80.066	-23.0889
285.000000	80.012	-38.3154
290.000000	79.957	-53.5215
295.000000	79.907	-68.6173
300.000000	79.862	-83.5825
304.000000	79.826	-95.4838
307.000000	79.801	-104.3928
311.000000	79.770	-116.2292
315.000000	79.735	-128.0089
320.000000	79.691	-142.7375
325.000000	79.651	-157.4456
330.000000	79.619	-172.0740
335.000000	79.588	173.3862
340.000000	79.553	158.9050
345.000000	79.515	144.4873
350.000000	79.476	130.1470
355.000000	79.440	115.8424
360.000000	79.408	101.5562
365.000000	79.378	87.3229
370.000000	79.349	73.1781
375.000000	79.319	59.1132
382.000000	79.278	39.5228
387.000000	79.247	25.6071
395.000000	79.190	3.4028
400.000000	79.154	-10.4014
406.000000	79.110	-26.8353
412.000000	79.074	-43.0901
418.000000	79.063	-59.2097
425.000000	79.085	-78.0443
431.000000	79.101	-94.2737
437.000000	79.104	-110.5571
444.000000	79.094	-129.5444
450.000000	79.078	-145.7301
455.000000	79.063	-159.1451
462.000000	79.040	-177.7941
468.000000	79.018	166.3124
475.000000	78.994	147.8843
482.000000	78.967	129.5551
487.000000	78.947	116.4855
494.000000	78.923	98.2306
500.000000	78.906	82.6710
508.000000	78.886	62.0480
515.000000	78.871	44.1057
522.000000	78.857	26.2537
530.000000	78.842	5.9625
538.000000	78.825	-14.2593
545.000000	78.808	-31.9204
552.000000	78.795	-49.5311
560.000000	78.783	-69.5659
570.000000	78.768	-94.4624
580.000000	78.754	-119.2002
590.000000	78.741	-143.7585
600.000000	78.728	-168.1946
608.000000	78.718	172.3210
615.000000	78.710	155.3357
622.000000	78.704	138.4236
630.000000	78.699	119.1836
640.000000	78.695	95.2568
650.000000	78.693	71.5049
660.000000	78.690	47.8979
670.000000	78.687	24.3679
680.000000	78.686	0.9221
690.000000	78.691	-22.3960
700.000000	78.700	-45.5879
710.000000	78.710	-68.6824
720.000000	78.718	-91.6528
730.000000	78.726	-114.4839
740.000000	78.734	-137.1885
750.000000	78.748	-159.8291
762.000000	78.771	173.1345
775.000000	78.794	144.1021
788.000000	78.824	115.2090
800.000000	78.858	88.6746
812.000000	78.892	62.2859
825.000000	78.926	33.8730
838.000000	78.967	5.5652
850.000000	79.012	-20.4409
862.000000	79.059	-46.2539
875.000000	79.114	-74.0640
885.000000	79.161	-95.3735
900.000000	79.239	-127.1953
912.000000	79.303	-152.5168
925.000000	79.370	-179.8403
938.000000	79.444	152.9165
950.000000	79.519	127.8848
962.000000	79.598	102.9946
975.000000	79.689	76.1807
988.000000	79.783	49.4788
1000.000000	79.872	24.9021
1015.000000	79.984	-5.7195
1030.000000	80.096	-36.2332
1044.000000	80.204	-64.6277
1060.000000	80.328	-96.9297
1075.000000	80.441	-127.0676
1090.000000	80.558	-157.0522
1106.000000	80.686	171.1033
1120.000000	80.796	143.3511
1138.000000	80.932	107.8438
1150.000000	81.019	84.2493
1172.000000	81.180	41.1973
1180.000000	81.237	25.6204
1206.000000	81.412	-24.7542
1220.000000	81.505	-51.7217
1241.000000	81.647	-92.0027
1250.000000	81.704	-109.2065
1265.000000	81.789	-137.8069
1280.000000	81.860	-166.3359
1315.000000	81.975	127.6826
1320.000000	81.986	118.3608
1340.000000	82.027	81.3713
1360.000000	82.082	44.7383
1380.000000	82.163	8.3513
1400.000000	82.262	-27.8413
1430.000000	82.415	-81.8174
1450.000000	82.514	-117.5708
1475.000000	82.633	-161.9741
1500.000000	82.739	153.9175
1525.000000	82.840	110.0986
1550.000000	82.945	66.5889
1575.000000	83.055	23.4668
1600.000000	83.164	-19.3242
1625.000000	83.263	-61.8442
1650.000000	83.355	-104.1094
1675.000000	83.449	-146.0679
1700.000000	83.546	172.3291
1725.000000	83.642	130.9824
1750.000000	83.742	89.9043
1775.000000	83.847	49.1553
1800.000000	83.953	8.7290
1825.000000	84.054	-31.4399
1850.000000	84.150	-71.3999
1875.000000	84.246	-111.1338
1900.000000	84.346	-150.6279
1925.000000	84.450	170.1323
1950.000000	84.557	131.1309
1975.000000	84.666	92.4160
2000.000000	84.774	53.9810
2030.000000	84.903	8.2095
2060.000000	85.029	-37.2256
2090.000000	85.154	-82.3745
2120.000000	85.278	-127.2773
2140.000000	85.364	-157.0688
2180.000000	85.542	143.7817
2200.000000	85.634	114.4521
2240.000000	85.812	56.2031
2270.000000	85.941	12.8652
2300.000000	86.069	-30.1616
2330.000000	86.203	-72.8364
2360.000000	86.337	-115.2026
2400.000000	86.508	-171.3755
2430.000000	86.636	146.7070
2470.000000	86.809	91.3281
2500.000000	86.938	50.1499
2540.000000	87.104	-4.3311
2580.000000	87.263	-58.4155
2620.000000	87.422	-112.0874
2650.000000	87.533	-152.0850
2690.000000	87.677	154.8633
2720.000000	87.784	115.3994
2760.000000	87.918	63.2295
2800.000000	88.044	11.5161
2850.000000	88.190	-52.4443
2900.000000	88.328	-115.7002
2950.000000	88.447	-178.4043
3000.000000	88.539	119.2412
3040.000000	88.603	69.7739
3070.000000	88.647	33.0098
3110.000000	88.695	-15.5938
3150.000000	88.732	-63.7988
3200.000000	88.770	-123.4023
3250.000000	88.795	177.6895
3300.000000	88.798	119.3110
3350.000000	88.781	61.4668
3400.000000	88.746	4.2588
3450.000000	88.697	-52.3223
3500.000000	88.641	-108.1426
3550.000000	88.576	-163.2549
3600.000000	88.501	142.2646
3650.000000	88.416	88.4097
3700.000000	88.319	35.1406
3750.000000	88.210	-17.5908
3820.000000	88.051	-90.4326
3870.000000	87.939	-141.6938
3950.000000	87.767	137.4268
4000.000000	87.655	87.5103
4060.000000	87.525	28.2534
4120.000000	87.412	-29.8691
4180.000000	87.294	-87.2480
4250.000000	87.146	-153.5469
4310.000000	87.023	150.5156
4370.000000	86.910	95.6030
4440.000000	86.769	32.3525
4500.000000	86.641	-21.3516
4550.000000	86.534	-65.5801
4620.000000	86.390	-126.5776
4680.000000	86.265	-178.1636
4750.000000	86.128	122.3999
4820.000000	86.006	63.8975
4870.000000	85.930	22.6807
4940.000000	85.840	-34.2002
5000.000000	85.778	-82.2329
5080.000000	85.709	-145.4678
5150.000000	85.668	159.8730
5220.000000	85.648	105.9805
5300.000000	85.644	45.2178
5380.000000	85.662	-14.6172
5450.000000	85.693	-66.2656
5520.000000	85.733	-117.3564
5600.000000	85.797	-175.0156
5700.000000	85.905	114.1973
5800.000000	86.023	44.2188
5900.000000	86.122	-24.8975
6000.000000	86.157	-93.0791
6080.000000	86.104	-146.8213
6150.000000	85.981	166.9346
6220.000000	85.781	121.5381
6300.000000	85.461	70.7705
6400.000000	84.955	8.8457
6500.000000	84.419	-51.3711
6600.000000	83.989	-109.9082
6700.000000	83.684	-166.6055
6800.000000	83.400	138.1133
6900.000000	83.149	84.3955
7000.000000	82.978	32.3105
7100.000000	82.901	-18.3193
7200.000000	82.900	-68.1270
7300.000000	82.964	-117.4902
7400.000000	83.080	-166.4697
7500.000000	83.251	145.4053
7620.000000	83.503	88.8672
7750.000000	83.801	28.7148
7880.000000	84.077	-30.6250
8000.000000	84.255	-84.9150
8120.000000	84.305	-138.6680
8250.000000	84.164	164.4219
8380.000000	83.788	109.4922
8500.000000	83.207	60.2188
8620.000000	82.439	12.8779
8750.000000	81.451	-35.7148
8850.000000	80.621	-71.2246
9000.000000	79.316	-121.7100
9120.000000	78.250	-159.6826
9250.000000	77.113	162.1436
9380.000000	76.028	127.0029
9500.000000	75.146	97.3008
9620.000000	74.501	70.2715
9750.000000	74.253	43.4316
9880.000000	74.598	17.6953
10000.000000	75.379	-6.5654
10150.000000	76.604	-38.8701
10300.000000	77.637	-73.3213
10440.000000	78.169	-106.2695
10600.000000	78.234	-142.9004
10750.000000	77.919	-174.5391
10900.000000	77.422	157.1426
11060.000000	76.830	130.2832
11200.000000	76.331	109.2607
11380.000000	75.768	84.9805
11500.000000	75.458	70.3047
11720.000000	75.036	46.6533
11800.000000	74.927	39.1016
12060.000000	74.714	18.3555
12200.000000	74.686	9.4219
12410.000000	74.764	-1.4141
12500.000000	74.843	-5.1895
12650.000000	75.039	-10.4082
12800.000000	75.313	-14.4004
13150.000000	76.263	-18.9307
13200.000000	76.441	-18.9453
13400.000000	77.282	-17.4297
13600.000000	78.368	-13.7842
13800.000000	79.758	-8.5586
14000.000000	81.522	-2.5625
14300.000000	84.932	3.7832
14500.000000	87.351	1.9893
14750.000000	89.267	-9.4268
15000.000000	88.823	-21.2969
15250.000000	86.480	-20.0557
15500.000000	83.748	-2.6377
15750.000000	81.543	25.1875
16000.000000	79.983	58.4229
16250.000000	78.919	95.4463
16500.000000	78.228	135.5254
16750.000000	77.819	178.0020
17000.000000	77.638	-137.4688
17250.000000	77.607	-91.9805
17500.000000	77.593	-46.4492
17750.000000	77.417	-1.7148
18000.000000	76.917	42.5254
18250.000000	76.043	89.3398
18500.000000	74.860	141.3975
18750.000000	73.491	-160.6514
19000.000000	71.998	-99.4121
19250.000000	70.300	-36.8008
19500.000000	68.444	35.0977
19750.000000	66.778	117.7549
20000.000000	65.795	174.4902
