* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -2.9 dBFS with no timing reference
* Dated: Mar 12, 2025 9:52:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R EW100P (SBC,Vent,Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.415	-69.9735
20.299999	85.469	-72.5174
20.600000	85.520	-75.0379
20.900000	85.569	-77.5363
21.200001	85.617	-80.0149
21.400000	85.648	-81.6579
21.799999	85.708	-84.9236
22.000000	85.737	-86.5467
22.400000	85.792	-89.7715
22.700001	85.830	-92.1692
23.000000	85.867	-94.5473
23.299999	85.902	-96.9056
23.600000	85.937	-99.2458
24.000000	85.981	-102.3421
24.299999	86.014	-104.6494
24.700001	86.055	-107.7083
25.000000	86.083	-109.9890
25.400000	86.118	-113.0091
25.799999	86.150	-116.0015
26.200001	86.179	-118.9636
26.500000	86.200	-121.1656
26.900000	86.226	-124.0776
27.200001	86.245	-126.2461
27.600000	86.269	-129.1198
28.000000	86.293	-131.9766
28.500000	86.321	-135.5268
29.000000	86.346	-139.0551
29.500000	86.368	-142.5585
30.000000	86.386	-146.0305
30.400000	86.398	-148.7802
30.700001	86.407	-150.8249
31.100000	86.418	-153.5294
31.500000	86.429	-156.2138
32.000000	86.443	-159.5509
32.500000	86.456	-162.8729
33.000000	86.464	-166.1736
33.500000	86.469	-169.4400
34.000000	86.472	-172.6665
34.500000	86.477	-175.8640
35.000000	86.483	-179.0525
35.500000	86.488	177.7562
36.000000	86.488	174.5684
36.500000	86.484	171.4015
37.000000	86.477	168.2675
37.500000	86.471	165.1653
38.200001	86.463	160.8605
38.700001	86.458	157.8056
39.500000	86.450	152.9500
40.000000	86.445	149.9361
40.599998	86.436	146.3461
41.200001	86.426	142.7919
41.799999	86.416	139.2707
42.500000	86.402	135.1891
43.099998	86.388	131.7071
43.700001	86.369	128.2420
44.400002	86.344	124.2247
45.000000	86.319	120.8103
45.500000	86.298	117.9896
46.200001	86.273	114.0668
46.799999	86.257	110.7034
47.500000	86.240	106.7605
48.200001	86.220	102.8228
48.700001	86.203	100.0407
49.400002	86.183	96.2026
50.000000	86.169	92.9412
50.799999	86.148	88.6003
51.500000	86.119	84.8531
52.200001	86.089	81.1708
53.000000	86.052	76.9414
53.799999	85.988	72.7546
54.500000	85.929	69.3087
55.200001	85.915	65.9339
56.000000	85.937	61.7383
57.000000	85.910	56.1069
58.000000	85.838	50.7189
59.000000	85.790	45.5449
60.000000	85.751	40.4385
60.799999	85.722	36.4141
61.500000	85.697	32.9224
62.200001	85.670	29.4566
63.000000	85.638	25.5184
64.000000	85.594	20.6006
65.000000	85.547	15.6763
66.000000	85.495	10.7579
67.000000	85.442	5.8845
68.000000	85.393	1.0651
69.000000	85.350	-3.7224
70.000000	85.308	-8.4882
71.000000	85.265	-13.2263
72.000000	85.223	-17.9336
73.000000	85.181	-22.6306
74.000000	85.138	-27.3230
75.000000	85.094	-31.9939
76.199997	85.038	-37.5773
77.500000	84.974	-43.5663
78.800003	84.915	-49.4958
80.000000	84.865	-54.9667
81.199997	84.816	-60.4222
82.500000	84.762	-66.3146
83.800003	84.705	-72.1595
85.000000	84.652	-77.5137
86.199997	84.598	-82.8514
87.500000	84.538	-88.6080
88.500000	84.494	-93.0172
90.000000	84.433	-99.6108
91.199997	84.385	-104.8549
92.500000	84.332	-110.4900
93.800003	84.275	-116.0855
95.000000	84.222	-121.2231
96.199997	84.166	-126.3641
97.500000	84.106	-131.9005
98.800003	84.056	-137.4149
100.000000	84.012	-142.5017
101.500000	83.954	-148.8147
103.000000	83.892	-155.0623
104.400002	83.834	-160.8675
106.000000	83.766	-167.5212
107.500000	83.704	-173.7543
109.000000	83.648	-179.9636
110.599998	83.589	173.4596
112.000000	83.536	167.7650
113.800003	83.459	160.5117
115.000000	83.406	155.7149
117.199997	83.316	146.9012
118.000000	83.285	143.6899
120.599998	83.194	133.3311
122.000000	83.151	127.8118
124.099998	83.080	119.5768
125.000000	83.042	116.0825
126.500000	82.978	110.3527
128.000000	82.930	104.7062
131.500000	82.896	91.2651
132.000000	82.891	89.2772
134.000000	82.848	81.3352
136.000000	82.792	73.4755
138.000000	82.727	65.7277
140.000000	82.646	58.0941
143.000000	82.522	46.7607
145.000000	82.453	39.1430
147.500000	82.363	29.9136
150.000000	82.320	21.1066
152.500000	82.301	11.9556
155.000000	82.265	2.4080
157.500000	82.204	-7.0884
160.000000	82.135	-16.4209
162.500000	82.069	-25.6692
165.000000	82.012	-34.8321
167.500000	81.959	-43.8690
170.000000	81.899	-52.9138
172.500000	81.833	-61.9269
175.000000	81.773	-70.9215
177.500000	81.707	-79.8891
180.000000	81.648	-88.7838
182.500000	81.607	-97.6706
185.000000	81.562	-106.5216
187.500000	81.507	-115.2560
190.000000	81.448	-123.9459
192.500000	81.392	-132.6484
195.000000	81.335	-141.3344
197.500000	81.278	-149.9684
200.000000	81.226	-158.6024
203.000000	81.166	-168.9310
206.000000	81.111	-179.1338
209.000000	81.062	170.7876
212.000000	81.025	160.7295
214.000000	81.008	153.9996
218.000000	80.978	140.4856
220.000000	80.957	133.7095
224.000000	80.893	120.1552
227.000000	80.842	110.0728
230.000000	80.802	100.0671
233.000000	80.768	90.0981
236.000000	80.726	80.1658
240.000000	80.658	67.0271
243.000000	80.608	57.1925
247.000000	80.550	44.1003
250.000000	80.512	34.3101
254.000000	80.463	21.3417
258.000000	80.416	8.4651
262.000000	80.369	-4.3359
265.000000	80.334	-13.9138
269.000000	80.287	-26.6621
272.000000	80.252	-36.2019
276.000000	80.206	-48.8966
280.000000	80.164	-61.5564
285.000000	80.117	-77.2845
290.000000	80.073	-92.8939
295.000000	80.027	-108.4418
300.000000	79.977	-123.9198
304.000000	79.938	-136.2971
307.000000	79.914	-145.5500
311.000000	79.884	-157.8265
315.000000	79.855	-170.0245
320.000000	79.817	174.8156
325.000000	79.775	159.6687
330.000000	79.735	144.5724
335.000000	79.696	129.5339
340.000000	79.661	114.5411
345.000000	79.628	99.6366
350.000000	79.596	84.8116
355.000000	79.567	70.0466
360.000000	79.537	55.3560
365.000000	79.504	40.7358
370.000000	79.468	26.1411
375.000000	79.438	11.5695
382.000000	79.405	-8.7277
387.000000	79.385	-23.1345
395.000000	79.355	-46.0811
400.000000	79.337	-60.3615
406.000000	79.311	-77.4299
412.000000	79.282	-94.4585
418.000000	79.254	-111.4502
425.000000	79.227	-131.1797
431.000000	79.205	-147.9795
437.000000	79.183	-164.6860
444.000000	79.158	175.9395
450.000000	79.134	159.4114
455.000000	79.112	145.6737
462.000000	79.084	126.5022
468.000000	79.064	110.1155
475.000000	79.047	91.0975
482.000000	79.034	72.1708
487.000000	79.026	58.6866
494.000000	79.013	39.8986
500.000000	79.000	23.8658
508.000000	78.979	2.5557
515.000000	78.959	-16.0215
522.000000	78.943	-34.5425
530.000000	78.929	-55.5936
538.000000	78.917	-76.5024
545.000000	78.906	-94.7075
552.000000	78.895	-112.8218
560.000000	78.882	-133.4407
570.000000	78.863	-159.1265
580.000000	78.846	175.3022
590.000000	78.835	149.9058
600.000000	78.827	124.6609
608.000000	78.823	104.5796
615.000000	78.819	87.1030
622.000000	78.813	69.7073
630.000000	78.807	49.8838
640.000000	78.798	25.1416
650.000000	78.794	0.5437
660.000000	78.796	-23.8789
670.000000	78.802	-48.1814
680.000000	78.809	-72.3528
690.000000	78.814	-96.3853
700.000000	78.818	-120.3013
710.000000	78.823	-144.1548
720.000000	78.831	-167.9075
730.000000	78.841	168.5103
740.000000	78.855	145.0610
750.000000	78.875	121.7178
762.000000	78.900	93.8755
775.000000	78.927	63.9001
788.000000	78.954	34.0444
800.000000	78.981	6.5728
812.000000	79.012	-20.7036
825.000000	79.051	-50.0576
838.000000	79.101	-79.2402
850.000000	79.153	-105.9919
862.000000	79.204	-132.6011
875.000000	79.258	-161.3252
885.000000	79.304	176.6423
900.000000	79.379	143.7568
912.000000	79.442	117.6155
925.000000	79.519	89.4463
938.000000	79.601	61.4268
950.000000	79.682	35.6868
962.000000	79.764	10.0400
975.000000	79.852	-17.6687
988.000000	79.941	-45.3157
1000.000000	80.026	-70.7454
1015.000000	80.132	-102.3853
1030.000000	80.246	-133.8469
1044.000000	80.358	-163.0396
1060.000000	80.489	163.7515
1075.000000	80.611	132.7571
1090.000000	80.730	101.8562
1106.000000	80.856	68.9888
1120.000000	80.964	40.3486
1138.000000	81.099	3.6899
1150.000000	81.189	-20.6282
1172.000000	81.357	-64.9998
1180.000000	81.417	-81.0713
1206.000000	81.578	-133.1074
