* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 9:53:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L EW300 (Gold nozzle, Velvet
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.683	-177.6980
20.600000	91.687	-178.0093
20.900000	91.688	-178.3672
21.200001	91.687	-178.7225
21.400000	91.686	-178.9550
21.799999	91.682	-179.4050
22.000000	91.679	-179.6251
22.400000	91.669	179.9020
22.700001	91.658	179.5614
23.000000	91.646	179.2289
23.299999	91.632	178.8615
23.600000	91.618	178.4996
24.000000	91.599	178.0280
24.299999	91.584	177.6386
24.700001	91.563	177.1308
25.000000	91.547	176.7644
25.400000	91.529	176.2487
25.799999	91.513	175.7569
26.200001	91.500	175.2728
26.500000	91.492	174.9095
26.900000	91.482	174.4343
27.200001	91.474	174.0871
27.600000	91.465	173.6392
28.000000	91.455	173.2108
28.500000	91.442	172.7151
29.000000	91.428	172.2373
29.500000	91.411	171.7778
30.000000	91.392	171.3339
30.400000	91.377	170.9951
30.700001	91.364	170.7558
31.100000	91.346	170.4503
31.500000	91.326	170.1438
32.000000	91.299	169.7668
32.500000	91.271	169.3537
33.000000	91.240	168.9402
33.500000	91.208	168.5101
34.000000	91.177	168.0979
34.500000	91.148	167.6864
35.000000	91.119	167.2841
35.500000	91.090	166.8749
36.000000	91.062	166.4706
36.500000	91.036	166.0820
37.000000	91.013	165.7177
37.500000	90.989	165.3794
38.200001	90.951	164.9166
38.700001	90.922	164.5861
39.500000	90.879	164.0671
40.000000	90.852	163.7655
40.599998	90.818	163.4172
41.200001	90.780	163.0739
41.799999	90.741	162.7180
42.500000	90.695	162.2967
43.099998	90.657	161.9502
43.700001	90.621	161.6073
44.400002	90.577	161.1933
45.000000	90.537	160.8260
45.500000	90.505	160.5320
46.200001	90.465	160.1682
46.799999	90.432	159.8881
47.500000	90.391	159.5574
48.200001	90.349	159.2147
48.700001	90.319	158.9725
49.400002	90.276	158.6425
50.000000	90.237	158.3684
50.799999	90.185	158.0063
51.500000	90.141	157.6972
52.200001	90.097	157.3962
53.000000	90.046	157.0500
53.799999	89.996	156.7010
54.500000	89.954	156.4200
55.200001	89.914	156.1558
56.000000	89.865	155.8462
57.000000	89.795	155.4661
58.000000	89.730	155.0950
59.000000	89.666	154.8204
60.000000	89.602	154.6035
60.799999	89.555	154.2768
61.500000	89.514	153.9439
62.200001	89.471	153.6779
63.000000	89.422	153.4297
64.000000	89.361	153.1083
65.000000	89.300	152.7986
66.000000	89.238	152.4972
67.000000	89.176	152.2128
68.000000	89.115	151.9396
69.000000	89.055	151.6771
70.000000	88.994	151.4227
71.000000	88.934	151.1678
72.000000	88.873	150.9201
73.000000	88.814	150.6785
74.000000	88.755	150.4431
75.000000	88.697	150.2160
76.199997	88.626	149.9625
77.500000	88.547	149.6936
78.800003	88.473	149.4303
80.000000	88.404	149.2093
81.199997	88.335	148.9982
82.500000	88.261	148.7598
83.800003	88.187	148.5183
85.000000	88.118	148.3145
86.199997	88.051	148.1235
87.500000	87.979	147.9238
88.500000	87.923	147.7710
90.000000	87.841	147.5545
91.199997	87.778	147.3876
92.500000	87.707	147.2213
93.800003	87.634	147.0632
95.000000	87.568	146.9095
96.199997	87.504	146.7589
97.500000	87.436	146.6128
98.800003	87.366	146.4736
100.000000	87.304	146.3534
101.500000	87.228	146.2093
103.000000	87.151	146.0681
104.400002	87.079	145.9557
106.000000	86.998	145.8329
107.500000	86.921	145.7242
109.000000	86.845	145.6155
110.599998	86.769	145.4806
112.000000	86.701	145.3716
113.800003	86.613	145.2537
115.000000	86.554	145.1813
117.199997	86.448	145.0530
118.000000	86.409	145.0051
120.599998	86.281	144.9105
122.000000	86.215	144.8574
124.099998	86.113	144.7674
125.000000	86.067	144.7499
126.500000	85.990	144.7380
128.000000	85.911	144.7382
131.500000	85.719	144.9207
132.000000	85.693	144.9828
134.000000	85.607	145.2948
136.000000	85.563	145.6111
138.000000	85.537	145.7522
140.000000	85.494	145.6870
143.000000	85.394	145.5372
145.000000	85.324	145.5393
147.500000	85.245	145.5641
150.000000	85.171	145.5386
152.500000	85.091	145.5047
155.000000	85.008	145.4105
157.500000	84.925	145.3726
160.000000	84.842	145.3683
162.500000	84.755	145.3575
165.000000	84.666	145.3842
167.500000	84.578	145.4515
170.000000	84.494	145.5408
172.500000	84.413	145.6428
175.000000	84.336	145.7697
177.500000	84.265	145.8779
180.000000	84.201	145.9447
182.500000	84.134	146.0383
185.000000	84.061	146.1304
187.500000	83.989	146.1929
190.000000	83.918	146.2706
192.500000	83.849	146.3613
195.000000	83.781	146.4636
197.500000	83.714	146.5676
200.000000	83.649	146.6677
203.000000	83.573	146.7761
206.000000	83.498	146.8866
209.000000	83.422	147.0527
212.000000	83.343	147.2054
214.000000	83.289	147.2872
218.000000	83.186	147.4984
220.000000	83.141	147.6187
224.000000	83.053	147.8647
227.000000	82.985	148.0394
230.000000	82.919	148.1960
233.000000	82.855	148.3535
236.000000	82.788	148.5174
240.000000	82.700	148.7504
243.000000	82.637	148.9341
247.000000	82.555	149.1708
250.000000	82.492	149.3483
254.000000	82.410	149.6044
258.000000	82.331	149.8747
262.000000	82.257	150.1710
265.000000	82.203	150.3878
269.000000	82.134	150.6630
272.000000	82.083	150.8467
276.000000	82.015	151.0919
280.000000	81.945	151.3513
285.000000	81.863	151.7166
290.000000	81.788	152.0930
295.000000	81.714	152.4305
300.000000	81.639	152.7460
304.000000	81.581	153.0192
307.000000	81.538	153.2261
311.000000	81.482	153.4999
315.000000	81.425	153.7673
320.000000	81.356	154.1042
325.000000	81.289	154.4471
330.000000	81.223	154.7957
335.000000	81.158	155.1505
340.000000	81.097	155.5030
345.000000	81.040	155.8632
350.000000	80.983	156.2187
355.000000	80.927	156.5664
360.000000	80.872	156.9038
365.000000	80.818	157.2448
370.000000	80.766	157.5907
375.000000	80.714	157.9379
382.000000	80.642	158.4301
387.000000	80.593	158.7840
395.000000	80.520	159.3288
400.000000	80.478	159.6649
406.000000	80.427	160.0691
412.000000	80.375	160.4728
418.000000	80.325	160.8772
425.000000	80.269	161.3441
431.000000	80.222	161.7438
437.000000	80.177	162.1425
444.000000	80.125	162.6057
450.000000	80.082	162.9982
455.000000	80.047	163.3288
462.000000	79.999	163.7997
468.000000	79.960	164.2016
475.000000	79.916	164.6657
482.000000	79.873	165.1257
487.000000	79.844	165.4530
494.000000	79.803	165.9125
500.000000	79.770	166.3027
508.000000	79.727	166.8205
515.000000	79.690	167.2743
522.000000	79.654	167.7336
530.000000	79.616	168.2532
538.000000	79.577	168.7669
545.000000	79.545	169.2192
552.000000	79.513	169.6701
560.000000	79.479	170.1838
570.000000	79.438	170.8286
580.000000	79.400	171.4698
590.000000	79.365	172.1063
600.000000	79.330	172.7425
608.000000	79.304	173.2514
615.000000	79.282	173.6951
622.000000	79.262	174.1404
630.000000	79.238	174.6519
640.000000	79.210	175.2891
650.000000	79.184	175.9265
660.000000	79.159	176.5645
670.000000	79.137	177.2032
680.000000	79.118	177.8409
690.000000	79.102	178.4816
700.000000	79.088	179.1256
710.000000	79.074	179.7645
720.000000	79.062	-179.5903
