* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 9:47:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R EW300 (Gold nozzle, Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.303	179.1239
20.600000	93.304	178.8002
20.900000	93.302	178.4236
21.200001	93.297	178.0482
21.400000	93.293	177.8040
21.799999	93.285	177.3391
22.000000	93.279	177.1158
22.400000	93.264	176.6420
22.700001	93.250	176.3017
23.000000	93.234	175.9684
23.299999	93.217	175.5997
23.600000	93.199	175.2378
24.000000	93.176	174.7705
24.299999	93.158	174.3868
24.700001	93.134	173.8846
25.000000	93.115	173.5166
25.400000	93.092	172.9883
25.799999	93.071	172.4767
26.200001	93.052	171.9754
26.500000	93.040	171.6058
26.900000	93.023	171.1313
27.200001	93.012	170.7879
27.600000	92.996	170.3419
28.000000	92.981	169.9081
28.500000	92.964	169.4013
29.000000	92.947	168.9221
29.500000	92.927	168.4771
30.000000	92.904	168.0511
30.400000	92.884	167.7172
30.700001	92.869	167.4731
31.100000	92.846	167.1520
31.500000	92.822	166.8264
32.000000	92.788	166.4323
32.500000	92.753	166.0177
33.000000	92.718	165.6172
33.500000	92.682	165.2047
34.000000	92.647	164.8018
34.500000	92.612	164.3840
35.000000	92.579	163.9669
35.500000	92.548	163.5505
36.000000	92.518	163.1568
36.500000	92.488	162.7888
37.000000	92.457	162.4378
37.500000	92.426	162.0961
38.200001	92.385	161.6161
38.700001	92.357	161.2791
39.500000	92.307	160.7554
40.000000	92.272	160.4456
40.599998	92.230	160.0859
41.200001	92.190	159.7363
41.799999	92.148	159.3781
42.500000	92.096	158.9590
43.099998	92.053	158.6209
43.700001	92.012	158.2845
44.400002	91.965	157.8645
45.000000	91.922	157.4905
45.500000	91.885	157.1997
46.200001	91.839	156.8478
46.799999	91.802	156.5695
47.500000	91.757	156.2328
48.200001	91.709	155.8915
48.700001	91.675	155.6532
49.400002	91.626	155.3193
50.000000	91.584	155.0338
50.799999	91.529	154.6694
51.500000	91.481	154.3713
52.200001	91.431	154.0743
53.000000	91.374	153.7322
53.799999	91.321	153.3955
54.500000	91.275	153.1116
55.200001	91.227	152.8482
56.000000	91.171	152.5618
57.000000	91.102	152.1871
58.000000	91.030	151.8185
59.000000	90.960	151.3721
60.000000	90.899	150.9020
60.799999	90.846	150.6858
61.500000	90.796	150.5529
62.200001	90.747	150.3702
63.000000	90.691	150.1176
64.000000	90.623	149.8215
65.000000	90.556	149.5242
66.000000	90.488	149.2248
67.000000	90.421	148.9403
68.000000	90.356	148.6699
69.000000	90.291	148.4066
70.000000	90.226	148.1592
71.000000	90.161	147.9245
72.000000	90.096	147.6837
73.000000	90.030	147.4426
74.000000	89.967	147.2113
75.000000	89.905	146.9910
76.199997	89.829	146.7228
77.500000	89.746	146.4466
78.800003	89.664	146.1996
80.000000	89.590	145.9755
81.199997	89.517	145.7525
82.500000	89.437	145.5208
83.800003	89.359	145.3059
85.000000	89.287	145.1137
86.199997	89.214	144.9254
87.500000	89.135	144.7219
88.500000	89.075	144.5671
90.000000	88.988	144.3590
91.199997	88.920	144.1990
