* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 17, 2025 6:44:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L EW300 (3.5, Kato, Spring)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.228	-179.4376
20.600000	92.229	-179.7482
20.900000	92.228	179.8975
21.200001	92.224	179.5506
21.400000	92.221	179.3267
21.799999	92.214	178.9000
22.000000	92.209	178.6940
22.400000	92.197	178.2531
22.700001	92.186	177.9384
23.000000	92.174	177.6330
23.299999	92.160	177.2936
23.600000	92.144	176.9602
24.000000	92.121	176.5264
24.299999	92.102	176.1641
24.700001	92.075	175.6886
25.000000	92.055	175.3423
25.400000	92.033	174.8473
25.799999	92.013	174.3718
26.200001	91.997	173.9044
26.500000	91.986	173.5565
26.900000	91.972	173.1064
27.200001	91.962	172.7801
27.600000	91.950	172.3591
28.000000	91.938	171.9550
28.500000	91.923	171.4908
29.000000	91.907	171.0555
29.500000	91.889	170.6514
30.000000	91.869	170.2612
30.400000	91.850	169.9508
30.700001	91.835	169.7211
31.100000	91.813	169.4164
31.500000	91.790	169.1069
32.000000	91.761	168.7390
32.500000	91.732	168.3594
33.000000	91.702	167.9959
33.500000	91.668	167.6131
34.000000	91.634	167.2326
34.500000	91.601	166.8416
35.000000	91.570	166.4656
35.500000	91.542	166.0992
36.000000	91.513	165.7452
36.500000	91.486	165.3941
37.000000	91.462	165.0439
37.500000	91.438	164.7059
38.200001	91.403	164.2547
38.700001	91.373	163.9485
39.500000	91.325	163.4770
40.000000	91.296	163.2026
40.599998	91.260	162.8837
41.200001	91.221	162.5622
41.799999	91.182	162.2182
42.500000	91.138	161.8105
43.099998	91.100	161.4877
43.700001	91.061	161.1817
44.400002	91.018	160.8234
45.000000	90.984	160.5068
45.500000	90.955	160.2458
46.200001	90.910	159.9017
46.799999	90.870	159.6216
47.500000	90.826	159.2950
48.200001	90.782	158.9675
48.700001	90.751	158.7390
49.400002	90.707	158.4311
50.000000	90.670	158.1802
50.799999	90.620	157.8523
51.500000	90.576	157.5695
52.200001	90.532	157.2885
53.000000	90.481	156.9691
53.799999	90.431	156.6565
54.500000	90.388	156.3974
55.200001	90.342	156.1417
56.000000	90.290	155.8381
57.000000	90.230	155.4575
58.000000	90.161	155.1094
59.000000	90.121	154.8421
60.000000	90.093	154.5895
60.799999	90.028	154.3095
61.500000	89.961	154.0488
62.200001	89.909	153.8242
63.000000	89.860	153.5987
64.000000	89.797	153.3139
65.000000	89.736	153.0364
66.000000	89.675	152.7664
67.000000	89.615	152.4975
68.000000	89.554	152.2362
69.000000	89.492	151.9825
70.000000	89.433	151.7387
71.000000	89.373	151.5048
72.000000	89.314	151.2728
73.000000	89.255	151.0558
74.000000	89.196	150.8503
75.000000	89.136	150.6464
76.199997	89.061	150.4183
77.500000	88.983	150.1708
78.800003	88.908	149.9230
80.000000	88.840	149.7092
81.199997	88.771	149.5046
82.500000	88.696	149.2832
83.800003	88.621	149.0853
85.000000	88.553	148.9145
86.199997	88.484	148.7484
87.500000	88.409	148.5707
88.500000	88.351	148.4323
90.000000	88.268	148.2421
91.199997	88.200	148.1039
92.500000	88.127	147.9869
93.800003	88.054	147.8969
95.000000	87.988	147.8015
96.199997	87.923	147.6917
97.500000	87.855	147.5762
98.800003	87.789	147.4810
100.000000	87.728	147.4002
101.500000	87.651	147.2942
103.000000	87.574	147.2028
104.400002	87.502	147.1136
106.000000	87.418	147.0031
107.500000	87.336	146.9077
109.000000	87.254	146.8401
110.599998	87.161	146.8203
112.000000	87.076	146.8569
113.800003	86.965	147.0085
115.000000	86.899	147.2011
117.199997	86.819	147.6884
118.000000	86.807	147.8547
120.599998	86.805	148.0535
122.000000	86.800	147.9330
124.099998	86.766	147.5895
125.000000	86.742	147.4303
126.500000	86.692	147.1985
128.000000	86.634	147.0233
131.500000	86.486	146.6916
132.000000	86.465	146.6528
134.000000	86.377	146.5270
136.000000	86.288	146.4518
138.000000	86.205	146.4415
140.000000	86.126	146.4775
143.000000	86.005	146.4478
145.000000	85.925	146.4173
147.500000	85.829	146.4091
150.000000	85.731	146.4379
152.500000	85.631	146.5251
155.000000	85.541	146.6404
157.500000	85.462	146.7406
160.000000	85.382	146.8385
162.500000	85.302	146.9368
165.000000	85.223	147.0225
167.500000	85.147	147.1133
170.000000	85.072	147.2235
172.500000	85.002	147.3333
175.000000	84.932	147.4307
177.500000	84.861	147.5247
180.000000	84.791	147.6194
182.500000	84.720	147.7147
185.000000	84.649	147.8185
187.500000	84.585	147.9077
190.000000	84.522	147.9948
192.500000	84.455	148.0904
195.000000	84.388	148.2140
197.500000	84.319	148.3669
200.000000	84.248	148.5077
203.000000	84.170	148.6604
206.000000	84.105	148.8028
209.000000	84.044	148.9078
212.000000	83.963	149.0949
214.000000	83.907	149.2632
218.000000	83.820	149.4696
220.000000	83.780	149.5453
224.000000	83.693	149.7850
227.000000	83.624	149.9599
230.000000	83.556	150.1483
233.000000	83.492	150.3562
236.000000	83.429	150.5597
240.000000	83.348	150.8205
243.000000	83.289	151.0242
247.000000	83.215	151.3034
250.000000	83.159	151.5177
254.000000	83.086	151.8096
258.000000	83.018	152.0819
262.000000	82.951	152.3477
265.000000	82.900	152.5415
269.000000	82.830	152.8069
272.000000	82.778	153.0176
276.000000	82.713	153.3201
280.000000	82.650	153.6019
285.000000	82.570	153.9512
290.000000	82.494	154.3349
295.000000	82.425	154.7037
300.000000	82.357	155.0630
304.000000	82.304	155.3434
307.000000	82.265	155.5574
311.000000	82.212	155.8476
315.000000	82.160	156.1339
320.000000	82.098	156.4905
325.000000	82.038	156.8497
330.000000	81.979	157.2131
335.000000	81.920	157.5786
340.000000	81.864	157.9466
345.000000	81.809	158.3192
350.000000	81.755	158.6818
355.000000	81.702	159.0450
360.000000	81.651	159.4065
365.000000	81.603	159.7691
370.000000	81.555	160.1440
