* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 17, 2025 6:42:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R EW300 (3.5, Kato, Spring)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.098	175.8982
20.600000	94.094	175.5907
20.900000	94.087	175.2373
21.200001	94.079	174.8889
21.400000	94.073	174.6630
21.799999	94.061	174.2316
22.000000	94.054	174.0229
22.400000	94.034	173.5752
22.700001	94.015	173.2536
23.000000	93.994	172.9400
23.299999	93.972	172.5926
23.600000	93.950	172.2536
24.000000	93.921	171.8192
24.299999	93.899	171.4621
24.700001	93.869	170.9982
25.000000	93.848	170.6604
25.400000	93.820	170.1730
25.799999	93.795	169.6994
26.200001	93.772	169.2307
26.500000	93.755	168.8820
26.900000	93.734	168.4325
27.200001	93.719	168.1074
27.600000	93.699	167.6871
28.000000	93.681	167.2802
28.500000	93.660	166.8060
29.000000	93.639	166.3554
29.500000	93.615	165.9357
30.000000	93.588	165.5356
30.400000	93.564	165.2249
30.700001	93.545	164.9998
31.100000	93.518	164.7053
31.500000	93.490	164.4062
32.000000	93.454	164.0432
32.500000	93.416	163.6570
33.000000	93.376	163.2837
33.500000	93.337	162.8993
34.000000	93.298	162.5255
34.500000	93.261	162.1379
35.000000	93.225	161.7530
35.500000	93.190	161.3709
36.000000	93.156	161.0090
36.500000	93.123	160.6614
37.000000	93.089	160.3141
37.500000	93.056	159.9670
38.200001	93.010	159.4985
38.700001	92.977	159.1996
39.500000	92.922	158.7609
40.000000	92.886	158.4896
40.599998	92.844	158.1541
41.200001	92.800	157.8260
41.799999	92.755	157.5020
42.500000	92.701	157.1234
43.099998	92.656	156.8036
43.700001	92.611	156.4775
44.400002	92.559	156.0812
45.000000	92.515	155.7396
45.500000	92.479	155.4748
46.200001	92.428	155.1472
46.799999	92.385	154.8812
47.500000	92.334	154.5585
48.200001	92.284	154.2369
48.700001	92.249	154.0186
49.400002	92.199	153.7222
50.000000	92.157	153.4716
50.799999	92.098	153.1396
51.500000	92.045	152.8537
52.200001	91.994	152.5696
53.000000	91.936	152.2606
