* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 8, 2025 11:32:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L EW300 (Kato S, Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.536	-176.0200
20.299999	90.546	-176.4210
20.600000	90.553	-176.8058
20.900000	90.557	-177.1699
21.200001	90.557	-177.5183
21.400000	90.556	-177.7402
21.799999	90.552	-178.1571
22.000000	90.549	-178.3586
22.400000	90.540	-178.7871
22.700001	90.531	-179.0959
23.000000	90.522	-179.3967
23.299999	90.511	-179.7305
23.600000	90.500	179.9431
24.000000	90.484	179.5191
24.299999	90.473	179.1670
24.700001	90.457	178.7012
25.000000	90.445	178.3600
25.400000	90.430	177.8740
25.799999	90.415	177.4086
26.200001	90.402	176.9529
26.500000	90.394	176.6137
26.900000	90.385	176.1723
27.200001	90.378	175.8494
27.600000	90.371	175.4278
28.000000	90.363	175.0172
28.500000	90.352	174.5393
29.000000	90.341	174.0846
29.500000	90.328	173.6616
30.000000	90.313	173.2579
30.400000	90.300	172.9426
30.700001	90.289	172.7115
31.100000	90.274	172.4070
31.500000	90.256	172.0973
32.000000	90.232	171.7256
32.500000	90.206	171.3414
33.000000	90.180	170.9678
33.500000	90.154	170.5761
34.000000	90.127	170.1938
34.500000	90.100	169.8065
35.000000	90.074	169.4340
35.500000	90.050	169.0620
36.000000	90.028	168.6960
36.500000	90.008	168.3323
37.000000	89.988	167.9691
37.500000	89.967	167.6106
38.200001	89.935	167.1182
38.700001	89.910	166.7862
39.500000	89.866	166.2946
40.000000	89.839	166.0103
40.599998	89.807	165.6798
41.200001	89.775	165.3586
41.799999	89.745	165.0292
42.500000	89.709	164.6244
43.099998	89.675	164.2763
43.700001	89.640	163.9362
44.400002	89.600	163.5433
45.000000	89.565	163.1958
45.500000	89.534	162.9085
46.200001	89.487	162.5497
46.799999	89.451	162.2869
47.500000	89.418	161.9740
48.200001	89.387	161.6213
48.700001	89.361	161.3710
49.400002	89.323	161.0546
50.000000	89.294	160.8027
50.799999	89.252	160.4774
51.500000	89.215	160.2315
52.200001	89.180	159.9915
53.000000	89.129	159.7226
53.799999	89.073	159.6136
54.500000	89.054	159.5655
55.200001	89.053	159.2795
56.000000	89.014	158.7012
57.000000	88.914	158.1707
58.000000	88.835	157.8427
59.000000	88.770	157.4670
60.000000	88.713	157.1034
60.799999	88.673	156.7920
61.500000	88.637	156.5173
62.200001	88.600	156.2604
63.000000	88.554	155.9970
64.000000	88.497	155.7268
65.000000	88.443	155.4768
66.000000	88.386	155.2050
67.000000	88.327	154.9341
68.000000	88.267	154.6624
69.000000	88.209	154.3953
70.000000	88.153	154.1368
71.000000	88.099	153.8781
72.000000	88.045	153.6294
73.000000	87.992	153.3898
74.000000	87.937	153.1639
75.000000	87.882	152.9614
76.199997	87.817	152.7237
77.500000	87.749	152.4752
78.800003	87.683	152.2148
80.000000	87.620	151.9725
81.199997	87.558	151.7443
82.500000	87.488	151.5059
83.800003	87.417	151.2774
85.000000	87.350	151.0858
86.199997	87.287	150.9102
87.500000	87.221	150.7154
88.500000	87.171	150.5677
90.000000	87.097	150.3470
91.199997	87.035	150.1893
92.500000	86.971	150.0299
93.800003	86.905	149.8559
95.000000	86.844	149.7081
96.199997	86.783	149.5604
97.500000	86.717	149.4156
98.800003	86.654	149.2946
100.000000	86.598	149.1807
101.500000	86.527	149.0429
103.000000	86.456	148.9170
104.400002	86.387	148.7863
106.000000	86.307	148.6421
107.500000	86.233	148.5129
109.000000	86.160	148.3887
110.599998	86.084	148.2794
112.000000	86.020	148.2013
113.800003	85.939	148.1292
115.000000	85.887	148.0755
117.199997	85.792	147.9665
118.000000	85.758	147.9359
120.599998	85.650	147.8190
122.000000	85.588	147.7733
124.099998	85.496	147.7598
125.000000	85.459	147.7467
126.500000	85.397	147.6953
128.000000	85.334	147.6360
131.500000	85.189	147.6033
132.000000	85.171	147.6054
134.000000	85.093	147.5419
136.000000	85.002	147.4698
138.000000	84.914	147.4463
140.000000	84.825	147.4724
143.000000	84.697	147.6913
145.000000	84.611	147.8239
147.500000	84.500	147.9187
150.000000	84.419	148.1808
152.500000	84.373	148.5268
155.000000	84.346	148.8278
157.500000	84.308	148.8695
160.000000	84.251	148.7401
162.500000	84.184	148.5967
165.000000	84.110	148.5174
167.500000	84.031	148.4625
170.000000	83.946	148.4443
172.500000	83.863	148.4861
175.000000	83.780	148.5545
177.500000	83.704	148.6166
180.000000	83.628	148.6619
182.500000	83.555	148.8018
