* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 8, 2025 11:22:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R EW300 (Kato S, Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.271	-179.5656
20.299999	92.276	-179.9360
20.600000	92.281	179.7106
20.900000	92.283	179.3700
21.200001	92.283	179.0330
21.400000	92.282	178.8126
21.799999	92.275	178.3904
22.000000	92.270	178.1848
22.400000	92.255	177.7490
22.700001	92.243	177.4347
23.000000	92.229	177.1261
23.299999	92.213	176.7809
23.600000	92.196	176.4406
24.000000	92.172	175.9997
24.299999	92.154	175.6404
24.700001	92.129	175.1743
25.000000	92.112	174.8374
25.400000	92.092	174.3555
25.799999	92.073	173.8862
26.200001	92.057	173.4177
26.500000	92.046	173.0660
26.900000	92.032	172.6099
27.200001	92.022	172.2793
27.600000	92.010	171.8521
28.000000	91.999	171.4380
28.500000	91.985	170.9550
29.000000	91.969	170.4932
29.500000	91.951	170.0644
30.000000	91.930	169.6590
30.400000	91.912	169.3456
30.700001	91.898	169.1170
31.100000	91.877	168.8151
31.500000	91.855	168.5056
32.000000	91.824	168.1310
32.500000	91.791	167.7449
33.000000	91.759	167.3735
33.500000	91.728	166.9825
34.000000	91.698	166.5886
34.500000	91.668	166.1733
35.000000	91.637	165.7661
35.500000	91.607	165.3658
36.000000	91.578	164.9832
36.500000	91.551	164.6120
37.000000	91.525	164.2512
37.500000	91.498	163.9086
38.200001	91.462	163.4533
38.700001	91.435	163.1398
39.500000	91.389	162.6483
40.000000	91.358	162.3590
40.599998	91.319	162.0258
41.200001	91.281	161.6976
41.799999	91.243	161.3588
42.500000	91.197	160.9587
43.099998	91.158	160.6189
43.700001	91.119	160.2707
44.400002	91.074	159.8683
45.000000	91.035	159.5452
45.500000	91.007	159.2830
46.200001	90.970	158.8971
46.799999	90.934	158.5571
47.500000	90.886	158.2079
48.200001	90.840	157.9171
48.700001	90.811	157.7121
49.400002	90.768	157.4098
50.000000	90.729	157.1539
50.799999	90.675	156.8083
51.500000	90.625	156.4972
52.200001	90.573	156.1999
53.000000	90.516	155.8311
53.799999	90.446	155.4272
54.500000	90.375	155.2065
55.200001	90.327	155.1245
56.000000	90.308	154.9126
57.000000	90.270	154.3754
58.000000	90.205	153.9341
59.000000	90.148	153.5898
60.000000	90.090	153.2527
60.799999	90.042	152.9935
61.500000	89.998	152.7663
62.200001	89.952	152.5490
63.000000	89.899	152.3127
64.000000	89.834	152.0113
65.000000	89.767	151.7118
66.000000	89.702	151.4252
67.000000	89.640	151.1497
68.000000	89.580	150.8877
69.000000	89.522	150.6232
70.000000	89.462	150.3661
71.000000	89.400	150.1265
72.000000	89.338	149.8955
73.000000	89.276	149.6716
74.000000	89.213	149.4467
75.000000	89.151	149.2346
76.199997	89.080	148.9849
77.500000	89.003	148.7078
78.800003	88.925	148.4548
80.000000	88.854	148.2318
81.199997	88.784	148.0121
82.500000	88.708	147.7810
83.800003	88.633	147.5627
85.000000	88.564	147.3686
86.199997	88.497	147.1820
87.500000	88.425	146.9886
88.500000	88.369	146.8439
90.000000	88.285	146.6327
91.199997	88.217	146.4761
92.500000	88.145	146.3192
93.800003	88.074	146.1636
95.000000	88.009	146.0173
96.199997	87.945	145.8737
97.500000	87.877	145.7239
98.800003	87.810	145.5776
100.000000	87.749	145.4511
