* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 9:23:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L EW300 (Silver nozzle, Velve
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.856	-176.4260
20.600000	91.861	-176.7150
20.900000	91.865	-177.0471
21.200001	91.866	-177.3736
21.400000	91.866	-177.5854
21.799999	91.865	-177.9934
22.000000	91.863	-178.1938
22.400000	91.854	-178.6331
22.700001	91.844	-178.9540
23.000000	91.833	-179.2688
23.299999	91.820	-179.6170
23.600000	91.807	-179.9545
24.000000	91.790	179.6171
24.299999	91.777	179.2665
24.700001	91.760	178.8118
25.000000	91.746	178.4802
25.400000	91.730	177.9984
25.799999	91.715	177.5273
26.200001	91.704	177.0592
26.500000	91.696	176.7111
26.900000	91.687	176.2648
27.200001	91.680	175.9441
27.600000	91.671	175.5298
28.000000	91.663	175.1246
28.500000	91.654	174.6428
29.000000	91.645	174.1811
29.500000	91.634	173.7621
30.000000	91.618	173.3793
30.400000	91.604	173.0852
30.700001	91.592	172.8674
31.100000	91.576	172.5729
31.500000	91.558	172.2667
32.000000	91.531	171.8989
32.500000	91.502	171.5192
33.000000	91.472	171.1532
33.500000	91.444	170.7640
34.000000	91.418	170.3776
34.500000	91.392	169.9825
35.000000	91.365	169.5947
35.500000	91.340	169.2000
36.000000	91.317	168.8129
36.500000	91.297	168.4495
37.000000	91.277	168.1193
37.500000	91.254	167.8154
38.200001	91.217	167.3871
38.700001	91.191	167.0743
39.500000	91.154	166.5834
40.000000	91.132	166.2927
40.599998	91.104	165.9483
41.200001	91.070	165.6162
41.799999	91.034	165.2929
42.500000	90.993	164.9216
43.099998	90.961	164.6055
43.700001	90.929	164.2768
44.400002	90.890	163.8718
45.000000	90.858	163.5183
45.500000	90.831	163.2422
46.200001	90.794	162.9038
46.799999	90.761	162.6352
47.500000	90.722	162.3108
48.200001	90.681	161.9843
48.700001	90.652	161.7623
49.400002	90.612	161.4606
50.000000	90.578	161.2044
50.799999	90.533	160.8690
51.500000	90.494	160.5832
52.200001	90.456	160.2847
53.000000	90.413	159.9434
53.799999	90.368	159.6359
54.500000	90.326	159.3736
55.200001	90.284	159.0980
56.000000	90.236	158.7974
57.000000	90.182	158.4581
58.000000	90.127	158.1205
59.000000	90.076	157.6992
60.000000	90.032	157.2556
60.799999	89.983	157.0541
61.500000	89.933	156.9332
62.200001	89.889	156.7570
63.000000	89.843	156.5080
64.000000	89.784	156.2242
65.000000	89.728	155.9396
66.000000	89.672	155.6542
67.000000	89.614	155.3875
68.000000	89.559	155.1236
69.000000	89.506	154.8604
70.000000	89.452	154.6184
71.000000	89.395	154.3843
72.000000	89.338	154.1440
73.000000	89.281	153.9090
74.000000	89.226	153.6816
75.000000	89.170	153.4681
76.199997	89.105	153.2183
77.500000	89.035	152.9626
78.800003	88.966	152.7291
80.000000	88.901	152.5137
81.199997	88.837	152.3123
82.500000	88.769	152.0912
83.800003	88.699	151.8610
85.000000	88.634	151.6667
86.199997	88.573	151.4972
87.500000	88.507	151.3141
88.500000	88.455	151.1655
90.000000	88.378	150.9456
91.199997	88.315	150.7932
92.500000	88.249	150.6308
93.800003	88.187	150.4716
95.000000	88.128	150.3407
96.199997	88.067	150.2224
97.500000	88.004	150.1048
98.800003	87.941	149.9718
100.000000	87.881	149.8418
101.500000	87.806	149.7027
103.000000	87.732	149.5681
104.400002	87.664	149.4494
106.000000	87.586	149.3254
107.500000	87.516	149.2069
109.000000	87.447	149.0978
110.599998	87.371	148.9974
112.000000	87.305	148.9166
113.800003	87.223	148.8155
115.000000	87.167	148.7439
117.199997	87.063	148.6518
118.000000	87.025	148.6264
120.599998	86.904	148.5311
122.000000	86.841	148.4867
124.099998	86.742	148.4274
125.000000	86.698	148.4115
126.500000	86.621	148.3986
128.000000	86.539	148.4187
131.500000	86.348	148.7145
132.000000	86.322	148.7986
134.000000	86.237	149.2119
136.000000	86.197	149.5618
138.000000	86.178	149.7302
140.000000	86.159	149.6924
143.000000	86.113	149.5667
145.000000	86.066	149.4640
147.500000	85.997	149.2878
150.000000	85.905	149.1581
152.500000	85.811	149.1382
155.000000	85.729	149.1118
157.500000	85.649	149.1010
160.000000	85.562	149.0919
162.500000	85.475	149.1047
165.000000	85.388	149.1486
167.500000	85.303	149.2140
170.000000	85.220	149.2987
172.500000	85.138	149.3863
175.000000	85.056	149.5006
177.500000	84.975	149.6119
180.000000	84.901	149.7375
182.500000	84.831	149.9111
185.000000	84.760	150.1232
187.500000	84.695	150.3234
190.000000	84.637	150.5137
192.500000	84.585	150.6759
195.000000	84.534	150.8062
197.500000	84.480	150.9104
200.000000	84.423	150.9955
203.000000	84.354	151.0887
206.000000	84.282	151.1805
209.000000	84.207	151.3092
212.000000	84.133	151.4598
214.000000	84.087	151.5597
218.000000	83.991	151.7922
220.000000	83.942	151.9196
224.000000	83.849	152.1667
227.000000	83.784	152.3297
230.000000	83.718	152.5026
233.000000	83.654	152.7134
236.000000	83.591	152.9308
240.000000	83.510	153.2144
243.000000	83.450	153.4412
247.000000	83.369	153.7241
250.000000	83.311	153.9373
254.000000	83.236	154.2513
258.000000	83.162	154.5580
262.000000	83.091	154.8829
265.000000	83.044	155.1344
269.000000	82.986	155.4493
272.000000	82.941	155.6648
276.000000	82.876	155.9344
280.000000	82.811	156.2271
285.000000	82.733	156.6108
290.000000	82.661	157.0114
295.000000	82.591	157.4141
300.000000	82.519	157.7907
304.000000	82.462	158.0920
307.000000	82.421	158.3206
311.000000	82.367	158.6290
315.000000	82.315	158.9403
320.000000	82.252	159.3292
325.000000	82.190	159.7219
330.000000	82.130	160.1219
335.000000	82.072	160.5226
340.000000	82.016	160.9239
345.000000	81.962	161.3232
350.000000	81.910	161.7146
355.000000	81.859	162.1112
360.000000	81.811	162.5110
365.000000	81.763	162.9210
370.000000	81.718	163.3296
375.000000	81.675	163.7166
382.000000	81.615	164.2422
387.000000	81.572	164.6233
395.000000	81.507	165.2416
400.000000	81.467	165.6277
406.000000	81.419	166.0893
412.000000	81.373	166.5559
418.000000	81.329	167.0217
425.000000	81.279	167.5577
431.000000	81.238	168.0174
437.000000	81.198	168.4783
444.000000	81.153	169.0179
450.000000	81.116	169.4772
455.000000	81.087	169.8564
462.000000	81.048	170.3893
468.000000	81.015	170.8558
475.000000	80.978	171.3893
482.000000	80.942	171.9120
487.000000	80.917	172.2848
494.000000	80.885	172.8076
500.000000	80.858	173.2563
508.000000	80.824	173.8508
515.000000	80.796	174.3757
522.000000	80.769	174.8994
530.000000	80.740	175.4934
538.000000	80.713	176.0864
545.000000	80.691	176.6030
552.000000	80.669	177.1197
560.000000	80.645	177.7140
570.000000	80.617	178.4496
580.000000	80.591	179.1785
590.000000	80.567	179.9160
600.000000	80.546	-179.3561
608.000000	80.530	-178.7742
615.000000	80.518	-178.2632
622.000000	80.506	-177.7517
630.000000	80.495	-177.1698
640.000000	80.482	-176.4471
650.000000	80.473	-175.7267
660.000000	80.465	-175.0039
670.000000	80.458	-174.2804
680.000000	80.454	-173.5560
690.000000	80.453	-172.8306
700.000000	80.452	-172.1095
710.000000	80.453	-171.3894
720.000000	80.457	-170.6689
730.000000	80.463	-169.9467
740.000000	80.472	-169.2245
750.000000	80.483	-168.5019
762.000000	80.498	-167.6380
775.000000	80.520	-166.7035
788.000000	80.545	-165.7694
