* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 9:20:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R EW300 (Silver nozzle, Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.460	-179.5588
20.600000	93.461	-179.8649
20.900000	93.460	179.7808
21.200001	93.457	179.4294
21.400000	93.455	179.2011
21.799999	93.451	178.7652
22.000000	93.448	178.5552
22.400000	93.436	178.1066
22.700001	93.423	177.7854
23.000000	93.409	177.4721
23.299999	93.392	177.1237
23.600000	93.375	176.7819
24.000000	93.353	176.3408
24.299999	93.336	175.9769
24.700001	93.313	175.5025
25.000000	93.297	175.1559
25.400000	93.276	174.6552
25.799999	93.258	174.1667
26.200001	93.242	173.6827
26.500000	93.232	173.3236
26.900000	93.219	172.8630
27.200001	93.209	172.5316
27.600000	93.196	172.1042
28.000000	93.184	171.6902
28.500000	93.168	171.2078
29.000000	93.152	170.7530
29.500000	93.135	170.3339
30.000000	93.116	169.9340
30.400000	93.099	169.6183
30.700001	93.084	169.3860
31.100000	93.063	169.0796
31.500000	93.041	168.7697
32.000000	93.011	168.3986
32.500000	92.981	168.0073
33.000000	92.949	167.6251
33.500000	92.916	167.2265
34.000000	92.884	166.8406
34.500000	92.852	166.4503
35.000000	92.823	166.0693
35.500000	92.795	165.6879
36.000000	92.767	165.3175
36.500000	92.739	164.9582
37.000000	92.713	164.6062
37.500000	92.688	164.2617
38.200001	92.652	163.7866
38.700001	92.622	163.4655
39.500000	92.572	162.9880
40.000000	92.542	162.7068
40.599998	92.506	162.3656
41.200001	92.470	162.0242
41.799999	92.432	161.6843
42.500000	92.387	161.2982
43.099998	92.348	160.9761
43.700001	92.308	160.6495
44.400002	92.265	160.2710
45.000000	92.232	159.9538
45.500000	92.204	159.6932
46.200001	92.159	159.3329
46.799999	92.119	159.0301
47.500000	92.073	158.6890
48.200001	92.028	158.3624
48.700001	91.997	158.1369
49.400002	91.952	157.8315
50.000000	91.915	157.5811
50.799999	91.864	157.2486
51.500000	91.820	156.9536
52.200001	91.776	156.6567
53.000000	91.724	156.3232
53.799999	91.671	155.9963
54.500000	91.624	155.7216
55.200001	91.579	155.4614
56.000000	91.528	155.1691
57.000000	91.467	154.8043
58.000000	91.403	154.4554
59.000000	91.346	154.0384
60.000000	91.294	153.6206
60.799999	91.239	153.4103
61.500000	91.187	153.2667
62.200001	91.140	153.0927
63.000000	91.091	152.8665
