* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 15, 2025 7:02:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L SM1 (Silver, EX11)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.301	19.4417
20.299999	87.338	18.9158
20.600000	87.374	18.4087
20.900000	87.408	17.9151
21.200001	87.438	17.4239
21.400000	87.456	17.0996
21.799999	87.487	16.4670
22.000000	87.500	16.1559
22.400000	87.520	15.5120
22.700001	87.532	15.0464
23.000000	87.542	14.5909
23.299999	87.550	14.1018
23.600000	87.557	13.6182
24.000000	87.564	12.9839
24.299999	87.568	12.4771
24.700001	87.573	11.8134
25.000000	87.576	11.3295
25.400000	87.582	10.6556
25.799999	87.589	9.9979
26.200001	87.597	9.3429
26.500000	87.604	8.8526
26.900000	87.612	8.2152
27.200001	87.618	7.7536
27.600000	87.626	7.1609
28.000000	87.634	6.5909
28.500000	87.646	5.9197
29.000000	87.656	5.2679
29.500000	87.662	4.6439
30.000000	87.663	4.0431
30.400000	87.661	3.5782
30.700001	87.658	3.2404
31.100000	87.652	2.7988
31.500000	87.644	2.3542
32.000000	87.631	1.8124
32.500000	87.616	1.2570
33.000000	87.599	0.7150
33.500000	87.582	0.1570
34.000000	87.566	-0.3962
34.500000	87.549	-0.9633
35.000000	87.531	-1.5181
35.500000	87.514	-2.0639
36.000000	87.499	-2.5899
36.500000	87.486	-3.1037
37.000000	87.474	-3.6126
37.500000	87.462	-4.1153
38.200001	87.440	-4.8065
38.700001	87.419	-5.2718
39.500000	87.381	-5.9397
40.000000	87.358	-6.3140
40.599998	87.334	-6.7598
41.200001	87.309	-7.2181
41.799999	87.281	-7.6844
42.500000	87.245	-8.2270
43.099998	87.214	-8.6976
43.700001	87.178	-9.1663
44.400002	87.134	-9.6599
45.000000	87.105	-10.0486
45.500000	87.088	-10.3958
46.200001	87.062	-10.9475
46.799999	87.030	-11.4254
47.500000	86.987	-11.9101
48.200001	86.951	-12.3393
48.700001	86.929	-12.6498
49.400002	86.895	-13.0986
50.000000	86.864	-13.4719
50.799999	86.821	-13.9482
51.500000	86.782	-14.3592
52.200001	86.742	-14.7610
53.000000	86.696	-15.1969
53.799999	86.652	-15.6368
54.500000	86.612	-16.0367
55.200001	86.568	-16.4135
56.000000	86.522	-16.7974
57.000000	86.472	-17.2963
58.000000	86.415	-17.8117
59.000000	86.357	-18.2628
60.000000	86.301	-18.6963
60.799999	86.253	-19.0302
61.500000	86.212	-19.3053
62.200001	86.173	-19.5864
63.000000	86.126	-19.9213
64.000000	86.062	-20.3181
65.000000	86.002	-20.6850
66.000000	85.945	-21.0634
67.000000	85.886	-21.4359
68.000000	85.828	-21.7852
69.000000	85.772	-22.1194
70.000000	85.716	-22.4517
71.000000	85.658	-22.7905
72.000000	85.596	-23.1041
73.000000	85.537	-23.3855
74.000000	85.480	-23.6663
75.000000	85.424	-23.9519
76.199997	85.357	-24.2979
77.500000	85.281	-24.6472
78.800003	85.206	-24.9610
80.000000	85.140	-25.2359
81.199997	85.074	-25.5070
82.500000	85.004	-25.7998
83.800003	84.933	-26.0775
85.000000	84.867	-26.3231
86.199997	84.802	-26.5623
87.500000	84.731	-26.8187
88.500000	84.677	-27.0124
90.000000	84.597	-27.3031
91.199997	84.535	-27.5143
92.500000	84.471	-27.7335
93.800003	84.406	-27.9258
95.000000	84.349	-28.0656
96.199997	84.294	-28.2321
97.500000	84.225	-28.4329
98.800003	84.150	-28.5943
100.000000	84.084	-28.7259
101.500000	84.006	-28.9063
103.000000	83.931	-29.0970
104.400002	83.863	-29.2586
106.000000	83.787	-29.4176
107.500000	83.718	-29.5427
109.000000	83.651	-29.6800
110.599998	83.576	-29.8273
112.000000	83.510	-29.9390
113.800003	83.427	-30.0664
115.000000	83.372	-30.1506
117.199997	83.268	-30.2982
118.000000	83.231	-30.3443
120.599998	83.117	-30.4933
122.000000	83.059	-30.5845
124.099998	82.970	-30.7229
125.000000	82.931	-30.7661
