* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 15, 2025 7:04:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R SM1 (Silver, EX11)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.025	16.9881
20.299999	87.060	16.4462
20.600000	87.092	15.9185
20.900000	87.120	15.4049
21.200001	87.144	14.8995
21.400000	87.157	14.5703
21.799999	87.180	13.9387
22.000000	87.189	13.6320
22.400000	87.202	12.9996
22.700001	87.209	12.5420
23.000000	87.215	12.0933
23.299999	87.219	11.6108
23.600000	87.222	11.1351
24.000000	87.223	10.5132
24.299999	87.224	10.0151
24.700001	87.224	9.3586
25.000000	87.224	8.8756
25.400000	87.224	8.1991
25.799999	87.224	7.5401
26.200001	87.225	6.8891
26.500000	87.227	6.4043
26.900000	87.229	5.7736
27.200001	87.231	5.3142
27.600000	87.233	4.7206
28.000000	87.234	4.1498
28.500000	87.237	3.4843
29.000000	87.240	2.8441
29.500000	87.240	2.2283
30.000000	87.235	1.6290
30.400000	87.228	1.1661
30.700001	87.220	0.8339
31.100000	87.209	0.4066
31.500000	87.198	-0.0191
32.000000	87.182	-0.5403
32.500000	87.166	-1.0865
33.000000	87.146	-1.6296
33.500000	87.125	-2.1892
34.000000	87.102	-2.7329
34.500000	87.079	-3.2744
35.000000	87.057	-3.7972
35.500000	87.038	-4.3239
36.000000	87.019	-4.8514
36.500000	86.997	-5.3690
37.000000	86.973	-5.8536
37.500000	86.951	-6.2961
38.200001	86.927	-6.9028
38.700001	86.908	-7.3557
39.500000	86.865	-8.0628
40.000000	86.835	-8.4522
40.599998	86.804	-8.8999
41.200001	86.774	-9.3689
41.799999	86.739	-9.8523
42.500000	86.697	-10.3986
43.099998	86.663	-10.8765
43.700001	86.623	-11.3769
44.400002	86.567	-11.8953
45.000000	86.523	-12.2439
45.500000	86.498	-12.5178
46.200001	86.471	-12.9575
46.799999	86.444	-13.3701
47.500000	86.408	-13.8324
48.200001	86.372	-14.2815
48.700001	86.344	-14.6054
49.400002	86.299	-15.0419
50.000000	86.258	-15.3808
50.799999	86.206	-15.8044
51.500000	86.162	-16.1707
52.200001	86.117	-16.5351
53.000000	86.066	-16.9407
53.799999	86.016	-17.3413
54.500000	85.974	-17.7067
55.200001	85.929	-18.0800
56.000000	85.874	-18.4737
57.000000	85.810	-18.9191
58.000000	85.751	-19.3886
59.000000	85.685	-19.8458
60.000000	85.619	-20.2209
60.799999	85.572	-20.5135
61.500000	85.531	-20.7864
62.200001	85.488	-21.0535
63.000000	85.438	-21.3430
64.000000	85.375	-21.6992
65.000000	85.311	-22.0417
66.000000	85.247	-22.3723
67.000000	85.183	-22.6877
68.000000	85.122	-22.9871
69.000000	85.062	-23.2826
70.000000	85.002	-23.5750
71.000000	84.941	-23.8634
72.000000	84.879	-24.1343
73.000000	84.818	-24.3886
74.000000	84.758	-24.6417
75.000000	84.698	-24.8870
76.199997	84.627	-25.1733
77.500000	84.550	-25.4830
78.800003	84.472	-25.7459
80.000000	84.405	-25.9737
81.199997	84.339	-26.2108
82.500000	84.266	-26.4640
83.800003	84.192	-26.6962
85.000000	84.126	-26.8985
86.199997	84.060	-27.1059
87.500000	83.987	-27.3129
88.500000	83.933	-27.4558
90.000000	83.854	-27.6712
91.199997	83.791	-27.8278
92.500000	83.723	-28.0042
93.800003	83.648	-28.1695
95.000000	83.580	-28.2575
96.199997	83.521	-28.3339
97.500000	83.461	-28.4948
98.800003	83.394	-28.6642
100.000000	83.332	-28.7856
101.500000	83.258	-28.9217
103.000000	83.185	-29.0493
104.400002	83.116	-29.1519
106.000000	83.038	-29.2570
107.500000	82.967	-29.3460
109.000000	82.899	-29.4390
110.599998	82.825	-29.5439
112.000000	82.758	-29.6119
113.800003	82.675	-29.6750
115.000000	82.622	-29.7185
117.199997	82.528	-29.8402
118.000000	82.493	-29.8821
120.599998	82.382	-29.9417
122.000000	82.325	-29.9597
124.099998	82.238	-29.9939
125.000000	82.200	-30.0132
126.500000	82.139	-30.0501
128.000000	82.080	-30.0849
131.500000	81.945	-30.1417
132.000000	81.925	-30.1409
134.000000	81.845	-30.1215
136.000000	81.765	-30.1060
138.000000	81.687	-30.0984
140.000000	81.616	-30.0636
143.000000	81.512	-30.0268
145.000000	81.440	-29.9889
147.500000	81.352	-29.9502
150.000000	81.267	-29.9046
152.500000	81.183	-29.8000
155.000000	81.098	-29.7131
157.500000	81.007	-29.6101
160.000000	80.923	-29.4673
162.500000	80.852	-29.2965
165.000000	80.789	-29.1397
167.500000	80.728	-29.0620
170.000000	80.664	-29.0226
172.500000	80.593	-28.9064
175.000000	80.523	-28.7017
177.500000	80.452	-28.5514
180.000000	80.382	-28.4370
182.500000	80.323	-28.3011
185.000000	80.257	-28.1665
187.500000	80.190	-27.9802
190.000000	80.135	-27.8316
192.500000	80.089	-27.6544
195.000000	80.039	-27.4607
197.500000	79.979	-27.3001
200.000000	79.916	-27.1977
203.000000	79.845	-27.0537
206.000000	79.777	-26.8241
209.000000	79.713	-26.5408
212.000000	79.653	-26.2974
214.000000	79.613	-26.1848
218.000000	79.551	-25.8477
220.000000	79.540	-25.6838
224.000000	79.494	-25.4467
227.000000	79.436	-25.2833
230.000000	79.388	-25.1525
233.000000	79.351	-24.9734
236.000000	79.307	-24.7695
240.000000	79.240	-24.5519
243.000000	79.199	-24.4745
247.000000	79.144	-24.3758
250.000000	79.100	-24.2999
254.000000	79.036	-24.1591
258.000000	78.966	-23.9083
262.000000	78.899	-23.6834
265.000000	78.853	-23.5451
269.000000	78.793	-23.3076
272.000000	78.750	-23.0912
276.000000	78.694	-22.8271
280.000000	78.641	-22.5902
285.000000	78.575	-22.2771
290.000000	78.510	-21.9591
295.000000	78.448	-21.6553
300.000000	78.385	-21.3470
304.000000	78.338	-21.0882
307.000000	78.304	-20.8919
311.000000	78.260	-20.6148
315.000000	78.220	-20.3506
320.000000	78.176	-20.0221
325.000000	78.132	-19.7349
330.000000	78.090	-19.4854
335.000000	78.047	-19.2086
340.000000	78.008	-18.9699
345.000000	77.963	-18.6442
350.000000	77.908	-18.2964
355.000000	77.857	-18.0132
360.000000	77.812	-17.7400
365.000000	77.772	-17.4431
370.000000	77.735	-17.1371
375.000000	77.697	-16.8377
382.000000	77.644	-16.4283
387.000000	77.607	-16.1399
395.000000	77.552	-15.6815
400.000000	77.518	-15.3972
406.000000	77.476	-15.0547
412.000000	77.434	-14.7047
418.000000	77.395	-14.3609
425.000000	77.352	-13.9437
431.000000	77.318	-13.6099
437.000000	77.284	-13.2875
444.000000	77.244	-12.9101
450.000000	77.211	-12.5828
