* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 15, 2025 12:18:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L MDR-XB55AP
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.133	-158.9434
20.299999	96.171	-159.3528
20.600000	96.206	-159.7440
20.900000	96.238	-160.1181
21.200001	96.266	-160.4831
21.400000	96.282	-160.7191
21.799999	96.312	-161.1673
22.000000	96.325	-161.3842
22.400000	96.345	-161.8404
22.700001	96.358	-162.1679
23.000000	96.370	-162.4876
23.299999	96.379	-162.8417
23.600000	96.387	-163.1895
24.000000	96.396	-163.6403
24.299999	96.402	-164.0087
24.700001	96.409	-164.4897
25.000000	96.414	-164.8391
25.400000	96.423	-165.3374
25.799999	96.433	-165.8215
26.200001	96.445	-166.3029
26.500000	96.454	-166.6632
26.900000	96.467	-167.1300
27.200001	96.478	-167.4673
27.600000	96.492	-167.9008
28.000000	96.507	-168.3187
28.500000	96.527	-168.8057
29.000000	96.545	-169.2741
29.500000	96.561	-169.7128
30.000000	96.574	-170.1285
30.400000	96.583	-170.4489
30.700001	96.589	-170.6816
31.100000	96.595	-170.9870
31.500000	96.599	-171.2975
32.000000	96.602	-171.6711
32.500000	96.603	-172.0574
33.000000	96.603	-172.4325
33.500000	96.603	-172.8260
34.000000	96.602	-173.2115
34.500000	96.601	-173.6031
35.000000	96.602	-173.9788
35.500000	96.604	-174.3529
36.000000	96.607	-174.7218
36.500000	96.612	-175.0890
37.000000	96.616	-175.4498
37.500000	96.619	-175.7934
38.200001	96.623	-176.2504
38.700001	96.626	-176.5640
39.500000	96.629	-177.0571
40.000000	96.628	-177.3530
40.599998	96.627	-177.6996
41.200001	96.626	-178.0410
41.799999	96.624	-178.3883
42.500000	96.619	-178.7911
43.099998	96.615	-179.1236
43.700001	96.612	-179.4550
44.400002	96.609	-179.8394
45.000000	96.605	179.8419
45.500000	96.604	179.5843
46.200001	96.603	179.2258
46.799999	96.603	178.9137
47.500000	96.600	178.5524
48.200001	96.596	178.2081
48.700001	96.594	177.9702
49.400002	96.592	177.6342
50.000000	96.590	177.3455
50.799999	96.585	176.9721
51.500000	96.582	176.6578
52.200001	96.579	176.3450
53.000000	96.574	176.0151
53.799999	96.576	175.7113
54.500000	96.584	175.3899
55.200001	96.582	175.0085
56.000000	96.563	174.6285
57.000000	96.545	174.2827
58.000000	96.537	173.9094
59.000000	96.526	173.5218
60.000000	96.517	173.1425
60.799999	96.510	172.8245
61.500000	96.502	172.5521
62.200001	96.494	172.2894
63.000000	96.485	171.9943
64.000000	96.474	171.6318
65.000000	96.464	171.2763
66.000000	96.453	170.9220
67.000000	96.441	170.5717
68.000000	96.429	170.2309
69.000000	96.417	169.8964
70.000000	96.405	169.5676
71.000000	96.394	169.2405
72.000000	96.382	168.9122
73.000000	96.370	168.5889
74.000000	96.356	168.2727
75.000000	96.342	167.9623
76.199997	96.327	167.5891
77.500000	96.310	167.1835
78.800003	96.293	166.7769
80.000000	96.276	166.4098
81.199997	96.260	166.0570
82.500000	96.242	165.6856
83.800003	96.224	165.3172
85.000000	96.206	164.9800
86.199997	96.188	164.6378
87.500000	96.167	164.2685
88.500000	96.150	163.9894
90.000000	96.126	163.5720
91.199997	96.106	163.2443
92.500000	96.084	162.8996
93.800003	96.063	162.5601
95.000000	96.042	162.2460
96.199997	96.020	161.9312
97.500000	95.995	161.5986
98.800003	95.970	161.2719
100.000000	95.947	160.9694
101.500000	95.918	160.5985
103.000000	95.888	160.2387
104.400002	95.860	159.9094
106.000000	95.826	159.5334
107.500000	95.793	159.1824
