* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 15, 2025 12:25:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R MDR-XB55AP
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.625	-149.9932
20.299999	96.673	-150.4648
20.600000	96.717	-150.9118
20.900000	96.758	-151.3379
21.200001	96.795	-151.7551
21.400000	96.817	-152.0278
21.799999	96.858	-152.5571
22.000000	96.875	-152.8182
22.400000	96.904	-153.3680
22.700001	96.921	-153.7672
23.000000	96.936	-154.1569
23.299999	96.948	-154.5785
23.600000	96.958	-154.9911
24.000000	96.970	-155.5260
24.299999	96.978	-155.9574
24.700001	96.988	-156.5237
25.000000	96.996	-156.9380
25.400000	97.007	-157.5223
25.799999	97.019	-158.0896
26.200001	97.033	-158.6503
26.500000	97.044	-159.0685
26.900000	97.060	-159.6123
27.200001	97.072	-160.0086
27.600000	97.088	-160.5228
28.000000	97.104	-161.0208
28.500000	97.124	-161.6018
29.000000	97.142	-162.1550
29.500000	97.158	-162.6737
30.000000	97.172	-163.1717
30.400000	97.182	-163.5616
30.700001	97.188	-163.8479
31.100000	97.194	-164.2257
31.500000	97.199	-164.6097
32.000000	97.202	-165.0777
32.500000	97.204	-165.5614
33.000000	97.204	-166.0338
33.500000	97.205	-166.5205
34.000000	97.205	-166.9951
34.500000	97.206	-167.4747
35.000000	97.209	-167.9394
35.500000	97.213	-168.4011
36.000000	97.218	-168.8522
36.500000	97.224	-169.2939
37.000000	97.230	-169.7218
37.500000	97.237	-170.1279
38.200001	97.246	-170.6718
38.700001	97.252	-171.0506
39.500000	97.259	-171.6508
40.000000	97.261	-172.0132
40.599998	97.263	-172.4388
41.200001	97.264	-172.8567
41.799999	97.264	-173.2775
42.500000	97.264	-173.7690
43.099998	97.264	-174.1836
43.700001	97.264	-174.5959
44.400002	97.264	-175.0664
45.000000	97.264	-175.4594
45.500000	97.266	-175.7830
46.200001	97.268	-176.2312
46.799999	97.269	-176.6089
47.500000	97.268	-177.0370
48.200001	97.267	-177.4482
48.700001	97.267	-177.7364
49.400002	97.267	-178.1434
50.000000	97.266	-178.4906
50.799999	97.264	-178.9418
51.500000	97.265	-179.3304
52.200001	97.265	-179.7173
53.000000	97.265	179.8636
53.799999	97.272	179.4423
54.500000	97.276	179.0327
55.200001	97.271	178.6258
56.000000	97.262	178.2329
57.000000	97.257	177.7871
58.000000	97.254	177.3248
59.000000	97.252	176.8750
60.000000	97.250	176.4171
60.799999	97.248	176.0432
61.500000	97.246	175.7192
62.200001	97.244	175.4008
63.000000	97.241	175.0442
64.000000	97.238	174.6050
65.000000	97.235	174.1714
66.000000	97.232	173.7451
67.000000	97.228	173.3286
68.000000	97.225	172.9178
69.000000	97.221	172.5131
70.000000	97.218	172.1158
71.000000	97.214	171.7239
72.000000	97.209	171.3347
73.000000	97.204	170.9529
74.000000	97.199	170.5756
75.000000	97.194	170.1927
76.199997	97.185	169.7379
77.500000	97.178	169.2552
78.800003	97.172	168.7725
80.000000	97.167	168.3367
81.199997	97.162	167.9089
82.500000	97.155	167.4596
83.800003	97.148	167.0212
85.000000	97.140	166.6190
86.199997	97.132	166.2155
87.500000	97.122	165.7743
88.500000	97.115	165.4362
90.000000	97.106	164.9359
91.199997	97.098	164.5475
92.500000	97.089	164.1405
93.800003	97.081	163.7392
95.000000	97.071	163.3666
96.199997	97.061	162.9937
97.500000	97.049	162.5895
98.800003	97.036	162.1880
100.000000	97.025	161.8239
101.500000	97.012	161.3806
103.000000	96.999	160.9414
104.400002	96.986	160.5342
106.000000	96.970	160.0725
107.500000	96.955	159.6375
109.000000	96.939	159.2103
110.599998	96.922	158.7644
112.000000	96.907	158.3765
113.800003	96.887	157.8871
115.000000	96.873	157.5594
117.199997	96.845	156.9648
118.000000	96.835	156.7524
120.599998	96.801	156.0692
122.000000	96.781	155.7094
124.099998	96.749	155.1821
125.000000	96.735	154.9572
126.500000	96.711	154.5854
128.000000	96.686	154.2198
131.500000	96.625	153.3958
132.000000	96.616	153.2847
134.000000	96.582	152.8533
136.000000	96.548	152.4307
138.000000	96.514	151.9881
140.000000	96.476	151.5233
143.000000	96.416	150.8136
145.000000	96.370	150.3450
147.500000	96.304	149.7913
150.000000	96.233	149.2804
152.500000	96.165	148.7734
155.000000	96.097	148.2815
157.500000	96.026	147.8303
160.000000	95.951	147.4181
162.500000	95.875	147.0085
165.000000	95.799	146.6113
167.500000	95.727	146.2385
170.000000	95.657	145.8814
172.500000	95.590	145.5086
175.000000	95.523	145.1049
177.500000	95.458	144.6990
180.000000	95.390	144.2689
182.500000	95.318	143.8275
185.000000	95.243	143.3599
187.500000	95.164	142.8919
190.000000	95.082	142.4601
192.500000	94.998	142.0450
195.000000	94.911	141.6456
197.500000	94.824	141.2692
200.000000	94.735	140.9086
203.000000	94.625	140.4915
206.000000	94.516	140.1016
209.000000	94.408	139.7700
212.000000	94.303	139.4771
214.000000	94.232	139.2953
218.000000	94.093	138.9497
220.000000	94.028	138.7756
224.000000	93.903	138.3828
227.000000	93.808	138.0827
230.000000	93.714	137.7821
233.000000	93.619	137.4641
236.000000	93.520	137.1371
240.000000	93.386	136.6915
243.000000	93.281	136.3746
247.000000	93.134	135.9876
250.000000	93.020	135.7300
254.000000	92.869	135.4318
258.000000	92.719	135.1635
262.000000	92.568	134.9165
265.000000	92.454	134.7551
269.000000	92.304	134.5717
272.000000	92.191	134.4372
276.000000	92.041	134.2617
280.000000	91.892	134.1279
285.000000	91.705	134.0048
290.000000	91.518	133.9191
295.000000	91.331	133.8651
300.000000	91.145	133.8408
304.000000	90.997	133.8520
307.000000	90.886	133.8729
311.000000	90.740	133.9126
315.000000	90.593	133.9759
320.000000	90.412	134.0870
325.000000	90.233	134.2302
330.000000	90.054	134.4084
335.000000	89.876	134.6169
340.000000	89.701	134.8534
345.000000	89.528	135.1324
350.000000	89.357	135.4351
355.000000	89.188	135.7421
360.000000	89.021	136.0862
365.000000	88.856	136.4757
370.000000	88.694	136.8914
375.000000	88.534	137.3360
382.000000	88.316	138.0038
387.000000	88.164	138.5131
395.000000	87.925	139.3780
400.000000	87.780	139.9442
406.000000	87.611	140.6596
412.000000	87.447	141.4183
418.000000	87.288	142.2055
425.000000	87.110	143.1615
431.000000	86.964	144.0054
437.000000	86.824	144.8741
444.000000	86.667	145.9280
450.000000	86.540	146.8603
455.000000	86.439	147.6508
462.000000	86.304	148.7770
468.000000	86.194	149.7610
475.000000	86.075	150.9344
482.000000	85.965	152.1370
487.000000	85.893	153.0010
494.000000	85.801	154.2090
500.000000	85.728	155.2397
508.000000	85.639	156.6237
515.000000	85.571	157.8376
522.000000	85.511	159.0555
530.000000	85.452	160.4563
538.000000	85.405	161.8593
545.000000	85.374	163.0776
552.000000	85.353	164.2805
560.000000	85.341	165.6212
570.000000	85.336	167.2258
580.000000	85.341	168.7679
590.000000	85.355	170.2713
600.000000	85.380	171.7367
608.000000	85.407	172.8721
615.000000	85.435	173.8419
622.000000	85.467	174.7921
630.000000	85.509	175.8491
640.000000	85.568	177.1274
650.000000	85.633	178.3466
660.000000	85.705	179.5105
670.000000	85.784	-179.3698
680.000000	85.866	-178.3013
690.000000	85.953	-177.2818
700.000000	86.045	-176.3073
710.000000	86.140	-175.3834
720.000000	86.238	-174.5079
730.000000	86.340	-173.6719
740.000000	86.444	-172.8810
750.000000	86.550	-172.1322
762.000000	86.681	-171.2885
775.000000	86.826	-170.4395
788.000000	86.974	-169.6527
800.000000	87.114	-168.9798
812.000000	87.257	-168.3656
825.000000	87.416	-167.7588
838.000000	87.579	-167.2173
850.000000	87.735	-166.7850
862.000000	87.894	-166.4333
875.000000	88.071	-166.1770
885.000000	88.204	-166.0862
900.000000	88.386	-166.1070
912.000000	88.510	-166.1735
925.000000	88.630	-166.1972
938.000000	88.750	-166.1561
950.000000	88.867	-166.1051
962.000000	88.990	-166.0823
