* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jul 12, 2025 6:19:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L MH755 (EX11)
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 6.958008 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
6.958008 95.634 169.0685
7.008428 95.622 169.0197
7.059214 95.603 168.8439
7.110368 95.583 168.6191
7.161893 95.561 168.3790
7.213791 95.539 168.1228
7.266065 95.517 167.8660
7.318718 95.496 167.6109
7.371752 95.476 167.3562
7.425171 95.457 167.0925
7.478977 95.439 166.8307
7.533173 95.422 166.5708
7.587761 95.405 166.3089
7.642745 95.389 166.0431
7.698128 95.374 165.7791
7.753912 95.359 165.5168
7.810100 95.345 165.2496
7.866695 95.331 164.9824
7.923700 95.318 164.7172
7.981119 95.306 164.4527
8.038953 95.294 164.1860
8.097207 95.283 163.9217
8.155882 95.272 163.6596
8.214983 95.262 163.3952
8.274512 95.252 163.1324
8.334473 95.243 162.8724
8.394868 95.235 162.6138
8.455701 95.226 162.3564
8.516974 95.219 162.1021
8.578692 95.212 161.8503
8.640856 95.205 161.5990
8.703472 95.199 161.3510
8.766541 95.193 161.1067
8.830066 95.188 160.8647
8.894053 95.183 160.6265
8.958503 95.179 160.3917
9.023420 95.176 160.1602
9.088807 95.173 159.9321
9.154668 95.170 159.7074
9.221007 95.169 159.4868
9.287826 95.167 159.2697
9.355130 95.167 159.0560
9.422921 95.167 158.8468
9.491203 95.167 158.6410
9.559980 95.167 158.4381
9.629256 95.168 158.2394
9.699033 95.169 158.0438
9.769317 95.171 157.8512
9.840109 95.173 157.6643
9.911415 95.175 157.4799
9.983237 95.178 157.2983
10.055579 95.181 157.1260
10.128446 95.184 156.9586
10.201841 95.187 156.7940
10.275768 95.190 156.6323
10.350230 95.193 156.4734
10.425232 95.195 156.3175
10.500778 95.197 156.1646
10.576871 95.199 156.0148
10.653515 95.201 155.8684
10.730715 95.203 155.7252
10.808474 95.204 155.5853
10.886797 95.204 155.4487
10.965687 95.205 155.3157
11.045149 95.204 155.1870
11.125187 95.204 155.0623
11.205804 95.203 154.9413
11.287006 95.202 154.8237
11.368796 95.200 154.7096
11.451179 95.198 154.5990
11.534159 95.197 154.4919
11.617741 95.194 154.3882
11.701928 95.192 154.2877
11.786725 95.188 154.1905
11.872136 95.185 154.0965
11.958167 95.181 154.0057
12.044820 95.175 153.9064
12.132102 95.169 153.7993
12.220016 95.162 153.6950
12.308568 95.154 153.5935
12.397760 95.146 153.4948
12.487600 95.137 153.3990
12.578090 95.128 153.3059
12.669236 95.118 153.2156
12.761043 95.108 153.1281
12.853514 95.097 153.0435
12.946656 95.086 152.9618
13.040473 95.074 152.8602
13.134970 95.061 152.7311
13.230151 95.047 152.6047
13.326022 95.032 152.4808
13.422588 95.017 152.3596
13.519854 95.001 152.2411
13.617824 94.985 152.1253
13.716504 94.969 152.0123
13.815900 94.952 151.9023
13.916016 94.935 151.7952
14.016857 94.917 151.6800
14.118429 94.899 151.5114
14.220737 94.881 151.3456
14.323786 94.862 151.1826
14.427582 94.843 151.0227
14.532130 94.823 150.8657
14.637436 94.804 150.7119
14.743505 94.784 150.5611
14.850342 94.764 150.4135
14.957954 94.745 150.2690
15.066346 94.726 150.0885
15.175523 94.708 149.8859
15.285491 94.690 149.6857
15.396256 94.672 149.4876
15.507823 94.655 149.2915
15.620199 94.637 149.0975
15.733390 94.620 148.9052
15.847400 94.603 148.7146
15.962237 94.586 148.5258
16.077906 94.570 148.3084
16.194413 94.555 148.0779
16.311765 94.541 147.8490
16.429966 94.527 147.6221
16.549025 94.513 147.3974
16.668946 94.499 147.1754
16.789736 94.485 146.9563
16.911401 94.472 146.7406
17.033948 94.459 146.5229
17.157383 94.447 146.2944
17.281713 94.435 146.0699
17.406943 94.424 145.8498
17.533081 94.413 145.6338
17.660133 94.403 145.4219
17.788106 94.393 145.2139
17.917005 94.383 145.0093
18.046840 94.375 144.8079
18.177614 94.368 144.6094
18.309337 94.362 144.4128
18.442014 94.356 144.2175
18.575652 94.350 144.0230
18.710259 94.344 143.8289
18.845841 94.339 143.6348
18.982406 94.333 143.4407
19.119960 94.328 143.2559
19.258512 94.322 143.0726
19.398067 94.316 142.8900
19.538633 94.310 142.7084
19.680218 94.303 142.5284
19.822829 94.294 142.3508
19.966473 94.286 142.1760
20.111159 94.276 142.0097
20.256892 94.265 141.8487
20.403682 94.254 141.6918
20.551536 94.242 141.5389
20.700461 94.229 141.3898
20.850465 94.216 141.2443
21.001556 94.203 141.1017
21.153742 94.188 140.9559
21.307030 94.173 140.8120
21.461430 94.157 140.6696
21.616948 94.141 140.5283
21.773594 94.123 140.3880
21.931374 94.105 140.2488
22.090298 94.086 140.0982
22.250373 94.065 139.9394
22.411609 94.044 139.7830
22.574012 94.021 139.6294
22.737593 93.998 139.4792
22.902359 93.974 139.3327
23.068319 93.949 139.1765
23.235481 93.924 139.0046
23.403855 93.898 138.8356
23.573449 93.872 138.6692
23.744272 93.846 138.5046
23.916333 93.819 138.3413
24.089641 93.793 138.1623
24.264204 93.766 137.9685
24.440033 93.738 137.7750
24.617135 93.710 137.5825
24.795521 93.681 137.3914
24.975200 93.652 137.2030
25.156180 93.622 136.9978
25.338472 93.592 136.7939
25.522085 93.562 136.5953
25.707029 93.531 136.4025
25.893312 93.500 136.2155
26.080946 93.469 136.0296
26.269939 93.439 135.8427
26.460302 93.408 135.6599
26.652044 93.378 135.4806
26.845176 93.348 135.3042
27.039707 93.317 135.1309
27.235648 93.286 134.9621
27.433009 93.255 134.7965
27.631800 93.223 134.6348
27.832031 93.191 134.4776
28.033714 93.159 134.3266
28.236857 93.126 134.1870
28.441473 93.094 134.0516
28.647572 93.061 133.9191
28.855164 93.029 133.7878
29.064261 92.996 133.6573
29.274872 92.962 133.5282
29.487010 92.928 133.3960
29.700685 92.893 133.2606
29.915908 92.857 133.1229
30.132691 92.819 132.9832
30.351045 92.779 132.8440
30.570981 92.738 132.7086
30.792511 92.696 132.5786
31.015647 92.652 132.4541
31.240399 92.608 132.3259
31.466780 92.564 132.2026
31.694801 92.520 132.0827
31.924474 92.476 131.9644
32.155812 92.432 131.8345
32.388827 92.389 131.6978
32.623529 92.345 131.5600
32.859933 92.301 131.4213
33.098050 92.256 131.2749
33.337892 92.212 131.1182
33.579472 92.167 130.9626
33.822802 92.122 130.8089
34.067896 92.077 130.6541
34.314766 92.032 130.4931
34.563425 91.986 130.3362
34.813886 91.941 130.1842
35.066162 91.896 130.0356
35.320266 91.852 129.8870
35.576211 91.808 129.7432
35.834011 91.764 129.6030
36.093679 91.721 129.4650
36.355229 91.679 129.3277
36.618674 91.637 129.1908
36.884028 91.594 129.0544
37.151305 91.552 128.9211
37.420518 91.509 128.7914
37.691683 91.465 128.6647
37.964812 91.421 128.5416
38.239921 91.376 128.4245
38.517023 91.331 128.3117
38.796133 91.286 128.2026
39.077266 91.240 128.0965
39.360436 91.194 127.9926
39.645658 91.148 127.8919
39.932947 91.101 127.7940
40.222317 91.055 127.6939
40.513785 91.008 127.5932
40.807364 90.961 127.4923
41.103071 90.914 127.3878
41.400921 90.866 127.2776
41.700929 90.818 127.1686
42.003112 90.769 127.0622
42.307483 90.720 126.9501
42.614061 90.670 126.8418
42.922860 90.621 126.7367
43.233897 90.572 126.6290
43.547187 90.522 126.5215
43.862748 90.473 126.4165
44.180596 90.423 126.3126
44.500746 90.374 126.2116
44.823217 90.324 126.1160
45.148025 90.275 126.0233
45.475186 90.227 125.9307
45.804718 90.180 125.8368
46.136638 90.132 125.7401
46.470963 90.084 125.6416
46.807711 90.035 125.5442
47.146899 89.986 125.4509
47.488544 89.935 125.3637
47.832666 89.885 125.2830
48.179281 89.836 125.2055
48.528408 89.787 125.1274
48.880065 89.738 125.0464
49.234270 89.689 124.9596
49.591042 89.639 124.8706
49.950399 89.587 124.7852
50.312360 89.535 124.7041
50.676944 89.482 124.6322
51.044170 89.430 124.5685
51.414057 89.378 124.5069
51.786625 89.328 124.4449
52.161892 89.278 124.3783
52.539879 89.228 124.3077
52.920604 89.176 124.2386
53.304089 89.125 124.1719
53.690352 89.073 124.1102
54.079415 89.022 124.0505
54.471296 88.972 123.9868
54.866018 88.922 123.9196
55.263600 88.870 123.8500
55.664063 88.818 123.7839
56.067427 88.766 123.7249
56.473715 88.714 123.6698
56.882947 88.663 123.6160
57.295144 88.612 123.5579
57.710328 88.561 123.4973
58.128521 88.509 123.4388
58.549744 88.457 123.3857
58.974020 88.405 123.3388
59.401370 88.354 123.2952
59.831817 88.303 123.2521
60.265383 88.251 123.2073
60.702091 88.200 123.1631
61.141963 88.148 123.1218
61.585023 88.096 123.0823
62.031293 88.044 123.0448
62.480798 87.992 123.0088
62.933559 87.939 122.9758
63.389602 87.887 122.9454
63.848949 87.835 122.9164
64.311625 87.784 122.8844
64.777653 87.732 122.8495
65.247059 87.679 122.8119
65.719866 87.626 122.7745
66.196099 87.573 122.7400
66.675783 87.520 122.7082
67.158944 87.466 122.6795
67.645605 87.413 122.6530
68.135793 87.360 122.6297
68.629533 87.308 122.6082
69.126851 87.256 122.5864
69.627773 87.204 122.5628
70.132324 87.151 122.5390
70.640532 87.097 122.5183
71.152422 87.044 122.5040
71.668022 86.990 122.4944
72.187358 86.938 122.4860
72.710457 86.886 122.4749
73.237347 86.833 122.4609
73.768055 86.780 122.4468
74.302609 86.727 122.4362
74.841036 86.673 122.4293
75.383365 86.620 122.4237
75.929624 86.567 122.4184
76.479842 86.514 122.4119
77.034046 86.461 122.4073
77.592267 86.408 122.4063
78.154532 86.355 122.4095
78.720872 86.302 122.4144
79.291316 86.250 122.4185
79.865894 86.198 122.4200
80.444635 86.145 122.4206
81.027570 86.091 122.4238
81.614729 86.038 122.4308
82.206143 85.984 122.4406
82.801842 85.931 122.4513
83.401859 85.877 122.4629
84.006223 85.824 122.4767
84.614967 85.771 122.4904
85.228122 85.718 122.5033
85.845720 85.665 122.5150
86.467793 85.611 122.5285
87.094375 85.558 122.5464
87.725496 85.505 122.5665
88.361191 85.452 122.5849
89.001493 85.400 122.6022
89.646434 85.347 122.6218
90.296050 85.294 122.6453
90.950372 85.242 122.6705
91.609436 85.189 122.6956
92.273276 85.137 122.7215
92.941926 85.085 122.7489
93.615421 85.033 122.7774
94.293797 84.982 122.8067
94.977089 84.930 122.8372
95.665332 84.878 122.8682
96.358562 84.827 122.8992
97.056816 84.775 122.9303
97.760130 84.723 122.9619
98.468540 84.671 122.9934
99.182084 84.618 123.0279
99.900798 84.564 123.0700
100.624720 84.510 123.1200
101.353889 84.457 123.1729
102.088341 84.405 123.2236
102.828115 84.353 123.2713
103.573250 84.301 123.3166
104.323784 84.249 123.3617
105.079757 84.198 123.4080
105.841209 84.147 123.4537
106.608178 84.096 123.4986
107.380705 84.045 123.5440
108.158829 83.992 123.5951
108.942593 83.940 123.6550
109.732036 83.888 123.7215
110.527199 83.836 123.7881
111.328125 83.784 123.8516
112.134854 83.732 123.9103
112.947430 83.680 123.9640
113.765894 83.627 124.0159
114.590288 83.574 124.0724
115.420657 83.522 124.1318
116.257042 83.472 124.1876
117.099489 83.421 124.2391
117.948040 83.371 124.2895
118.802740 83.320 124.3430
119.663634 83.268 124.4047
120.530766 83.216 124.4797
121.404181 83.164 124.5653
122.283926 83.114 124.6518
123.170046 83.065 124.7336
124.062587 83.016 124.8122
124.961595 82.968 124.8857
125.867118 82.920 124.9493
126.779203 82.871 125.0003
127.697898 82.819 125.0496
128.623249 82.765 125.1178
129.555307 82.711 125.2082
130.494118 82.658 125.3097
131.439732 82.606 125.4093
132.392198 82.555 125.5018
133.351567 82.503 125.5947
134.317887 82.452 125.6921
135.291210 82.402 125.7896
136.271586 82.353 125.8813
137.259066 82.304 125.9692
138.253702 82.254 126.0581
139.255545 82.205 126.1529
140.264648 82.156 126.2492
141.281064 82.107 126.3399
