* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jul 12, 2025 6:15:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R MH755 (EX11)
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 6.958008 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
6.958008 95.619 169.3219
7.008428 95.606 169.2748
7.059214 95.588 169.1015
7.110368 95.567 168.8798
7.161893 95.545 168.6429
7.213791 95.523 168.3902
7.266065 95.501 168.1371
7.318718 95.479 167.8858
7.371752 95.459 167.6352
7.425171 95.440 167.3758
7.478977 95.422 167.1184
7.533173 95.404 166.8631
7.587761 95.388 166.6059
7.642745 95.372 166.3447
7.698128 95.356 166.0854
7.753912 95.341 165.8278
7.810100 95.327 165.5653
7.866695 95.314 165.3028
7.923700 95.301 165.0422
7.981119 95.289 164.7822
8.038953 95.277 164.5196
8.097207 95.266 164.2593
8.155882 95.256 164.0010
8.214983 95.246 163.7400
8.274512 95.237 163.4804
8.334473 95.229 163.2234
8.394868 95.221 162.9673
8.455701 95.213 162.7120
8.516974 95.206 162.4594
8.578692 95.199 162.2089
8.640856 95.193 161.9584
8.703472 95.187 161.7110
8.766541 95.182 161.4667
8.830066 95.178 161.2245
8.894053 95.173 160.9854
8.958503 95.170 160.7496
9.023420 95.166 160.5166
9.088807 95.164 160.2867
9.154668 95.162 160.0601
9.221007 95.160 159.8373
9.287826 95.159 159.6179
9.355130 95.158 159.4016
9.422921 95.158 159.1899
9.491203 95.158 158.9816
9.559980 95.159 158.7763
9.629256 95.159 158.5753
9.699033 95.160 158.3775
9.769317 95.162 158.1829
9.840109 95.163 157.9942
9.911415 95.165 157.8086
9.983237 95.167 157.6259
10.055579 95.170 157.4529
10.128446 95.173 157.2852
10.201841 95.175 157.1206
10.275768 95.178 156.9593
10.350230 95.180 156.8012
10.425232 95.182 156.6465
10.500778 95.184 156.4950
10.576871 95.186 156.3470
10.653515 95.187 156.2025
10.730715 95.189 156.0614
10.808474 95.189 155.9239
10.886797 95.190 155.7898
10.965687 95.190 155.6591
11.045149 95.190 155.5328
11.125187 95.190 155.4105
11.205804 95.189 155.2917
11.287006 95.188 155.1762
11.368796 95.187 155.0640
11.451179 95.185 154.9552
11.534159 95.184 154.8496
11.617741 95.182 154.7472
11.701928 95.179 154.6479
11.786725 95.176 154.5517
11.872136 95.173 154.4586
11.958167 95.169 154.3686
12.044820 95.164 154.2700
12.132102 95.158 154.1635
12.220016 95.152 154.0598
12.308568 95.144 153.9590
12.397760 95.136 153.8610
12.487600 95.127 153.7658
12.578090 95.118 153.6734
12.669236 95.109 153.5839
12.761043 95.100 153.4970
12.853514 95.089 153.4130
12.946656 95.078 153.3316
13.040473 95.066 153.2302
13.134970 95.054 153.1012
13.230151 95.041 152.9743
13.326022 95.027 152.8496
13.422588 95.012 152.7272
13.519854 94.997 152.6071
13.617824 94.981 152.4892
13.716504 94.965 152.3737
13.815900 94.949 152.2607
13.916016 94.932 152.1504
14.016857 94.914 152.0318
14.118429 94.896 151.8596
14.220737 94.878 151.6903
14.323786 94.859 151.5241
14.427582 94.839 151.3612
14.532130 94.820 151.2018
14.637436 94.800 151.0461
14.743505 94.779 150.8943
14.850342 94.759 150.7463
14.957954 94.739 150.6022
15.066346 94.720 150.4230
15.175523 94.701 150.2225
15.285491 94.683 150.0249
15.396256 94.665 149.8298
15.507823 94.647 149.6372
15.620199 94.629 149.4466
15.733390 94.612 149.2576
15.847400 94.595 149.0700
15.962237 94.579 148.8836
16.077906 94.564 148.6680
16.194413 94.550 148.4383
16.311765 94.536 148.2095
16.429966 94.523 147.9816
16.549025 94.510 147.7551
16.668946 94.496 147.5302
16.789736 94.483 147.3074
16.911401 94.470 147.0871
17.033948 94.458 146.8642
17.157383 94.446 146.6296
17.281713 94.435 146.3985
17.406943 94.424 146.1710
17.533081 94.414 145.9470
17.660133 94.404 145.7264
17.788106 94.394 145.5091
17.917005 94.384 145.2947
18.046840 94.376 145.0829
18.177614 94.368 144.8737
18.309337 94.361 144.6662
18.442014 94.355 144.4602
18.575652 94.348 144.2556
18.710259 94.341 144.0524
18.845841 94.334 143.8506
18.982406 94.327 143.6506
19.119960 94.320 143.4621
19.258512 94.312 143.2776
19.398067 94.305 143.0962
19.538633 94.297 142.9182
19.680218 94.289 142.7439
19.822829 94.280 142.5734
19.966473 94.271 142.4067
20.111159 94.261 142.2486
20.256892 94.251 142.0951
20.403682 94.241 141.9444
20.551536 94.230 141.7955
20.700461 94.219 141.6483
20.850465 94.208 141.5020
21.001556 94.195 141.3563
21.153742 94.182 141.2055
21.307030 94.168 141.0554
21.461430 94.153 140.9062
21.616948 94.137 140.7585
21.773594 94.120 140.6128
21.931374 94.101 140.4698
22.090298 94.082 140.3172
22.250373 94.061 140.1583
22.411609 94.039 140.0032
22.574012 94.017 139.8519
22.737593 93.994 139.7043
22.902359 93.971 139.5600
23.068319 93.947 139.4052
23.235481 93.923 139.2332
23.403855 93.898 139.0631
23.573449 93.873 138.8943
23.744272 93.847 138.7268
23.916333 93.821 138.5605
24.089641 93.794 138.3793
24.264204 93.767 138.1844
24.440033 93.739 137.9913
24.617135 93.711 137.8005
24.795521 93.682 137.6125
24.975200 93.653 137.4279
25.156180 93.623 137.2266
25.338472 93.594 137.0261
25.522085 93.564 136.8299
25.707029 93.534 136.6382
25.893312 93.503 136.4509
26.080946 93.473 136.2634
26.269939 93.443 136.0739
26.460302 93.413 135.8875
26.652044 93.384 135.7038
26.845176 93.354 135.5218
27.039707 93.323 135.3417
27.235648 93.293 135.1644
27.433009 93.262 134.9886
27.631800 93.230 134.8150
27.832031 93.197 134.6451
28.033714 93.163 134.4815
28.236857 93.128 134.3310
28.441473 93.093 134.1881
28.647572 93.058 134.0530
28.855164 93.023 133.9248
29.064261 92.987 133.8032
29.274872 92.952 133.6874
29.487010 92.918 133.5710
29.700685 92.883 133.4514
29.915908 92.848 133.3267
30.132691 92.812 133.1948
30.351045 92.775 133.0573
30.570981 92.737 132.9171
30.792511 92.697 132.7770
31.015647 92.655 132.6391
31.240399 92.611 132.4967
31.466780 92.567 132.3606
31.694801 92.523 132.2307
31.924474 92.478 132.1059
32.155812 92.434 131.9725
32.388827 92.390 131.8345
32.623529 92.346 131.6963
32.859933 92.302 131.5572
33.098050 92.258 131.4098
33.337892 92.214 131.2516
33.579472 92.169 131.0943
33.822802 92.125 130.9393
34.067896 92.079 130.7840
34.314766 92.034 130.6235
34.563425 91.989 130.4680
34.813886 91.944 130.3179
35.066162 91.899 130.1714
35.320266 91.855 130.0250
35.576211 91.811 129.8831
35.834011 91.768 129.7444
36.093679 91.726 129.6074
36.355229 91.684 129.4703
36.618674 91.642 129.3327
36.884028 91.600 129.1946
37.151305 91.558 129.0589
37.420518 91.515 128.9266
37.691683 91.471 128.7975
37.964812 91.427 128.6728
38.239921 91.382 128.5548
38.517023 91.337 128.4415
38.796133 91.292 128.3315
39.077266 91.247 128.2235
39.360436 91.201 128.1161
39.645658 91.155 128.0109
39.932947 91.109 127.9081
40.222317 91.062 127.8038
40.513785 91.016 127.7001
40.807364 90.969 127.5971
41.103071 90.923 127.4905
41.400921 90.876 127.3766
41.700929 90.828 127.2615
42.003112 90.780 127.1471
42.307483 90.730 127.0273
42.614061 90.680 126.9146
42.922860 90.629 126.8115
43.233897 90.578 126.7136
43.547187 90.529 126.6221
43.862748 90.480 126.5347
44.180596 90.433 126.4442
44.500746 90.387 126.3480
44.823217 90.340 126.2472
45.148025 90.293 126.1427
45.475186 90.245 126.0372
45.804718 90.196 125.9350
46.136638 90.147 125.8373
46.470963 90.098 125.7427
46.807711 90.049 125.6487
47.146899 90.000 125.5528
47.488544 89.951 125.4550
47.832666 89.899 125.3589
48.179281 89.847 125.2681
48.528408 89.795 125.1857
48.880065 89.742 125.1128
49.234270 89.690 125.0441
49.591042 89.640 124.9766
49.950399 89.590 124.9078
50.312360 89.540 124.8325
50.676944 89.491 124.7545
51.044170 89.440 124.6763
51.414057 89.390 124.5984
51.786625 89.339 124.5240
52.161892 89.289 124.4517
52.539879 89.238 124.3803
52.920604 89.188 124.3103
53.304089 89.138 124.2379
53.690352 89.088 124.1643
54.079415 89.038 124.0893
54.471296 88.987 124.0121
54.866018 88.935 123.9367
55.263600 88.882 123.8640
55.664063 88.829 123.7975
56.067427 88.776 123.7388
56.473715 88.723 123.6853
56.882947 88.670 123.6366
57.295144 88.619 123.5868
57.710328 88.568 123.5338
58.128521 88.517 123.4770
58.549744 88.465 123.4173
58.974020 88.413 123.3589
59.401370 88.361 123.3050
59.831817 88.308 123.2572
60.265383 88.255 123.2124
60.702091 88.203 123.1693
61.141963 88.151 123.1268
61.585023 88.098 123.0841
62.031293 88.046 123.0432
62.480798 87.993 123.0042
62.933559 87.940 122.9684
63.389602 87.886 122.9342
63.848949 87.834 122.9016
64.311625 87.781 122.8675
64.777653 87.728 122.8324
65.247059 87.675 122.7958
65.719866 87.622 122.7591
66.196099 87.568 122.7239
66.675783 87.515 122.6898
67.158944 87.461 122.6575
67.645605 87.408 122.6276
68.135793 87.354 122.6035
68.629533 87.301 122.5855
69.126851 87.248 122.5717
69.627773 87.196 122.5594
70.132324 87.144 122.5478
70.640532 87.092 122.5373
71.152422 87.040 122.5272
71.668022 86.989 122.5136
72.187358 86.937 122.4948
72.710457 86.883 122.4736
73.237347 86.829 122.4554
73.768055 86.774 122.4431
74.302609 86.719 122.4350
74.841036 86.665 122.4275
75.383365 86.610 122.4193
75.929624 86.556 122.4134
76.479842 86.501 122.4096
77.034046 86.448 122.4086
77.592267 86.395 122.4081
78.154532 86.342 122.4067
78.720872 86.289 122.4035
79.291316 86.236 122.4003
79.865894 86.183 122.3978
80.444635 86.129 122.3957
81.027570 86.074 122.3930
81.614729 86.019 122.3905
82.206143 85.963 122.3916
82.801842 85.907 122.3976
83.401859 85.852 122.4072
84.006223 85.797 122.4184
84.614967 85.743 122.4271
85.228122 85.690 122.4305
85.845720 85.637 122.4262
86.467793 85.583 122.4214
87.094375 85.527 122.4308
87.725496 85.473 122.4613
88.361191 85.419 122.5045
89.001493 85.368 122.5492
89.646434 85.316 122.5928
90.296050 85.263 122.6406
90.950372 85.209 122.6943
91.609436 85.155 122.7504
92.273276 85.101 122.8070
92.941926 85.046 122.8638
93.615421 84.991 122.9186
94.293797 84.936 122.9680
94.977089 84.880 123.0128
95.665332 84.824 123.0588
96.358562 84.769 123.1126
97.056816 84.714 123.1743
97.760130 84.662 123.2383
98.468540 84.610 123.3003
99.182084 84.559 123.3658
99.900798 84.507 123.4419
100.624720 84.458 123.5250
101.353889 84.409 123.6044
102.088341 84.361 123.6746
102.828115 84.313 123.7397
103.573250 84.264 123.8037
104.323784 84.216 123.8667
105.079757 84.168 123.9256
105.841209 84.121 123.9775
106.608178 84.074 124.0276
107.380705 84.027 124.0832
108.158829 83.981 124.1455
108.942593 83.936 124.2073
109.732036 83.892 124.2622
110.527199 83.846 124.3112
111.328125 83.798 124.3634
112.134854 83.750 124.4220
112.947430 83.701 124.4790
113.765894 83.652 124.5273
114.590288 83.602 124.5733
115.420657 83.551 124.6242
116.257042 83.501 124.6783
117.099489 83.452 124.7312
117.948040 83.404 124.7807
118.802740 83.357 124.8270
119.663634 83.310 124.8686
120.530766 83.262 124.9077
121.404181 83.213 124.9503
122.283926 83.163 125.0012
123.170046 83.112 125.0620
124.062587 83.062 125.1308
124.961595 83.012 125.1986
125.867118 82.962 125.2624
126.779203 82.911 125.3260
127.697898 82.861 125.3899
128.623249 82.811 125.4514
129.555307 82.762 125.5056
130.494118 82.711 125.5541
131.439732 82.659 125.6028
132.392198 82.606 125.6559
133.351567 82.552 125.7192
134.317887 82.497 125.7933
135.291210 82.444 125.8709
136.271586 82.391 125.9436
137.259066 82.339 126.0141
138.253702 82.287 126.0838
139.255545 82.236 126.1539
140.264648 82.186 126.2284
141.281064 82.137 126.3133
