* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -5.4 dBFS with no timing reference
* Dated: May 18, 2025 4:53:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L WI-C100
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.958	41.2365
20.600000	83.974	40.5030
20.900000	83.989	39.7335
21.200001	84.006	38.9838
21.400000	84.019	38.4935
21.799999	84.050	37.5280
22.000000	84.067	37.0512
22.400000	84.098	36.1096
22.700001	84.117	35.4161
23.000000	84.133	34.7356
23.299999	84.146	34.0692
23.600000	84.159	33.4167
24.000000	84.175	32.5654
24.299999	84.187	31.9371
24.700001	84.201	31.1097
25.000000	84.209	30.4984
25.400000	84.218	29.7046
25.799999	84.227	28.9473
26.200001	84.237	28.2316
26.500000	84.245	27.7161
26.900000	84.257	27.0415
27.200001	84.265	26.5357
27.600000	84.275	25.8579
28.000000	84.283	25.1843
28.500000	84.289	24.3650
29.000000	84.292	23.5752
29.500000	84.294	22.8070
30.000000	84.299	22.0666
30.400000	84.304	21.5082
30.700001	84.308	21.1118
31.100000	84.309	20.6030
31.500000	84.306	20.0961
32.000000	84.300	19.4392
32.500000	84.298	18.7652
33.000000	84.301	18.1138
33.500000	84.306	17.5111
34.000000	84.304	16.9438
34.500000	84.297	16.3850
35.000000	84.289	15.8261
35.500000	84.286	15.2781
36.000000	84.285	14.7493
36.500000	84.286	14.2368
37.000000	84.289	13.7382
37.500000	84.293	13.2572
38.200001	84.291	12.6084
38.700001	84.276	12.1426
39.500000	84.245	11.3773
40.000000	84.234	10.9098
40.599998	84.230	10.3778
41.200001	84.226	9.8577
41.799999	84.219	9.3287
42.500000	84.213	8.7243
43.099998	84.207	8.2466
43.700001	84.197	7.7943
44.400002	84.184	7.2576
45.000000	84.180	6.7844
45.500000	84.178	6.3943
46.200001	84.166	5.8652
46.799999	84.148	5.4243
47.500000	84.129	4.9269
48.200001	84.115	4.4474
48.700001	84.106	4.1040
49.400002	84.092	3.6142
50.000000	84.080	3.2035
50.799999	84.064	2.7028
51.500000	84.050	2.3007
52.200001	84.034	1.8883
53.000000	84.013	1.3657
53.799999	83.993	0.8416
54.500000	83.975	0.4233
55.200001	83.956	0.0041
56.000000	83.936	-0.4622
57.000000	83.912	-1.0071
58.000000	83.885	-1.6129
59.000000	83.827	-1.7347
60.000000	83.771	-1.8153
60.799999	83.777	-2.6037
61.500000	83.788	-3.4219
62.200001	83.778	-3.9624
63.000000	83.755	-4.3799
64.000000	83.731	-4.9120
65.000000	83.701	-5.3931
66.000000	83.670	-5.8621
67.000000	83.642	-6.3114
68.000000	83.614	-6.7589
69.000000	83.584	-7.2109
70.000000	83.553	-7.6438
71.000000	83.523	-8.0663
72.000000	83.495	-8.4637
73.000000	83.466	-8.8263
74.000000	83.436	-9.1736
75.000000	83.409	-9.5251
76.199997	83.373	-9.9850
77.500000	83.332	-10.4775
78.800003	83.284	-10.9769
80.000000	83.242	-11.4261
81.199997	83.203	-11.8181
82.500000	83.158	-12.2425
83.800003	83.117	-12.6687
85.000000	83.078	-13.0368
86.199997	83.039	-13.4007
87.500000	82.997	-13.7751
88.500000	82.965	-14.0614
90.000000	82.913	-14.4849
91.199997	82.873	-14.7820
92.500000	82.833	-15.1106
93.800003	82.794	-15.4631
95.000000	82.755	-15.7795
96.199997	82.714	-16.0523
97.500000	82.672	-16.3348
98.800003	82.627	-16.6257
100.000000	82.582	-16.9108
101.500000	82.529	-17.2612
103.000000	82.480	-17.5823
104.400002	82.436	-17.8575
106.000000	82.386	-18.1757
107.500000	82.333	-18.4882
109.000000	82.279	-18.7867
110.599998	82.223	-19.0165
112.000000	82.175	-19.2222
113.800003	82.116	-19.5300
115.000000	82.076	-19.7316
117.199997	82.002	-20.0616
118.000000	81.976	-20.1808
120.599998	81.897	-20.5861
122.000000	81.850	-20.7637
124.099998	81.785	-21.0456
125.000000	81.757	-21.1811
126.500000	81.705	-21.3908
128.000000	81.653	-21.5782
131.500000	81.543	-22.0497
132.000000	81.527	-22.1188
134.000000	81.464	-22.3875
136.000000	81.399	-22.6665
138.000000	81.326	-22.9929
140.000000	81.259	-23.2880
143.000000	81.168	-23.6153
145.000000	81.107	-23.7810
147.500000	81.031	-23.9890
150.000000	80.958	-24.1661
152.500000	80.887	-24.3111
155.000000	80.817	-24.4351
157.500000	80.746	-24.5285
160.000000	80.675	-24.6215
162.500000	80.606	-24.7084
165.000000	80.538	-24.7840
167.500000	80.471	-24.8576
170.000000	80.405	-24.9217
172.500000	80.339	-24.9605
175.000000	80.275	-24.9875
177.500000	80.211	-25.0117
180.000000	80.145	-25.0415
182.500000	80.085	-25.1012
185.000000	80.024	-25.1529
187.500000	79.965	-25.1918
190.000000	79.908	-25.2287
192.500000	79.855	-25.2749
195.000000	79.802	-25.3296
197.500000	79.747	-25.3627
200.000000	79.694	-25.3710
203.000000	79.632	-25.4061
206.000000	79.571	-25.4533
209.000000	79.511	-25.4676
212.000000	79.452	-25.4799
214.000000	79.414	-25.4988
218.000000	79.339	-25.5692
220.000000	79.298	-25.6265
224.000000	79.218	-25.7184
227.000000	79.162	-25.7172
230.000000	79.112	-25.6611
233.000000	79.060	-25.5726
236.000000	79.007	-25.4683
240.000000	78.937	-25.2716
243.000000	78.876	-25.1036
247.000000	78.799	-24.7592
250.000000	78.760	-24.3485
254.000000	78.755	-23.7432
258.000000	78.785	-23.4824
262.000000	78.795	-23.5494
265.000000	78.778	-23.6340
269.000000	78.737	-23.6633
272.000000	78.704	-23.6347
276.000000	78.660	-23.5491
280.000000	78.621	-23.3930
