* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -5.4 dBFS with no timing reference
* Dated: May 18, 2025 5:01:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R WI-C100
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.469	69.6731
20.600000	77.533	68.9964
20.900000	77.601	68.2764
21.200001	77.668	67.5665
21.400000	77.713	67.1003
21.799999	77.804	66.1896
22.000000	77.850	65.7503
22.400000	77.941	64.9178
22.700001	78.010	64.3379
23.000000	78.077	63.7886
23.299999	78.143	63.2534
23.600000	78.208	62.7132
24.000000	78.291	61.9613
24.299999	78.352	61.3709
24.700001	78.429	60.5663
25.000000	78.484	59.9690
25.400000	78.552	59.2046
25.799999	78.615	58.4849
26.200001	78.674	57.7997
26.500000	78.719	57.2971
26.900000	78.782	56.6310
27.200001	78.831	56.1327
27.600000	78.901	55.4755
28.000000	78.972	54.8336
28.500000	79.056	54.0519
29.000000	79.129	53.2746
29.500000	79.195	52.4850
30.000000	79.264	51.6965
30.400000	79.324	51.0880
30.700001	79.371	50.6504
31.100000	79.430	50.0844
31.500000	79.481	49.5203
32.000000	79.534	48.7987
32.500000	79.585	48.0770
33.000000	79.644	47.3941
33.500000	79.710	46.7466
34.000000	79.769	46.0754
34.500000	79.815	45.3362
35.000000	79.856	44.5637
35.500000	79.903	43.8353
36.000000	79.957	43.1779
36.500000	80.008	42.5436
37.000000	80.049	41.8895
37.500000	80.083	41.2451
38.200001	80.138	40.4667
38.700001	80.184	39.9775
39.500000	80.251	39.1197
40.000000	80.287	38.5227
40.599998	80.337	37.8351
41.200001	80.397	37.2234
41.799999	80.457	36.6571
42.500000	80.517	36.0075
43.099998	80.559	35.4400
43.700001	80.597	34.8627
44.400002	80.640	34.2392
45.000000	80.678	33.7922
45.500000	80.711	33.4414
46.200001	80.754	32.8657
46.799999	80.786	32.2733
47.500000	80.822	31.5686
48.200001	80.863	30.9377
48.700001	80.892	30.5274
49.400002	80.931	29.9652
50.000000	80.962	29.4750
50.799999	81.005	28.8415
51.500000	81.038	28.3125
52.200001	81.064	27.7531
53.000000	81.096	27.0941
53.799999	81.128	26.5067
54.500000	81.148	26.0097
55.200001	81.174	25.4557
56.000000	81.211	24.7726
57.000000	81.239	23.9941
58.000000	81.277	23.4058
59.000000	81.228	22.5532
60.000000	81.157	21.5599
60.799999	81.247	21.2130
61.500000	81.350	21.0128
62.200001	81.390	20.6331
63.000000	81.400	20.0883
64.000000	81.431	19.4834
65.000000	81.454	18.8764
66.000000	81.474	18.2711
67.000000	81.491	17.6602
68.000000	81.505	17.0620
69.000000	81.516	16.4759
70.000000	81.530	15.8725
71.000000	81.543	15.3005
72.000000	81.551	14.7671
73.000000	81.557	14.2432
74.000000	81.565	13.7690
75.000000	81.569	13.2934
76.199997	81.572	12.6218
77.500000	81.577	11.8954
78.800003	81.590	11.3084
80.000000	81.600	10.7605
81.199997	81.599	10.1366
82.500000	81.598	9.5202
83.800003	81.599	8.9387
85.000000	81.594	8.4081
86.199997	81.583	7.8686
87.500000	81.572	7.2702
88.500000	81.566	6.8142
90.000000	81.553	6.1537
91.199997	81.546	5.6655
92.500000	81.543	5.1428
93.800003	81.537	4.6291
95.000000	81.523	4.1746
96.199997	81.505	3.7158
97.500000	81.486	3.2307
98.800003	81.471	2.7757
100.000000	81.462	2.3739
101.500000	81.445	1.8824
