* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jul 25, 2025 9:35:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Fission (Pop, S)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.733	-96.7550
20.600000	74.795	-97.2312
20.900000	74.873	-97.8447
21.200001	74.970	-98.4922
21.400000	75.046	-98.9056
21.799999	75.214	-99.6195
22.000000	75.298	-99.9149
22.400000	75.450	-100.4632
22.700001	75.543	-100.8508
23.000000	75.624	-101.2667
23.299999	75.700	-101.7680
23.600000	75.780	-102.3005
24.000000	75.900	-103.0023
24.299999	76.000	-103.5304
24.700001	76.132	-104.1635
25.000000	76.223	-104.5989
25.400000	76.332	-105.2213
25.799999	76.434	-105.8756
26.200001	76.541	-106.5796
26.500000	76.630	-107.1248
26.900000	76.754	-107.8333
27.200001	76.842	-108.3387
27.600000	76.946	-108.9844
28.000000	77.037	-109.6168
28.500000	77.163	-110.3827
29.000000	77.330	-111.0930
29.500000	77.515	-111.6837
30.000000	77.662	-112.1889
30.400000	77.731	-112.6060
30.700001	77.763	-112.9583
31.100000	77.800	-113.4881
31.500000	77.856	-114.0511
32.000000	77.955	-114.6717
32.500000	78.060	-115.1869
33.000000	78.150	-115.6671
33.500000	78.233	-116.3061
34.000000	78.318	-117.1298
34.500000	78.397	-118.0289
35.000000	78.462	-118.7987
35.500000	78.530	-119.3687
36.000000	78.624	-119.8045
36.500000	78.737	-120.2388
37.000000	78.833	-120.7399
37.500000	78.894	-121.2964
38.200001	78.972	-122.1471
38.700001	79.060	-122.7952
39.500000	79.213	-123.7880
40.000000	79.280	-124.2934
40.599998	79.341	-124.8188
41.200001	79.409	-125.3562
41.799999	79.484	-125.9267
42.500000	79.557	-126.5435
43.099998	79.613	-127.0525
43.700001	79.674	-127.6425
44.400002	79.764	-128.3979
45.000000	79.856	-128.9840
45.500000	79.929	-129.4151
46.200001	80.000	-130.0197
46.799999	80.032	-130.5849
47.500000	80.074	-131.2579
48.200001	80.141	-131.8920
48.700001	80.192	-132.3101
49.400002	80.254	-132.8453
50.000000	80.303	-133.2858
50.799999	80.373	-133.9442
51.500000	80.433	-134.5690
52.200001	80.485	-135.1538
53.000000	80.542	-135.8007
53.799999	80.595	-136.4698
54.500000	80.633	-137.0117
55.200001	80.671	-137.5375
56.000000	80.731	-138.1492
57.000000	80.816	-138.8291
58.000000	80.893	-139.5913
59.000000	80.903	-140.0733
60.000000	80.876	-140.2627
60.799999	80.931	-140.9030
61.500000	81.012	-141.6560
62.200001	81.069	-142.2690
63.000000	81.110	-142.8487
64.000000	81.163	-143.5374
65.000000	81.200	-144.1483
66.000000	81.237	-144.7622
67.000000	81.284	-145.3911
68.000000	81.323	-146.0394
69.000000	81.359	-146.5629
70.000000	81.397	-147.0231
71.000000	81.420	-147.5336
72.000000	81.437	-148.1284
73.000000	81.458	-148.7730
74.000000	81.478	-149.3047
75.000000	81.504	-149.7886
76.199997	81.548	-150.4192
77.500000	81.588	-151.0838
78.800003	81.620	-151.7483
80.000000	81.651	-152.3832
81.199997	81.672	-152.9606
82.500000	81.696	-153.4883
83.800003	81.718	-154.0502
85.000000	81.732	-154.6465
86.199997	81.748	-155.1969
87.500000	81.767	-155.7679
88.500000	81.777	-156.1665
90.000000	81.797	-156.7478
91.199997	81.812	-157.1777
92.500000	81.824	-157.7466
93.800003	81.834	-158.3409
95.000000	81.838	-158.7978
96.199997	81.838	-159.1891
97.500000	81.840	-159.7098
98.800003	81.846	-160.1906
100.000000	81.859	-160.5657
101.500000	81.871	-161.0846
103.000000	81.870	-161.6096
104.400002	81.868	-162.0693
106.000000	81.875	-162.6047
107.500000	81.883	-163.0467
109.000000	81.885	-163.5185
110.599998	81.880	-163.9878
112.000000	81.869	-164.3665
113.800003	81.856	-164.8441
115.000000	81.854	-165.2250
117.199997	81.850	-165.9159
118.000000	81.848	-166.1396
120.599998	81.841	-166.8532
122.000000	81.828	-167.2032
124.099998	81.804	-167.6517
125.000000	81.796	-167.8600
126.500000	81.783	-168.2528
128.000000	81.768	-168.6230
131.500000	81.739	-169.3495
132.000000	81.735	-169.4632
134.000000	81.717	-169.9100
136.000000	81.713	-170.3254
138.000000	81.713	-170.6733
140.000000	81.680	-171.0229
143.000000	81.646	-171.6978
145.000000	81.638	-172.1264
147.500000	81.614	-172.6166
150.000000	81.589	-173.0656
152.500000	81.558	-173.4668
155.000000	81.523	-173.8948
157.500000	81.484	-174.2938
160.000000	81.439	-174.6500
162.500000	81.388	-174.9951
165.000000	81.337	-175.2556
167.500000	81.299	-175.3654
170.000000	81.281	-175.4187
172.500000	81.270	-175.4910
175.000000	81.272	-175.7017
177.500000	81.284	-176.0781
180.000000	81.277	-176.4299
182.500000	81.256	-176.7546
185.000000	81.228	-177.0735
187.500000	81.198	-177.4025
190.000000	81.173	-177.7062
192.500000	81.141	-177.9738
195.000000	81.104	-178.2295
197.500000	81.068	-178.4622
200.000000	81.035	-178.6713
203.000000	80.997	-178.8837
206.000000	80.969	-179.0893
209.000000	80.936	-179.3275
212.000000	80.898	-179.5811
214.000000	80.872	-179.6944
218.000000	80.819	-179.8552
220.000000	80.794	-179.9528
224.000000	80.746	179.8131
227.000000	80.712	179.6180
230.000000	80.676	179.4317
233.000000	80.636	179.2858
236.000000	80.594	179.1664
240.000000	80.545	178.9799
243.000000	80.514	178.8282
247.000000	80.467	178.6904
250.000000	80.428	178.6178
254.000000	80.376	178.4882
258.000000	80.325	178.3491
262.000000	80.273	178.2545
265.000000	80.235	178.1882
269.000000	80.186	178.1328
272.000000	80.151	178.1032
276.000000	80.105	178.0763
280.000000	80.058	178.0468
285.000000	80.000	177.9841
290.000000	79.942	177.9752
295.000000	79.889	177.9798
300.000000	79.838	177.9865
304.000000	79.800	178.0270
307.000000	79.771	178.0682
311.000000	79.731	178.1007
315.000000	79.691	178.1124
320.000000	79.643	178.1337
325.000000	79.596	178.1931
330.000000	79.550	178.2583
335.000000	79.506	178.3228
340.000000	79.459	178.3879
345.000000	79.412	178.4510
350.000000	79.368	178.5251
355.000000	79.324	178.6360
360.000000	79.279	178.7570
365.000000	79.233	178.8647
370.000000	79.189	178.9683
375.000000	79.146	179.0853
382.000000	79.087	179.2857
387.000000	79.048	179.4559
395.000000	78.988	179.7101
400.000000	78.950	179.8662
406.000000	78.906	-179.9259
412.000000	78.859	-179.7177
418.000000	78.815	-179.5274
425.000000	78.767	-179.2836
431.000000	78.726	-179.0423
437.000000	78.685	-178.7944
444.000000	78.641	-178.5061
450.000000	78.605	-178.2466
455.000000	78.575	-178.0310
462.000000	78.531	-177.7254
468.000000	78.496	-177.4726
475.000000	78.456	-177.1744
482.000000	78.416	-176.8629
487.000000	78.390	-176.6390
494.000000	78.353	-176.3147
500.000000	78.322	-176.0269
508.000000	78.281	-175.6265
515.000000	78.247	-175.2786
522.000000	78.215	-174.9299
530.000000	78.180	-174.5205
538.000000	78.145	-174.1059
545.000000	78.115	-173.7290
552.000000	78.087	-173.3573
560.000000	78.058	-172.9220
570.000000	78.021	-172.3511
580.000000	77.985	-171.7770
590.000000	77.954	-171.1918
600.000000	77.924	-170.6017
608.000000	77.902	-170.1192
615.000000	77.886	-169.6893
622.000000	77.872	-169.2566
630.000000	77.856	-168.7704
640.000000	77.841	-168.1648
650.000000	77.828	-167.5498
660.000000	77.818	-166.9346
670.000000	77.810	-166.3142
680.000000	77.804	-165.6933
690.000000	77.796	-165.0768
700.000000	77.790	-164.4550
710.000000	77.787	-163.8335
720.000000	77.787	-163.2184
730.000000	77.789	-162.5992
740.000000	77.792	-161.9593
750.000000	77.798	-161.3159
762.000000	77.806	-160.5416
775.000000	77.820	-159.7028
788.000000	77.839	-158.8636
800.000000	77.859	-158.0760
812.000000	77.883	-157.2726
825.000000	77.914	-156.4039
838.000000	77.950	-155.5378
850.000000	77.987	-154.7408
862.000000	78.030	-153.9440
875.000000	78.081	-153.0853
885.000000	78.125	-152.4301
900.000000	78.196	-151.4554
912.000000	78.258	-150.6908
925.000000	78.332	-149.8833
938.000000	78.409	-149.0989
950.000000	78.485	-148.3929
962.000000	78.565	-147.7089
975.000000	78.656	-146.9903
988.000000	78.752	-146.2952
1000.000000	78.843	-145.6825
1015.000000	78.960	-144.9656
1030.000000	79.080	-144.2887
1044.000000	79.195	-143.6958
