* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jul 25, 2025 9:43:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Fission (Pop, S)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.181	-96.2646
20.600000	74.334	-96.5607
20.900000	74.491	-96.9645
21.200001	74.627	-97.4285
21.400000	74.705	-97.7582
21.799999	74.842	-98.4292
22.000000	74.905	-98.7601
22.400000	75.033	-99.4349
22.700001	75.134	-99.9053
23.000000	75.236	-100.3519
23.299999	75.335	-100.8232
23.600000	75.427	-101.2853
24.000000	75.539	-101.8950
24.299999	75.618	-102.3981
24.700001	75.725	-103.0778
25.000000	75.810	-103.5885
25.400000	75.931	-104.3080
25.799999	76.054	-104.9999
26.200001	76.173	-105.6674
26.500000	76.258	-106.1586
26.900000	76.366	-106.8047
27.200001	76.445	-107.2895
27.600000	76.552	-107.9361
28.000000	76.659	-108.5655
28.500000	76.787	-109.2840
29.000000	76.904	-109.9489
29.500000	77.014	-110.6026
30.000000	77.127	-111.2879
30.400000	77.223	-111.8490
30.700001	77.294	-112.2586
31.100000	77.384	-112.7815
31.500000	77.464	-113.2879
32.000000	77.558	-113.8906
32.500000	77.657	-114.5034
33.000000	77.759	-115.0947
33.500000	77.852	-115.7001
34.000000	77.931	-116.3033
34.500000	78.008	-116.9082
35.000000	78.097	-117.4752
35.500000	78.194	-118.0233
36.000000	78.283	-118.5877
36.500000	78.356	-119.1908
37.000000	78.426	-119.7977
37.500000	78.505	-120.3544
38.200001	78.619	-121.0800
38.700001	78.687	-121.6289
39.500000	78.780	-122.5661
40.000000	78.848	-123.1012
40.599998	78.941	-123.6608
41.200001	79.030	-124.1800
41.799999	79.110	-124.7309
42.500000	79.192	-125.4399
43.099998	79.253	-126.0669
43.700001	79.319	-126.6586
44.400002	79.420	-127.2688
45.000000	79.516	-127.7788
45.500000	79.577	-128.2337
46.200001	79.624	-128.8995
46.799999	79.655	-129.4543
47.500000	79.713	-130.0699
48.200001	79.783	-130.6643
48.700001	79.827	-131.0800
49.400002	79.882	-131.6588
50.000000	79.930	-132.1556
50.799999	80.000	-132.8318
51.500000	80.062	-133.4431
52.200001	80.116	-134.0384
53.000000	80.174	-134.6163
53.799999	80.241	-135.1557
54.500000	80.299	-135.7185
55.200001	80.341	-136.3069
56.000000	80.390	-136.8410
57.000000	80.467	-137.4084
58.000000	80.528	-138.1675
59.000000	80.530	-139.1078
60.000000	80.514	-140.0071
60.799999	80.577	-140.4557
61.500000	80.660	-140.7078
62.200001	80.717	-141.0140
63.000000	80.759	-141.4897
64.000000	80.817	-142.1690
65.000000	80.868	-142.8509
66.000000	80.902	-143.4574
67.000000	80.926	-144.0508
68.000000	80.967	-144.6675
69.000000	81.018	-145.2796
70.000000	81.055	-145.8324
71.000000	81.086	-146.3478
72.000000	81.115	-146.8654
73.000000	81.148	-147.3740
74.000000	81.179	-147.8949
75.000000	81.198	-148.4075
76.199997	81.229	-149.0297
77.500000	81.275	-149.6616
78.800003	81.311	-150.3140
80.000000	81.336	-150.8916
81.199997	81.358	-151.4005
82.500000	81.378	-151.9767
83.800003	81.403	-152.5951
85.000000	81.424	-153.1335
86.199997	81.441	-153.6400
87.500000	81.460	-154.2049
88.500000	81.477	-154.6254
90.000000	81.507	-155.2633
91.199997	81.525	-155.7558
92.500000	81.539	-156.3212
93.800003	81.542	-156.8350
95.000000	81.544	-157.2545
96.199997	81.555	-157.6387
97.500000	81.569	-158.0745
98.800003	81.578	-158.5238
100.000000	81.586	-158.9451
101.500000	81.590	-159.4760
103.000000	81.593	-160.0126
104.400002	81.595	-160.4935
106.000000	81.598	-161.0074
107.500000	81.603	-161.4964
109.000000	81.609	-161.9118
110.599998	81.611	-162.3598
112.000000	81.608	-162.7661
113.800003	81.608	-163.2666
115.000000	81.610	-163.6221
117.199997	81.599	-164.2745
118.000000	81.592	-164.4802
120.599998	81.578	-165.0515
122.000000	81.579	-165.5061
124.099998	81.573	-166.0766
125.000000	81.570	-166.2769
126.500000	81.563	-166.6170
128.000000	81.551	-166.9837
131.500000	81.527	-167.8241
132.000000	81.526	-167.9329
134.000000	81.516	-168.3209
136.000000	81.490	-168.6646
138.000000	81.464	-168.9892
140.000000	81.454	-169.3146
143.000000	81.437	-169.8672
145.000000	81.417	-170.2157
147.500000	81.391	-170.6772
150.000000	81.365	-171.1039
152.500000	81.341	-171.5300
155.000000	81.303	-172.0024
157.500000	81.253	-172.3604
160.000000	81.200	-172.5348
162.500000	81.173	-172.5035
165.000000	81.187	-172.5017
167.500000	81.218	-172.8141
170.000000	81.233	-173.3217
172.500000	81.221	-173.8123
175.000000	81.194	-174.2439
177.500000	81.165	-174.6474
180.000000	81.133	-174.9961
182.500000	81.098	-175.2625
185.000000	81.067	-175.5006
187.500000	81.039	-175.7647
190.000000	81.010	-176.0329
192.500000	80.977	-176.2824
195.000000	80.941	-176.5190
197.500000	80.905	-176.7411
200.000000	80.869	-176.9149
203.000000	80.829	-177.0774
206.000000	80.802	-177.2378
209.000000	80.776	-177.3997
212.000000	80.746	-177.5779
214.000000	80.727	-177.7090
218.000000	80.691	-177.9455
220.000000	80.672	-178.0590
224.000000	80.630	-178.2902
227.000000	80.595	-178.4636
230.000000	80.558	-178.5926
233.000000	80.520	-178.7340
236.000000	80.489	-178.8897
240.000000	80.453	-179.0647
243.000000	80.423	-179.1776
247.000000	80.381	-179.3250
250.000000	80.351	-179.4144
254.000000	80.310	-179.5304
258.000000	80.269	-179.6490
262.000000	80.227	-179.7626
265.000000	80.195	-179.8357
269.000000	80.153	-179.9062
272.000000	80.121	-179.9484
276.000000	80.077	179.9808
280.000000	80.033	179.9155
285.000000	79.985	179.8624
290.000000	79.938	179.8300
295.000000	79.891	179.8133
300.000000	79.840	179.8000
304.000000	79.799	179.8002
307.000000	79.769	179.7997
311.000000	79.731	179.8033
315.000000	79.693	179.8006
320.000000	79.646	179.8211
325.000000	79.599	179.8769
330.000000	79.555	179.9572
335.000000	79.512	-179.9530
340.000000	79.466	-179.8905
345.000000	79.421	-179.8335
350.000000	79.381	-179.7327
355.000000	79.339	-179.6319
360.000000	79.297	-179.5381
365.000000	79.259	-179.4296
370.000000	79.223	-179.3054
375.000000	79.187	-179.1712
382.000000	79.133	-178.9837
387.000000	79.096	-178.8491
395.000000	79.040	-178.5955
400.000000	79.008	-178.4351
406.000000	78.969	-178.2555
412.000000	78.928	-178.0611
418.000000	78.891	-177.8597
425.000000	78.847	-177.6216
431.000000	78.811	-177.4052
437.000000	78.775	-177.1807
444.000000	78.737	-176.9285
450.000000	78.705	-176.6964
455.000000	78.677	-176.4946
462.000000	78.639	-176.2024
468.000000	78.608	-175.9490
475.000000	78.575	-175.6546
482.000000	78.541	-175.3605
487.000000	78.517	-175.1456
494.000000	78.485	-174.8342
500.000000	78.458	-174.5676
508.000000	78.425	-174.2050
515.000000	78.397	-173.8731
522.000000	78.370	-173.5406
530.000000	78.338	-173.1602
538.000000	78.309	-172.7779
545.000000	78.284	-172.4374
552.000000	78.261	-172.0841
560.000000	78.236	-171.6805
570.000000	78.205	-171.1662
580.000000	78.178	-170.6352
590.000000	78.154	-170.1154
600.000000	78.130	-169.5952
608.000000	78.112	-169.1654
615.000000	78.098	-168.7863
622.000000	78.085	-168.4054
630.000000	78.073	-167.9686
640.000000	78.057	-167.4214
650.000000	78.042	-166.8712
660.000000	78.030	-166.3161
670.000000	78.018	-165.7574
680.000000	78.008	-165.1916
690.000000	78.000	-164.6120
700.000000	77.993	-164.0228
710.000000	77.987	-163.4396
720.000000	77.983	-162.8531
730.000000	77.981	-162.2511
740.000000	77.981	-161.6428
750.000000	77.982	-161.0254
762.000000	77.987	-160.2608
775.000000	77.997	-159.4232
788.000000	78.013	-158.5712
