* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jul 25, 2025 9:30:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Fission (S)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.252	-165.8049
20.600000	84.268	-166.0487
20.900000	84.281	-166.3227
21.200001	84.290	-166.5745
21.400000	84.295	-166.7270
21.799999	84.305	-166.9988
22.000000	84.310	-167.1264
22.400000	84.317	-167.4214
22.700001	84.322	-167.6418
23.000000	84.326	-167.8672
23.299999	84.327	-168.1384
23.600000	84.326	-168.4105
24.000000	84.321	-168.7638
24.299999	84.315	-169.0607
24.700001	84.307	-169.4367
25.000000	84.302	-169.6985
25.400000	84.299	-170.0680
25.799999	84.301	-170.4060
26.200001	84.308	-170.7293
26.500000	84.316	-170.9713
26.900000	84.328	-171.2952
27.200001	84.335	-171.5449
27.600000	84.341	-171.8870
28.000000	84.342	-172.2185
28.500000	84.346	-172.5481
29.000000	84.362	-172.7629
29.500000	84.389	-172.9010
30.000000	84.410	-173.0757
30.400000	84.413	-173.2926
30.700001	84.406	-173.4936
31.100000	84.391	-173.7864
31.500000	84.376	-174.0792
32.000000	84.365	-174.3959
32.500000	84.361	-174.7098
33.000000	84.361	-175.0207
33.500000	84.361	-175.3562
34.000000	84.359	-175.6628
34.500000	84.355	-175.9382
35.000000	84.346	-176.1762
35.500000	84.337	-176.4147
36.000000	84.327	-176.6665
36.500000	84.316	-176.9317
37.000000	84.302	-177.1950
37.500000	84.291	-177.4430
38.200001	84.290	-177.7886
38.700001	84.302	-178.0340
39.500000	84.320	-178.3480
40.000000	84.322	-178.4471
40.599998	84.317	-178.5098
41.200001	84.310	-178.5994
41.799999	84.301	-178.7832
42.500000	84.286	-179.1026
43.099998	84.263	-179.4134
43.700001	84.232	-179.7173
44.400002	84.207	179.9869
45.000000	84.208	179.7831
45.500000	84.218	179.6299
46.200001	84.222	179.4186
46.799999	84.215	179.2249
47.500000	84.208	178.9705
48.200001	84.203	178.7136
48.700001	84.198	178.5547
49.400002	84.190	178.3677
50.000000	84.182	178.2190
50.799999	84.169	178.0034
51.500000	84.155	177.8083
52.200001	84.140	177.6281
53.000000	84.119	177.4383
53.799999	84.099	177.2426
54.500000	84.084	177.0733
55.200001	84.075	176.8686
56.000000	84.076	176.5721
57.000000	84.091	176.3908
58.000000	84.095	176.3608
59.000000	84.052	176.1409
60.000000	83.971	175.9631
60.799999	83.945	175.6535
61.500000	83.960	175.2871
62.200001	83.974	175.0699
63.000000	83.971	174.9627
64.000000	83.959	174.7264
65.000000	83.939	174.4802
66.000000	83.915	174.3313
67.000000	83.896	174.1611
68.000000	83.876	173.9006
69.000000	83.858	173.7094
70.000000	83.848	173.5493
71.000000	83.844	173.3761
72.000000	83.834	173.1889
73.000000	83.815	172.9687
74.000000	83.790	172.7992
75.000000	83.767	172.5894
76.199997	83.746	172.3110
77.500000	83.726	172.0820
78.800003	83.703	171.8492
80.000000	83.679	171.7309
81.199997	83.652	171.6439
82.500000	83.631	171.4855
83.800003	83.617	171.2167
85.000000	83.604	171.0061
86.199997	83.584	170.8301
87.500000	83.554	170.6397
88.500000	83.534	170.5207
90.000000	83.501	170.3881
91.199997	83.471	170.3000
92.500000	83.437	170.1506
93.800003	83.404	169.9717
95.000000	83.392	169.8979
96.199997	83.377	169.7047
97.500000	83.360	169.4487
98.800003	83.341	169.2809
100.000000	83.311	169.1703
101.500000	83.283	169.0042
103.000000	83.259	168.8409
104.400002	83.240	168.6806
106.000000	83.211	168.4813
107.500000	83.178	168.3073
109.000000	83.151	168.1593
110.599998	83.118	168.0053
112.000000	83.078	167.8872
113.800003	83.044	167.7531
115.000000	83.025	167.6693
117.199997	82.981	167.4193
118.000000	82.971	167.3312
120.599998	82.928	167.0292
122.000000	82.905	166.9216
124.099998	82.871	166.8186
125.000000	82.852	166.7934
126.500000	82.823	166.7195
128.000000	82.795	166.5982
131.500000	82.734	166.2134
132.000000	82.725	166.1546
134.000000	82.685	165.9942
136.000000	82.630	165.9479
138.000000	82.561	165.8724
140.000000	82.509	165.7637
143.000000	82.463	165.5849
145.000000	82.422	165.4928
147.500000	82.357	165.4132
150.000000	82.282	165.2949
152.500000	82.218	165.3058
155.000000	82.183	165.5120
157.500000	82.180	165.6043
160.000000	82.176	165.5574
162.500000	82.146	165.4618
165.000000	82.105	165.3186
167.500000	82.060	165.1249
170.000000	82.016	165.0118
172.500000	81.967	164.9904
175.000000	81.922	165.0070
177.500000	81.891	164.9722
180.000000	81.852	164.8752
182.500000	81.807	164.8286
185.000000	81.763	164.7945
187.500000	81.726	164.7318
190.000000	81.693	164.6778
192.500000	81.655	164.6517
195.000000	81.614	164.6572
197.500000	81.572	164.6154
200.000000	81.525	164.5607
203.000000	81.476	164.5711
206.000000	81.423	164.5190
209.000000	81.364	164.4769
212.000000	81.319	164.5183
214.000000	81.293	164.5197
218.000000	81.239	164.5220
220.000000	81.211	164.5586
224.000000	81.155	164.6478
227.000000	81.115	164.6663
230.000000	81.073	164.6824
233.000000	81.031	164.7373
236.000000	80.985	164.8068
240.000000	80.923	164.8487
243.000000	80.877	164.8599
247.000000	80.814	164.8831
250.000000	80.767	164.9455
254.000000	80.703	165.0356
258.000000	80.641	165.1335
262.000000	80.585	165.2484
265.000000	80.546	165.3533
269.000000	80.497	165.5278
272.000000	80.464	165.6770
276.000000	80.423	165.8364
280.000000	80.378	165.9545
285.000000	80.319	166.0667
290.000000	80.259	166.2238
295.000000	80.201	166.4096
300.000000	80.141	166.5975
304.000000	80.092	166.7191
307.000000	80.055	166.7868
311.000000	80.008	166.8989
315.000000	79.963	167.0440
320.000000	79.908	167.2283
325.000000	79.854	167.4186
330.000000	79.799	167.6508
335.000000	79.746	167.8846
340.000000	79.694	168.0960
345.000000	79.645	168.3198
350.000000	79.598	168.5821
355.000000	79.550	168.8052
360.000000	79.500	169.0166
365.000000	79.449	169.2587
370.000000	79.405	169.4879
375.000000	79.363	169.7353
382.000000	79.301	170.1215
387.000000	79.252	170.4137
395.000000	79.178	170.8252
400.000000	79.138	171.0432
406.000000	79.093	171.3788
412.000000	79.047	171.7213
418.000000	79.002	172.0561
425.000000	78.949	172.4472
431.000000	78.905	172.7709
437.000000	78.862	173.1087
444.000000	78.814	173.5117
450.000000	78.773	173.8345
455.000000	78.740	174.0986
462.000000	78.692	174.5125
468.000000	78.654	174.9088
475.000000	78.614	175.3450
482.000000	78.574	175.7731
487.000000	78.547	176.0714
494.000000	78.507	176.4775
500.000000	78.475	176.8406
508.000000	78.434	177.3256
515.000000	78.396	177.7749
522.000000	78.360	178.2290
530.000000	78.320	178.7297
538.000000	78.279	179.2435
545.000000	78.248	179.7114
552.000000	78.219	-179.8238
560.000000	78.187	-179.3017
570.000000	78.149	-178.6743
580.000000	78.114	-178.0018
590.000000	78.077	-177.3183
600.000000	78.043	-176.6427
608.000000	78.020	-176.1125
615.000000	78.002	-175.6350
622.000000	77.985	-175.1441
630.000000	77.967	-174.5706
640.000000	77.946	-173.8387
650.000000	77.927	-173.1513
660.000000	77.912	-172.4548
670.000000	77.897	-171.7368
680.000000	77.887	-171.0167
690.000000	77.878	-170.3215
700.000000	77.871	-169.6357
710.000000	77.869	-168.9298
720.000000	77.870	-168.2265
730.000000	77.869	-167.5090
740.000000	77.872	-166.8088
750.000000	77.876	-166.1020
762.000000	77.883	-165.2340
775.000000	77.894	-164.3013
788.000000	77.914	-163.3862
800.000000	77.934	-162.5196
812.000000	77.955	-161.6389
825.000000	77.987	-160.7035
838.000000	78.028	-159.7737
850.000000	78.066	-158.9058
862.000000	78.106	-158.0469
875.000000	78.156	-157.1277
885.000000	78.199	-156.4243
900.000000	78.270	-155.3817
912.000000	78.332	-154.5646
925.000000	78.404	-153.7006
938.000000	78.482	-152.8734
950.000000	78.559	-152.1180
962.000000	78.639	-151.3815
975.000000	78.729	-150.6160
988.000000	78.821	-149.8819
1000.000000	78.912	-149.2311
1015.000000	79.029	-148.4514
1030.000000	79.149	-147.7124
1044.000000	79.265	-147.0699
1060.000000	79.399	-146.3927
1075.000000	79.524	-145.8159
1090.000000	79.652	-145.2965
1106.000000	79.788	-144.7786
1120.000000	79.906	-144.3676
1138.000000	80.056	-143.8946
1150.000000	80.156	-143.6078
1172.000000	80.333	-143.1430
1180.000000	80.397	-142.9924
1206.000000	80.598	-142.5690
1220.000000	80.703	-142.3695
1241.000000	80.855	-142.0954
1250.000000	80.918	-141.9871
1265.000000	81.022	-141.8233
1280.000000	81.123	-141.6816
1315.000000	81.348	-141.3770
1320.000000	81.378	-141.3367
1340.000000	81.499	-141.1859
1360.000000	81.616	-141.0403
1380.000000	81.730	-140.9079
1400.000000	81.842	-140.7803
1430.000000	82.004	-140.5846
1450.000000	82.108	-140.4534
1475.000000	82.237	-140.2869
1500.000000	82.364	-140.1302
1525.000000	82.490	-139.9786
