* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jul 25, 2025 9:38:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Fission (S)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.893	-165.3830
20.600000	83.909	-165.5584
20.900000	83.921	-165.7482
21.200001	83.930	-165.9252
21.400000	83.935	-166.0433
21.799999	83.945	-166.2963
22.000000	83.949	-166.4384
22.400000	83.955	-166.7891
22.700001	83.959	-167.0502
23.000000	83.962	-167.2945
23.299999	83.965	-167.5538
23.600000	83.965	-167.7864
24.000000	83.965	-168.0689
24.299999	83.962	-168.3226
24.700001	83.958	-168.6800
25.000000	83.955	-168.9600
25.400000	83.955	-169.3797
25.799999	83.957	-169.7661
26.200001	83.961	-170.1093
26.500000	83.965	-170.3447
26.900000	83.969	-170.6449
27.200001	83.973	-170.8798
27.600000	83.980	-171.2209
28.000000	83.991	-171.5733
28.500000	84.003	-171.9368
29.000000	84.007	-172.1682
29.500000	84.002	-172.3111
30.000000	84.000	-172.5082
30.400000	84.005	-172.7602
30.700001	84.012	-172.9854
31.100000	84.021	-173.2845
31.500000	84.024	-173.5391
32.000000	84.020	-173.7624
32.500000	84.015	-173.9862
33.000000	84.014	-174.2495
33.500000	84.011	-174.5651
34.000000	84.002	-174.8441
34.500000	83.992	-175.0797
35.000000	83.988	-175.2950
35.500000	83.989	-175.5474
36.000000	83.986	-175.8340
36.500000	83.978	-176.1267
37.000000	83.971	-176.3992
37.500000	83.971	-176.6426
38.200001	83.978	-176.9623
38.700001	83.975	-177.1829
39.500000	83.963	-177.5131
40.000000	83.960	-177.6883
40.599998	83.961	-177.8823
41.200001	83.959	-178.0771
41.799999	83.951	-178.2827
42.500000	83.940	-178.5152
43.099998	83.929	-178.7148
43.700001	83.915	-178.9337
44.400002	83.904	-179.1550
45.000000	83.902	-179.2819
45.500000	83.902	-179.3922
46.200001	83.894	-179.6547
46.799999	83.881	-179.9535
47.500000	83.867	179.7520
48.200001	83.858	179.5505
48.700001	83.850	179.4178
49.400002	83.838	179.2158
50.000000	83.828	179.0417
50.799999	83.820	178.8011
51.500000	83.811	178.5760
52.200001	83.797	178.3685
53.000000	83.785	178.2048
53.799999	83.782	178.0826
54.500000	83.776	177.9319
55.200001	83.764	177.7386
56.000000	83.743	177.4930
57.000000	83.718	177.1312
58.000000	83.710	176.8793
59.000000	83.700	176.4587
60.000000	83.680	175.8130
60.799999	83.668	175.7695
61.500000	83.656	175.9678
62.200001	83.642	176.0030
63.000000	83.627	175.8328
64.000000	83.608	175.6638
65.000000	83.592	175.5573
66.000000	83.581	175.3882
67.000000	83.567	175.1500
68.000000	83.554	174.9154
69.000000	83.534	174.7074
70.000000	83.513	174.5463
71.000000	83.497	174.3876
72.000000	83.481	174.1989
73.000000	83.469	174.0158
74.000000	83.456	173.8663
75.000000	83.438	173.7162
76.199997	83.415	173.4941
77.500000	83.396	173.2516
78.800003	83.375	173.0477
80.000000	83.356	172.9110
81.199997	83.335	172.7565
82.500000	83.311	172.6017
83.800003	83.293	172.4420
85.000000	83.275	172.2632
86.199997	83.253	172.0838
87.500000	83.227	171.8912
88.500000	83.207	171.7538
90.000000	83.170	171.5362
91.199997	83.146	171.3673
92.500000	83.130	171.2317
93.800003	83.116	171.1175
95.000000	83.097	171.0116
96.199997	83.073	170.8655
97.500000	83.045	170.7029
98.800003	83.021	170.5726
100.000000	83.003	170.4423
101.500000	82.983	170.2904
103.000000	82.957	170.1374
104.400002	82.930	169.9613
106.000000	82.898	169.7939
107.500000	82.870	169.7010
109.000000	82.848	169.5559
110.599998	82.828	169.3912
112.000000	82.803	169.2633
113.800003	82.772	169.0907
115.000000	82.752	168.9827
117.199997	82.710	168.8331
118.000000	82.691	168.7783
120.599998	82.628	168.6293
122.000000	82.609	168.5160
124.099998	82.579	168.3572
125.000000	82.564	168.3059
126.500000	82.536	168.2244
128.000000	82.505	168.1096
131.500000	82.444	167.8481
132.000000	82.435	167.8240
134.000000	82.399	167.8049
136.000000	82.354	167.7874
138.000000	82.320	167.6442
140.000000	82.302	167.5176
143.000000	82.248	167.4499
145.000000	82.209	167.3711
147.500000	82.168	167.2368
150.000000	82.123	167.0972
152.500000	82.077	166.9815
155.000000	82.033	166.9021
157.500000	81.988	166.7691
160.000000	81.937	166.6448
162.500000	81.884	166.6041
165.000000	81.834	166.5811
167.500000	81.787	166.5693
170.000000	81.740	166.5704
172.500000	81.694	166.6049
175.000000	81.658	166.6820
177.500000	81.628	166.7206
180.000000	81.599	166.6736
182.500000	81.570	166.6681
185.000000	81.535	166.6484
187.500000	81.497	166.6373
190.000000	81.458	166.6613
192.500000	81.417	166.7101
195.000000	81.380	166.7883
197.500000	81.349	166.8022
200.000000	81.323	166.7850
203.000000	81.291	166.8162
206.000000	81.258	166.8340
209.000000	81.232	166.7934
212.000000	81.204	166.7792
214.000000	81.181	166.7659
218.000000	81.127	166.7174
220.000000	81.100	166.7261
224.000000	81.050	166.7715
227.000000	81.013	166.7948
230.000000	80.974	166.7736
233.000000	80.934	166.7514
236.000000	80.894	166.7754
240.000000	80.839	166.7942
243.000000	80.796	166.8342
247.000000	80.743	166.8876
250.000000	80.705	166.9247
254.000000	80.654	166.9984
258.000000	80.603	167.0759
262.000000	80.554	167.1515
265.000000	80.516	167.2051
269.000000	80.466	167.3027
272.000000	80.431	167.3893
276.000000	80.383	167.4820
280.000000	80.335	167.5881
285.000000	80.274	167.7346
290.000000	80.217	167.8959
295.000000	80.158	168.0850
300.000000	80.100	168.2753
304.000000	80.056	168.4126
307.000000	80.024	168.5184
311.000000	79.983	168.6711
315.000000	79.943	168.8279
320.000000	79.896	169.0263
325.000000	79.848	169.2192
330.000000	79.797	169.4209
335.000000	79.745	169.6631
340.000000	79.697	169.8806
