* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Mar 11, 2025 8:28:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Mino (SBC, Nuarl 7)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.953	-134.4778
20.299999	97.944	-136.7831
20.600000	97.936	-139.0876
20.900000	97.931	-141.3885
21.200001	97.928	-143.6814
21.400000	97.928	-145.2034
21.799999	97.932	-148.2247
22.000000	97.936	-149.7212
22.400000	97.948	-152.6789
22.700001	97.960	-154.8618
23.000000	97.974	-157.0109
23.299999	97.989	-159.1241
23.600000	98.004	-161.2007
24.000000	98.023	-163.9133
24.299999	98.037	-165.9084
24.700001	98.053	-168.5221
25.000000	98.062	-170.4529
25.400000	98.070	-172.9955
25.799999	98.074	-175.5104
26.200001	98.073	-178.0057
26.500000	98.070	-179.8692
26.900000	98.063	177.6512
27.200001	98.056	175.7919
27.600000	98.046	173.3096
28.000000	98.035	170.8234
28.500000	98.023	167.7146
29.000000	98.013	164.6144
29.500000	98.007	161.5317
30.000000	98.006	158.4719
30.400000	98.009	156.0438
30.700001	98.012	154.2368
31.100000	98.016	151.8508
31.500000	98.020	149.4958
32.000000	98.026	146.5987
32.500000	98.030	143.7488
33.000000	98.033	140.9362
33.500000	98.034	138.1513
34.000000	98.031	135.3880
34.500000	98.026	132.6406
35.000000	98.018	129.9024
35.500000	98.010	127.1683
36.000000	98.001	124.4365
36.500000	97.992	121.7096
37.000000	97.984	118.9906
37.500000	97.978	116.2820
38.200001	97.972	112.5136
38.700001	97.968	109.8455
39.500000	97.964	105.6275
40.000000	97.963	103.0230
40.599998	97.960	99.9265
41.200001	97.957	96.8583
41.799999	97.952	93.8140
42.500000	97.945	90.2851
43.099998	97.938	87.2758
43.700001	97.929	84.2792
44.400002	97.919	80.7975
45.000000	97.911	77.8243
45.500000	97.903	75.3568
46.200001	97.894	71.9222
46.799999	97.886	68.9973
47.500000	97.879	65.6019
48.200001	97.871	62.2253
48.700001	97.865	59.8282
49.400002	97.856	56.4937
50.000000	97.849	53.6521
50.799999	97.839	49.8835
51.500000	97.829	46.6062
52.200001	97.819	43.3476
53.000000	97.807	39.6448
53.799999	97.795	35.9642
54.500000	97.784	32.7585
55.200001	97.772	29.5650
56.000000	97.759	25.9331
57.000000	97.743	21.4155
58.000000	97.728	16.9254
59.000000	97.714	12.4664
60.000000	97.700	8.0177
60.799999	97.686	4.4863
61.500000	97.672	1.4298
62.200001	97.661	-1.6108
63.000000	97.648	-5.0824
64.000000	97.629	-9.4100
65.000000	97.610	-13.7177
66.000000	97.592	-18.0093
67.000000	97.573	-22.2792
68.000000	97.556	-26.5234
69.000000	97.538	-30.7413
70.000000	97.520	-34.9335
71.000000	97.501	-39.1053
72.000000	97.481	-43.2609
73.000000	97.461	-47.3990
74.000000	97.442	-51.5221
75.000000	97.422	-55.6302
76.199997	97.398	-60.5341
77.500000	97.372	-65.8178
78.800003	97.345	-71.0720
80.000000	97.320	-75.8986
81.199997	97.294	-80.7051
82.500000	97.267	-85.8926
83.800003	97.239	-91.0596
85.000000	97.213	-95.8075
86.199997	97.187	-100.5342
87.500000	97.158	-105.6301
88.500000	97.136	-109.5327
90.000000	97.102	-115.3630
91.199997	97.074	-120.0066
92.500000	97.043	-125.0190
93.800003	97.012	-130.0140
95.000000	96.983	-134.6052
96.199997	96.955	-139.1790
97.500000	96.925	-144.1155
98.800003	96.894	-149.0339
100.000000	96.864	-153.5607
101.500000	96.826	-159.2024
103.000000	96.788	-164.8268
104.400002	96.752	-170.0576
106.000000	96.712	-176.0120
107.500000	96.674	178.4279
109.000000	96.634	172.8864
110.599998	96.591	166.9932
112.000000	96.551	161.8539
113.800003	96.499	155.2709
115.000000	96.463	150.8977
117.199997	96.395	142.9241
118.000000	96.370	140.0391
120.599998	96.288	130.7028
122.000000	96.243	125.6979
124.099998	96.177	118.2154
125.000000	96.148	115.0177
126.500000	96.101	109.6971
128.000000	96.053	104.3887
131.500000	95.946	92.0416
132.000000	95.931	90.2810
134.000000	95.873	83.2501
136.000000	95.816	76.2389
138.000000	95.761	69.2393
140.000000	95.707	62.2534
143.000000	95.632	51.8010
145.000000	95.582	44.8630
147.500000	95.521	36.2354
150.000000	95.461	27.6437
152.500000	95.401	19.0835
155.000000	95.343	10.5518
157.500000	95.286	2.0485
160.000000	95.230	-6.4330
162.500000	95.176	-14.8920
165.000000	95.122	-23.3258
167.500000	95.069	-31.7290
170.000000	95.017	-40.1043
172.500000	94.966	-48.4567
175.000000	94.916	-56.7878
177.500000	94.866	-65.0994
180.000000	94.816	-73.3853
182.500000	94.766	-81.6367
185.000000	94.714	-89.8575
187.500000	94.660	-98.0406
190.000000	94.608	-106.1747
192.500000	94.561	-114.2591
195.000000	94.519	-122.3280
197.500000	94.480	-130.4180
200.000000	94.441	-138.5288
203.000000	94.387	-148.2544
206.000000	94.324	-157.9448
209.000000	94.256	-167.5850
212.000000	94.189	-177.1431
214.000000	94.145	176.5271
218.000000	94.057	163.8979
220.000000	94.012	157.6030
224.000000	93.927	145.0505
227.000000	93.871	135.6578
230.000000	93.814	126.2931
233.000000	93.748	116.9539
236.000000	93.678	107.6582
240.000000	93.589	95.3727
243.000000	93.528	86.2153
247.000000	93.455	73.9690
250.000000	93.395	64.7286
254.000000	93.293	52.4379
258.000000	93.173	40.3032
262.000000	93.052	28.3230
265.000000	92.965	19.4080
269.000000	92.853	7.6089
272.000000	92.773	-1.1964
276.000000	92.670	-12.9288
280.000000	92.563	-24.6415
285.000000	92.425	-39.2141
290.000000	92.287	-53.6860
295.000000	92.144	-68.0435
300.000000	91.997	-82.2690
304.000000	91.878	-93.5656
307.000000	91.788	-101.9880
311.000000	91.669	-113.1497
315.000000	91.551	-124.2526
320.000000	91.403	-138.0516
325.000000	91.259	-151.7441
330.000000	91.117	-165.3374
335.000000	90.978	-178.8356
340.000000	90.839	167.7484
345.000000	90.700	154.4000
