* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Mar 11, 2025 8:34:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Mino (SBC, Nuarl 7)
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.951	-131.5435
20.299999	97.938	-133.9576
20.600000	97.928	-136.3693
20.900000	97.920	-138.7747
21.200001	97.917	-141.1690
21.400000	97.917	-142.7559
21.799999	97.922	-145.9008
22.000000	97.927	-147.4550
22.400000	97.942	-150.5186
22.700001	97.956	-152.7717
23.000000	97.973	-154.9823
23.299999	97.990	-157.1487
23.600000	98.008	-159.2712
24.000000	98.032	-162.0359
24.299999	98.048	-164.0650
24.700001	98.067	-166.7181
25.000000	98.078	-168.6747
25.400000	98.089	-171.2473
25.799999	98.094	-173.7887
26.200001	98.094	-176.3099
26.500000	98.092	-178.1936
26.900000	98.086	179.2991
27.200001	98.079	177.4197
27.600000	98.069	174.9149
28.000000	98.060	172.4117
28.500000	98.050	169.2852
29.000000	98.044	166.1625
29.500000	98.043	163.0502
30.000000	98.044	159.9651
30.400000	98.047	157.5300
30.700001	98.050	155.7271
31.100000	98.056	153.3550
31.500000	98.063	151.0164
32.000000	98.073	148.1329
32.500000	98.080	145.2888
33.000000	98.084	142.4816
33.500000	98.084	139.7072
34.000000	98.082	136.9562
34.500000	98.077	134.2167
35.000000	98.070	131.4811
35.500000	98.062	128.7470
36.000000	98.054	126.0160
36.500000	98.046	123.2908
37.000000	98.039	120.5749
37.500000	98.034	117.8723
38.200001	98.031	114.1189
38.700001	98.030	111.4636
39.500000	98.030	107.2661
40.000000	98.030	104.6758
40.599998	98.030	101.5985
41.200001	98.028	98.5485
41.799999	98.024	95.5206
42.500000	98.018	92.0117
43.099998	98.012	89.0177
43.700001	98.006	86.0288
44.400002	97.997	82.5522
45.000000	97.989	79.5927
45.500000	97.983	77.1425
46.200001	97.978	73.7252
46.799999	97.973	70.8031
47.500000	97.967	67.4144
48.200001	97.960	64.0582
48.700001	97.955	61.6775
49.400002	97.949	58.3615
50.000000	97.943	55.5339
50.799999	97.935	51.7862
51.500000	97.927	48.5288
52.200001	97.920	45.2886
53.000000	97.911	41.6008
53.799999	97.900	37.9380
54.500000	97.892	34.7532
55.200001	97.884	31.5728
56.000000	97.873	27.9529
57.000000	97.860	23.4628
58.000000	97.848	18.9863
59.000000	97.837	14.5746
60.000000	97.833	10.1523
60.799999	97.821	6.6111
61.500000	97.808	3.5735
62.200001	97.799	0.5579
63.000000	97.789	-2.9056
64.000000	97.772	-7.2015
65.000000	97.759	-11.4839
66.000000	97.743	-15.7675
67.000000	97.728	-20.0079
68.000000	97.715	-24.2312
69.000000	97.702	-28.4226
70.000000	97.689	-32.5928
71.000000	97.674	-36.7456
72.000000	97.659	-40.8770
73.000000	97.644	-44.9985
74.000000	97.628	-49.1050
75.000000	97.614	-53.1915
76.199997	97.596	-58.0807
77.500000	97.575	-63.3362
78.800003	97.556	-68.5650
80.000000	97.537	-73.3735
81.199997	97.518	-78.1576
82.500000	97.496	-83.3226
83.800003	97.475	-88.4554
85.000000	97.455	-93.1846
86.199997	97.434	-97.8824
87.500000	97.413	-102.9557
88.500000	97.397	-106.8411
