* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 1, 2025 8:55:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Tanchjim One (3.5, Narrow)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	87.054	-148.6121
20.600000	87.100	-149.0075
20.900000	87.148	-149.4619
21.200001	87.195	-149.9193
21.400000	87.225	-150.2218
21.799999	87.282	-150.8133
22.000000	87.308	-151.1031
22.400000	87.353	-151.7101
22.700001	87.382	-152.1455
23.000000	87.410	-152.5675
23.299999	87.436	-153.0202
23.600000	87.461	-153.4647
24.000000	87.494	-154.0450
24.299999	87.516	-154.5168
24.700001	87.544	-155.1382
25.000000	87.564	-155.5943
25.400000	87.592	-156.2357
25.799999	87.621	-156.8573
26.200001	87.652	-157.4698
26.500000	87.677	-157.9255
26.900000	87.709	-158.5179
27.200001	87.732	-158.9498
27.600000	87.762	-159.5098
28.000000	87.792	-160.0507
28.500000	87.830	-160.6835
29.000000	87.866	-161.2883
29.500000	87.897	-161.8647
30.000000	87.922	-162.4252
30.400000	87.939	-162.8646
30.700001	87.951	-163.1860
31.100000	87.968	-163.6095
31.500000	87.984	-164.0399
32.000000	88.001	-164.5674
32.500000	88.012	-165.1086
33.000000	88.018	-165.6210
33.500000	88.023	-166.1362
34.000000	88.030	-166.6454
34.500000	88.037	-167.1758
35.000000	88.044	-167.7027
35.500000	88.052	-168.2204
36.000000	88.062	-168.7152
36.500000	88.074	-169.1957
37.000000	88.084	-169.6729
37.500000	88.093	-170.1476
38.200001	88.100	-170.8066
38.700001	88.103	-171.2513
39.500000	88.102	-171.8973
40.000000	88.100	-172.2750
40.599998	88.100	-172.7442
41.200001	88.103	-173.2247
41.799999	88.104	-173.6969
42.500000	88.099	-174.2320
43.099998	88.092	-174.6887
43.700001	88.089	-175.1365
44.400002	88.089	-175.6171
45.000000	88.086	-176.0237
45.500000	88.078	-176.3882
46.200001	88.061	-176.9210
46.799999	88.050	-177.3527
47.500000	88.043	-177.8126
48.200001	88.035	-178.2569
48.700001	88.028	-178.5749
49.400002	88.016	-179.0184
