* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 1, 2025 8:59:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Tanchjim One (3.5, Narrow)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.700	-146.1263
20.600000	86.746	-146.5108
20.900000	86.794	-146.9507
21.200001	86.843	-147.3870
21.400000	86.876	-147.6709
21.799999	86.944	-148.2152
22.000000	86.977	-148.4787
22.400000	87.039	-149.0351
22.700001	87.080	-149.4397
23.000000	87.116	-149.8399
23.299999	87.148	-150.2794
23.600000	87.178	-150.7160
24.000000	87.216	-151.2873
24.299999	87.244	-151.7490
24.700001	87.279	-152.3512
25.000000	87.306	-152.7901
25.400000	87.341	-153.4095
25.799999	87.377	-154.0131
26.200001	87.414	-154.6097
26.500000	87.442	-155.0519
26.900000	87.480	-155.6211
27.200001	87.508	-156.0322
27.600000	87.546	-156.5642
28.000000	87.584	-157.0828
28.500000	87.634	-157.7012
29.000000	87.680	-158.3022
29.500000	87.719	-158.8780
30.000000	87.753	-159.4372
30.400000	87.778	-159.8743
30.700001	87.796	-160.1917
31.100000	87.820	-160.6045
31.500000	87.841	-161.0171
32.000000	87.863	-161.5192
32.500000	87.879	-162.0470
33.000000	87.892	-162.5675
33.500000	87.906	-163.1042
34.000000	87.921	-163.6290
34.500000	87.938	-164.1564
35.000000	87.955	-164.6647
35.500000	87.970	-165.1638
36.000000	87.983	-165.6568
36.500000	87.996	-166.1576
37.000000	88.011	-166.6628
37.500000	88.028	-167.1460
38.200001	88.051	-167.7623
38.700001	88.061	-168.1642
39.500000	88.071	-168.7965
40.000000	88.077	-169.1989
40.599998	88.087	-169.6983
41.200001	88.096	-170.1992
41.799999	88.101	-170.6964
42.500000	88.103	-171.2695
43.099998	88.104	-171.7468
43.700001	88.105	-172.1937
44.400002	88.104	-172.6583
45.000000	88.102	-173.0570
45.500000	88.103	-173.4278
46.200001	88.106	-173.9872
46.799999	88.107	-174.4453
47.500000	88.104	-174.9305
48.200001	88.099	-175.4001
48.700001	88.096	-175.7355
49.400002	88.090	-176.1902
50.000000	88.085	-176.5595
50.799999	88.078	-177.0558
51.500000	88.072	-177.4996
52.200001	88.065	-177.9332
53.000000	88.055	-178.4055
53.799999	88.043	-178.8565
54.500000	88.030	-179.2447
55.200001	88.021	-179.6571
56.000000	88.010	179.8735
57.000000	87.984	179.3522
58.000000	87.961	178.8110
59.000000	87.937	178.5594
60.000000	87.909	178.4035
60.799999	87.904	177.8406
61.500000	87.902	177.2386
62.200001	87.890	176.8012
63.000000	87.871	176.4305
64.000000	87.848	175.9580
65.000000	87.824	175.5190
66.000000	87.800	175.0717
67.000000	87.777	174.6330
68.000000	87.752	174.2173
69.000000	87.726	173.8052
70.000000	87.699	173.3990
71.000000	87.671	173.0035
72.000000	87.643	172.6209
73.000000	87.616	172.2503
74.000000	87.590	171.8843
75.000000	87.563	171.5277
76.199997	87.530	171.1231
77.500000	87.493	170.6669
78.800003	87.454	170.2158
80.000000	87.420	169.8456
81.199997	87.384	169.4744
82.500000	87.343	169.0677
83.800003	87.304	168.6829
85.000000	87.270	168.3371
86.199997	87.234	167.9913
87.500000	87.195	167.6265
88.500000	87.163	167.3530
90.000000	87.116	166.9377
91.199997	87.079	166.6419
