* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Apr 5, 2025 3:14:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Wan'er S.G 2 (ASMR)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.059	-176.1186
20.600000	94.063	-176.4291
20.900000	94.065	-176.7821
21.200001	94.066	-177.1252
21.400000	94.065	-177.3457
21.799999	94.062	-177.7681
22.000000	94.059	-177.9754
22.400000	94.047	-178.4283
22.700001	94.036	-178.7581
23.000000	94.024	-179.0794
23.299999	94.011	-179.4312
23.600000	93.998	-179.7707
24.000000	93.978	179.7972
24.299999	93.963	179.4413
24.700001	93.941	178.9769
25.000000	93.926	178.6388
25.400000	93.907	178.1541
25.799999	93.891	177.6885
26.200001	93.877	177.2315
26.500000	93.869	176.8919
26.900000	93.858	176.4536
27.200001	93.850	176.1362
27.600000	93.840	175.7263
28.000000	93.830	175.3309
28.500000	93.819	174.8726
29.000000	93.807	174.4401
29.500000	93.793	174.0406
30.000000	93.775	173.6595
30.400000	93.759	173.3597
30.700001	93.746	173.1400
31.100000	93.728	172.8516
31.500000	93.708	172.5625
32.000000	93.682	172.2230
32.500000	93.654	171.8685
33.000000	93.625	171.5226
33.500000	93.596	171.1539
34.000000	93.568	170.7903
34.500000	93.541	170.4186
35.000000	93.516	170.0567
35.500000	93.491	169.6958
36.000000	93.465	169.3456
36.500000	93.440	169.0058
37.000000	93.417	168.6760
37.500000	93.396	168.3613
38.200001	93.364	167.9435
38.700001	93.339	167.6677
39.500000	93.299	167.2489
40.000000	93.272	166.9880
40.599998	93.240	166.6586
41.200001	93.207	166.3322
41.799999	93.174	166.0229
42.500000	93.133	165.6739
43.099998	93.101	165.3578
43.700001	93.072	165.0187
44.400002	93.038	164.6470
45.000000	93.001	164.3734
45.500000	92.968	164.1636
46.200001	92.926	163.8659
46.799999	92.895	163.5997
47.500000	92.857	163.2954
48.200001	92.817	163.0113
48.700001	92.789	162.8101
49.400002	92.751	162.5193
50.000000	92.718	162.2809
50.799999	92.673	161.9845
51.500000	92.633	161.7146
52.200001	92.592	161.4509
53.000000	92.548	161.1812
53.799999	92.503	160.7828
54.500000	92.459	160.3168
55.200001	92.417	160.0093
56.000000	92.373	159.9626
57.000000	92.320	159.8574
58.000000	92.265	159.5071
59.000000	92.208	159.1905
60.000000	92.153	158.9091
60.799999	92.109	158.6998
61.500000	92.070	158.5200
62.200001	92.031	158.3375
63.000000	91.988	158.1332
64.000000	91.934	157.8793
65.000000	91.878	157.6295
66.000000	91.823	157.3859
67.000000	91.769	157.1410
68.000000	91.715	156.9164
69.000000	91.661	156.7112
70.000000	91.607	156.5021
71.000000	91.553	156.2968
72.000000	91.500	156.1014
73.000000	91.447	155.9135
74.000000	91.393	155.7341
75.000000	91.339	155.5600
76.199997	91.276	155.3524
77.500000	91.207	155.1384
78.800003	91.140	154.9295
80.000000	91.079	154.7419
81.199997	91.016	154.5727
82.500000	90.949	154.4035
83.800003	90.881	154.2331
85.000000	90.819	154.0836
86.199997	90.758	153.9516
87.500000	90.695	153.8154
88.500000	90.646	153.7125
90.000000	90.572	153.5580
91.199997	90.515	153.4483
92.500000	90.456	153.3395
93.800003	90.394	153.2362
95.000000	90.335	153.1430
96.199997	90.276	153.0565
97.500000	90.213	152.9755
98.800003	90.154	152.8990
100.000000	90.100	152.8338
101.500000	90.033	152.7679
103.000000	89.969	152.7053
104.400002	89.908	152.6428
106.000000	89.839	152.5611
107.500000	89.773	152.4852
109.000000	89.708	152.4184
110.599998	89.640	152.3561
112.000000	89.579	152.3088
113.800003	89.501	152.2736
115.000000	89.450	152.2692
117.199997	89.358	152.2985
118.000000	89.327	152.3172
120.599998	89.235	152.3629
122.000000	89.189	152.3578
124.099998	89.119	152.3290
125.000000	89.087	152.3065
126.500000	89.033	152.2692
128.000000	88.977	152.2430
131.500000	88.847	152.2172
132.000000	88.829	152.2160
134.000000	88.754	152.2142
136.000000	88.679	152.2185
138.000000	88.605	152.2151
140.000000	88.533	152.2393
143.000000	88.421	152.3442
145.000000	88.345	152.4353
147.500000	88.253	152.5757
150.000000	88.171	152.7621
152.500000	88.100	152.9887
155.000000	88.032	153.1299
157.500000	87.964	153.2125
160.000000	87.897	153.2864
162.500000	87.828	153.3691
165.000000	87.756	153.4805
167.500000	87.681	153.5887
170.000000	87.605	153.7063
172.500000	87.529	153.8628
175.000000	87.454	154.0597
177.500000	87.386	154.2730
180.000000	87.320	154.4791
182.500000	87.254	154.7220
185.000000	87.192	155.0103
187.500000	87.141	155.3037
190.000000	87.103	155.5441
192.500000	87.067	155.7084
195.000000	87.024	155.8227
197.500000	86.973	155.9424
200.000000	86.925	156.1032
203.000000	86.876	156.3179
206.000000	86.828	156.4926
209.000000	86.774	156.6055
212.000000	86.714	156.7135
214.000000	86.673	156.8134
218.000000	86.592	157.0739
220.000000	86.553	157.2036
224.000000	86.477	157.4677
227.000000	86.420	157.6830
230.000000	86.363	157.9002
233.000000	86.308	158.1098
236.000000	86.258	158.3143
240.000000	86.192	158.5967
243.000000	86.141	158.8253
247.000000	86.074	159.1296
250.000000	86.027	159.3676
254.000000	85.967	159.7025
258.000000	85.906	160.0168
262.000000	85.846	160.3174
265.000000	85.804	160.5449
269.000000	85.748	160.8718
272.000000	85.707	161.1269
276.000000	85.655	161.4590
280.000000	85.604	161.7745
285.000000	85.545	162.1653
290.000000	85.487	162.5626
295.000000	85.431	162.9475
300.000000	85.375	163.3250
304.000000	85.330	163.6378
307.000000	85.297	163.8699
311.000000	85.253	164.1727
315.000000	85.211	164.4852
320.000000	85.160	164.8751
325.000000	85.109	165.2663
330.000000	85.060	165.6625
335.000000	85.012	166.0605
340.000000	84.967	166.4632
345.000000	84.923	166.8696
350.000000	84.882	167.2788
355.000000	84.843	167.6813
360.000000	84.805	168.0689
365.000000	84.767	168.4591
370.000000	84.730	168.8516
375.000000	84.694	169.2436
382.000000	84.645	169.7822
387.000000	84.612	170.1674
395.000000	84.561	170.7920
400.000000	84.530	171.1807
406.000000	84.494	171.6467
412.000000	84.459	172.1057
418.000000	84.426	172.5613
425.000000	84.390	173.1023
431.000000	84.360	173.5559
437.000000	84.332	174.0084
444.000000	84.300	174.5363
450.000000	84.273	174.9889
455.000000	84.252	175.3604
462.000000	84.223	175.8727
468.000000	84.200	176.3112
475.000000	84.173	176.8221
482.000000	84.147	177.3281
487.000000	84.129	177.6845
494.000000	84.105	178.1756
500.000000	84.085	178.5983
508.000000	84.057	179.1560
515.000000	84.031	179.6377
522.000000	84.002	-179.8773
530.000000	83.966	-179.2995
538.000000	83.925	-178.6631
545.000000	83.892	-178.0297
552.000000	83.870	-177.3359
560.000000	83.863	-176.5445
570.000000	83.869	-175.6611
580.000000	83.876	-174.8943
590.000000	83.878	-174.1740
600.000000	83.877	-173.4614
608.000000	83.875	-172.8836
615.000000	83.872	-172.3697
622.000000	83.869	-171.8471
630.000000	83.866	-171.2373
640.000000	83.865	-170.4610
650.000000	83.869	-169.6666
660.000000	83.877	-168.8523
670.000000	83.893	-168.0260
680.000000	83.916	-167.2089
690.000000	83.947	-166.4245
700.000000	83.982	-165.6781
710.000000	84.019	-164.9739
720.000000	84.055	-164.3058
730.000000	84.090	-163.6600
740.000000	84.124	-163.0223
750.000000	84.156	-162.3849
762.000000	84.195	-161.6176
