* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Apr 5, 2025 3:17:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Wan'er S.G 2 (ASMR)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.723	-177.2543
20.600000	93.725	-177.5650
20.900000	93.724	-177.9203
21.200001	93.722	-178.2656
21.400000	93.721	-178.4865
21.799999	93.716	-178.9051
22.000000	93.713	-179.1082
22.400000	93.700	-179.5490
22.700001	93.688	-179.8682
23.000000	93.674	179.8209
23.299999	93.659	179.4780
23.600000	93.644	179.1451
24.000000	93.624	178.7183
24.299999	93.608	178.3645
24.700001	93.585	177.9023
25.000000	93.568	177.5670
25.400000	93.548	177.0880
25.799999	93.529	176.6291
26.200001	93.514	176.1762
26.500000	93.504	175.8365
26.900000	93.491	175.3941
27.200001	93.482	175.0731
27.600000	93.470	174.6616
28.000000	93.459	174.2713
28.500000	93.446	173.8264
29.000000	93.433	173.4050
29.500000	93.417	173.0058
30.000000	93.399	172.6180
30.400000	93.381	172.3154
30.700001	93.367	172.0980
31.100000	93.347	171.8185
31.500000	93.326	171.5404
32.000000	93.297	171.2090
32.500000	93.266	170.8508
33.000000	93.235	170.4937
33.500000	93.206	170.1161
34.000000	93.178	169.7526
34.500000	93.151	169.3882
35.000000	93.122	169.0336
35.500000	93.092	168.6733
36.000000	93.064	168.3169
36.500000	93.040	167.9706
37.000000	93.017	167.6406
37.500000	92.994	167.3338
38.200001	92.959	166.9299
38.700001	92.933	166.6579
39.500000	92.891	166.2354
40.000000	92.863	165.9765
40.599998	92.829	165.6587
41.200001	92.794	165.3424
41.799999	92.759	165.0300
42.500000	92.715	164.6745
43.099998	92.678	164.3731
43.700001	92.648	164.0615
44.400002	92.615	163.6998
45.000000	92.580	163.4065
45.500000	92.546	163.1763
46.200001	92.499	162.8670
46.799999	92.464	162.6044
47.500000	92.426	162.3026
48.200001	92.385	162.0140
48.700001	92.354	161.8134
49.400002	92.315	161.5334
50.000000	92.281	161.3011
50.799999	92.232	161.0038
51.500000	92.192	160.7509
52.200001	92.153	160.4991
53.000000	92.103	160.2128
53.799999	92.070	159.9237
54.500000	92.064	159.6812
55.200001	92.036	159.4533
56.000000	91.958	159.1929
57.000000	91.867	158.8808
58.000000	91.809	158.6037
59.000000	91.747	158.2988
60.000000	91.692	157.9959
60.799999	91.647	157.7807
61.500000	91.605	157.5925
62.200001	91.564	157.4006
63.000000	91.517	157.1918
64.000000	91.460	156.9455
65.000000	91.405	156.7016
66.000000	91.348	156.4672
67.000000	91.290	156.2416
68.000000	91.235	156.0250
69.000000	91.180	155.8136
70.000000	91.123	155.6120
71.000000	91.067	155.4313
72.000000	91.013	155.2542
73.000000	90.960	155.0696
74.000000	90.907	154.8831
75.000000	90.852	154.7126
