* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Apr 4, 2025 3:29:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Wan'er S.G 2 (Sancai)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.951	-170.9942
20.600000	91.958	-171.2875
20.900000	91.967	-171.6220
21.200001	91.974	-171.9465
21.400000	91.979	-172.1541
21.799999	91.986	-172.5468
22.000000	91.987	-172.7363
22.400000	91.981	-173.1477
22.700001	91.973	-173.4428
23.000000	91.963	-173.7293
23.299999	91.954	-174.0486
23.600000	91.944	-174.3591
24.000000	91.933	-174.7580
24.299999	91.925	-175.0915
24.700001	91.914	-175.5271
25.000000	91.905	-175.8432
25.400000	91.895	-176.2972
25.799999	91.887	-176.7306
26.200001	91.880	-177.1538
26.500000	91.876	-177.4671
26.900000	91.871	-177.8701
27.200001	91.868	-178.1613
27.600000	91.866	-178.5381
28.000000	91.864	-178.9038
28.500000	91.862	-179.3300
29.000000	91.857	-179.7341
29.500000	91.850	179.8960
30.000000	91.841	179.5523
30.400000	91.833	179.2891
30.700001	91.827	179.0982
31.100000	91.817	178.8450
31.500000	91.805	178.5822
32.000000	91.788	178.2634
32.500000	91.769	177.9278
33.000000	91.748	177.6113
33.500000	91.729	177.2818
34.000000	91.710	176.9550
34.500000	91.693	176.6085
35.000000	91.676	176.2640
35.500000	91.660	175.9247
36.000000	91.646	175.6096
36.500000	91.635	175.3173
37.000000	91.624	175.0356
37.500000	91.610	174.7545
38.200001	91.584	174.3494
38.700001	91.565	174.0742
39.500000	91.539	173.6823
40.000000	91.524	173.4553
40.599998	91.502	173.1709
41.200001	91.479	172.8911
41.799999	91.456	172.6282
42.500000	91.429	172.3146
43.099998	91.404	172.0087
43.700001	91.381	171.6865
44.400002	91.355	171.3676
45.000000	91.333	171.1465
45.500000	91.314	170.9658
46.200001	91.289	170.6893
46.799999	91.267	170.4424
47.500000	91.240	170.1633
48.200001	91.213	169.8987
48.700001	91.194	169.7192
49.400002	91.168	169.4753
50.000000	91.145	169.2658
50.799999	91.115	168.9765
51.500000	91.089	168.7339
52.200001	91.061	168.5045
53.000000	91.026	168.2339
53.799999	90.994	167.9608
54.500000	90.968	167.7492
55.200001	90.940	167.5412
56.000000	90.908	167.2694
57.000000	90.868	166.9352
58.000000	90.816	166.6608
59.000000	90.798	166.4561
60.000000	90.802	166.2796
60.799999	90.759	166.0490
61.500000	90.703	165.8086
62.200001	90.662	165.5980
63.000000	90.629	165.3972
64.000000	90.588	165.1594
65.000000	90.550	164.9277
66.000000	90.510	164.6870
67.000000	90.470	164.4492
68.000000	90.431	164.2310
69.000000	90.391	164.0241
70.000000	90.352	163.8135
71.000000	90.314	163.6148
72.000000	90.275	163.4307
73.000000	90.235	163.2465
74.000000	90.194	163.0702
75.000000	90.154	162.9002
76.199997	90.106	162.6890
77.500000	90.057	162.4637
78.800003	90.005	162.2681
80.000000	89.958	162.0815
81.199997	89.913	161.9035
82.500000	89.865	161.7254
83.800003	89.816	161.5385
85.000000	89.769	161.3744
86.199997	89.722	161.2272
87.500000	89.672	161.0818
88.500000	89.634	160.9658
90.000000	89.578	160.7881
91.199997	89.534	160.6716
92.500000	89.484	160.5401
93.800003	89.436	160.4024
95.000000	89.393	160.2855
96.199997	89.347	160.1693
97.500000	89.300	160.0628
98.800003	89.256	159.9619
100.000000	89.214	159.8699
101.500000	89.163	159.7625
103.000000	89.112	159.6528
104.400002	89.065	159.5540
106.000000	89.011	159.4448
107.500000	88.960	159.3441
109.000000	88.909	159.2493
110.599998	88.855	159.1617
112.000000	88.808	159.0891
113.800003	88.749	158.9993
115.000000	88.708	158.9381
117.199997	88.636	158.8440
118.000000	88.611	158.8053
120.599998	88.528	158.7044
122.000000	88.479	158.6747
124.099998	88.409	158.6154
125.000000	88.380	158.5893
126.500000	88.332	158.5453
128.000000	88.285	158.5034
131.500000	88.175	158.4196
132.000000	88.159	158.4142
134.000000	88.095	158.4003
136.000000	88.029	158.3886
138.000000	87.966	158.3782
140.000000	87.907	158.3529
143.000000	87.818	158.3596
145.000000	87.756	158.3596
147.500000	87.684	158.3228
150.000000	87.612	158.3395
152.500000	87.536	158.4170
155.000000	87.451	158.4799
157.500000	87.365	158.5559
160.000000	87.275	158.6965
162.500000	87.182	158.9376
165.000000	87.103	159.3188
167.500000	87.054	159.7673
170.000000	87.027	160.0864
172.500000	87.001	160.2299
175.000000	86.967	160.3265
177.500000	86.921	160.4201
180.000000	86.875	160.6075
182.500000	86.825	160.7742
185.000000	86.781	160.9391
187.500000	86.744	161.1427
190.000000	86.719	161.3740
192.500000	86.706	161.5226
195.000000	86.689	161.5263
197.500000	86.657	161.4367
200.000000	86.616	161.3738
203.000000	86.563	161.3805
206.000000	86.505	161.4824
209.000000	86.447	161.5911
212.000000	86.394	161.6812
214.000000	86.358	161.7601
218.000000	86.287	161.9208
220.000000	86.248	162.0038
224.000000	86.169	162.2146
227.000000	86.115	162.3943
230.000000	86.063	162.6042
233.000000	86.010	162.8073
236.000000	85.958	163.0168
240.000000	85.905	163.3883
243.000000	85.875	163.6637
247.000000	85.841	163.9096
250.000000	85.810	164.0087
254.000000	85.759	164.1506
258.000000	85.701	164.3303
262.000000	85.641	164.5463
265.000000	85.598	164.7260
269.000000	85.545	164.9871
272.000000	85.506	165.1957
276.000000	85.457	165.4808
280.000000	85.410	165.7662
285.000000	85.357	166.1262
290.000000	85.306	166.4534
295.000000	85.254	166.7590
300.000000	85.199	167.0690
304.000000	85.156	167.3299
307.000000	85.125	167.5334
311.000000	85.087	167.8099
315.000000	85.050	168.0799
320.000000	85.003	168.4135
325.000000	84.957	168.7612
330.000000	84.912	169.1030
335.000000	84.870	169.4456
340.000000	84.828	169.7935
345.000000	84.788	170.1487
350.000000	84.749	170.4997
355.000000	84.712	170.8639
360.000000	84.674	171.2228
365.000000	84.638	171.5648
370.000000	84.605	171.9046
375.000000	84.571	172.2579
382.000000	84.524	172.7445
387.000000	84.493	173.0928
395.000000	84.444	173.6564
400.000000	84.414	174.0087
406.000000	84.378	174.4333
412.000000	84.346	174.8682
418.000000	84.317	175.2979
425.000000	84.283	175.7891
431.000000	84.255	176.2092
437.000000	84.228	176.6238
444.000000	84.197	177.1084
450.000000	84.172	177.5248
455.000000	84.151	177.8726
462.000000	84.123	178.3561
468.000000	84.101	178.7690
475.000000	84.076	179.2440
482.000000	84.052	179.7189
487.000000	84.035	-179.9401
494.000000	84.010	-179.4649
500.000000	83.989	-179.0629
508.000000	83.960	-178.5186
515.000000	83.936	-178.0383
522.000000	83.912	-177.5457
530.000000	83.883	-176.9734
538.000000	83.853	-176.3744
545.000000	83.828	-175.8132
552.000000	83.807	-175.2142
560.000000	83.794	-174.5016
570.000000	83.795	-173.6410
580.000000	83.804	-172.8723
590.000000	83.812	-172.1789
600.000000	83.815	-171.5184
608.000000	83.813	-170.9929
615.000000	83.810	-170.5292
622.000000	83.807	-170.0562
630.000000	83.803	-169.5068
640.000000	83.799	-168.8095
650.000000	83.797	-168.0918
660.000000	83.798	-167.3563
670.000000	83.802	-166.6041
680.000000	83.810	-165.8284
690.000000	83.824	-165.0461
700.000000	83.845	-164.2610
710.000000	83.873	-163.4861
720.000000	83.906	-162.7346
730.000000	83.942	-162.0111
740.000000	83.981	-161.3176
750.000000	84.021	-160.6512
762.000000	84.067	-159.8779
775.000000	84.117	-159.0559
788.000000	84.168	-158.2310
800.000000	84.217	-157.4596
812.000000	84.267	-156.6890
825.000000	84.324	-155.8536
838.000000	84.387	-155.0225
850.000000	84.447	-154.2621
862.000000	84.510	-153.5061
875.000000	84.583	-152.6981
885.000000	84.642	-152.0831
900.000000	84.734	-151.1709
912.000000	84.813	-150.4541
925.000000	84.902	-149.7001
938.000000	84.996	-148.9685
950.000000	85.087	-148.3099
962.000000	85.181	-147.6729
975.000000	85.286	-147.0084
988.000000	85.394	-146.3714
1000.000000	85.496	-145.8090
1015.000000	85.626	-145.1428
1030.000000	85.758	-144.5238
1044.000000	85.885	-143.9852
1060.000000	86.032	-143.4147
1075.000000	86.171	-142.9252
1090.000000	86.311	-142.4779
1106.000000	86.462	-142.0475
1120.000000	86.593	-141.7105
1138.000000	86.759	-141.3223
1150.000000	86.869	-141.0894
1172.000000	87.068	-140.7164
1180.000000	87.139	-140.5966
1206.000000	87.365	-140.2616
1220.000000	87.484	-140.1108
1241.000000	87.660	-139.9202
1250.000000	87.733	-139.8480
1265.000000	87.855	-139.7399
1280.000000	87.975	-139.6467
1315.000000	88.248	-139.4814
1320.000000	88.286	-139.4632
1340.000000	88.437	-139.4010
1360.000000	88.586	-139.3507
1380.000000	88.732	-139.3104
1400.000000	88.877	-139.2800
1430.000000	89.093	-139.2570
1450.000000	89.236	-139.2573
1475.000000	89.415	-139.2763
1500.000000	89.594	-139.3186
1525.000000	89.774	-139.3868
1550.000000	89.954	-139.4785
1575.000000	90.135	-139.6005
1600.000000	90.317	-139.7568
1625.000000	90.500	-139.9510
1650.000000	90.682	-140.1830
1675.000000	90.864	-140.4545
1700.000000	91.046	-140.7674
1725.000000	91.228	-141.1220
1750.000000	91.410	-141.5186
1775.000000	91.592	-141.9642
1800.000000	91.773	-142.4603
1825.000000	91.954	-143.0120
1850.000000	92.134	-143.6210
1875.000000	92.311	-144.2898
1900.000000	92.486	-145.0190
1925.000000	92.656	-145.8098
1950.000000	92.822	-146.6641
1975.000000	92.982	-147.5808
2000.000000	93.136	-148.5587
2030.000000	93.310	-149.8057
2060.000000	93.473	-151.1303
2090.000000	93.623	-152.5296
2120.000000	93.759	-153.9992
2140.000000	93.840	-155.0149
2180.000000	93.981	-157.1145
2200.000000	94.039	-158.1909
2240.000000	94.132	-160.3843
2270.000000	94.179	-162.0448
2300.000000	94.207	-163.7066
2330.000000	94.217	-165.3569
2360.000000	94.207	-166.9815
2400.000000	94.165	-169.0826
2430.000000	94.114	-170.5907
2470.000000	94.022	-172.4884
2500.000000	93.938	-173.8167
2540.000000	93.809	-175.4494
2580.000000	93.663	-176.9107
2620.000000	93.508	-178.1883
2650.000000	93.390	-179.0296
2690.000000	93.236	179.9752
2720.000000	93.124	179.2950
2760.000000	92.979	178.4386
2800.000000	92.834	177.6201
2850.000000	92.645	176.6678
2900.000000	92.446	175.8409
2950.000000	92.240	175.1708
3000.000000	92.033	174.6622
3040.000000	91.869	174.3680
3070.000000	91.748	174.2106
3110.000000	91.589	174.0845
3150.000000	91.438	174.0457
3200.000000	91.260	174.1096
3250.000000	91.099	174.2724
3300.000000	90.955	174.4930
3350.000000	90.826	174.7371
3400.000000	90.707	174.9911
3450.000000	90.597	175.2661
3500.000000	90.493	175.5696
3550.000000	90.400	175.8977
3600.000000	90.316	176.2324
3650.000000	90.240	176.5486
3700.000000	90.165	176.8342
3750.000000	90.081	177.1129
3820.000000	89.934	177.8083
3870.000000	89.866	178.8279
3950.000000	89.956	-179.7965
4000.000000	90.031	-179.6872
4060.000000	90.069	-179.7674
4120.000000	90.080	-179.8001
4180.000000	90.091	-179.8024
4250.000000	90.107	-179.8367
4310.000000	90.124	-179.9236
4370.000000	90.142	179.9183
4440.000000	90.161	179.6383
4500.000000	90.173	179.3151
4550.000000	90.178	178.9871
4620.000000	90.176	178.4491
4680.000000	90.162	177.9272
4750.000000	90.131	177.2659
4820.000000	90.084	176.5712
4870.000000	90.040	176.0644
4940.000000	89.964	175.3439
5000.000000	89.886	174.7178
5080.000000	89.761	173.8848
5150.000000	89.630	173.1767
5220.000000	89.475	172.5154
5300.000000	89.270	171.8589
5380.000000	89.034	171.3782
5450.000000	88.807	171.1643
5520.000000	88.570	171.1906
5600.000000	88.300	171.5358
5700.000000	87.989	172.3761
5800.000000	87.725	173.5105
5900.000000	87.506	174.7888
6000.000000	87.322	176.1311
6080.000000	87.195	177.2422
6150.000000	87.097	178.2451
6220.000000	87.010	179.2794
6300.000000	86.925	-179.4923
6400.000000	86.841	-177.8778
6500.000000	86.786	-176.1662
6600.000000	86.766	-174.3451
6700.000000	86.789	-172.4212
6800.000000	86.868	-170.4300
6900.000000	87.011	-168.4399
7000.000000	87.226	-166.5434
7100.000000	87.516	-164.8458
7200.000000	87.885	-163.4704
7300.000000	88.330	-162.5538
7400.000000	88.847	-162.2498
7500.000000	89.425	-162.7339
7620.000000	90.171	-164.6604
7750.000000	90.968	-168.8158
7880.000000	91.606	-175.3651
8000.000000	91.892	176.7905
