* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Apr 4, 2025 3:33:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Wan'er S.G 2 (Sancai)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.757	-172.6203
20.600000	91.763	-172.8995
20.900000	91.767	-173.2214
21.200001	91.771	-173.5367
21.400000	91.773	-173.7404
21.799999	91.775	-174.1299
22.000000	91.774	-174.3196
22.400000	91.768	-174.7318
22.700001	91.760	-175.0254
23.000000	91.752	-175.3070
23.299999	91.742	-175.6182
23.600000	91.731	-175.9189
24.000000	91.716	-176.3053
24.299999	91.704	-176.6320
24.700001	91.688	-177.0617
25.000000	91.676	-177.3750
25.400000	91.663	-177.8262
25.799999	91.652	-178.2582
26.200001	91.643	-178.6840
26.500000	91.638	-179.0026
26.900000	91.631	-179.4158
27.200001	91.627	-179.7152
27.600000	91.622	179.8996
28.000000	91.618	179.5302
28.500000	91.613	179.1060
29.000000	91.606	178.7084
29.500000	91.598	178.3458
30.000000	91.588	178.0046
30.400000	91.579	177.7380
30.700001	91.572	177.5431
31.100000	91.560	177.2874
31.500000	91.547	177.0299
32.000000	91.527	176.7277
32.500000	91.505	176.4059
33.000000	91.482	176.0889
33.500000	91.459	175.7514
34.000000	91.437	175.4265
34.500000	91.416	175.0972
35.000000	91.396	174.7731
35.500000	91.377	174.4444
36.000000	91.359	174.1292
36.500000	91.341	173.8318
37.000000	91.324	173.5416
37.500000	91.309	173.2509
38.200001	91.291	172.8466
38.700001	91.277	172.5872
39.500000	91.248	172.2174
40.000000	91.226	171.9938
40.599998	91.200	171.7147
41.200001	91.175	171.4330
41.799999	91.151	171.1378
42.500000	91.122	170.7899
43.099998	91.099	170.5301
43.700001	91.075	170.2984
44.400002	91.044	170.0024
45.000000	91.016	169.7054
45.500000	90.993	169.4598
46.200001	90.964	169.1611
46.799999	90.939	168.9249
47.500000	90.910	168.6402
48.200001	90.880	168.3690
48.700001	90.860	168.1910
49.400002	90.834	167.9431
50.000000	90.810	167.7260
50.799999	90.775	167.4405
51.500000	90.742	167.1999
52.200001	90.709	166.9603
53.000000	90.676	166.6940
53.799999	90.642	166.4448
54.500000	90.611	166.2358
55.200001	90.581	166.0159
56.000000	90.549	165.7631
57.000000	90.503	165.4972
58.000000	90.456	165.2394
59.000000	90.392	165.0138
60.000000	90.319	164.7911
60.799999	90.302	164.5122
61.500000	90.299	164.2564
62.200001	90.281	164.0500
63.000000	90.246	163.8519
64.000000	90.204	163.6172
65.000000	90.159	163.3943
66.000000	90.115	163.1624
67.000000	90.072	162.9325
68.000000	90.028	162.7118
69.000000	89.986	162.5062
70.000000	89.944	162.3118
71.000000	89.901	162.1170
72.000000	89.857	161.9257
