* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Apr 4, 2025 4:11:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Wan'er S.G 2 (Standard)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.009	-175.5029
20.600000	94.012	-175.8285
20.900000	94.013	-176.1999
21.200001	94.012	-176.5594
21.400000	94.012	-176.7881
21.799999	94.010	-177.2181
22.000000	94.007	-177.4254
22.400000	93.997	-177.8747
22.700001	93.987	-178.2014
23.000000	93.975	-178.5209
23.299999	93.961	-178.8722
23.600000	93.948	-179.2117
24.000000	93.929	-179.6427
24.299999	93.915	-179.9964
24.700001	93.894	179.5426
25.000000	93.879	179.2062
25.400000	93.862	178.7207
25.799999	93.846	178.2503
26.200001	93.834	177.7859
26.500000	93.826	177.4410
26.900000	93.816	176.9982
27.200001	93.808	176.6804
27.600000	93.798	176.2727
28.000000	93.788	175.8799
28.500000	93.778	175.4212
29.000000	93.768	174.9837
29.500000	93.755	174.5812
30.000000	93.739	174.2053
30.400000	93.723	173.9150
30.700001	93.711	173.7028
31.100000	93.693	173.4219
31.500000	93.674	173.1356
32.000000	93.648	172.7950
32.500000	93.621	172.4379
33.000000	93.593	172.0883
33.500000	93.565	171.7132
34.000000	93.538	171.3422
34.500000	93.511	170.9658
35.000000	93.486	170.6026
35.500000	93.461	170.2407
36.000000	93.438	169.8888
36.500000	93.416	169.5488
37.000000	93.395	169.2186
37.500000	93.373	168.8956
38.200001	93.341	168.4475
38.700001	93.316	168.1522
39.500000	93.275	167.7409
40.000000	93.250	167.5050
40.599998	93.220	167.2064
41.200001	93.189	166.8995
41.799999	93.158	166.5946
42.500000	93.119	166.2435
43.099998	93.084	165.9454
43.700001	93.050	165.6525
44.400002	93.016	165.3288
45.000000	92.986	165.0460
45.500000	92.958	164.7953
46.200001	92.918	164.4415
46.799999	92.884	164.1630
47.500000	92.846	163.8696
48.200001	92.810	163.5874
48.700001	92.784	163.3864
49.400002	92.747	163.1085
50.000000	92.714	162.8781
50.799999	92.669	162.5703
51.500000	92.630	162.3008
52.200001	92.591	162.0397
53.000000	92.546	161.7633
53.799999	92.503	161.4980
54.500000	92.467	161.2618
55.200001	92.426	161.0233
56.000000	92.380	160.7505
57.000000	92.330	160.4196
58.000000	92.273	160.1100
59.000000	92.233	159.7132
60.000000	92.203	159.3307
60.799999	92.149	159.1804
61.500000	92.093	159.0760
62.200001	92.047	158.9146
63.000000	92.003	158.6995
64.000000	91.949	158.4550
65.000000	91.896	158.2133
66.000000	91.842	157.9869
67.000000	91.789	157.7552
68.000000	91.736	157.5207
69.000000	91.683	157.3079
70.000000	91.633	157.1019
71.000000	91.582	156.8983
72.000000	91.528	156.7050
73.000000	91.474	156.5126
74.000000	91.420	156.3147
75.000000	91.368	156.1297
76.199997	91.307	155.9322
77.500000	91.240	155.7170
78.800003	91.175	155.4986
80.000000	91.116	155.3242
81.199997	91.056	155.1678
82.500000	90.992	154.9972
83.800003	90.928	154.8249
85.000000	90.869	154.6725
86.199997	90.810	154.5252
87.500000	90.747	154.3773
88.500000	90.698	154.2714
90.000000	90.626	154.1124
91.199997	90.570	153.9899
92.500000	90.510	153.8574
93.800003	90.450	153.7549
95.000000	90.392	153.6759
96.199997	90.337	153.5808
97.500000	90.278	153.4792
98.800003	90.219	153.3874
100.000000	90.164	153.3093
101.500000	90.099	153.2231
103.000000	90.035	153.1318
104.400002	89.975	153.0601
106.000000	89.907	152.9908
107.500000	89.844	152.9180
109.000000	89.782	152.8452
110.599998	89.714	152.7717
112.000000	89.656	152.7172
113.800003	89.583	152.6643
115.000000	89.535	152.6366
117.199997	89.448	152.5880
118.000000	89.416	152.5750
120.599998	89.311	152.5412
122.000000	89.258	152.5163
124.099998	89.177	152.4921
125.000000	89.144	152.4862
126.500000	89.087	152.4842
128.000000	89.030	152.4913
131.500000	88.899	152.5019
132.000000	88.880	152.5035
134.000000	88.807	152.5239
136.000000	88.735	152.5795
138.000000	88.661	152.6232
140.000000	88.588	152.6517
143.000000	88.488	152.7081
145.000000	88.421	152.7696
147.500000	88.335	152.8828
150.000000	88.253	152.9857
152.500000	88.178	153.0745
155.000000	88.103	153.1691
157.500000	88.028	153.2842
160.000000	87.954	153.3967
162.500000	87.879	153.5166
165.000000	87.804	153.6509
167.500000	87.730	153.7959
170.000000	87.658	153.9572
172.500000	87.588	154.1357
175.000000	87.520	154.3246
177.500000	87.460	154.5310
180.000000	87.405	154.7479
182.500000	87.342	154.9402
185.000000	87.279	155.1351
187.500000	87.226	155.3494
190.000000	87.178	155.5573
192.500000	87.135	155.7458
195.000000	87.093	155.9165
197.500000	87.049	156.0500
200.000000	87.003	156.1613
203.000000	86.947	156.2978
206.000000	86.889	156.4370
209.000000	86.829	156.6020
212.000000	86.768	156.7682
214.000000	86.728	156.8775
218.000000	86.649	157.1339
220.000000	86.610	157.2643
224.000000	86.534	157.5254
227.000000	86.480	157.7353
230.000000	86.425	157.9365
233.000000	86.371	158.1329
236.000000	86.318	158.3237
240.000000	86.248	158.5942
243.000000	86.195	158.8290
247.000000	86.125	159.1447
250.000000	86.076	159.3745
254.000000	86.015	159.6852
258.000000	85.953	160.0094
262.000000	85.891	160.3192
265.000000	85.847	160.5536
269.000000	85.790	160.8781
272.000000	85.750	161.1215
276.000000	85.698	161.4416
280.000000	85.647	161.7728
285.000000	85.584	162.1808
290.000000	85.524	162.5762
295.000000	85.465	162.9697
300.000000	85.406	163.3638
304.000000	85.359	163.6785
307.000000	85.326	163.9163
311.000000	85.284	164.2431
315.000000	85.242	164.5729
320.000000	85.191	164.9741
325.000000	85.143	165.3828
330.000000	85.096	165.7859
335.000000	85.050	166.1773
340.000000	85.005	166.5740
345.000000	84.962	166.9799
350.000000	84.922	167.3763
355.000000	84.882	167.7638
360.000000	84.843	168.1533
365.000000	84.805	168.5447
370.000000	84.768	168.9388
375.000000	84.731	169.3347
382.000000	84.682	169.8813
387.000000	84.648	170.2756
395.000000	84.596	170.9029
400.000000	84.566	171.2925
406.000000	84.531	171.7535
412.000000	84.497	172.2144
418.000000	84.464	172.6765
425.000000	84.427	173.2051
431.000000	84.396	173.6570
437.000000	84.368	174.1105
444.000000	84.336	174.6300
450.000000	84.309	175.0735
455.000000	84.287	175.4475
462.000000	84.258	175.9720
468.000000	84.233	176.4176
475.000000	84.205	176.9346
482.000000	84.177	177.4454
487.000000	84.158	177.8104
494.000000	84.132	178.3290
500.000000	84.110	178.7747
508.000000	84.081	179.3533
515.000000	84.056	179.8578
522.000000	84.030	-179.6253
530.000000	84.000	-179.0161
538.000000	83.970	-178.3796
545.000000	83.945	-177.7863
552.000000	83.925	-177.1556
560.000000	83.912	-176.4083
570.000000	83.913	-175.5015
580.000000	83.923	-174.6950
590.000000	83.931	-173.9695
600.000000	83.933	-173.2737
608.000000	83.932	-172.7194
615.000000	83.929	-172.2319
622.000000	83.926	-171.7378
630.000000	83.923	-171.1644
640.000000	83.919	-170.4356
650.000000	83.916	-169.6906
660.000000	83.916	-168.9303
670.000000	83.921	-168.1477
680.000000	83.930	-167.3497
690.000000	83.946	-166.5422
700.000000	83.968	-165.7272
710.000000	83.997	-164.9260
720.000000	84.032	-164.1532
730.000000	84.070	-163.4103
740.000000	84.110	-162.6991
750.000000	84.150	-162.0132
762.000000	84.198	-161.2117
775.000000	84.249	-160.3607
788.000000	84.300	-159.5118
800.000000	84.349	-158.7206
812.000000	84.400	-157.9305
825.000000	84.459	-157.0775
838.000000	84.522	-156.2292
850.000000	84.583	-155.4492
862.000000	84.646	-154.6743
875.000000	84.720	-153.8463
885.000000	84.779	-153.2166
900.000000	84.874	-152.2862
912.000000	84.954	-151.5597
925.000000	85.046	-150.7917
938.000000	85.142	-150.0443
950.000000	85.234	-149.3735
962.000000	85.329	-148.7267
975.000000	85.435	-148.0538
988.000000	85.545	-147.4091
1000.000000	85.649	-146.8415
1015.000000	85.782	-146.1719
1030.000000	85.918	-145.5457
1044.000000	86.046	-145.0028
1060.000000	86.195	-144.4287
1075.000000	86.335	-143.9342
1090.000000	86.475	-143.4852
1106.000000	86.626	-143.0519
1120.000000	86.757	-142.7120
1138.000000	86.924	-142.3235
1150.000000	87.034	-142.0911
1172.000000	87.234	-141.7187
1180.000000	87.305	-141.5990
1206.000000	87.533	-141.2653
1220.000000	87.654	-141.1152
1241.000000	87.831	-140.9230
1250.000000	87.906	-140.8498
1265.000000	88.029	-140.7404
1280.000000	88.149	-140.6465
1315.000000	88.424	-140.4807
1320.000000	88.463	-140.4619
1340.000000	88.616	-140.3978
1360.000000	88.767	-140.3506
1380.000000	88.917	-140.3192
1400.000000	89.064	-140.3000
1430.000000	89.283	-140.2961
1450.000000	89.429	-140.3090
1475.000000	89.609	-140.3460
1500.000000	89.789	-140.4067
1525.000000	89.970	-140.4943
1550.000000	90.151	-140.6104
1575.000000	90.333	-140.7569
1600.000000	90.515	-140.9355
1625.000000	90.699	-141.1531
1650.000000	90.883	-141.4069
1675.000000	91.068	-141.6989
1700.000000	91.252	-142.0359
1725.000000	91.436	-142.4213
1750.000000	91.620	-142.8555
1775.000000	91.802	-143.3431
1800.000000	91.983	-143.8847
1825.000000	92.163	-144.4852
1850.000000	92.340	-145.1463
1875.000000	92.515	-145.8664
1900.000000	92.685	-146.6458
1925.000000	92.851	-147.4863
1950.000000	93.012	-148.3880
1975.000000	93.167	-149.3504
2000.000000	93.314	-150.3715
2030.000000	93.480	-151.6689
2060.000000	93.634	-153.0424
2090.000000	93.773	-154.4847
2120.000000	93.896	-155.9850
2140.000000	93.969	-157.0138
2180.000000	94.091	-159.1231
2200.000000	94.140	-160.1957
2240.000000	94.214	-162.3644
2270.000000	94.248	-163.9919
2300.000000	94.264	-165.6072
2330.000000	94.263	-167.1989
2360.000000	94.244	-168.7562
2400.000000	94.196	-170.7613
2430.000000	94.143	-172.1991
2470.000000	94.052	-174.0148
2500.000000	93.970	-175.2937
2540.000000	93.847	-176.8797
2580.000000	93.709	-178.3250
2620.000000	93.561	-179.6276
2650.000000	93.444	179.4859
2690.000000	93.284	178.4152
2720.000000	93.161	177.6917
2760.000000	92.994	176.8303
2800.000000	92.826	176.0853
2850.000000	92.617	175.3127
2900.000000	92.412	174.7025
2950.000000	92.213	174.2403
3000.000000	92.022	173.9089
3040.000000	91.876	173.7253
3070.000000	91.771	173.6288
3110.000000	91.637	173.5505
3150.000000	91.509	173.5218
3200.000000	91.359	173.5481
3250.000000	91.220	173.6349
3300.000000	91.092	173.7709
3350.000000	90.975	173.9439
3400.000000	90.868	174.1429
3450.000000	90.771	174.3615
3500.000000	90.683	174.5870
3550.000000	90.604	174.8104
3600.000000	90.531	175.0220
3650.000000	90.464	175.2092
3700.000000	90.396	175.3655
3750.000000	90.319	175.5058
3820.000000	90.177	175.9603
3870.000000	90.100	176.8446
3950.000000	90.196	178.2230
4000.000000	90.296	178.2200
4060.000000	90.353	177.8660
4120.000000	90.370	177.5205
4180.000000	90.375	177.2071
4250.000000	90.378	176.8186
4310.000000	90.376	176.4366
4370.000000	90.371	175.9962
4440.000000	90.357	175.4085
4500.000000	90.336	174.8421
4550.000000	90.312	174.3264
4620.000000	90.266	173.5461
4680.000000	90.212	172.8306
4750.000000	90.130	171.9554
4820.000000	90.025	171.0628
4870.000000	89.935	170.4327
4940.000000	89.788	169.5870
5000.000000	89.644	168.9177
5080.000000	89.429	168.1358
5150.000000	89.223	167.5715
5220.000000	89.002	167.1285
5300.000000	88.734	166.7831
5380.000000	88.452	166.6474
5450.000000	88.198	166.7347
5520.000000	87.945	167.0252
5600.000000	87.666	167.5872
5700.000000	87.344	168.5641
5800.000000	87.054	169.7554
5900.000000	86.793	171.0999
6000.000000	86.559	172.5713
6080.000000	86.391	173.8383
6150.000000	86.258	175.0136
6220.000000	86.138	176.2525
6300.000000	86.021	177.7420
6400.000000	85.903	179.6984
6500.000000	85.822	-178.2523
6600.000000	85.780	-176.1233
6700.000000	85.782	-173.9320
6800.000000	85.833	-171.7018
6900.000000	85.940	-169.4661
7000.000000	86.109	-167.2616
7100.000000	86.351	-165.1521
7200.000000	86.675	-163.2401
7300.000000	87.087	-161.6603
7400.000000	87.593	-160.6059
7500.000000	88.182	-160.3278
7620.000000	88.966	-161.3827
7750.000000	89.822	-164.6815
7880.000000	90.531	-170.4195
8000.000000	90.899	-177.5101
8120.000000	90.891	174.6022
8250.000000	90.451	166.4333
8380.000000	89.661	159.7123
8500.000000	88.751	155.1913
8620.000000	87.767	152.1792
8750.000000	86.676	150.3569
8850.000000	85.837	149.8749
9000.000000	84.617	150.5523
9120.000000	83.707	152.1501
9250.000000	82.811	154.6943
9380.000000	82.017	157.8597
9500.000000	81.372	161.1881
9620.000000	80.808	164.8140
9750.000000	80.283	168.9942
9880.000000	79.847	173.3704
10000.000000	79.520	177.5345
10150.000000	79.211	-177.1574
10300.000000	79.013	-171.7910
10440.000000	78.927	-166.7919
10600.000000	78.944	-161.1780
10750.000000	79.072	-156.0621
10900.000000	79.315	-151.1042
11060.000000	79.714	-146.1398
11200.000000	80.186	-142.1913
11380.000000	80.974	-137.8375
11500.000000	81.624	-135.5877
11720.000000	83.076	-133.5672
11800.000000	83.677	-133.7839
12060.000000	85.677	-139.5202
12200.000000	86.545	-146.2227
12410.000000	87.103	-159.7768
12500.000000	86.993	-165.9207
12650.000000	86.374	-175.1234
12800.000000	85.361	178.0590
13150.000000	82.622	172.6077
13200.000000	82.266	172.7747
13400.000000	81.025	174.9575
13600.000000	80.093	178.7109
13800.000000	79.460	-176.7899
14000.000000	79.093	-172.1292
14300.000000	78.951	-165.4964
14500.000000	79.106	-161.4634
14750.000000	79.611	-157.2363
15000.000000	80.507	-154.7942
15250.000000	81.783	-155.8135
15500.000000	83.172	-162.5878
15750.000000	83.997	-175.7661
16000.000000	83.629	168.5892
16250.000000	82.226	156.4857
16500.000000	80.614	149.9876
16750.000000	79.507	146.2633
17000.000000	79.056	140.6433
17250.000000	78.796	129.5807
17500.000000	77.881	113.4005
17750.000000	75.744	96.9780
18000.000000	72.560	85.6771
18250.000000	68.956	81.3870
18500.000000	65.508	82.9122
18750.000000	62.496	88.1640
19000.000000	59.949	95.6524
19250.000000	57.801	104.6750
19500.000000	55.998	114.8442
19750.000000	54.564	125.7040
20000.000000	53.743	134.6650
