* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Apr 4, 2025 4:08:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Wan'er S.G 2 (Standard)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.608	-177.0114
20.600000	93.610	-177.3263
20.900000	93.610	-177.6869
21.200001	93.608	-178.0367
21.400000	93.607	-178.2594
21.799999	93.603	-178.6773
22.000000	93.600	-178.8781
22.400000	93.587	-179.3128
22.700001	93.574	-179.6278
23.000000	93.560	-179.9361
23.299999	93.545	179.7220
23.600000	93.529	179.3893
24.000000	93.507	178.9630
24.299999	93.491	178.6103
24.700001	93.468	178.1503
25.000000	93.452	177.8163
25.400000	93.432	177.3383
25.799999	93.415	176.8806
26.200001	93.400	176.4315
26.500000	93.391	176.0970
26.900000	93.378	175.6639
27.200001	93.369	175.3501
27.600000	93.357	174.9460
28.000000	93.346	174.5594
28.500000	93.334	174.1155
29.000000	93.321	173.6946
29.500000	93.305	173.2974
30.000000	93.288	172.9117
30.400000	93.271	172.6089
30.700001	93.257	172.3895
31.100000	93.238	172.1046
31.500000	93.217	171.8191
32.000000	93.189	171.4802
32.500000	93.160	171.1241
33.000000	93.130	170.7822
33.500000	93.099	170.4257
34.000000	93.069	170.0752
34.500000	93.040	169.7094
35.000000	93.014	169.3471
35.500000	92.990	168.9882
36.000000	92.967	168.6477
36.500000	92.941	168.3212
37.000000	92.914	168.0012
37.500000	92.888	167.6912
38.200001	92.856	167.2757
38.700001	92.833	166.9972
39.500000	92.793	166.5655
40.000000	92.765	166.3069
40.599998	92.729	166.0048
41.200001	92.693	165.7114
41.799999	92.657	165.4094
42.500000	92.616	165.0511
43.099998	92.582	164.7470
43.700001	92.548	164.4276
44.400002	92.505	164.0447
45.000000	92.469	163.7448
45.500000	92.442	163.5295
46.200001	92.406	163.2537
46.799999	92.373	163.0051
47.500000	92.332	162.7028
48.200001	92.291	162.4199
48.700001	92.262	162.2301
49.400002	92.224	161.9649
50.000000	92.191	161.7375
50.799999	92.145	161.4384
51.500000	92.104	161.1797
52.200001	92.063	160.9202
53.000000	92.017	160.6372
53.799999	91.970	160.3545
54.500000	91.928	160.0927
55.200001	91.887	159.8505
56.000000	91.841	159.6158
57.000000	91.785	159.3098
58.000000	91.732	158.9864
59.000000	91.671	158.5421
60.000000	91.608	158.0832
60.799999	91.566	157.9717
61.500000	91.532	157.9460
62.200001	91.497	157.8250
63.000000	91.454	157.6122
64.000000	91.398	157.3784
65.000000	91.340	157.1478
66.000000	91.283	156.9188
67.000000	91.227	156.6898
68.000000	91.172	156.4687
69.000000	91.117	156.2626
70.000000	91.062	156.0647
71.000000	91.007	155.8654
72.000000	90.953	155.6694
73.000000	90.899	155.4906
74.000000	90.845	155.3132
75.000000	90.791	155.1403
76.199997	90.729	154.9470
77.500000	90.660	154.7363
78.800003	90.592	154.5360
80.000000	90.531	154.3742
81.199997	90.470	154.2190
82.500000	90.404	154.0524
83.800003	90.336	153.8842
85.000000	90.276	153.7377
86.199997	90.218	153.6099
87.500000	90.153	153.4725
88.500000	90.102	153.3609
90.000000	90.028	153.1980
91.199997	89.969	153.0941
92.500000	89.906	152.9867
93.800003	89.845	152.8925
95.000000	89.790	152.8098
96.199997	89.734	152.7068
97.500000	89.672	152.6040
98.800003	89.611	152.5260
100.000000	89.557	152.4598
101.500000	89.490	152.3761
