* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Apr 5, 2025 1:09:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Wan'er S.G 2 (Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.081	-175.5860
20.600000	94.085	-175.8912
20.900000	94.087	-176.2386
21.200001	94.088	-176.5748
21.400000	94.088	-176.7892
21.799999	94.087	-177.1941
22.000000	94.084	-177.3903
22.400000	94.075	-177.8181
22.700001	94.064	-178.1292
23.000000	94.053	-178.4339
23.299999	94.040	-178.7720
23.600000	94.026	-179.1005
24.000000	94.007	-179.5208
24.299999	93.992	-179.8692
24.700001	93.972	179.6746
25.000000	93.958	179.3409
25.400000	93.941	178.8600
25.799999	93.926	178.3967
26.200001	93.914	177.9422
26.500000	93.905	177.6055
26.900000	93.894	177.1722
27.200001	93.887	176.8594
27.600000	93.878	176.4559
28.000000	93.871	176.0668
28.500000	93.863	175.6151
29.000000	93.853	175.1851
29.500000	93.840	174.7831
30.000000	93.824	174.4004
30.400000	93.810	174.1053
30.700001	93.799	173.8935
31.100000	93.783	173.6186
31.500000	93.765	173.3403
32.000000	93.739	173.0037
32.500000	93.711	172.6435
33.000000	93.684	172.2948
33.500000	93.658	171.9319
34.000000	93.632	171.5758
34.500000	93.606	171.2036
35.000000	93.581	170.8347
35.500000	93.558	170.4708
36.000000	93.536	170.1286
36.500000	93.514	169.8016
37.000000	93.489	169.4773
37.500000	93.465	169.1570
38.200001	93.433	168.7267
38.700001	93.412	168.4469
39.500000	93.376	168.0222
40.000000	93.352	167.7606
40.599998	93.324	167.4481
41.200001	93.294	167.1504
41.799999	93.261	166.8511
42.500000	93.221	166.4906
43.099998	93.189	166.1885
43.700001	93.158	165.8890
44.400002	93.122	165.5269
45.000000	93.092	165.2072
45.500000	93.066	164.9554
46.200001	93.029	164.6477
46.799999	92.997	164.4079
47.500000	92.961	164.1218
