* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Apr 5, 2025 1:11:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Wan'er S.G 2 (Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.654	-176.5382
20.600000	93.660	-176.8202
20.900000	93.665	-177.1619
21.200001	93.667	-177.5130
21.400000	93.666	-177.7448
21.799999	93.660	-178.1866
22.000000	93.654	-178.3954
22.400000	93.637	-178.8284
22.700001	93.622	-179.1263
23.000000	93.609	-179.4084
23.299999	93.598	-179.7196
23.600000	93.587	179.9804
24.000000	93.573	179.6002
24.299999	93.560	179.2840
24.700001	93.539	178.8699
25.000000	93.521	178.5610
25.400000	93.498	178.0935
25.799999	93.480	177.6180
26.200001	93.467	177.1356
26.500000	93.460	176.7793
26.900000	93.452	176.3350
27.200001	93.446	176.0280
27.600000	93.436	175.6442
28.000000	93.425	175.2745
28.500000	93.411	174.8295
29.000000	93.396	174.3867
29.500000	93.381	173.9684
30.000000	93.363	173.5783
30.400000	93.349	173.2846
30.700001	93.337	173.0767
31.100000	93.322	172.8097
31.500000	93.305	172.5430
32.000000	93.280	172.2255
32.500000	93.251	171.8820
33.000000	93.219	171.5337
33.500000	93.187	171.1489
34.000000	93.160	170.7635
34.500000	93.135	170.3806
35.000000	93.112	170.0297
35.500000	93.087	169.6922
36.000000	93.062	169.3556
36.500000	93.037	169.0115
37.000000	93.015	168.6771
37.500000	92.995	168.3784
38.200001	92.964	167.9989
38.700001	92.939	167.7229
39.500000	92.896	167.2563
40.000000	92.871	166.9858
40.599998	92.839	166.6910
41.200001	92.806	166.4101
41.799999	92.773	166.1144
42.500000	92.734	165.7552
43.099998	92.699	165.4485
43.700001	92.665	165.1447
44.400002	92.626	164.8185
45.000000	92.595	164.5594
45.500000	92.569	164.3360
46.200001	92.530	163.9958
46.799999	92.496	163.7030
47.500000	92.458	163.3928
48.200001	92.421	163.1059
48.700001	92.394	162.9059
49.400002	92.354	162.6341
50.000000	92.320	162.4055
50.799999	92.276	162.0886
51.500000	92.237	161.8259
52.200001	92.197	161.5751
53.000000	92.156	161.2782
53.799999	92.106	161.0728
