* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -10.8 dBFS with no timing reference
* Dated: Apr 6, 2025 7:36:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: BT20XS
* Measurement: L Wan'er S.G 2 (SBC, Pro01)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.061	152.5999
20.600000	86.070	149.1268
20.900000	86.079	145.3549
21.200001	86.089	141.5798
21.400000	86.096	139.0779
21.799999	86.112	134.1113
22.000000	86.119	131.6445
22.400000	86.131	126.7377
22.700001	86.136	123.0794
23.000000	86.140	119.4404
23.299999	86.143	115.8213
23.600000	86.145	112.2204
24.000000	86.148	107.4408
24.299999	86.150	103.8683
24.700001	86.153	99.1230
25.000000	86.155	95.5853
25.400000	86.158	90.9116
25.799999	86.160	86.2958
26.200001	86.159	81.7298
26.500000	86.158	78.3252
26.900000	86.153	73.7947
27.200001	86.149	70.3976
27.600000	86.144	65.8724
28.000000	86.139	61.3660
28.500000	86.133	55.7807
29.000000	86.126	50.2511
29.500000	86.116	44.7568
30.000000	86.104	39.2821
30.400000	86.095	34.9222
30.700001	86.090	31.6710
31.100000	86.082	27.3649
31.500000	86.072	23.0851
32.000000	86.055	17.7506
32.500000	86.039	12.4204
33.000000	86.024	7.1099
33.500000	86.010	1.8431
34.000000	85.993	-3.3798
34.500000	85.973	-8.5781
35.000000	85.954	-13.7635
35.500000	85.939	-18.9285
36.000000	85.923	-24.0603
36.500000	85.902	-29.1533
37.000000	85.877	-34.2101
37.500000	85.852	-39.2395
38.200001	85.828	-46.2628
38.700001	85.814	-51.2753
39.500000	85.782	-59.2544
40.000000	85.756	-64.2023
40.599998	85.726	-70.1150
41.200001	85.703	-76.0060
41.799999	85.680	-81.8626
42.500000	85.646	-88.6533
43.099998	85.615	-94.4442
43.700001	85.587	-100.2066
44.400002	85.557	-106.9254
45.000000	85.530	-112.7060
45.500000	85.510	-117.5045
46.200001	85.480	-124.1152
46.799999	85.448	-129.6961
47.500000	85.410	-136.2053
48.200001	85.380	-142.7448
48.700001	85.359	-147.4054
49.400002	85.323	-153.8865
50.000000	85.291	-159.4161
50.799999	85.250	-166.7757
51.500000	85.211	-173.1617
52.200001	85.170	-179.5066
53.000000	85.135	173.2188
53.799999	85.076	166.0561
54.500000	84.970	159.9394
55.200001	84.884	153.7395
56.000000	84.896	146.4610
57.000000	84.940	137.4465
58.000000	84.887	128.6401
