* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -10.8 dBFS with no timing reference
* Dated: Apr 6, 2025 7:33:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: BT20XS
* Measurement: R Wan'er S.G 2 (SBC, Pro01)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.807	132.7308
20.600000	85.813	129.0483
20.900000	85.820	125.0436
21.200001	85.830	121.0329
21.400000	85.838	118.3770
21.799999	85.854	113.1190
22.000000	85.862	110.5158
22.400000	85.870	105.3483
22.700001	85.872	101.4938
23.000000	85.872	97.6496
23.299999	85.872	93.8160
23.600000	85.874	89.9974
24.000000	85.879	84.9371
24.299999	85.882	81.1665
24.700001	85.883	76.1672
25.000000	85.881	72.4359
25.400000	85.877	67.4877
25.799999	85.873	62.5775
26.200001	85.871	57.7078
26.500000	85.869	54.0757
26.900000	85.866	49.2453
27.200001	85.862	45.6260
27.600000	85.855	40.8089
28.000000	85.847	36.0186
28.500000	85.835	30.0907
29.000000	85.823	24.2215
29.500000	85.810	18.3758
30.000000	85.798	12.5376
30.400000	85.789	7.8858
30.700001	85.781	4.4180
31.100000	85.769	-0.1731
31.500000	85.756	-4.7313
32.000000	85.739	-10.3988
32.500000	85.722	-16.0449
33.000000	85.705	-21.6727
33.500000	85.685	-27.2792
34.000000	85.664	-32.8575
34.500000	85.644	-38.3965
35.000000	85.626	-43.8953
35.500000	85.608	-49.3739
36.000000	85.591	-54.8550
36.500000	85.573	-60.3323
37.000000	85.554	-65.7710
37.500000	85.532	-71.1486
38.200001	85.497	-78.6276
38.700001	85.472	-83.9924
39.500000	85.437	-92.5806
40.000000	85.414	-97.8717
40.599998	85.382	-104.1296
41.200001	85.350	-110.3599
41.799999	85.327	-116.6045
42.500000	85.301	-123.8691
43.099998	85.272	-130.0596
43.700001	85.237	-136.2278
44.400002	85.204	-143.3629
45.000000	85.179	-149.4115
45.500000	85.156	-154.4486
46.200001	85.119	-161.5619
46.799999	85.085	-167.6812
47.500000	85.044	-174.7569
48.200001	85.006	178.2534
48.700001	84.984	173.2946
49.400002	84.949	166.3684
50.000000	84.914	160.4371
50.799999	84.872	152.5732
51.500000	84.836	145.7217
52.200001	84.795	138.8821
53.000000	84.752	131.1811
53.799999	84.715	123.3564
54.500000	84.682	116.1192
55.200001	84.655	109.0131
56.000000	84.610	101.7222
57.000000	84.529	92.8662
58.000000	84.479	83.4034
59.000000	84.441	74.0624
60.000000	84.391	64.6956
60.799999	84.343	57.2145
61.500000	84.298	50.7387
62.200001	84.259	44.2654
63.000000	84.222	36.8732
64.000000	84.172	27.6926
65.000000	84.115	18.5623
66.000000	84.056	9.4706
67.000000	84.002	0.4083
68.000000	83.952	-8.6082
69.000000	83.904	-17.5713
70.000000	83.852	-26.5192
71.000000	83.797	-35.4451
72.000000	83.741	-44.3057
73.000000	83.688	-53.1309
74.000000	83.639	-61.9315
75.000000	83.589	-70.7066
76.199997	83.522	-81.2358
77.500000	83.450	-92.5791
78.800003	83.386	-103.8033
80.000000	83.332	-114.0944
81.199997	83.270	-124.3600
82.500000	83.201	-135.4777
83.800003	83.135	-146.5427
85.000000	83.078	-156.6830
86.199997	83.021	-166.7687
87.500000	82.956	-177.6643
88.500000	82.907	173.9540
90.000000	82.836	161.4153
91.199997	82.778	151.4660
92.500000	82.713	140.7532
93.800003	82.651	130.0802
95.000000	82.591	120.2358
96.199997	82.534	110.3843
97.500000	82.474	99.7776
98.800003	82.414	89.2573
100.000000	82.360	79.5911
101.500000	82.289	67.5206
103.000000	82.219	55.4617
104.400002	82.153	44.2803
106.000000	82.078	31.6031
107.500000	82.008	19.8391
109.000000	81.938	8.1056
110.599998	81.875	-4.4702
112.000000	81.824	-15.4583
113.800003	81.756	-29.4886
115.000000	81.708	-38.7618
117.199997	81.613	-55.7690
118.000000	81.580	-61.9456
120.599998	81.475	-81.9425
122.000000	81.419	-92.6434
124.099998	81.329	-108.6122
125.000000	81.290	-115.4180
126.500000	81.224	-126.7284
128.000000	81.160	-138.0000
131.500000	81.012	-164.0662
132.000000	80.989	-167.7544
134.000000	80.895	177.5793
136.000000	80.807	163.0071
138.000000	80.739	148.4199
140.000000	80.706	133.9883
143.000000	80.704	112.0564
145.000000	80.668	97.2396
147.500000	80.586	78.9495
150.000000	80.503	60.8403
152.500000	80.435	42.9401
155.000000	80.357	25.0635
157.500000	80.278	7.2843
160.000000	80.204	-10.4556
162.500000	80.137	-28.0751
165.000000	80.071	-45.5695
167.500000	80.000	-63.0356
170.000000	79.930	-80.4541
172.500000	79.866	-97.7850
175.000000	79.802	-115.0148
177.500000	79.737	-132.1752
180.000000	79.667	-149.2903
182.500000	79.599	-166.3169
185.000000	79.536	176.7002
187.500000	79.479	159.7885
190.000000	79.420	142.9756
192.500000	79.357	126.2458
195.000000	79.293	109.5740
197.500000	79.227	92.9230
200.000000	79.166	76.3062
203.000000	79.105	56.5305
206.000000	79.047	36.8777
209.000000	78.977	17.3264
212.000000	78.897	-2.1726
214.000000	78.848	-15.1316
218.000000	78.762	-40.9008
220.000000	78.725	-53.7327
224.000000	78.661	-79.3174
227.000000	78.625	-98.4360
230.000000	78.590	-117.5027
