* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -10.8 dBFS with no timing reference
* Dated: Apr 6, 2025 7:18:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: BT20XS
* Measurement: L Wan'er S.G 2 (SBC, Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.132	132.4195
20.600000	86.142	128.7469
20.900000	86.151	124.7501
21.200001	86.160	120.7394
21.400000	86.166	118.0770
21.799999	86.180	112.7895
22.000000	86.187	110.1659
22.400000	86.197	104.9586
22.700001	86.202	101.0847
23.000000	86.207	97.2346
23.299999	86.211	93.4049
23.600000	86.215	89.5923
24.000000	86.221	84.5290
24.299999	86.224	80.7435
24.700001	86.227	75.7125
25.000000	86.227	71.9558
25.400000	86.225	66.9779
25.799999	86.222	62.0421
26.200001	86.217	57.1461
26.500000	86.213	53.4947
26.900000	86.209	48.6456
27.200001	86.205	45.0211
27.600000	86.201	40.2071
28.000000	86.197	35.4194
28.500000	86.190	29.4762
29.000000	86.181	23.5745
29.500000	86.170	17.7069
30.000000	86.158	11.8732
30.400000	86.150	7.2332
30.700001	86.143	3.7686
31.100000	86.133	-0.8346
31.500000	86.122	-5.4242
32.000000	86.108	-11.1455
32.500000	86.093	-16.8429
33.000000	86.079	-22.5081
33.500000	86.062	-28.1405
34.000000	86.043	-33.7426
34.500000	86.022	-39.3107
35.000000	86.003	-44.8395
35.500000	85.986	-50.3362
36.000000	85.971	-55.8176
36.500000	85.956	-61.2889
37.000000	85.939	-66.7351
37.500000	85.919	-72.1398
38.200001	85.884	-79.6535
38.700001	85.859	-85.0099
39.500000	85.824	-93.5603
40.000000	85.803	-98.8750
40.599998	85.776	-105.2342
41.200001	85.746	-111.5836
41.799999	85.718	-117.8940
42.500000	85.690	-125.1704
43.099998	85.665	-131.3618
43.700001	85.636	-137.5427
44.400002	85.600	-144.7169
45.000000	85.572	-150.8125
45.500000	85.551	-155.8766
46.200001	85.516	-163.0016
46.799999	85.482	-169.1372
47.500000	85.445	-176.2429
48.200001	85.409	176.7421
48.700001	85.383	171.7507
49.400002	85.351	164.7710
50.000000	85.325	158.8266
50.799999	85.281	150.9470
51.500000	85.244	144.0706
52.200001	85.217	137.2286
53.000000	85.173	129.4044
53.799999	85.128	121.7595
54.500000	85.114	115.4626
55.200001	85.098	109.1252
56.000000	85.046	101.1657
57.000000	84.970	90.9080
58.000000	84.914	81.3857
59.000000	84.872	71.9850
60.000000	84.825	62.5434
60.799999	84.781	55.0364
61.500000	84.741	48.5056
62.200001	84.701	42.0040
63.000000	84.659	34.5928
64.000000	84.603	25.3740
65.000000	84.549	16.1991
66.000000	84.500	7.0530
67.000000	84.448	-2.0613
68.000000	84.394	-11.1455
69.000000	84.343	-20.1957
70.000000	84.293	-29.1957
71.000000	84.239	-38.1603
72.000000	84.188	-47.1137
73.000000	84.142	-55.9937
74.000000	84.090	-64.7916
75.000000	84.034	-73.6129
76.199997	83.972	-84.2264
77.500000	83.910	-95.5844
78.800003	83.846	-106.8419
80.000000	83.786	-117.2260
81.199997	83.721	-127.5829
82.500000	83.651	-138.7699
83.800003	83.588	-149.9235
85.000000	83.531	-160.1396
86.199997	83.467	-170.2917
87.500000	83.397	178.7334
88.500000	83.349	170.3252
90.000000	83.273	157.7993
91.199997	83.210	147.8445
92.500000	83.150	137.1326
93.800003	83.098	126.4548
95.000000	83.052	116.5707
96.199997	83.006	106.6928
97.500000	82.957	96.0338
98.800003	82.907	85.4291
100.000000	82.857	75.6604
101.500000	82.789	63.4715
103.000000	82.725	51.3434
104.400002	82.665	40.0930
106.000000	82.593	27.2578
107.500000	82.530	15.2491
109.000000	82.467	3.3392
110.599998	82.395	-9.2794
112.000000	82.336	-20.3038
113.800003	82.264	-34.4335
115.000000	82.214	-43.7901
117.199997	82.118	-60.8960
118.000000	82.082	-67.1112
120.599998	81.972	-87.2682
122.000000	81.917	-97.9900
124.099998	81.830	-114.0562
125.000000	81.792	-120.9081
126.500000	81.729	-132.2908
128.000000	81.663	-143.6425
131.500000	81.506	-169.9567
132.000000	81.484	-173.6884
134.000000	81.395	171.5128
136.000000	81.303	156.8502
138.000000	81.247	142.3065
140.000000	81.238	127.9457
143.000000	81.218	105.8693
145.000000	81.182	90.8862
147.500000	81.119	72.4231
150.000000	81.042	54.2073
152.500000	80.960	36.1199
155.000000	80.879	18.0872
157.500000	80.799	0.1556
160.000000	80.714	-17.6897
162.500000	80.638	-35.4176
165.000000	80.566	-52.9781
167.500000	80.490	-70.5347
170.000000	80.416	-88.0729
172.500000	80.347	-105.4543
175.000000	80.277	-122.7426
177.500000	80.211	-140.0302
180.000000	80.150	-157.2410
182.500000	80.085	-174.3510
185.000000	80.017	168.5919
187.500000	79.952	151.5618
190.000000	79.893	134.6318
192.500000	79.832	117.7809
195.000000	79.770	100.9917
197.500000	79.709	84.2689
200.000000	79.650	67.6099
203.000000	79.580	47.7437
206.000000	79.509	27.9536
209.000000	79.439	8.1528
212.000000	79.376	-11.4955
214.000000	79.334	-24.5084
218.000000	79.248	-50.4860
220.000000	79.206	-63.4716
224.000000	79.130	-89.2736
227.000000	79.073	-108.4460
230.000000	79.009	-127.5844
233.000000	78.943	-146.7078
236.000000	78.884	-165.6842
240.000000	78.808	169.2347
243.000000	78.756	150.5179
247.000000	78.710	125.6520
250.000000	78.692	107.0773
254.000000	78.666	82.3062
258.000000	78.634	57.4581
262.000000	78.597	32.7522
265.000000	78.562	14.3481
269.000000	78.510	-10.1444
272.000000	78.473	-28.4438
276.000000	78.421	-52.7078
280.000000	78.361	-76.8245
285.000000	78.287	-106.8982
290.000000	78.223	-136.7432
295.000000	78.158	-166.3789
300.000000	78.095	164.0918
304.000000	78.050	140.6021
307.000000	78.017	123.0845
311.000000	77.972	99.7998
315.000000	77.927	76.5620
320.000000	77.876	47.6445
325.000000	77.825	18.9409
330.000000	77.771	-9.6606
335.000000	77.721	-38.1455
340.000000	77.675	-66.4390
345.000000	77.628	-94.5623
350.000000	77.582	-122.5864
355.000000	77.544	-150.5234
360.000000	77.508	-178.2847
365.000000	77.467	154.0984
370.000000	77.426	126.5806
375.000000	77.388	99.1680
382.000000	77.338	61.0420
387.000000	77.301	33.9663
395.000000	77.252	-9.1707
400.000000	77.227	-35.9402
406.000000	77.191	-67.9155
412.000000	77.153	-99.8030
418.000000	77.122	-131.5303
425.000000	77.086	-168.2251
431.000000	77.049	160.4880
437.000000	77.014	129.2551
444.000000	76.982	93.0564
450.000000	76.953	62.2485
455.000000	76.928	36.6548
462.000000	76.903	0.9453
468.000000	76.884	-29.4614
475.000000	76.857	-64.7441
482.000000	76.829	-99.9009
487.000000	76.813	-124.9204
494.000000	76.791	-159.7205
500.000000	76.769	170.6199
508.000000	76.739	131.2004
515.000000	76.719	96.8713
522.000000	76.697	62.7903
530.000000	76.661	24.0757
538.000000	76.622	-14.4885
545.000000	76.589	-47.9946
552.000000	76.557	-81.2266
560.000000	76.530	-118.9854
570.000000	76.527	-165.9485
580.000000	76.538	147.3901
590.000000	76.542	100.9795
600.000000	76.543	54.7939
608.000000	76.544	18.1030
615.000000	76.543	-13.8228
622.000000	76.538	-45.6067
630.000000	76.531	-81.7903
640.000000	76.529	-126.7600
650.000000	76.529	-171.3623
660.000000	76.527	144.3184
670.000000	76.531	100.2485
680.000000	76.543	56.5195
690.000000	76.560	13.0796
700.000000	76.579	-30.1484
710.000000	76.608	-73.1455
720.000000	76.647	-115.8311
730.000000	76.687	-158.2554
740.000000	76.722	159.4683
750.000000	76.760	117.3892
762.000000	76.811	67.2910
775.000000	76.856	13.4033
788.000000	76.901	-40.2051
800.000000	76.953	-89.2612
812.000000	77.001	-137.9390
825.000000	77.047	169.5425
838.000000	77.112	117.4521
850.000000	77.176	69.8335
862.000000	77.232	22.4507
875.000000	77.301	-28.6509
885.000000	77.367	-67.6206
900.000000	77.462	-125.6523
912.000000	77.535	-171.9287
925.000000	77.626	138.2651
938.000000	77.728	88.9023
950.000000	77.820	43.6196
962.000000	77.911	-1.4980
975.000000	78.019	-50.0713
988.000000	78.135	-98.2534
1000.000000	78.240	-142.4990
1015.000000	78.367	162.4150
1030.000000	78.505	107.7329
1044.000000	78.641	57.1421
1060.000000	78.786	-0.3916
1075.000000	78.922	-54.1094
1090.000000	79.066	-107.3467
1106.000000	79.218	-163.7129
1120.000000	79.351	147.2153
1138.000000	79.520	84.5166
1150.000000	79.626	42.9414
1172.000000	79.822	-32.8320
1180.000000	79.895	-60.1255
1206.000000	80.124	-148.0933
1220.000000	80.239	164.8613
1241.000000	80.417	94.8096
1250.000000	80.492	65.0122
1265.000000	80.613	15.5698
1280.000000	80.725	-33.6416
1315.000000	81.000	-147.1646
1320.000000	81.039	-163.2163
1340.000000	81.184	132.8193
1360.000000	81.329	69.3662
1380.000000	81.481	6.5527
1400.000000	81.625	-55.8066
1430.000000	81.830	-148.4980
1450.000000	81.976	150.4814
1475.000000	82.160	74.9897
1500.000000	82.329	0.0703
1525.000000	82.508	-74.1558
1550.000000	82.692	-147.4902
1575.000000	82.867	139.7432
1600.000000	83.048	67.8340
1625.000000	83.236	-3.3682
1650.000000	83.413	-74.1211
1675.000000	83.595	-144.1416
1700.000000	83.784	146.7905
1725.000000	83.965	77.9868
1750.000000	84.147	9.8003
1775.000000	84.333	-57.4355
1800.000000	84.515	-124.3130
1825.000000	84.695	169.1953
1850.000000	84.878	103.5708
1875.000000	85.056	38.6592
1900.000000	85.228	-26.0063
1925.000000	85.403	-90.1406
1950.000000	85.574	-153.3906
1975.000000	85.731	143.7168
2000.000000	85.882	81.1465
2030.000000	86.064	6.9971
2060.000000	86.234	-66.1074
2090.000000	86.379	-138.7871
2120.000000	86.510	148.9072
2140.000000	86.597	101.3271
2180.000000	86.744	7.5430
2200.000000	86.798	-39.0645
2240.000000	86.886	-131.5508
2270.000000	86.941	160.3291
2300.000000	86.972	93.0244
2330.000000	86.977	26.1426
2360.000000	86.966	-40.1865
2400.000000	86.935	-127.0605
2430.000000	86.888	168.6865
2470.000000	86.801	83.9326
2500.000000	86.728	21.3984
2540.000000	86.608	-61.0127
2580.000000	86.465	-142.5342
2620.000000	86.318	137.6699
2650.000000	86.202	78.7578
2690.000000	86.033	0.9971
2720.000000	85.902	-56.6152
2760.000000	85.730	-132.0820
2800.000000	85.552	153.5547
2850.000000	85.327	61.9688
2900.000000	85.110	-27.4277
2950.000000	84.893	-115.1152
3000.000000	84.677	158.5430
3040.000000	84.519	90.9980
3070.000000	84.400	41.0400
3110.000000	84.243	-25.0000
3150.000000	84.100	-89.8232
3200.000000	83.942	-169.3213
3250.000000	83.798	112.4268
3300.000000	83.671	35.5078
3350.000000	83.568	-39.8262
3400.000000	83.485	-113.4766
3450.000000	83.402	174.0820
3500.000000	83.324	102.9648
3550.000000	83.260	33.2607
3600.000000	83.201	-35.2783
3650.000000	83.135	-102.8818
3700.000000	83.073	-169.1660
3750.000000	83.017	126.3213
3820.000000	82.890	37.7734
3870.000000	82.750	-24.1973
3950.000000	82.710	-119.4658
4000.000000	82.855	-178.0020
4060.000000	82.980	112.8154
4120.000000	83.021	45.1641
4180.000000	83.026	-21.3496
4250.000000	83.028	-96.7793
4310.000000	83.030	-159.2793
4370.000000	83.028	139.3525
4440.000000	83.026	69.3633
4500.000000	83.026	11.2881
4550.000000	83.022	-35.9482
4620.000000	83.008	-100.5283
4680.000000	82.988	-154.2930
4750.000000	82.951	144.6738
4820.000000	82.889	85.1680
4870.000000	82.831	43.8311
4940.000000	82.731	-12.3252
5000.000000	82.635	-58.7129
5080.000000	82.486	-118.6406
5150.000000	82.335	-169.3760
5220.000000	82.175	142.2119
5300.000000	81.982	89.2070
5380.000000	81.773	38.0996
5450.000000	81.580	-4.5137
5520.000000	81.382	-45.0010
5600.000000	81.153	-89.3291
5700.000000	80.866	-142.0332
5800.000000	80.586	168.9980
5900.000000	80.331	123.5186
6000.000000	80.109	81.2686
6080.000000	79.959	50.1445
6150.000000	79.848	24.5020
6220.000000	79.754	0.0879
6300.000000	79.673	-26.0508
6400.000000	79.617	-55.5400
6500.000000	79.606	-82.0703
6600.000000	79.634	-106.0332
6700.000000	79.720	-126.8936
6800.000000	79.861	-145.0918
6900.000000	80.045	-161.2031
7000.000000	80.278	-174.7715
7100.000000	80.572	174.4619
7200.000000	80.928	166.0410
7300.000000	81.337	159.5605
7400.000000	81.800	155.1729
7500.000000	82.330	152.8643
7620.000000	83.027	151.9463
7750.000000	83.788	152.8291
7880.000000	84.443	155.6436
8000.000000	84.780	159.2676
8120.000000	84.705	164.7246
8250.000000	84.106	174.5117
8380.000000	83.062	-170.4014
8500.000000	81.879	-150.5527
8620.000000	80.644	-124.6641
8750.000000	79.348	-91.1084
8850.000000	78.409	-62.1875
9000.000000	77.119	-13.1318
9120.000000	76.209	31.2031
9250.000000	75.340	82.3613
9380.000000	74.583	136.4551
9500.000000	73.994	-169.3408
9620.000000	73.503	-111.4121
9750.000000	73.055	-47.0645
9880.000000	72.671	16.8818
10000.000000	72.387	77.8584
10150.000000	72.120	156.2402
10300.000000	71.949	-121.3906
10440.000000	71.884	-38.5889
10600.000000	71.912	59.9355
10750.000000	72.043	154.3066
10900.000000	72.289	-107.3184
11060.000000	72.680	3.2783
11200.000000	73.133	102.7930
11380.000000	73.877	-127.2432
11500.000000	74.491	-37.1084
11720.000000	75.907	139.7900
11800.000000	76.505	-156.0703
12060.000000	78.662	46.6865
12200.000000	79.821	164.7344
12410.000000	81.100	-31.5400
12500.000000	81.345	31.0117
12650.000000	81.261	134.8496
12800.000000	80.625	-106.7900
13150.000000	78.098	-144.1797
13200.000000	77.725	-96.2881
13400.000000	76.386	108.4512
13600.000000	75.366	-36.6533
13800.000000	74.663	178.0273
14000.000000	74.236	32.0342
14300.000000	74.056	19.0703
14500.000000	74.213	-110.9521
14750.000000	74.683	-167.3369
15000.000000	75.397	154.2129
15250.000000	76.162	54.5400
15500.000000	76.572	17.6899
15750.000000	76.172	-59.4355
16000.000000	74.931	-108.6387
16250.000000	73.352	-123.8145
16500.000000	72.009	-141.0195
16750.000000	71.210	155.3721
17000.000000	71.003	138.5405
17250.000000	71.236	148.4355
17500.000000	71.399	141.7129
17750.000000	70.727	-177.5752
18000.000000	68.794	-166.9438
18250.000000	65.827	-101.4248
18500.000000	62.422	-76.3730
18750.000000	59.098	-33.4600
19000.000000	56.084	155.1357
19250.000000	53.397	-130.4312
19500.000000	50.954	-139.1445
19750.000000	48.771	171.9272
20000.000000	47.360	110.3608
