* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -10.8 dBFS with no timing reference
* Dated: Apr 6, 2025 7:13:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: BT20XS
* Measurement: R Wan'er S.G 2 (SBC, Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.835	117.3495
20.600000	85.842	113.5070
20.900000	85.847	109.3299
21.200001	85.854	105.1479
21.400000	85.859	102.3777
21.799999	85.872	96.8845
22.000000	85.878	94.1584
22.400000	85.888	88.7334
22.700001	85.894	84.6800
23.000000	85.897	80.6374
23.299999	85.900	76.6095
23.600000	85.903	72.6020
24.000000	85.905	67.2957
24.299999	85.906	63.3426
24.700001	85.907	58.0988
25.000000	85.907	54.1814
25.400000	85.908	48.9776
25.799999	85.908	43.8016
26.200001	85.906	38.6611
26.500000	85.903	34.8307
26.900000	85.896	29.7539
27.200001	85.890	25.9651
27.600000	85.883	20.9329
28.000000	85.876	15.9200
28.500000	85.869	9.6817
29.000000	85.858	3.4790
29.500000	85.844	-2.6844
30.000000	85.830	-8.8060
30.400000	85.822	-13.6718
30.700001	85.817	-17.3039
31.100000	85.810	-22.1285
31.500000	85.799	-26.9404
32.000000	85.779	-32.9452
32.500000	85.757	-38.9283
33.000000	85.737	-44.8660
33.500000	85.720	-50.7531
34.000000	85.701	-56.6146
34.500000	85.680	-62.4759
35.000000	85.661	-68.3300
35.500000	85.643	-74.1464
36.000000	85.627	-79.9056
36.500000	85.610	-85.6142
37.000000	85.590	-91.2916
37.500000	85.567	-96.9552
38.200001	85.530	-104.8831
38.700001	85.503	-110.5382
39.500000	85.468	-119.5133
40.000000	85.450	-125.0614
40.599998	85.426	-131.6882
41.200001	85.395	-138.3142
41.799999	85.362	-144.9324
42.500000	85.329	-152.5978
43.099998	85.303	-159.1121
43.700001	85.277	-165.6212
44.400002	85.245	-173.2578
45.000000	85.222	-179.7845
45.500000	85.200	174.8530
46.200001	85.157	167.4503
46.799999	85.113	161.1006
47.500000	85.070	153.6510
48.200001	85.037	146.2663
48.700001	85.013	141.0413
49.400002	84.974	133.7141
50.000000	84.941	127.4264
50.799999	84.894	119.1521
51.500000	84.852	111.9472
52.200001	84.817	104.7068
53.000000	84.778	96.5421
53.799999	84.751	88.2844
54.500000	84.764	80.7617
55.200001	84.775	73.4120
56.000000	84.706	65.6330
57.000000	84.572	56.0518
58.000000	84.518	46.1315
59.000000	84.466	36.1751
60.000000	84.413	26.2001
60.799999	84.374	18.2964
61.500000	84.337	11.4044
62.200001	84.301	4.5039
63.000000	84.261	-3.3523
64.000000	84.208	-13.0602
65.000000	84.148	-22.7074
66.000000	84.090	-32.3552
67.000000	84.038	-41.9421
68.000000	83.984	-51.4791
69.000000	83.926	-61.0101
70.000000	83.873	-70.5048
71.000000	83.823	-79.9233
72.000000	83.768	-89.3176
73.000000	83.712	-98.7007
74.000000	83.659	-108.0115
75.000000	83.605	-117.2595
76.199997	83.541	-128.3380
77.500000	83.476	-140.2659
78.800003	83.416	-152.1147
80.000000	83.366	-163.0555
81.199997	83.314	-173.9927
82.500000	83.249	174.2072
83.800003	83.181	162.4760
85.000000	83.125	151.6948
86.199997	83.065	140.9692
87.500000	82.997	129.3861
88.500000	82.947	120.5022
90.000000	82.879	107.2853
91.199997	82.819	96.7371
92.500000	82.755	85.2820
93.800003	82.700	73.9466
95.000000	82.644	63.5687
96.199997	82.583	53.1552
97.500000	82.517	41.8901
98.800003	82.458	30.6884
100.000000	82.405	20.4023
101.500000	82.336	7.5857
103.000000	82.269	-5.1980
104.400002	82.209	-17.0536
106.000000	82.139	-30.5267
107.500000	82.073	-43.1428
109.000000	82.011	-55.7113
110.599998	81.944	-69.0153
112.000000	81.881	-80.6276
