* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 16, 2025 3:34:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Wan'er SE (Sancai)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.031	18.0038
20.299999	90.058	17.5774
20.600000	90.082	17.1720
20.900000	90.103	16.7907
21.200001	90.120	16.4259
21.400000	90.130	16.1924
21.799999	90.149	15.7474
22.000000	90.157	15.5287
22.400000	90.169	15.0592
22.700001	90.175	14.7153
23.000000	90.179	14.3781
23.299999	90.181	14.0082
23.600000	90.182	13.6475
24.000000	90.182	13.1816
24.299999	90.182	12.8002
24.700001	90.181	12.2975
25.000000	90.180	11.9303
25.400000	90.180	11.4126
25.799999	90.180	10.9204
26.200001	90.182	10.4432
26.500000	90.186	10.0900
26.900000	90.192	9.6312
27.200001	90.198	9.2950
27.600000	90.206	8.8560
28.000000	90.213	8.4307
28.500000	90.219	7.9428
29.000000	90.225	7.4878
29.500000	90.228	7.0687
30.000000	90.230	6.6674
30.400000	90.229	6.3530
30.700001	90.227	6.1232
31.100000	90.223	5.8224
31.500000	90.216	5.5177
32.000000	90.206	5.1500
32.500000	90.195	4.7650
33.000000	90.184	4.3880
33.500000	90.172	3.9919
34.000000	90.160	3.6021
34.500000	90.148	3.2047
35.000000	90.136	2.8287
35.500000	90.126	2.4666
36.000000	90.121	2.1154
36.500000	90.117	1.7537
37.000000	90.112	1.3796
37.500000	90.100	1.0223
38.200001	90.079	0.5931
38.700001	90.066	0.3340
39.500000	90.050	-0.0771
40.000000	90.039	-0.3436
40.599998	90.024	-0.6639
41.200001	90.008	-0.9770
41.799999	89.993	-1.3019
42.500000	89.974	-1.6980
43.099998	89.957	-2.0334
43.700001	89.938	-2.3578
44.400002	89.917	-2.7072
45.000000	89.901	-2.9812
45.500000	89.891	-3.2078
46.200001	89.878	-3.5472
46.799999	89.860	-3.8469
47.500000	89.833	-4.1565
48.200001	89.806	-4.4193
48.700001	89.789	-4.6115
49.400002	89.763	-4.9066
50.000000	89.737	-5.1552
50.799999	89.706	-5.4814
51.500000	89.681	-5.7975
52.200001	89.656	-6.1104
53.000000	89.638	-6.4732
53.799999	89.622	-6.9925
54.500000	89.574	-7.4551
55.200001	89.511	-7.6384
56.000000	89.481	-7.5929
57.000000	89.490	-7.7577
58.000000	89.473	-8.0926
59.000000	89.445	-8.3534
60.000000	89.410	-8.6136
60.799999	89.379	-8.8103
61.500000	89.353	-8.9891
62.200001	89.325	-9.1769
63.000000	89.293	-9.3871
64.000000	89.258	-9.6555
65.000000	89.224	-9.9416
66.000000	89.189	-10.2143
67.000000	89.155	-10.4539
68.000000	89.123	-10.6827
69.000000	89.089	-10.9044
70.000000	89.053	-11.1087
71.000000	89.016	-11.3076
72.000000	88.980	-11.5016
73.000000	88.946	-11.6931
74.000000	88.913	-11.9038
75.000000	88.878	-12.1153
76.199997	88.835	-12.3323
77.500000	88.791	-12.5311
78.800003	88.750	-12.7324
80.000000	88.708	-12.9319
81.199997	88.663	-13.1111
82.500000	88.617	-13.2957
83.800003	88.570	-13.4868
85.000000	88.528	-13.6442
86.199997	88.487	-13.7922
87.500000	88.445	-13.9586
88.500000	88.411	-14.0837
90.000000	88.360	-14.2576
91.199997	88.318	-14.3897
92.500000	88.274	-14.5048
93.800003	88.234	-14.6229
95.000000	88.197	-14.7577
96.199997	88.155	-14.8897
97.500000	88.108	-14.9957
98.800003	88.064	-15.0810
100.000000	88.027	-15.1656
101.500000	87.982	-15.2810
103.000000	87.937	-15.4009
104.400002	87.894	-15.5011
106.000000	87.844	-15.5927
107.500000	87.798	-15.6612
109.000000	87.754	-15.7387
110.599998	87.706	-15.8387
112.000000	87.661	-15.9191
113.800003	87.606	-15.9967
115.000000	87.570	-16.0436
117.199997	87.503	-16.0921
118.000000	87.478	-16.1091
120.599998	87.398	-16.1325
122.000000	87.359	-16.1507
124.099998	87.300	-16.2079
125.000000	87.275	-16.2312
126.500000	87.234	-16.2577
128.000000	87.194	-16.2742
131.500000	87.098	-16.2645
132.000000	87.084	-16.2622
134.000000	87.028	-16.2521
136.000000	86.977	-16.2569
138.000000	86.931	-16.2388
