* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 16, 2025 3:39:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Wan'er SE (Sancai)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.466	25.2822
20.299999	88.504	24.8834
20.600000	88.540	24.5034
20.900000	88.573	24.1407
21.200001	88.602	23.7866
21.400000	88.620	23.5572
21.799999	88.651	23.1193
22.000000	88.665	22.9060
22.400000	88.688	22.4530
22.700001	88.702	22.1247
23.000000	88.715	21.8021
23.299999	88.726	21.4439
23.600000	88.734	21.0923
24.000000	88.744	20.6382
24.299999	88.750	20.2698
24.700001	88.758	19.7926
25.000000	88.765	19.4489
25.400000	88.776	18.9626
25.799999	88.789	18.4952
26.200001	88.804	18.0327
26.500000	88.817	17.6853
26.900000	88.835	17.2312
27.200001	88.848	16.8998
27.600000	88.865	16.4737
28.000000	88.880	16.0705
28.500000	88.900	15.6191
29.000000	88.920	15.1971
29.500000	88.939	14.7947
30.000000	88.952	14.3970
30.400000	88.958	14.0890
30.700001	88.960	13.8730
31.100000	88.961	13.6045
31.500000	88.962	13.3427
32.000000	88.964	13.0282
32.500000	88.966	12.6829
33.000000	88.967	12.3326
33.500000	88.967	11.9584
34.000000	88.967	11.5898
34.500000	88.967	11.2129
35.000000	88.966	10.8572
35.500000	88.969	10.5162
36.000000	88.975	10.1855
36.500000	88.984	9.8407
37.000000	88.990	9.4818
37.500000	88.990	9.1447
38.200001	88.983	8.7605
38.700001	88.983	8.5386
39.500000	88.988	8.1671
40.000000	88.989	7.9072
40.599998	88.984	7.5911
41.200001	88.976	7.2965
41.799999	88.969	7.0052
42.500000	88.960	6.6508
43.099998	88.951	6.3545
43.700001	88.944	6.0728
44.400002	88.941	5.7367
45.000000	88.936	5.4225
45.500000	88.927	5.1657
46.200001	88.910	4.8717
46.799999	88.899	4.6781
47.500000	88.893	4.4566
48.200001	88.888	4.2096
48.700001	88.883	4.0193
49.400002	88.874	3.7356
50.000000	88.863	3.4938
50.799999	88.850	3.1781
51.500000	88.841	2.8810
52.200001	88.831	2.5982
53.000000	88.833	2.3120
53.799999	88.850	1.8440
54.500000	88.831	1.3013
55.200001	88.771	0.9944
56.000000	88.727	1.0506
57.000000	88.737	1.0826
58.000000	88.741	0.8872
59.000000	88.734	0.6687
60.000000	88.713	0.4245
60.799999	88.693	0.2558
61.500000	88.680	0.0892
62.200001	88.665	-0.1082
63.000000	88.646	-0.3293
64.000000	88.627	-0.5837
65.000000	88.612	-0.8399
66.000000	88.596	-1.0787
67.000000	88.581	-1.2909
68.000000	88.565	-1.5003
69.000000	88.544	-1.7021
70.000000	88.520	-1.8787
71.000000	88.499	-2.0404
72.000000	88.481	-2.2205
73.000000	88.463	-2.4282
74.000000	88.444	-2.6372
75.000000	88.423	-2.8226
76.199997	88.400	-3.0225
77.500000	88.372	-3.2144
78.800003	88.347	-3.3796
80.000000	88.324	-3.5672
81.199997	88.296	-3.7634
82.500000	88.266	-3.9375
83.800003	88.242	-4.1037
85.000000	88.223	-4.2672
86.199997	88.202	-4.4363
87.500000	88.175	-4.5926
88.500000	88.156	-4.7041
90.000000	88.125	-4.8714
91.199997	88.101	-5.0037
92.500000	88.074	-5.1574
93.800003	88.048	-5.2871
95.000000	88.025	-5.4174
