* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 16, 2025 4:46:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Gate (Narrow)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.162	-175.9305
20.299999	91.168	-176.3598
20.600000	91.172	-176.7739
20.900000	91.173	-177.1728
21.200001	91.172	-177.5626
21.400000	91.169	-177.8143
21.799999	91.161	-178.2909
22.000000	91.155	-178.5208
22.400000	91.142	-179.0036
22.700001	91.130	-179.3541
23.000000	91.118	-179.7010
23.299999	91.103	179.9139
23.600000	91.087	179.5338
24.000000	91.063	179.0426
24.299999	91.044	178.6492
24.700001	91.018	178.1433
25.000000	91.000	177.7797
25.400000	90.978	177.2645
25.799999	90.957	176.7630
26.200001	90.938	176.2633
26.500000	90.924	175.8897
26.900000	90.906	175.4071
27.200001	90.893	175.0589
27.600000	90.877	174.6105
28.000000	90.861	174.1772
28.500000	90.841	173.6726
29.000000	90.821	173.1917
29.500000	90.799	172.7430
30.000000	90.776	172.3124
30.400000	90.755	171.9753
30.700001	90.738	171.7299
31.100000	90.713	171.4119
31.500000	90.687	171.0968
32.000000	90.653	170.7268
32.500000	90.619	170.3439
33.000000	90.587	169.9619
33.500000	90.553	169.5500
34.000000	90.517	169.1415
34.500000	90.479	168.7311
35.000000	90.442	168.3463
35.500000	90.407	167.9730
36.000000	90.375	167.6111
36.500000	90.344	167.2523
37.000000	90.314	166.8980
37.500000	90.284	166.5577
38.200001	90.242	166.0986
38.700001	90.211	165.7812
39.500000	90.156	165.2981
40.000000	90.119	165.0274
40.599998	90.077	164.7227
41.200001	90.038	164.4167
41.799999	89.998	164.0886
42.500000	89.947	163.6995
43.099998	89.902	163.3831
43.700001	89.859	163.0692
44.400002	89.808	162.7032
45.000000	89.765	162.4047
45.500000	89.732	162.1671
46.200001	89.688	161.8299
46.799999	89.649	161.5333
47.500000	89.600	161.2150
48.200001	89.552	160.9416
48.700001	89.519	160.7579
49.400002	89.472	160.5059
50.000000	89.431	160.3010
50.799999	89.376	160.0271
51.500000	89.323	159.7904
52.200001	89.269	159.5618
53.000000	89.203	159.2669
53.799999	89.121	159.0124
54.500000	89.052	158.9521
55.200001	89.017	158.9215
56.000000	88.997	158.6474
57.000000	88.938	158.1297
58.000000	88.870	157.7510
59.000000	88.807	157.3963
60.000000	88.739	157.1233
60.799999	88.691	156.9536
61.500000	88.650	156.7990
62.200001	88.608	156.6440
63.000000	88.556	156.4786
