* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 16, 2025 4:48:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Gate (Narrow)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.653	-178.2303
20.299999	91.653	-178.6677
20.600000	91.652	-179.0789
20.900000	91.648	-179.4649
21.200001	91.643	-179.8379
21.400000	91.639	179.9198
21.799999	91.628	179.4514
22.000000	91.621	179.2198
22.400000	91.603	178.7287
22.700001	91.586	178.3755
23.000000	91.568	178.0351
23.299999	91.548	177.6667
23.600000	91.528	177.3097
24.000000	91.501	176.8486
24.299999	91.481	176.4700
24.700001	91.454	175.9703
25.000000	91.433	175.6046
25.400000	91.407	175.0865
25.799999	91.381	174.5897
26.200001	91.357	174.1023
26.500000	91.341	173.7392
26.900000	91.321	173.2667
27.200001	91.306	172.9221
27.600000	91.287	172.4758
28.000000	91.267	172.0460
28.500000	91.244	171.5499
29.000000	91.221	171.0753
29.500000	91.196	170.6244
30.000000	91.168	170.1898
30.400000	91.143	169.8571
30.700001	91.123	169.6206
31.100000	91.096	169.3181
31.500000	91.069	169.0148
32.000000	91.033	168.6457
32.500000	90.997	168.2545
33.000000	90.959	167.8713
33.500000	90.920	167.4733
34.000000	90.880	167.0862
34.500000	90.840	166.6931
35.000000	90.800	166.3187
35.500000	90.762	165.9542
36.000000	90.726	165.6037
36.500000	90.692	165.2577
37.000000	90.659	164.9156
37.500000	90.625	164.5886
38.200001	90.577	164.1573
38.700001	90.543	163.8662
39.500000	90.488	163.4122
40.000000	90.453	163.1364
40.599998	90.409	162.8077
41.200001	90.364	162.4865
41.799999	90.317	162.1693
42.500000	90.262	161.8033
43.099998	90.214	161.4959
43.700001	90.166	161.1932
44.400002	90.111	160.8496
45.000000	90.066	160.5517
45.500000	90.027	160.2993
46.200001	89.971	159.9681
46.799999	89.924	159.7261
47.500000	89.876	159.4616
48.200001	89.831	159.1735
48.700001	89.796	158.9659
49.400002	89.745	158.7079
50.000000	89.704	158.5083
50.799999	89.649	158.2326
51.500000	89.597	158.0145
52.200001	89.546	157.8199
53.000000	89.483	157.5762
53.799999	89.408	157.4188
54.500000	89.357	157.4023
55.200001	89.334	157.2982
56.000000	89.300	156.9280
57.000000	89.214	156.4516
58.000000	89.129	156.1424
59.000000	89.051	155.8404
60.000000	88.976	155.5875
60.799999	88.921	155.3966
61.500000	88.874	155.2352
62.200001	88.828	155.0894
63.000000	88.778	154.9249
64.000000	88.714	154.7079
65.000000	88.646	154.5048
66.000000	88.578	154.3229
67.000000	88.510	154.1589
68.000000	88.446	154.0123
69.000000	88.384	153.8600
70.000000	88.322	153.7146
71.000000	88.260	153.5831
72.000000	88.196	153.4577
73.000000	88.133	153.3583
74.000000	88.072	153.2634
75.000000	88.011	153.1636
76.199997	87.938	153.0593
77.500000	87.864	152.9473
78.800003	87.791	152.8254
80.000000	87.723	152.7202
81.199997	87.654	152.6219
82.500000	87.579	152.5367
83.800003	87.507	152.4576
85.000000	87.441	152.3857
86.199997	87.376	152.3247
87.500000	87.308	152.2609
88.500000	87.256	152.2116
90.000000	87.177	152.1556
91.199997	87.114	152.1297
92.500000	87.047	152.1104
93.800003	86.981	152.0896
95.000000	86.919	152.0655
96.199997	86.857	152.0531
97.500000	86.793	152.0605
98.800003	86.735	152.0457
100.000000	86.679	152.0224
101.500000	86.609	152.0203
103.000000	86.539	152.0349
104.400002	86.475	152.0535
106.000000	86.401	152.0886
107.500000	86.336	152.1295
109.000000	86.273	152.1605
110.599998	86.206	152.2059
112.000000	86.149	152.2520
113.800003	86.075	152.3081
115.000000	86.026	152.3433
117.199997	85.937	152.4217
118.000000	85.906	152.4557
120.599998	85.810	152.5486
122.000000	85.757	152.5981
124.099998	85.678	152.6972
125.000000	85.645	152.7429
126.500000	85.591	152.8158
128.000000	85.538	152.8895
131.500000	85.414	153.0731
132.000000	85.396	153.1026
134.000000	85.324	153.2411
136.000000	85.258	153.3869
138.000000	85.193	153.5156
140.000000	85.126	153.6617
143.000000	85.036	153.8789
145.000000	84.976	153.9905
147.500000	84.903	154.1468
150.000000	84.827	154.3222
152.500000	84.753	154.5256
155.000000	84.680	154.7163
157.500000	84.610	154.9154
160.000000	84.543	155.1080
162.500000	84.475	155.3081
165.000000	84.408	155.5147
167.500000	84.342	155.7304
170.000000	84.280	155.9473
172.500000	84.224	156.1809
175.000000	84.165	156.4334
177.500000	84.105	156.7446
180.000000	84.054	157.0051
182.500000	84.006	157.1595
185.000000	83.951	157.3316
187.500000	83.894	157.5468
190.000000	83.837	157.7594
192.500000	83.782	157.9824
195.000000	83.727	158.2418
197.500000	83.671	158.5289
200.000000	83.615	158.8386
203.000000	83.553	159.1979
206.000000	83.497	159.6000
209.000000	83.452	160.0898
212.000000	83.419	160.6052
214.000000	83.409	160.9282
218.000000	83.403	161.2634
220.000000	83.394	161.3559
224.000000	83.359	161.5728
227.000000	83.324	161.7512
230.000000	83.290	161.9042
233.000000	83.260	162.0848
236.000000	83.230	162.3061
240.000000	83.183	162.5894
243.000000	83.145	162.7640
247.000000	83.095	163.0132
250.000000	83.057	163.2278
254.000000	83.005	163.5315
258.000000	82.956	163.8396
262.000000	82.910	164.1477
265.000000	82.875	164.3746
269.000000	82.832	164.6759
272.000000	82.800	164.9114
276.000000	82.757	165.2335
280.000000	82.716	165.5616
285.000000	82.668	165.9522
290.000000	82.620	166.3467
295.000000	82.574	166.7449
300.000000	82.531	167.1437
304.000000	82.498	167.4737
307.000000	82.475	167.7148
311.000000	82.443	168.0314
315.000000	82.411	168.3526
320.000000	82.373	168.7489
325.000000	82.338	169.1480
330.000000	82.305	169.5440
335.000000	82.271	169.9367
340.000000	82.237	170.3247
345.000000	82.205	170.7085
350.000000	82.180	171.1011
355.000000	82.156	171.4769
360.000000	82.131	171.8454
365.000000	82.107	172.2202
370.000000	82.083	172.6000
375.000000	82.061	172.9724
382.000000	82.030	173.4789
387.000000	82.009	173.8367
395.000000	81.976	174.3978
400.000000	81.956	174.7499
406.000000	81.933	175.1696
412.000000	81.912	175.5901
418.000000	81.891	176.0124
425.000000	81.867	176.4794
431.000000	81.848	176.8794
437.000000	81.831	177.2881
444.000000	81.811	177.7560
450.000000	81.794	178.1618
455.000000	81.780	178.5031
462.000000	81.762	178.9771
468.000000	81.748	179.3749
475.000000	81.732	179.8315
482.000000	81.717	-179.7085
487.000000	81.708	-179.3808
494.000000	81.695	-178.9273
500.000000	81.685	-178.5417
508.000000	81.673	-178.0265
515.000000	81.662	-177.5761
522.000000	81.653	-177.1289
530.000000	81.643	-176.6187
538.000000	81.634	-176.1117
545.000000	81.627	-175.6686
552.000000	81.621	-175.2242
560.000000	81.615	-174.7152
570.000000	81.608	-174.0784
580.000000	81.602	-173.4517
590.000000	81.598	-172.8254
600.000000	81.597	-172.2028
608.000000	81.596	-171.6998
615.000000	81.597	-171.2581
622.000000	81.598	-170.8177
630.000000	81.601	-170.3140
640.000000	81.604	-169.6888
650.000000	81.609	-169.0663
660.000000	81.617	-168.4437
670.000000	81.625	-167.8219
680.000000	81.636	-167.1976
690.000000	81.649	-166.5728
700.000000	81.663	-165.9459
710.000000	81.678	-165.3161
720.000000	81.696	-164.6850
730.000000	81.716	-164.0595
740.000000	81.738	-163.4400
750.000000	81.763	-162.8182
762.000000	81.795	-162.0731
775.000000	81.834	-161.2747
788.000000	81.877	-160.4871
800.000000	81.921	-159.7717
812.000000	81.967	-159.0729
825.000000	82.021	-158.3443
838.000000	82.078	-157.6493
850.000000	82.128	-157.0446
862.000000	82.174	-156.4602
875.000000	82.216	-155.8225
885.000000	82.245	-155.2946
900.000000	82.288	-154.3926
912.000000	82.332	-153.5814
925.000000	82.397	-152.6626
938.000000	82.481	-151.7698
950.000000	82.570	-151.0051
962.000000	82.666	-150.3018
975.000000	82.774	-149.6090
988.000000	82.885	-148.9754
1000.000000	82.988	-148.4328
1015.000000	83.118	-147.8087
1030.000000	83.249	-147.2419
1044.000000	83.372	-146.7590
1060.000000	83.512	-146.2567
1075.000000	83.643	-145.8314
1090.000000	83.772	-145.4529
1106.000000	83.910	-145.0924
1120.000000	84.029	-144.8148
1138.000000	84.178	-144.5038
1150.000000	84.275	-144.3196
1172.000000	84.449	-144.0366
1180.000000	84.511	-143.9492
1206.000000	84.706	-143.7053
1220.000000	84.807	-143.5955
1241.000000	84.954	-143.4573
1250.000000	85.015	-143.4082
1265.000000	85.114	-143.3347
1280.000000	85.211	-143.2671
1315.000000	85.427	-143.1348
1320.000000	85.457	-143.1165
1340.000000	85.574	-143.0417
1360.000000	85.689	-142.9702
1380.000000	85.803	-142.8970
1400.000000	85.915	-142.8246
1430.000000	86.081	-142.7221
1450.000000	86.191	-142.6586
1475.000000	86.330	-142.5879
1500.000000	86.468	-142.5325
1525.000000	86.605	-142.4916
1550.000000	86.743	-142.4731
1575.000000	86.880	-142.4742
1600.000000	87.016	-142.4969
1625.000000	87.151	-142.5380
1650.000000	87.284	-142.5950
1675.000000	87.417	-142.6650
1700.000000	87.548	-142.7477
1725.000000	87.679	-142.8480
1750.000000	87.809	-142.9634
1775.000000	87.938	-143.0901
1800.000000	88.067	-143.2277
1825.000000	88.196	-143.3798
1850.000000	88.326	-143.5490
1875.000000	88.457	-143.7363
1900.000000	88.589	-143.9473
1925.000000	88.721	-144.1836
1950.000000	88.853	-144.4481
1975.000000	88.984	-144.7414
2000.000000	89.115	-145.0643
2030.000000	89.272	-145.4917
2060.000000	89.426	-145.9662
2090.000000	89.577	-146.4843
2120.000000	89.726	-147.0440
2140.000000	89.822	-147.4420
2180.000000	90.011	-148.2936
