* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 16, 2025 4:26:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Gate (Wide)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.240	-175.4573
20.299999	91.245	-175.8852
20.600000	91.249	-176.2930
20.900000	91.251	-176.6838
21.200001	91.251	-177.0680
21.400000	91.250	-177.3191
21.799999	91.245	-177.8046
22.000000	91.241	-178.0435
22.400000	91.228	-178.5475
22.700001	91.216	-178.9116
23.000000	91.202	-179.2661
23.299999	91.186	-179.6523
23.600000	91.169	179.9702
24.000000	91.146	179.4823
24.299999	91.128	179.0874
24.700001	91.104	178.5736
25.000000	91.086	178.2028
25.400000	91.063	177.6818
25.799999	91.043	177.1815
26.200001	91.025	176.6868
26.500000	91.013	176.3156
26.900000	90.997	175.8309
27.200001	90.986	175.4776
27.600000	90.971	175.0218
28.000000	90.956	174.5850
28.500000	90.938	174.0835
29.000000	90.919	173.6077
29.500000	90.900	173.1585
30.000000	90.878	172.7225
30.400000	90.857	172.3828
30.700001	90.840	172.1380
31.100000	90.816	171.8234
31.500000	90.791	171.5094
32.000000	90.759	171.1295
32.500000	90.726	170.7267
33.000000	90.690	170.3322
33.500000	90.653	169.9327
34.000000	90.617	169.5570
34.500000	90.585	169.1749
35.000000	90.555	168.7917
35.500000	90.527	168.3929
36.000000	90.497	167.9935
36.500000	90.467	167.6001
37.000000	90.434	167.2228
37.500000	90.399	166.8785
38.200001	90.352	166.4512
38.700001	90.322	166.1660
39.500000	90.274	165.6914
40.000000	90.240	165.3936
40.599998	90.196	165.0539
41.200001	90.152	164.7372
41.799999	90.111	164.4203
42.500000	90.063	164.0415
43.099998	90.022	163.7169
43.700001	89.981	163.3918
44.400002	89.933	163.0274
45.000000	89.894	162.7304
45.500000	89.862	162.4832
46.200001	89.816	162.1323
46.799999	89.772	161.8505
47.500000	89.719	161.5743
48.200001	89.670	161.3305
48.700001	89.638	161.1458
49.400002	89.591	160.8658
50.000000	89.548	160.6323
50.799999	89.494	160.3223
51.500000	89.446	160.0224
52.200001	89.394	159.7405
53.000000	89.343	159.4737
53.799999	89.306	159.1006
54.500000	89.254	158.6789
55.200001	89.177	158.3981
56.000000	89.104	158.3342
57.000000	89.057	158.2341
58.000000	89.009	157.9819
59.000000	88.951	157.7271
60.000000	88.887	157.4695
60.799999	88.833	157.2776
61.500000	88.786	157.1147
62.200001	88.739	156.9559
63.000000	88.687	156.7799
64.000000	88.626	156.5440
65.000000	88.563	156.3000
66.000000	88.499	156.0834
67.000000	88.437	155.8900
68.000000	88.374	155.7139
69.000000	88.313	155.5673
70.000000	88.255	155.4218
71.000000	88.196	155.2582
72.000000	88.136	155.1021
73.000000	88.077	154.9576
74.000000	88.019	154.8161
75.000000	87.963	154.6750
76.199997	87.894	154.5184
77.500000	87.820	154.3715
78.800003	87.745	154.2284
80.000000	87.676	154.1136
81.199997	87.609	154.0000
82.500000	87.538	153.8860
83.800003	87.469	153.7828
85.000000	87.407	153.6989
86.199997	87.345	153.6270
87.500000	87.278	153.5581
88.500000	87.225	153.5098
90.000000	87.147	153.4351
91.199997	87.085	153.3615
92.500000	87.017	153.2852
93.800003	86.952	153.2294
95.000000	86.897	153.1959
96.199997	86.846	153.1505
97.500000	86.787	153.0886
98.800003	86.724	153.0691
100.000000	86.667	153.0760
101.500000	86.597	153.0862
103.000000	86.529	153.0869
104.400002	86.465	153.0807
106.000000	86.394	153.0775
107.500000	86.330	153.0789
109.000000	86.268	153.0748
110.599998	86.202	153.0837
112.000000	86.147	153.1003
113.800003	86.074	153.1320
115.000000	86.027	153.1606
117.199997	85.938	153.2146
118.000000	85.907	153.2442
120.599998	85.809	153.3226
122.000000	85.756	153.3569
124.099998	85.678	153.4316
125.000000	85.645	153.4693
126.500000	85.592	153.5309
128.000000	85.540	153.5909
131.500000	85.422	153.7532
132.000000	85.405	153.7794
134.000000	85.339	153.8805
136.000000	85.269	153.9677
138.000000	85.197	154.0761
140.000000	85.131	154.1904
143.000000	85.041	154.3799
145.000000	84.984	154.5038
147.500000	84.910	154.6698
150.000000	84.836	154.8444
152.500000	84.764	154.9982
155.000000	84.696	155.1566
157.500000	84.628	155.3201
160.000000	84.559	155.5044
162.500000	84.493	155.7021
165.000000	84.430	155.8883
167.500000	84.367	156.0916
170.000000	84.306	156.3232
172.500000	84.249	156.5444
175.000000	84.195	156.7290
177.500000	84.139	156.9060
180.000000	84.084	157.0944
182.500000	84.027	157.2888
185.000000	83.969	157.4891
187.500000	83.915	157.7091
190.000000	83.864	157.9383
192.500000	83.812	158.1713
195.000000	83.765	158.3978
197.500000	83.721	158.6103
200.000000	83.678	158.8333
203.000000	83.627	159.1161
206.000000	83.576	159.4027
209.000000	83.526	159.6979
212.000000	83.477	159.9556
214.000000	83.443	160.1039
218.000000	83.373	160.4173
220.000000	83.336	160.6060
224.000000	83.275	161.0732
227.000000	83.247	161.4249
230.000000	83.225	161.6859
233.000000	83.191	161.9260
236.000000	83.151	162.1692
240.000000	83.096	162.4833
243.000000	83.064	162.7223
247.000000	83.027	163.0410
250.000000	82.987	163.2309
254.000000	82.907	163.4531
258.000000	82.833	163.7875
262.000000	82.790	164.3454
265.000000	82.771	164.7882
269.000000	82.756	165.2075
272.000000	82.747	165.4337
276.000000	82.732	165.7196
280.000000	82.715	166.0565
285.000000	82.690	166.5382
290.000000	82.660	166.8758
295.000000	82.633	167.0876
300.000000	82.602	167.3270
304.000000	82.570	167.5401
307.000000	82.545	167.6942
311.000000	82.510	167.9040
315.000000	82.475	168.1271
320.000000	82.432	168.4464
325.000000	82.393	168.7870
