* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 16, 2025 4:30:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Gate (Wide)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.730	-177.7596
20.299999	91.734	-178.1883
20.600000	91.735	-178.6013
20.900000	91.734	-178.9977
21.200001	91.729	-179.3833
21.400000	91.724	-179.6316
21.799999	91.712	179.8986
22.000000	91.705	179.6713
22.400000	91.687	179.1923
22.700001	91.672	178.8445
23.000000	91.656	178.5024
23.299999	91.638	178.1252
23.600000	91.619	177.7560
24.000000	91.591	177.2804
24.299999	91.571	176.8959
24.700001	91.544	176.3947
25.000000	91.524	176.0296
25.400000	91.498	175.5106
25.799999	91.474	175.0094
26.200001	91.451	174.5175
26.500000	91.435	174.1534
26.900000	91.414	173.6840
27.200001	91.400	173.3436
27.600000	91.382	172.9011
28.000000	91.365	172.4697
28.500000	91.342	171.9655
29.000000	91.318	171.4862
29.500000	91.292	171.0428
30.000000	91.265	170.6210
30.400000	91.242	170.2907
30.700001	91.224	170.0477
31.100000	91.198	169.7274
31.500000	91.170	169.4037
32.000000	91.133	169.0182
32.500000	91.095	168.6229
33.000000	91.057	168.2380
33.500000	91.019	167.8367
34.000000	90.980	167.4506
34.500000	90.944	167.0640
35.000000	90.910	166.6860
35.500000	90.879	166.2921
36.000000	90.845	165.8935
36.500000	90.809	165.5103
37.000000	90.770	165.1652
37.500000	90.733	164.8636
38.200001	90.687	164.4698
38.700001	90.654	164.1899
39.500000	90.600	163.7477
40.000000	90.565	163.4810
40.599998	90.523	163.1511
41.200001	90.478	162.8109
41.799999	90.429	162.4758
42.500000	90.373	162.1107
43.099998	90.328	161.8049
43.700001	90.285	161.4817
44.400002	90.232	161.1095
45.000000	90.187	160.8259
45.500000	90.153	160.6082
46.200001	90.110	160.2933
46.799999	90.070	160.0071
47.500000	90.017	159.7029
48.200001	89.963	159.4563
48.700001	89.927	159.2917
49.400002	89.875	159.0535
50.000000	89.829	158.8555
50.799999	89.768	158.5872
51.500000	89.713	158.3292
52.200001	89.656	158.0791
53.000000	89.596	157.7671
53.799999	89.526	157.3639
54.500000	89.443	157.1216
55.200001	89.375	157.1108
56.000000	89.349	157.0589
57.000000	89.314	156.6209
58.000000	89.241	156.2728
59.000000	89.183	156.0399
60.000000	89.118	155.7755
60.799999	89.064	155.6194
61.500000	89.021	155.4829
62.200001	88.975	155.3263
63.000000	88.920	155.1497
64.000000	88.851	154.9422
65.000000	88.783	154.7354
66.000000	88.716	154.5303
67.000000	88.650	154.3377
68.000000	88.587	154.1656
69.000000	88.525	154.0102
70.000000	88.464	153.8594
71.000000	88.401	153.7278
72.000000	88.340	153.6089
73.000000	88.279	153.4843
74.000000	88.218	153.3600
75.000000	88.157	153.2365
76.199997	88.084	153.0966
77.500000	88.007	152.9803
78.800003	87.933	152.8524
80.000000	87.861	152.7461
81.199997	87.791	152.6695
82.500000	87.719	152.5789
83.800003	87.647	152.4902
85.000000	87.581	152.4113
86.199997	87.516	152.3436
87.500000	87.447	152.2800
88.500000	87.394	152.2306
90.000000	87.313	152.1724
91.199997	87.250	152.1451
92.500000	87.184	152.1191
93.800003	87.119	152.0802
95.000000	87.059	152.0529
96.199997	87.002	152.0300
97.500000	86.940	151.9955
98.800003	86.877	151.9746
100.000000	86.820	151.9710
101.500000	86.751	151.9779
103.000000	86.683	151.9862
104.400002	86.618	151.9959
106.000000	86.546	152.0223
107.500000	86.480	152.0482
109.000000	86.416	152.0778
110.599998	86.350	152.1129
112.000000	86.293	152.1333
113.800003	86.218	152.1849
115.000000	86.169	152.2244
117.199997	86.080	152.2997
118.000000	86.049	152.3331
120.599998	85.947	152.4401
122.000000	85.893	152.5066
124.099998	85.816	152.5920
125.000000	85.781	152.6289
126.500000	85.725	152.7072
128.000000	85.670	152.7921
131.500000	85.549	152.9788
132.000000	85.532	153.0022
134.000000	85.466	153.0875
136.000000	85.397	153.1953
138.000000	85.330	153.3535
140.000000	85.265	153.5004
143.000000	85.174	153.7037
145.000000	85.115	153.8232
147.500000	85.040	153.9912
150.000000	84.964	154.1749
152.500000	84.889	154.3558
155.000000	84.820	154.5340
157.500000	84.753	154.7174
160.000000	84.686	154.9067
162.500000	84.620	155.1055
165.000000	84.557	155.3104
167.500000	84.495	155.5042
170.000000	84.432	155.7068
172.500000	84.366	155.9177
175.000000	84.300	156.1446
177.500000	84.238	156.3622
180.000000	84.181	156.5681
182.500000	84.126	156.7910
185.000000	84.073	157.0224
187.500000	84.022	157.2235
190.000000	83.972	157.4104
192.500000	83.920	157.6304
195.000000	83.869	157.8747
197.500000	83.816	158.1161
200.000000	83.763	158.3671
203.000000	83.703	158.7025
206.000000	83.646	159.0380
209.000000	83.590	159.3969
212.000000	83.545	159.8034
214.000000	83.523	160.0560
218.000000	83.484	160.4799
220.000000	83.461	160.6530
