* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Jun 26, 2025 8:29:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Hexa (-DD, Vent, Pol, X07)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.204	174.7768
20.600000	90.214	174.3506
20.900000	90.222	173.8644
21.200001	90.226	173.3801
21.400000	90.227	173.0630
21.799999	90.226	172.4496
22.000000	90.223	172.1504
22.400000	90.213	171.5221
22.700001	90.203	171.0648
23.000000	90.191	170.6138
23.299999	90.177	170.1248
23.600000	90.163	169.6382
24.000000	90.144	168.9962
24.299999	90.129	168.4779
24.700001	90.109	167.7995
25.000000	90.095	167.3072
25.400000	90.078	166.6255
25.799999	90.063	165.9675
26.200001	90.050	165.3145
26.500000	90.041	164.8226
26.900000	90.029	164.1746
27.200001	90.020	163.6979
27.600000	90.009	163.0774
28.000000	89.999	162.4766
28.500000	89.988	161.7673
29.000000	89.975	161.0828
29.500000	89.958	160.4262
30.000000	89.938	159.7879
30.400000	89.921	159.2876
30.700001	89.907	158.9214
31.100000	89.887	158.4401
31.500000	89.865	157.9561
32.000000	89.835	157.3656
32.500000	89.804	156.7553
33.000000	89.772	156.1571
33.500000	89.741	155.5417
34.000000	89.710	154.9313
34.500000	89.680	154.3085
35.000000	89.652	153.6969
35.500000	89.625	153.0943
36.000000	89.597	152.5067
36.500000	89.568	151.9225
37.000000	89.537	151.3377
37.500000	89.507	150.7695
38.200001	89.468	150.0214
38.700001	89.440	149.5181
39.500000	89.394	148.7102
40.000000	89.366	148.1990
40.599998	89.330	147.5911
41.200001	89.291	147.0071
41.799999	89.251	146.4293
42.500000	89.205	145.7418
43.099998	89.165	145.1441
43.700001	89.126	144.5476
44.400002	89.084	143.8811
45.000000	89.050	143.3318
45.500000	89.019	142.8732
46.200001	88.971	142.2169
46.799999	88.930	141.6551
47.500000	88.884	141.0228
48.200001	88.839	140.4111
48.700001	88.806	139.9778
49.400002	88.760	139.3748
50.000000	88.722	138.8682
50.799999	88.670	138.1981
51.500000	88.623	137.6153
52.200001	88.577	137.0390
53.000000	88.526	136.3881
53.799999	88.476	135.7395
54.500000	88.428	135.1801
55.200001	88.382	134.6357
56.000000	88.332	134.0277
57.000000	88.262	133.2561
58.000000	88.193	132.4719
59.000000	88.133	131.7367
60.000000	88.070	131.0435
60.799999	88.019	130.4798
61.500000	87.976	129.9759
62.200001	87.931	129.4759
63.000000	87.880	128.9201
64.000000	87.818	128.2300
65.000000	87.756	127.5364
66.000000	87.693	126.8613
67.000000	87.631	126.1972
68.000000	87.569	125.5393
69.000000	87.509	124.8987
70.000000	87.450	124.2734
71.000000	87.387	123.6473
72.000000	87.326	123.0219
73.000000	87.267	122.4062
74.000000	87.209	121.7957
75.000000	87.150	121.2020
76.199997	87.078	120.4901
77.500000	87.003	119.7123
78.800003	86.927	118.9594
80.000000	86.859	118.2747
81.199997	86.792	117.6047
82.500000	86.719	116.8841
83.800003	86.646	116.1657
85.000000	86.579	115.5169
86.199997	86.513	114.8810
87.500000	86.444	114.1977
88.500000	86.391	113.6687
90.000000	86.310	112.8866
91.199997	86.245	112.2940
92.500000	86.176	111.6508
93.800003	86.109	111.0021
95.000000	86.046	110.3894
96.199997	85.984	109.7851
97.500000	85.919	109.1642
98.800003	85.855	108.5472
100.000000	85.797	107.9793
101.500000	85.725	107.2812
103.000000	85.652	106.5908
104.400002	85.584	105.9521
106.000000	85.507	105.2295
107.500000	85.436	104.5614
109.000000	85.366	103.9002
110.599998	85.293	103.2117
112.000000	85.231	102.6171
113.800003	85.151	101.8580
115.000000	85.099	101.3520
117.199997	85.003	100.4275
118.000000	84.969	100.0969
120.599998	84.857	99.0447
122.000000	84.798	98.4879
124.099998	84.713	97.6672
125.000000	84.676	97.3213
126.500000	84.613	96.7502
