* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Jun 26, 2025 9:54:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Hexa (-DD, Vent, Pol, X07) E
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.504	172.7036
20.600000	92.510	172.2631
20.900000	92.513	171.7657
21.200001	92.512	171.2743
21.400000	92.510	170.9542
21.799999	92.505	170.3356
22.000000	92.500	170.0329
22.400000	92.486	169.3931
22.700001	92.470	168.9226
23.000000	92.453	168.4554
23.299999	92.433	167.9501
23.600000	92.413	167.4495
24.000000	92.387	166.7961
24.299999	92.368	166.2739
24.700001	92.342	165.5931
25.000000	92.324	165.0977
25.400000	92.300	164.4084
25.799999	92.276	163.7406
26.200001	92.255	163.0805
26.500000	92.240	162.5874
26.900000	92.222	161.9436
27.200001	92.208	161.4728
27.600000	92.192	160.8612
28.000000	92.175	160.2684
28.500000	92.154	159.5679
29.000000	92.133	158.8940
29.500000	92.109	158.2513
30.000000	92.082	157.6286
30.400000	92.059	157.1391
30.700001	92.040	156.7785
31.100000	92.014	156.3014
31.500000	91.986	155.8195
32.000000	91.949	155.2340
32.500000	91.911	154.6356
33.000000	91.872	154.0549
33.500000	91.832	153.4581
34.000000	91.792	152.8651
34.500000	91.754	152.2603
35.000000	91.717	151.6686
35.500000	91.682	151.0881
36.000000	91.648	150.5270
36.500000	91.614	149.9761
37.000000	91.581	149.4279
37.500000	91.547	148.8890
38.200001	91.497	148.1573
38.700001	91.461	147.6584
39.500000	91.404	146.8786
40.000000	91.368	146.3988
40.599998	91.324	145.8284
41.200001	91.278	145.2719
41.799999	91.231	144.7131
42.500000	91.176	144.0555
43.099998	91.130	143.5044
43.700001	91.084	142.9562
44.400002	91.032	142.3014
45.000000	90.987	141.7309
45.500000	90.949	141.2726
46.200001	90.896	140.6796
46.799999	90.850	140.1956
47.500000	90.800	139.6264
48.200001	90.749	139.0566
48.700001	90.713	138.6551
49.400002	90.661	138.0950
50.000000	90.617	137.6187
50.799999	90.558	136.9954
51.500000	90.507	136.4647
52.200001	90.455	135.9376
53.000000	90.396	135.3344
53.799999	90.338	134.7372
54.500000	90.286	134.2268
55.200001	90.235	133.7178
56.000000	90.178	133.1371
57.000000	90.109	132.4539
58.000000	90.038	131.7856
59.000000	89.962	131.0790
60.000000	89.894	130.3882
60.799999	89.841	129.8514
61.500000	89.794	129.3889
62.200001	89.747	128.9359
63.000000	89.693	128.4270
64.000000	89.627	127.8045
65.000000	89.560	127.1980
66.000000	89.492	126.5953
67.000000	89.426	125.9923
68.000000	89.360	125.3854
69.000000	89.295	124.7877
70.000000	89.231	124.2052
71.000000	89.169	123.6313
72.000000	89.108	123.0660
73.000000	89.045	122.5116
74.000000	88.982	121.9639
75.000000	88.921	121.4193
76.199997	88.848	120.7749
77.500000	88.768	120.0816
78.800003	88.691	119.3966
80.000000	88.621	118.7798
81.199997	88.551	118.1733
82.500000	88.477	117.5238
83.800003	88.404	116.8753
85.000000	88.336	116.2793
86.199997	88.269	115.6925
87.500000	88.200	115.0656
88.500000	88.146	114.5905
90.000000	88.065	113.8896
91.199997	88.001	113.3377
92.500000	87.933	112.7540
93.800003	87.864	112.1760
95.000000	87.804	111.6411
96.199997	87.745	111.1126
97.500000	87.680	110.5403
98.800003	87.616	109.9659
100.000000	87.558	109.4413
101.500000	87.486	108.8026
103.000000	87.414	108.1793
104.400002	87.349	107.5998
106.000000	87.274	106.9419
107.500000	87.206	106.3343
109.000000	87.139	105.7320
110.599998	87.069	105.0855
112.000000	87.008	104.5331
113.800003	86.930	103.8424
115.000000	86.879	103.3805
117.199997	86.785	102.5395
118.000000	86.752	102.2422
120.599998	86.646	101.2827
122.000000	86.589	100.7690
124.099998	86.506	100.0183
125.000000	86.472	99.6969
126.500000	86.414	99.1593
128.000000	86.357	98.6272
131.500000	86.227	97.4176
132.000000	86.208	97.2487
134.000000	86.135	96.5856
136.000000	86.064	95.9072
138.000000	85.994	95.2243
140.000000	85.924	94.5914
143.000000	85.821	93.6209
145.000000	85.755	92.9796
147.500000	85.674	92.1912
150.000000	85.594	91.4240
152.500000	85.516	90.6635
155.000000	85.439	89.9100
157.500000	85.363	89.1773
160.000000	85.289	88.4562
162.500000	85.217	87.7405
165.000000	85.146	87.0299
167.500000	85.076	86.3329
170.000000	85.007	85.6505
172.500000	84.939	84.9723
175.000000	84.872	84.3018
177.500000	84.806	83.6443
180.000000	84.742	82.9985
182.500000	84.679	82.3719
185.000000	84.617	81.7574
187.500000	84.557	81.1541
190.000000	84.498	80.5580
192.500000	84.440	79.9665
195.000000	84.384	79.3916
197.500000	84.330	78.8239
200.000000	84.277	78.2480
203.000000	84.215	77.5621
206.000000	84.153	76.8987
209.000000	84.090	76.2359
212.000000	84.029	75.5659
214.000000	83.989	75.1451
218.000000	83.910	74.3409
220.000000	83.871	73.9398
224.000000	83.797	73.1318
227.000000	83.743	72.5332
230.000000	83.690	71.9470
233.000000	83.637	71.3749
236.000000	83.583	70.8107
240.000000	83.512	70.0727
243.000000	83.460	69.5400
247.000000	83.393	68.8518
250.000000	83.343	68.3511
254.000000	83.281	67.7155
258.000000	83.224	67.0853
262.000000	83.167	66.4443
265.000000	83.123	65.9800
269.000000	83.064	65.3868
272.000000	83.022	64.9630
276.000000	82.971	64.4247
280.000000	82.925	63.9099
285.000000	82.869	63.2591
290.000000	82.820	62.6049
295.000000	82.777	61.9484
300.000000	82.734	61.2617
304.000000	82.701	60.7141
307.000000	82.675	60.3048
311.000000	82.636	59.7528
315.000000	82.597	59.2031
320.000000	82.546	58.5339
325.000000	82.494	57.9026
330.000000	82.442	57.3058
335.000000	82.389	56.7415
340.000000	82.338	56.2000
345.000000	82.288	55.6785
350.000000	82.241	55.1767
355.000000	82.195	54.6960
360.000000	82.151	54.2318
365.000000	82.108	53.7813
370.000000	82.066	53.3475
375.000000	82.026	52.9275
382.000000	81.972	52.3634
387.000000	81.935	51.9737
395.000000	81.877	51.3738
400.000000	81.842	51.0147
406.000000	81.802	50.5954
412.000000	81.763	50.1886
418.000000	81.725	49.7981
425.000000	81.683	49.3608
431.000000	81.648	49.0063
437.000000	81.613	48.6640
444.000000	81.575	48.2743
450.000000	81.544	47.9545
455.000000	81.518	47.7035
462.000000	81.483	47.3643
468.000000	81.455	47.0829
475.000000	81.423	46.7701
482.000000	81.392	46.4738
487.000000	81.371	46.2708
494.000000	81.342	46.0000
500.000000	81.317	45.7786
508.000000	81.287	45.4977
515.000000	81.261	45.2699
522.000000	81.236	45.0544
530.000000	81.209	44.8223
538.000000	81.183	44.6020
545.000000	81.161	44.4221
552.000000	81.139	44.2599
560.000000	81.115	44.0890
570.000000	81.087	43.9019
580.000000	81.061	43.7418
590.000000	81.037	43.6136
600.000000	81.016	43.5120
608.000000	81.003	43.4409
615.000000	80.993	43.3838
622.000000	80.983	43.3337
630.000000	80.973	43.2907
640.000000	80.960	43.2655
650.000000	80.949	43.2724
660.000000	80.943	43.3038
670.000000	80.942	43.3582
680.000000	80.947	43.4414
690.000000	80.961	43.5339
700.000000	80.985	43.5956
710.000000	81.013	43.5934
720.000000	81.039	43.5311
730.000000	81.057	43.4306
740.000000	81.067	43.3373
750.000000	81.070	43.2920
762.000000	81.073	43.3115
775.000000	81.080	43.4024
788.000000	81.094	43.5418
800.000000	81.113	43.6956
812.000000	81.137	43.8591
825.000000	81.170	44.0473
838.000000	81.208	44.2473
850.000000	81.248	44.4351
862.000000	81.292	44.6219
875.000000	81.345	44.8229
885.000000	81.390	44.9722
900.000000	81.463	45.1824
912.000000	81.525	45.3394
925.000000	81.598	45.4908
938.000000	81.674	45.6227
950.000000	81.749	45.7213
962.000000	81.827	45.7962
975.000000	81.913	45.8514
988.000000	82.001	45.8770
1000.000000	82.085	45.8722
1015.000000	82.192	45.8222
1030.000000	82.301	45.7201
1044.000000	82.402	45.5853
1060.000000	82.516	45.3797
1075.000000	82.621	45.1321
1090.000000	82.723	44.8378
1106.000000	82.826	44.4779
1120.000000	82.913	44.1239
1138.000000	83.017	43.6225
1150.000000	83.081	43.2636
1172.000000	83.186	42.5633
1180.000000	83.220	42.2976
1206.000000	83.317	41.4120
1220.000000	83.360	40.9303
1241.000000	83.413	40.2137
1250.000000	83.431	39.9139
1265.000000	83.456	39.4288
1280.000000	83.475	38.9684
1315.000000	83.501	37.9995
1320.000000	83.503	37.8734
1340.000000	83.510	37.3955
1360.000000	83.512	36.9583
1380.000000	83.511	36.5671
1400.000000	83.505	36.2202
1430.000000	83.492	35.7846
1450.000000	83.483	35.5514
1475.000000	83.471	35.3207
1500.000000	83.460	35.1491
1525.000000	83.450	35.0297
1550.000000	83.443	34.9605
1575.000000	83.439	34.9381
1600.000000	83.438	34.9562
1625.000000	83.440	35.0100
1650.000000	83.446	35.1014
1675.000000	83.456	35.2220
1700.000000	83.470	35.3683
1725.000000	83.488	35.5428
1750.000000	83.510	35.7432
1775.000000	83.536	35.9616
1800.000000	83.567	36.1981
1825.000000	83.603	36.4517
1850.000000	83.643	36.7185
1875.000000	83.688	36.9977
1900.000000	83.739	37.2894
1925.000000	83.795	37.5899
1950.000000	83.857	37.8958
1975.000000	83.925	38.2074
2000.000000	83.999	38.5224
2030.000000	84.097	38.8977
2060.000000	84.205	39.2664
2090.000000	84.325	39.6195
2120.000000	84.457	39.9448
2140.000000	84.552	40.1359
2180.000000	84.755	40.4419
2200.000000	84.863	40.5485
2240.000000	85.090	40.6419
2270.000000	85.264	40.5981
2300.000000	85.438	40.4503
2330.000000	85.608	40.2017
2360.000000	85.770	39.8681
2400.000000	85.969	39.3409
2430.000000	86.105	38.9233
2470.000000	86.272	38.3886
2500.000000	86.393	38.0196
2540.000000	86.556	37.5648
2580.000000	86.727	37.1172
2620.000000	86.910	36.6246
2650.000000	87.054	36.1901
2690.000000	87.252	35.4824
2720.000000	87.399	34.8436
2760.000000	87.590	33.8496
2800.000000	87.768	32.7123
2850.000000	87.969	31.1375
2900.000000	88.146	29.4364
2950.000000	88.302	27.6392
3000.000000	88.440	25.7490
3040.000000	88.538	24.1560
3070.000000	88.604	22.9078
3110.000000	88.679	21.1714
3150.000000	88.738	19.3471
3200.000000	88.784	16.9427
3250.000000	88.793	14.4156
3300.000000	88.757	11.7974
3350.000000	88.668	9.1408
3400.000000	88.521	6.5289
3450.000000	88.312	4.0710
3500.000000	88.049	1.8730
3550.000000	87.741	0.0354
3600.000000	87.406	-1.3641
3650.000000	87.062	-2.2833
3700.000000	86.731	-2.7263
3750.000000	86.433	-2.7551
3820.000000	86.102	-2.3435
3870.000000	85.932	-1.9495
3950.000000	85.745	-1.5267
4000.000000	85.653	-1.5002
4060.000000	85.535	-1.6979
4120.000000	85.388	-2.0341
4180.000000	85.207	-2.3566
4250.000000	84.959	-2.5182
4310.000000	84.733	-2.3644
4370.000000	84.519	-1.9359
4440.000000	84.305	-1.1813
4500.000000	84.161	-0.4401
4550.000000	84.067	0.1666
4620.000000	83.964	0.9224
4680.000000	83.889	1.4617
4750.000000	83.805	1.9848
4820.000000	83.716	2.4566
4870.000000	83.647	2.8060
4940.000000	83.545	3.3657
5000.000000	83.460	3.9378
5080.000000	83.359	4.8399
5150.000000	83.292	5.7130
5220.000000	83.246	6.5919
5300.000000	83.215	7.5382
5380.000000	83.198	8.4019
5450.000000	83.188	9.1027
5520.000000	83.181	9.7733
5600.000000	83.174	10.5202
5700.000000	83.172	11.4486
5800.000000	83.178	12.3947
5900.000000	83.194	13.3728
6000.000000	83.226	14.3715
6080.000000	83.262	15.1803
6150.000000	83.303	15.8941
6220.000000	83.353	16.6113
6300.000000	83.421	17.4338
6400.000000	83.526	18.4697
6500.000000	83.656	19.5150
6600.000000	83.817	20.5489
6700.000000	84.012	21.5394
6800.000000	84.244	22.4587
6900.000000	84.519	23.2749
7000.000000	84.838	23.9476
7100.000000	85.208	24.4225
7200.000000	85.632	24.6148
7300.000000	86.113	24.4175
7400.000000	86.648	23.7093
7500.000000	87.230	22.3467
7620.000000	87.967	19.6184
7750.000000	88.764	15.0271
7880.000000	89.456	8.4492
8000.000000	89.871	0.9031
8120.000000	90.050	-7.4384
8250.000000	89.949	-17.3275
8380.000000	89.384	-27.2541
8500.000000	88.477	-34.9285
8620.000000	87.366	-40.5306
8750.000000	86.096	-44.3846
8850.000000	85.139	-46.0492
9000.000000	83.789	-46.9176
9120.000000	82.804	-46.5418
9250.000000	81.842	-45.3620
9380.000000	80.985	-43.6148
