* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Jun 26, 2025 8:24:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Hexa (-DD, Vent, Pol, X07)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.499	173.4191
20.600000	91.507	172.9486
20.900000	91.512	172.4188
21.200001	91.514	171.8953
21.400000	91.515	171.5542
21.799999	91.514	170.8939
22.000000	91.512	170.5702
22.400000	91.501	169.8878
22.700001	91.489	169.3854
23.000000	91.475	168.8878
23.299999	91.459	168.3540
23.600000	91.443	167.8276
24.000000	91.421	167.1422
24.299999	91.405	166.5964
24.700001	91.384	165.8818
25.000000	91.368	165.3585
25.400000	91.348	164.6289
25.799999	91.330	163.9190
26.200001	91.314	163.2172
26.500000	91.303	162.6938
26.900000	91.290	162.0107
27.200001	91.279	161.5111
27.600000	91.266	160.8605
28.000000	91.253	160.2270
28.500000	91.238	159.4724
29.000000	91.221	158.7421
29.500000	91.203	158.0442
30.000000	91.181	157.3697
30.400000	91.161	156.8411
30.700001	91.144	156.4521
31.100000	91.121	155.9379
31.500000	91.096	155.4200
32.000000	91.064	154.7906
32.500000	91.032	154.1477
33.000000	90.997	153.5191
33.500000	90.962	152.8706
34.000000	90.926	152.2238
34.500000	90.892	151.5642
35.000000	90.860	150.9153
35.500000	90.830	150.2742
36.000000	90.798	149.6521
36.500000	90.767	149.0453
37.000000	90.736	148.4483
37.500000	90.708	147.8628
38.200001	90.668	147.0582
38.700001	90.637	146.5031
39.500000	90.584	145.6416
40.000000	90.550	145.1132
40.599998	90.510	144.4769
41.200001	90.470	143.8519
41.799999	90.430	143.2364
42.500000	90.380	142.5166
43.099998	90.336	141.8950
43.700001	90.296	141.2775
44.400002	90.252	140.5836
45.000000	90.213	139.9958
45.500000	90.176	139.4983
46.200001	90.124	138.8027
46.799999	90.082	138.2264
47.500000	90.035	137.5741
48.200001	89.988	136.9298
48.700001	89.954	136.4759
49.400002	89.906	135.8514
50.000000	89.866	135.3235
50.799999	89.811	134.6183
51.500000	89.762	134.0078
52.200001	89.713	133.4036
53.000000	89.658	132.7203
53.799999	89.603	132.0564
54.500000	89.556	131.4935
55.200001	89.510	130.9259
56.000000	89.458	130.2675
57.000000	89.389	129.4701
58.000000	89.317	128.6710
59.000000	89.248	127.8578
60.000000	89.183	127.0960
60.799999	89.131	126.4978
61.500000	89.086	125.9724
62.200001	89.042	125.4590
63.000000	88.989	124.8880
64.000000	88.924	124.1770
65.000000	88.860	123.4624
66.000000	88.794	122.7578
67.000000	88.730	122.0679
68.000000	88.667	121.3788
69.000000	88.604	120.6949
70.000000	88.542	120.0257
71.000000	88.481	119.3710
72.000000	88.420	118.7263
73.000000	88.359	118.0896
74.000000	88.298	117.4613
75.000000	88.239	116.8358
76.199997	88.168	116.0852
77.500000	88.090	115.2878
78.800003	88.013	114.5065
80.000000	87.944	113.7977
81.199997	87.875	113.0953
82.500000	87.801	112.3451
83.800003	87.727	111.6061
85.000000	87.659	110.9302
86.199997	87.592	110.2618
87.500000	87.519	109.5578
88.500000	87.465	109.0210
90.000000	87.386	108.2090
91.199997	87.324	107.5591
92.500000	87.257	106.8646
93.800003	87.191	106.2089
95.000000	87.131	105.6114
96.199997	87.069	104.9975
97.500000	87.003	104.3463
98.800003	86.939	103.7116
100.000000	86.879	103.1269
101.500000	86.804	102.4025
103.000000	86.733	101.6852
104.400002	86.667	101.0239
106.000000	86.592	100.2869
107.500000	86.522	99.6114
109.000000	86.454	98.9318
110.599998	86.383	98.2058
112.000000	86.321	97.5855
113.800003	86.242	96.8160
115.000000	86.191	96.3103
117.199997	86.098	95.3750
118.000000	86.064	95.0408
120.599998	85.955	93.9760
122.000000	85.897	93.4089
124.099998	85.812	92.5661
125.000000	85.776	92.2061
126.500000	85.716	91.6173
128.000000	85.658	91.0408
131.500000	85.526	89.7005
132.000000	85.507	89.5129
134.000000	85.434	88.7804
136.000000	85.361	88.0492
138.000000	85.292	87.3125
140.000000	85.221	86.5760
143.000000	85.114	85.5382
145.000000	85.045	84.8642
147.500000	84.962	84.0231
150.000000	84.878	83.2018
152.500000	84.797	82.3886
155.000000	84.717	81.5814
157.500000	84.641	80.7954
160.000000	84.565	80.0250
162.500000	84.492	79.2729
165.000000	84.419	78.5328
167.500000	84.349	77.7993
170.000000	84.279	77.0806
172.500000	84.210	76.3734
175.000000	84.141	75.6763
177.500000	84.074	74.9876
180.000000	84.008	74.3095
182.500000	83.944	73.6562
185.000000	83.882	73.0217
187.500000	83.822	72.3907
190.000000	83.762	71.7668
192.500000	83.705	71.1637
195.000000	83.648	70.5692
197.500000	83.591	69.9807
200.000000	83.535	69.3957
203.000000	83.469	68.7045
206.000000	83.405	68.0301
209.000000	83.343	67.3624
212.000000	83.285	66.7060
214.000000	83.247	66.2952
218.000000	83.170	65.5023
220.000000	83.134	65.0989
224.000000	83.067	64.3274
227.000000	83.023	63.7638
230.000000	82.981	63.1711
233.000000	82.937	62.5437
236.000000	82.890	61.9104
240.000000	82.824	61.0910
243.000000	82.773	60.5037
247.000000	82.706	59.7588
250.000000	82.657	59.2156
254.000000	82.591	58.5132
258.000000	82.525	57.8331
262.000000	82.461	57.2000
265.000000	82.418	56.7514
269.000000	82.365	56.1474
272.000000	82.325	55.6830
276.000000	82.272	55.0595
280.000000	82.217	54.4664
285.000000	82.151	53.7634
290.000000	82.090	53.0788
295.000000	82.031	52.4144
300.000000	81.973	51.7662
304.000000	81.930	51.2604
307.000000	81.896	50.8851
311.000000	81.851	50.3909
315.000000	81.806	49.9117
320.000000	81.753	49.3317
325.000000	81.701	48.7692
330.000000	81.651	48.2220
335.000000	81.602	47.6889
340.000000	81.554	47.1594
345.000000	81.506	46.6449
350.000000	81.458	46.1547
355.000000	81.411	45.6831
360.000000	81.366	45.2230
365.000000	81.321	44.7818
370.000000	81.276	44.3560
375.000000	81.232	43.9425
382.000000	81.173	43.3963
387.000000	81.131	43.0236
395.000000	81.067	42.4431
400.000000	81.028	42.0939
406.000000	80.982	41.6947
412.000000	80.937	41.3126
418.000000	80.894	40.9452
425.000000	80.844	40.5400
431.000000	80.801	40.2093
437.000000	80.759	39.8926
444.000000	80.711	39.5473
450.000000	80.671	39.2755
