* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Jul 3, 2025 7:04:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Hexa (DVP, Crystal 2) IMBA
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.170	174.4543
20.600000	95.181	174.0128
20.900000	95.189	173.5147
21.200001	95.195	173.0246
21.400000	95.197	172.7068
21.799999	95.201	172.0954
22.000000	95.200	171.7962
22.400000	95.191	171.1602
22.700001	95.179	170.6875
23.000000	95.165	170.2137
23.299999	95.149	169.6982
23.600000	95.134	169.1856
24.000000	95.116	168.5155
24.299999	95.102	167.9810
24.700001	95.083	167.2834
25.000000	95.068	166.7746
25.400000	95.050	166.0663
25.799999	95.033	165.3800
26.200001	95.018	164.7044
26.500000	95.009	164.2026
26.900000	94.997	163.5509
27.200001	94.988	163.0759
27.600000	94.977	162.4586
28.000000	94.966	161.8579
28.500000	94.953	161.1426
29.000000	94.939	160.4488
29.500000	94.921	159.7841
30.000000	94.902	159.1403
30.400000	94.884	158.6360
30.700001	94.869	158.2657
31.100000	94.849	157.7768
31.500000	94.826	157.2829
32.000000	94.795	156.6789
32.500000	94.762	156.0563
33.000000	94.728	155.4480
33.500000	94.695	154.8251
34.000000	94.662	154.2109
34.500000	94.629	153.5878
35.000000	94.598	152.9755
35.500000	94.568	152.3686
36.000000	94.539	151.7760
36.500000	94.509	151.1926
37.000000	94.480	150.6140
37.500000	94.451	150.0460
38.200001	94.413	149.2716
38.700001	94.385	148.7405
39.500000	94.333	147.9144
40.000000	94.298	147.4106
40.599998	94.257	146.8123
41.200001	94.218	146.2267
41.799999	94.178	145.6408
42.500000	94.129	144.9510
43.099998	94.087	144.3633
43.700001	94.045	143.7754
44.400002	93.992	143.0909
45.000000	93.946	142.5081
45.500000	93.911	142.0337
46.200001	93.868	141.3968
46.799999	93.832	140.8675
47.500000	93.787	140.2496
48.200001	93.739	139.6311
48.700001	93.706	139.1970
49.400002	93.658	138.6043
50.000000	93.616	138.1072
50.799999	93.559	137.4449
51.500000	93.512	136.8705
52.200001	93.466	136.2964
53.000000	93.409	135.6390
53.799999	93.359	135.0215
54.500000	93.326	134.5234
55.200001	93.284	133.9975
56.000000	93.217	133.3294
57.000000	93.134	132.5156
58.000000	93.066	131.7622
59.000000	92.998	131.0204
60.000000	92.932	130.3119
60.799999	92.879	129.7465
61.500000	92.834	129.2503
62.200001	92.789	128.7593
63.000000	92.736	128.2041
64.000000	92.669	127.5190
65.000000	92.602	126.8433
66.000000	92.536	126.1758
67.000000	92.471	125.5182
68.000000	92.407	124.8666
69.000000	92.343	124.2189
70.000000	92.279	123.5796
71.000000	92.215	122.9609
72.000000	92.151	122.3527
73.000000	92.088	121.7414
74.000000	92.026	121.1395
75.000000	91.964	120.5545
76.199997	91.890	119.8565
77.500000	91.811	119.1052
78.800003	91.733	118.3612
80.000000	91.663	117.6750
81.199997	91.593	116.9963
82.500000	91.516	116.2789
83.800003	91.441	115.5724
85.000000	91.372	114.9391
86.199997	91.303	114.3099
87.500000	91.229	113.6333
88.500000	91.173	113.1225
90.000000	91.090	112.3604
91.199997	91.024	111.7532
92.500000	90.952	111.0989
93.800003	90.882	110.4459
95.000000	90.819	109.8628
96.199997	90.757	109.2963
97.500000	90.690	108.6798
98.800003	90.622	108.0657
100.000000	90.561	107.5054
101.500000	90.485	106.8064
103.000000	90.410	106.1238
104.400002	90.340	105.4910
106.000000	90.260	104.7873
107.500000	90.188	104.1447
109.000000	90.115	103.4958
110.599998	90.039	102.8072
112.000000	89.974	102.2119
113.800003	89.891	101.4525
115.000000	89.837	100.9565
117.199997	89.737	100.0710
118.000000	89.700	99.7535
120.599998	89.587	98.7351
122.000000	89.527	98.1899
124.099998	89.438	97.3732
125.000000	89.401	97.0291
126.500000	89.339	96.4594
128.000000	89.277	95.8975
131.500000	89.135	94.6010
132.000000	89.116	94.4178
134.000000	89.038	93.6957
136.000000	88.960	92.9808
138.000000	88.882	92.2858
140.000000	88.806	91.6131
143.000000	88.696	90.6033
145.000000	88.622	89.9466
147.500000	88.533	89.1338
150.000000	88.446	88.3415
152.500000	88.360	87.5636
155.000000	88.281	86.8067
157.500000	88.206	86.0637
160.000000	88.134	85.3114
162.500000	88.064	84.5546
165.000000	87.995	83.7853
167.500000	87.922	83.0206
170.000000	87.844	82.3057
172.500000	87.770	81.6403
175.000000	87.707	80.9931
177.500000	87.649	80.3040
180.000000	87.586	79.5618
182.500000	87.520	78.8035
185.000000	87.450	78.0824
187.500000	87.382	77.3818
190.000000	87.311	76.6865
192.500000	87.238	76.0550
195.000000	87.168	75.4756
197.500000	87.104	74.9009
200.000000	87.042	74.3472
203.000000	86.971	73.7051
206.000000	86.900	73.0133
209.000000	86.834	72.3632
