* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Jul 3, 2025 7:02:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: anti-imba eq on
* Measurement: L Hexa (DVP, Crystal 2)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.413	174.4824
20.600000	91.422	174.0223
20.900000	91.427	173.4984
21.200001	91.430	172.9769
21.400000	91.431	172.6368
21.799999	91.430	171.9825
22.000000	91.428	171.6647
22.400000	91.416	170.9980
22.700001	91.402	170.5067
23.000000	91.387	170.0158
23.299999	91.370	169.4833
23.600000	91.353	168.9534
24.000000	91.330	168.2605
24.299999	91.314	167.7099
24.700001	91.291	166.9920
25.000000	91.274	166.4679
25.400000	91.253	165.7381
25.799999	91.231	165.0290
26.200001	91.212	164.3311
26.500000	91.198	163.8137
26.900000	91.179	163.1425
27.200001	91.166	162.6529
27.600000	91.150	162.0153
28.000000	91.135	161.3935
28.500000	91.118	160.6545
29.000000	91.099	159.9448
29.500000	91.077	159.2716
30.000000	91.052	158.6210
30.400000	91.029	158.1083
30.700001	91.012	157.7293
31.100000	90.986	157.2265
31.500000	90.959	156.7181
32.000000	90.923	156.0985
32.500000	90.884	155.4664
33.000000	90.844	154.8556
33.500000	90.805	154.2366
34.000000	90.767	153.6293
34.500000	90.730	153.0120
35.000000	90.693	152.4014
35.500000	90.657	151.7919
36.000000	90.623	151.1946
36.500000	90.589	150.6068
37.000000	90.555	150.0269
37.500000	90.521	149.4635
38.200001	90.473	148.7064
38.700001	90.439	148.1905
39.500000	90.384	147.3817
40.000000	90.347	146.8846
40.599998	90.304	146.2951
41.200001	90.261	145.7195
41.799999	90.216	145.1393
42.500000	90.161	144.4519
43.099998	90.115	143.8719
43.700001	90.068	143.3001
44.400002	90.009	142.6390
45.000000	89.959	142.0790
45.500000	89.921	141.6263
46.200001	89.876	141.0170
46.799999	89.837	140.5006
47.500000	89.787	139.8935
48.200001	89.734	139.2960
48.700001	89.697	138.8783
49.400002	89.647	138.2963
50.000000	89.602	137.7996
50.799999	89.542	137.1477
51.500000	89.492	136.5961
52.200001	89.443	136.0480
53.000000	89.382	135.4186
53.799999	89.330	134.8322
54.500000	89.295	134.3674
55.200001	89.253	133.8732
56.000000	89.183	133.2338
57.000000	89.097	132.4646
58.000000	89.025	131.7538
59.000000	88.951	131.0216
60.000000	88.883	130.3283
60.799999	88.830	129.7858
61.500000	88.783	129.3124
62.200001	88.735	128.8501
63.000000	88.681	128.3329
64.000000	88.615	127.6891
65.000000	88.547	127.0400
66.000000	88.479	126.3935
67.000000	88.413	125.7606
68.000000	88.348	125.1323
69.000000	88.283	124.5211
70.000000	88.219	123.9271
71.000000	88.157	123.3288
72.000000	88.095	122.7396
73.000000	88.032	122.1685
74.000000	87.969	121.6026
75.000000	87.905	121.0399
76.199997	87.830	120.3574
77.500000	87.754	119.6336
78.800003	87.678	118.9376
80.000000	87.608	118.2977
81.199997	87.537	117.6571
82.500000	87.461	116.9727
83.800003	87.386	116.3090
85.000000	87.318	115.7034
86.199997	87.251	115.1022
87.500000	87.179	114.4534
88.500000	87.125	113.9567
90.000000	87.044	113.2164
91.199997	86.980	112.6368
92.500000	86.914	112.0251
93.800003	86.846	111.4157
95.000000	86.782	110.8697
96.199997	86.717	110.3280
97.500000	86.651	109.7299
98.800003	86.588	109.1347
100.000000	86.529	108.6089
101.500000	86.456	107.9540
103.000000	86.382	107.2965
104.400002	86.315	106.6942
106.000000	86.239	106.0227
107.500000	86.168	105.4033
109.000000	86.097	104.7774
110.599998	86.025	104.1182
112.000000	85.963	103.5583
113.800003	85.883	102.8505
115.000000	85.830	102.3859
117.199997	85.737	101.5323
118.000000	85.704	101.2241
120.599998	85.598	100.2404
122.000000	85.542	99.7057
124.099998	85.456	98.9304
125.000000	85.419	98.6021
126.500000	85.359	98.0564
128.000000	85.300	97.5174
131.500000	85.167	96.2806
132.000000	85.149	96.1042
134.000000	85.074	95.4068
136.000000	84.999	94.7285
138.000000	84.927	94.0483
140.000000	84.858	93.3833
143.000000	84.749	92.4218
145.000000	84.678	91.8087
147.500000	84.595	91.0570
150.000000	84.515	90.2926
152.500000	84.439	89.5453
155.000000	84.365	88.7957
157.500000	84.291	88.0801
160.000000	84.223	87.3644
162.500000	84.158	86.6314
165.000000	84.093	85.8822
167.500000	84.023	85.1334
170.000000	83.950	84.4133
172.500000	83.883	83.7388
175.000000	83.828	83.0932
177.500000	83.779	82.4469
180.000000	83.722	81.7664
182.500000	83.657	81.0484
185.000000	83.590	80.3024
187.500000	83.520	79.6180
190.000000	83.451	79.0226
192.500000	83.383	78.4685
195.000000	83.318	77.8949
197.500000	83.256	77.3349
200.000000	83.204	76.8306
203.000000	83.151	76.1981
206.000000	83.088	75.5185
209.000000	83.020	74.8985
212.000000	82.975	74.3232
214.000000	82.955	73.9405
218.000000	82.910	73.0825
220.000000	82.886	72.5747
224.000000	82.826	71.5215
227.000000	82.774	70.7821
230.000000	82.720	70.0976
233.000000	82.662	69.4203
236.000000	82.601	68.7707
240.000000	82.522	67.9563
243.000000	82.465	67.3751
247.000000	82.393	66.6130
250.000000	82.340	66.0572
254.000000	82.269	65.3399
258.000000	82.202	64.6315
262.000000	82.138	63.9313
265.000000	82.091	63.4350
269.000000	82.030	62.7847
272.000000	81.985	62.2999
276.000000	81.927	61.6621
280.000000	81.869	61.0454
285.000000	81.798	60.2878
290.000000	81.729	59.5697
295.000000	81.663	58.8689
300.000000	81.598	58.1896
304.000000	81.547	57.6649
307.000000	81.509	57.2768
311.000000	81.461	56.7709
315.000000	81.413	56.2738
320.000000	81.356	55.6683
325.000000	81.300	55.0862
330.000000	81.245	54.5110
335.000000	81.190	53.9572
340.000000	81.136	53.4264
345.000000	81.085	52.9083
350.000000	81.035	52.4031
355.000000	80.988	51.9095
360.000000	80.941	51.4239
365.000000	80.894	50.9551
370.000000	80.849	50.5077
375.000000	80.804	50.0800
382.000000	80.743	49.5036
387.000000	80.701	49.1126
395.000000	80.636	48.5026
400.000000	80.597	48.1319
406.000000	80.553	47.7014
412.000000	80.511	47.2973
418.000000	80.471	46.9100
425.000000	80.425	46.4649
431.000000	80.387	46.0860
437.000000	80.349	45.7131
444.000000	80.305	45.2909
450.000000	80.267	44.9480
455.000000	80.236	44.6793
462.000000	80.192	44.3267
468.000000	80.156	44.0331
475.000000	80.116	43.7024
482.000000	80.078	43.3883
487.000000	80.051	43.1739
494.000000	80.014	42.8891
500.000000	79.983	42.6613
508.000000	79.944	42.3736
515.000000	79.910	42.1354
522.000000	79.878	41.9177
530.000000	79.842	41.6908
538.000000	79.808	41.4842
545.000000	79.777	41.3231
552.000000	79.749	41.1829
560.000000	79.718	41.0406
570.000000	79.685	40.8904
580.000000	79.657	40.7553
590.000000	79.635	40.6302
600.000000	79.616	40.4953
608.000000	79.603	40.3826
615.000000	79.592	40.2886
622.000000	79.581	40.1987
630.000000	79.567	40.1002
640.000000	79.548	39.9890
650.000000	79.529	39.8988
660.000000	79.512	39.8309
670.000000	79.496	39.7855
680.000000	79.482	39.7561
690.000000	79.467	39.7376
700.000000	79.454	39.7382
710.000000	79.441	39.7580
720.000000	79.430	39.8005
730.000000	79.421	39.8659
740.000000	79.414	39.9542
750.000000	79.410	40.0619
762.000000	79.409	40.2146
775.000000	79.413	40.4027
788.000000	79.422	40.6069
800.000000	79.435	40.8156
812.000000	79.452	41.0338
825.000000	79.477	41.2826
838.000000	79.506	41.5421
850.000000	79.539	41.7846
862.000000	79.577	42.0340
875.000000	79.622	42.3028
885.000000	79.660	42.5034
900.000000	79.724	42.7967
912.000000	79.780	43.0188
925.000000	79.846	43.2454
938.000000	79.916	43.4530
950.000000	79.986	43.6254
962.000000	80.060	43.7754
975.000000	80.143	43.9097
988.000000	80.230	44.0165
1000.000000	80.313	44.0863
1015.000000	80.418	44.1314
1030.000000	80.525	44.1283
1044.000000	80.627	44.0823
1060.000000	80.743	43.9740
1075.000000	80.851	43.8186
1090.000000	80.957	43.6157
1106.000000	81.066	43.3456
1120.000000	81.158	43.0669
1138.000000	81.270	42.6600
1150.000000	81.340	42.3594
1172.000000	81.460	41.7519
1180.000000	81.500	41.5186
1206.000000	81.616	40.7256
1220.000000	81.672	40.2790
1241.000000	81.746	39.5848
1250.000000	81.772	39.2839
1265.000000	81.810	38.7837
1280.000000	81.841	38.2907
1315.000000	81.884	37.2068
1320.000000	81.888	37.0615
1340.000000	81.897	36.5077
1360.000000	81.898	36.0021
1380.000000	81.894	35.5490
1400.000000	81.884	35.1506
1430.000000	81.862	34.6547
1450.000000	81.845	34.3933
1475.000000	81.824	34.1375
1500.000000	81.803	33.9526
1525.000000	81.784	33.8337
1550.000000	81.767	33.7805
1575.000000	81.755	33.7782
1600.000000	81.747	33.8177
1625.000000	81.743	33.8997
1650.000000	81.744	34.0206
1675.000000	81.749	34.1733
1700.000000	81.760	34.3514
1725.000000	81.776	34.5557
1750.000000	81.796	34.7783
1775.000000	81.822	35.0137
1800.000000	81.852	35.2678
1825.000000	81.887	35.5336
1850.000000	81.926	35.8069
1875.000000	81.970	36.0905
1900.000000	82.019	36.3826
1925.000000	82.074	36.6774
1950.000000	82.134	36.9748
1975.000000	82.199	37.2746
2000.000000	82.271	37.5727
2030.000000	82.365	37.9223
2060.000000	82.468	38.2584
2090.000000	82.580	38.5753
2120.000000	82.700	38.8648
2140.000000	82.785	39.0377
2180.000000	82.966	39.3288
2200.000000	83.062	39.4403
2240.000000	83.263	39.5688
2270.000000	83.419	39.5782
2300.000000	83.576	39.5075
2330.000000	83.732	39.3588
2360.000000	83.883	39.1423
2400.000000	84.074	38.7786
2430.000000	84.210	38.4769
2470.000000	84.381	38.0742
2500.000000	84.508	37.7816
2540.000000	84.679	37.3962
2580.000000	84.857	36.9873
2620.000000	85.045	36.5087
2650.000000	85.191	36.0735
2690.000000	85.387	35.3535
2720.000000	85.530	34.6983
2760.000000	85.709	33.6781
2800.000000	85.868	32.5206
2850.000000	86.033	30.9476
2900.000000	86.160	29.3086
2950.000000	86.255	27.6779
3000.000000	86.326	26.0966
3040.000000	86.371	24.8758
3070.000000	86.402	23.9833
3110.000000	86.441	22.8163
3150.000000	86.480	21.6565
3200.000000	86.533	20.1812
3250.000000	86.589	18.6217
3300.000000	86.644	16.9254
3350.000000	86.688	15.0475
3400.000000	86.708	12.9765
3450.000000	86.690	10.7452
3500.000000	86.621	8.4298
3550.000000	86.492	6.1442
3600.000000	86.305	4.0252
3650.000000	86.072	2.2070
3700.000000	85.808	0.7846
3750.000000	85.537	-0.2039
3820.000000	85.186	-0.9470
3870.000000	84.977	-1.1887
3950.000000	84.716	-1.5033
4000.000000	84.578	-1.8282
4060.000000	84.403	-2.3910
4120.000000	84.192	-3.0261
4180.000000	83.936	-3.5403
4250.000000	83.592	-3.7477
4310.000000	83.289	-3.4482
4370.000000	83.011	-2.7142
4440.000000	82.754	-1.4889
4500.000000	82.603	-0.3398
4550.000000	82.520	0.5523
4620.000000	82.448	1.5899
4680.000000	82.405	2.2594
4750.000000	82.358	2.8224
4820.000000	82.299	3.2550
4870.000000	82.248	3.5478
4940.000000	82.164	4.0075
5000.000000	82.088	4.4917
5080.000000	81.994	5.2831
5150.000000	81.930	6.0676
5220.000000	81.886	6.8645
5300.000000	81.855	7.7312
5380.000000	81.839	8.5350
5450.000000	81.830	9.1974
5520.000000	81.825	9.8309
5600.000000	81.823	10.5345
5700.000000	81.829	11.4066
5800.000000	81.844	12.2799
