* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Jul 3, 2025 7:07:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Hexa (DVP, Crystal 2)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.212	173.3228
20.600000	91.221	172.8666
20.900000	91.227	172.3495
21.200001	91.230	171.8336
21.400000	91.230	171.4946
21.799999	91.229	170.8341
22.000000	91.226	170.5096
22.400000	91.214	169.8278
22.700001	91.203	169.3282
23.000000	91.189	168.8341
23.299999	91.174	168.3027
23.600000	91.158	167.7764
24.000000	91.136	167.0876
24.299999	91.119	166.5383
24.700001	91.096	165.8202
25.000000	91.079	165.2963
25.400000	91.058	164.5686
25.799999	91.039	163.8631
26.200001	91.023	163.1681
26.500000	91.013	162.6515
26.900000	90.999	161.9788
27.200001	90.989	161.4863
27.600000	90.975	160.8424
28.000000	90.962	160.2113
28.500000	90.946	159.4568
29.000000	90.929	158.7278
29.500000	90.910	158.0335
30.000000	90.888	157.3618
30.400000	90.867	156.8342
30.700001	90.851	156.4461
31.100000	90.827	155.9342
31.500000	90.802	155.4191
32.000000	90.768	154.7901
32.500000	90.735	154.1413
33.000000	90.701	153.5045
33.500000	90.667	152.8529
34.000000	90.634	152.2115
34.500000	90.601	151.5618
35.000000	90.567	150.9211
35.500000	90.533	150.2846
36.000000	90.499	149.6660
36.500000	90.468	149.0640
37.000000	90.440	148.4726
37.500000	90.410	147.8916
38.200001	90.364	147.0927
38.700001	90.329	146.5454
39.500000	90.278	145.7061
40.000000	90.246	145.1922
40.599998	90.205	144.5649
41.200001	90.163	143.9377
41.799999	90.120	143.3149
42.500000	90.069	142.5944
