* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 2M Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Jun 1, 2025 7:09:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Hexa (-DDfilt, +Vfilt, Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.184	22.4873
20.600000	94.186	21.8039
20.900000	94.185	21.0715
21.200001	94.184	20.3494
21.400000	94.183	19.8775
21.799999	94.183	18.9575
22.000000	94.181	18.5087
22.400000	94.175	17.6293
22.700001	94.168	16.9826
23.000000	94.159	16.3452
23.299999	94.148	15.7178
23.600000	94.139	15.1019
24.000000	94.126	14.3009
24.299999	94.117	13.7152
24.700001	94.104	12.9527
25.000000	94.093	12.3937
25.400000	94.078	11.6663
25.799999	94.062	10.9619
26.200001	94.045	10.2817
26.500000	94.032	9.7855
26.900000	94.014	9.1378
27.200001	93.999	8.6592
27.600000	93.980	8.0295
28.000000	93.961	7.4118
28.500000	93.936	6.6627
29.000000	93.909	5.9415
29.500000	93.881	5.2441
30.000000	93.853	4.5658
30.400000	93.830	4.0367
30.700001	93.813	3.6485
31.100000	93.790	3.1423
31.500000	93.766	2.6476
32.000000	93.735	2.0410
32.500000	93.704	1.4448
33.000000	93.674	0.8607
33.500000	93.643	0.2933
34.000000	93.611	-0.2552
34.500000	93.579	-0.7890
35.000000	93.549	-1.3162
35.500000	93.518	-1.8392
36.000000	93.485	-2.3486
36.500000	93.449	-2.8302
37.000000	93.413	-3.2812
37.500000	93.380	-3.7175
38.200001	93.338	-4.3377
38.700001	93.304	-4.7831
39.500000	93.243	-5.4561
40.000000	93.207	-5.8539
40.599998	93.168	-6.3380
41.200001	93.132	-6.8346
41.799999	93.092	-7.3150
42.500000	93.043	-7.8303
43.099998	93.003	-8.2499
43.700001	92.964	-8.6668
44.400002	92.915	-9.1465
45.000000	92.871	-9.5452
45.500000	92.835	-9.8707
46.200001	92.788	-10.3215
46.799999	92.751	-10.7015
47.500000	92.705	-11.1299
48.200001	92.657	-11.5388
48.700001	92.623	-11.8215
49.400002	92.577	-12.2104
50.000000	92.537	-12.5386
50.799999	92.484	-12.9639
51.500000	92.437	-13.3199
52.200001	92.390	-13.6634
53.000000	92.337	-14.0540
53.799999	92.286	-14.4514
54.500000	92.240	-14.7934
55.200001	92.193	-15.1138
56.000000	92.140	-15.4519
57.000000	92.075	-15.8590
58.000000	92.008	-16.2728
59.000000	91.945	-16.6761
60.000000	91.884	-17.0554
60.799999	91.834	-17.3480
61.500000	91.791	-17.5995
62.200001	91.747	-17.8484
63.000000	91.695	-18.1281
64.000000	91.634	-18.4623
65.000000	91.574	-18.7833
66.000000	91.512	-19.0999
67.000000	91.452	-19.4052
68.000000	91.391	-19.7027
69.000000	91.330	-19.9937
70.000000	91.270	-20.2708
71.000000	91.213	-20.5381
72.000000	91.155	-20.7894
73.000000	91.099	-21.0386
74.000000	91.042	-21.2933
75.000000	90.984	-21.5345
76.199997	90.913	-21.8013
77.500000	90.840	-22.0714
78.800003	90.767	-22.3327
80.000000	90.699	-22.5524
81.199997	90.636	-22.7858
82.500000	90.569	-23.0323
83.800003	90.500	-23.2657
85.000000	90.438	-23.4711
86.199997	90.375	-23.6677
87.500000	90.308	-23.8644
88.500000	90.258	-24.0155
90.000000	90.182	-24.2429
91.199997	90.122	-24.4103
92.500000	90.057	-24.5812
93.800003	89.993	-24.7462
95.000000	89.936	-24.8905
96.199997	89.879	-25.0307
97.500000	89.818	-25.1745
98.800003	89.757	-25.3109
100.000000	89.700	-25.4387
101.500000	89.631	-25.5949
103.000000	89.562	-25.7379
104.400002	89.499	-25.8610
106.000000	89.428	-25.9941
107.500000	89.362	-26.1107
109.000000	89.297	-26.2136
110.599998	89.229	-26.3288
112.000000	89.169	-26.4372
113.800003	89.092	-26.5558
115.000000	89.043	-26.6266
117.199997	88.955	-26.7426
118.000000	88.922	-26.7831
120.599998	88.819	-26.9118
122.000000	88.764	-26.9624
124.099998	88.683	-27.0405
125.000000	88.649	-27.0792
126.500000	88.592	-27.1384
128.000000	88.536	-27.1828
131.500000	88.410	-27.2677
132.000000	88.392	-27.2789
134.000000	88.321	-27.3245
136.000000	88.250	-27.3650
138.000000	88.177	-27.3877
140.000000	88.105	-27.4066
143.000000	88.006	-27.4563
145.000000	87.943	-27.4727
147.500000	87.864	-27.4856
150.000000	87.784	-27.4807
152.500000	87.705	-27.4696
155.000000	87.626	-27.4579
157.500000	87.551	-27.4371
160.000000	87.477	-27.4089
162.500000	87.403	-27.3776
165.000000	87.331	-27.3397
167.500000	87.261	-27.2950
170.000000	87.191	-27.2498
172.500000	87.123	-27.1993
175.000000	87.055	-27.1455
177.500000	86.990	-27.0885
180.000000	86.925	-27.0196
182.500000	86.862	-26.9468
185.000000	86.800	-26.8662
187.500000	86.739	-26.7864
190.000000	86.680	-26.7094
192.500000	86.620	-26.6331
195.000000	86.562	-26.5482
197.500000	86.505	-26.4591
200.000000	86.449	-26.3765
203.000000	86.382	-26.2710
206.000000	86.317	-26.1561
209.000000	86.252	-26.0308
212.000000	86.188	-25.9013
214.000000	86.147	-25.8137
218.000000	86.066	-25.6544
220.000000	86.027	-25.5631
224.000000	85.950	-25.3771
227.000000	85.892	-25.2429
230.000000	85.837	-25.1083
233.000000	85.783	-24.9736
236.000000	85.730	-24.8314
240.000000	85.658	-24.6295
243.000000	85.606	-24.4773
247.000000	85.538	-24.2810
250.000000	85.489	-24.1282
254.000000	85.425	-23.9276
258.000000	85.361	-23.7268
262.000000	85.297	-23.5145
265.000000	85.252	-23.3541
269.000000	85.192	-23.1426
272.000000	85.149	-22.9880
276.000000	85.094	-22.7712
280.000000	85.040	-22.5587
285.000000	84.970	-22.2828
290.000000	84.901	-22.0043
295.000000	84.837	-21.7280
300.000000	84.775	-21.4494
304.000000	84.727	-21.2288
307.000000	84.690	-21.0627
311.000000	84.642	-20.8383
315.000000	84.594	-20.6079
320.000000	84.536	-20.3245
325.000000	84.482	-20.0340
330.000000	84.429	-19.7327
335.000000	84.378	-19.4254
340.000000	84.330	-19.1254
345.000000	84.287	-18.8402
350.000000	84.245	-18.5658
355.000000	84.203	-18.3015
360.000000	84.158	-18.0419
365.000000	84.115	-17.7809
370.000000	84.073	-17.5233
375.000000	84.031	-17.2617
382.000000	83.973	-16.8895
387.000000	83.932	-16.6268
395.000000	83.868	-16.1988
400.000000	83.830	-15.9234
406.000000	83.785	-15.5919
412.000000	83.743	-15.2712
418.000000	83.702	-14.9547
425.000000	83.653	-14.5724
431.000000	83.612	-14.2381
437.000000	83.574	-13.9057
444.000000	83.534	-13.5353
450.000000	83.499	-13.2260
455.000000	83.469	-12.9676
462.000000	83.428	-12.6085
468.000000	83.393	-12.3007
475.000000	83.353	-11.9393
482.000000	83.314	-11.5741
487.000000	83.287	-11.3130
494.000000	83.250	-10.9476
500.000000	83.219	-10.6343
508.000000	83.178	-10.2122
515.000000	83.144	-9.8487
522.000000	83.111	-9.4901
530.000000	83.073	-9.0720
538.000000	83.038	-8.6525
545.000000	83.007	-8.2843
552.000000	82.978	-7.9136
560.000000	82.946	-7.4951
570.000000	82.906	-6.9737
580.000000	82.867	-6.4492
590.000000	82.830	-5.9205
600.000000	82.794	-5.3905
608.000000	82.766	-4.9655
615.000000	82.743	-4.5953
622.000000	82.720	-4.2251
630.000000	82.695	-3.7984
640.000000	82.666	-3.2640
650.000000	82.637	-2.7252
660.000000	82.609	-2.1802
670.000000	82.583	-1.6341
680.000000	82.559	-1.0863
690.000000	82.536	-0.5347
700.000000	82.515	0.0216
710.000000	82.495	0.5851
