* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 2M Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: Jun 1, 2025 7:11:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Hexa (-DDfilt, +Vfilt, Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.476	21.9989
20.600000	96.469	21.2957
20.900000	96.460	20.5280
21.200001	96.452	19.7544
21.400000	96.448	19.2395
21.799999	96.447	18.2193
22.000000	96.449	17.7185
22.400000	96.454	16.7482
22.700001	96.459	16.0562
23.000000	96.462	15.3988
23.299999	96.464	14.7741
23.600000	96.464	14.1754
24.000000	96.460	13.4013
24.299999	96.454	12.8283
24.700001	96.446	12.0671
25.000000	96.440	11.5006
25.400000	96.432	10.7597
25.799999	96.424	10.0435
26.200001	96.415	9.3525
26.500000	96.407	8.8469
26.900000	96.395	8.1839
27.200001	96.386	7.6938
27.600000	96.373	7.0518
28.000000	96.359	6.4266
28.500000	96.341	5.6692
29.000000	96.322	4.9327
29.500000	96.303	4.2126
30.000000	96.284	3.5133
30.400000	96.269	2.9726
30.700001	96.256	2.5779
31.100000	96.238	2.0627
31.500000	96.220	1.5555
32.000000	96.195	0.9292
32.500000	96.170	0.3130
33.000000	96.145	-0.2888
33.500000	96.119	-0.8740
34.000000	96.092	-1.4421
34.500000	96.064	-1.9925
35.000000	96.035	-2.5255
35.500000	96.006	-3.0447
36.000000	95.975	-3.5543
36.500000	95.942	-4.0543
37.000000	95.908	-4.5396
37.500000	95.875	-5.0056
38.200001	95.830	-5.6323
38.700001	95.796	-6.0730
39.500000	95.737	-6.7698
40.000000	95.700	-7.1910
40.599998	95.660	-7.6808
41.200001	95.622	-8.1647
41.799999	95.581	-8.6459
42.500000	95.530	-9.1893
43.099998	95.487	-9.6336
43.700001	95.445	-10.0654
44.400002	95.397	-10.5570
45.000000	95.356	-10.9642
45.500000	95.322	-11.2960
46.200001	95.272	-11.7590
46.799999	95.228	-12.1537
47.500000	95.177	-12.5993
48.200001	95.128	-13.0239
48.700001	95.094	-13.3179
49.400002	95.045	-13.7208
50.000000	95.003	-14.0603
50.799999	94.947	-14.5045
51.500000	94.898	-14.8795
52.200001	94.848	-15.2392
53.000000	94.792	-15.6402
53.799999	94.736	-16.0344
54.500000	94.688	-16.3668
55.200001	94.642	-16.6871
56.000000	94.589	-17.0469
57.000000	94.520	-17.4928
58.000000	94.451	-17.9208
59.000000	94.383	-18.3214
60.000000	94.315	-18.7084
60.799999	94.263	-19.0100
61.500000	94.217	-19.2654
62.200001	94.171	-19.5169
63.000000	94.118	-19.8013
64.000000	94.052	-20.1462
65.000000	93.987	-20.4782
66.000000	93.924	-20.7944
67.000000	93.860	-21.0972
68.000000	93.797	-21.3951
69.000000	93.735	-21.6786
70.000000	93.672	-21.9512
71.000000	93.611	-22.2196
72.000000	93.550	-22.4739
73.000000	93.488	-22.7183
74.000000	93.428	-22.9587
75.000000	93.368	-23.1952
76.199997	93.297	-23.4671
77.500000	93.220	-23.7460
78.800003	93.144	-24.0211
80.000000	93.074	-24.2695
81.199997	93.007	-24.4882
82.500000	92.935	-24.7110
83.800003	92.864	-24.9396
85.000000	92.799	-25.1405
86.199997	92.734	-25.3225
87.500000	92.664	-25.5148
88.500000	92.611	-25.6610
90.000000	92.531	-25.8676
91.199997	92.469	-26.0270
92.500000	92.403	-26.1965
93.800003	92.336	-26.3558
95.000000	92.275	-26.4925
96.199997	92.215	-26.6285
97.500000	92.152	-26.7721
98.800003	92.089	-26.9044
100.000000	92.031	-27.0199
101.500000	91.960	-27.1520
103.000000	91.889	-27.2790
104.400002	91.825	-27.3950
106.000000	91.751	-27.5226
107.500000	91.683	-27.6287
109.000000	91.616	-27.7298
110.599998	91.546	-27.8277
112.000000	91.485	-27.9047
113.800003	91.408	-28.0016
115.000000	91.357	-28.0638
117.199997	91.265	-28.1699
118.000000	91.232	-28.2054
120.599998	91.128	-28.3020
122.000000	91.071	-28.3550
124.099998	90.989	-28.4286
125.000000	90.954	-28.4551
126.500000	90.895	-28.4942
128.000000	90.838	-28.5281
131.500000	90.708	-28.5947
132.000000	90.689	-28.6033
134.000000	90.619	-28.6367
136.000000	90.548	-28.6666
138.000000	90.476	-28.6789
140.000000	90.405	-28.6802
143.000000	90.304	-28.6898
145.000000	90.237	-28.6903
147.500000	90.155	-28.6881
150.000000	90.076	-28.6735
152.500000	89.994	-28.6486
155.000000	89.913	-28.6124
157.500000	89.837	-28.5651
160.000000	89.762	-28.5118
162.500000	89.690	-28.4599
165.000000	89.618	-28.4099
167.500000	89.548	-28.3565
170.000000	89.478	-28.3028
172.500000	89.408	-28.2256
175.000000	89.341	-28.1340
177.500000	89.276	-28.0565
180.000000	89.210	-27.9752
182.500000	89.142	-27.8812
185.000000	89.074	-27.7709
187.500000	89.011	-27.6486
190.000000	88.957	-27.5073
192.500000	88.905	-27.3780
195.000000	88.851	-27.2716
197.500000	88.798	-27.1972
200.000000	88.743	-27.1170
203.000000	88.673	-26.9829
206.000000	88.597	-26.7838
209.000000	88.525	-26.4819
212.000000	88.474	-26.0968
214.000000	88.457	-25.8706
218.000000	88.438	-25.6563
220.000000	88.426	-25.6461
224.000000	88.383	-25.6993
227.000000	88.336	-25.7390
230.000000	88.283	-25.7369
233.000000	88.226	-25.6892
236.000000	88.169	-25.6239
240.000000	88.095	-25.5078
243.000000	88.040	-25.4028
247.000000	87.967	-25.2427
250.000000	87.915	-25.1146
254.000000	87.848	-24.9254
258.000000	87.788	-24.7158
262.000000	87.731	-24.5264
265.000000	87.690	-24.3972
269.000000	87.634	-24.2282
272.000000	87.592	-24.1002
276.000000	87.538	-23.9312
280.000000	87.485	-23.7685
285.000000	87.419	-23.5602
290.000000	87.353	-23.3443
295.000000	87.289	-23.1195
300.000000	87.226	-22.8970
304.000000	87.176	-22.7151
307.000000	87.140	-22.5745
311.000000	87.092	-22.3838
315.000000	87.046	-22.1937
320.000000	86.989	-21.9537
325.000000	86.933	-21.7142
330.000000	86.879	-21.4761
335.000000	86.826	-21.2403
340.000000	86.775	-20.9973
345.000000	86.725	-20.7562
350.000000	86.676	-20.5150
355.000000	86.628	-20.2744
360.000000	86.582	-20.0376
365.000000	86.538	-19.8001
370.000000	86.495	-19.5592
375.000000	86.451	-19.3207
382.000000	86.392	-18.9931
387.000000	86.351	-18.7589
395.000000	86.286	-18.3750
400.000000	86.246	-18.1350
406.000000	86.200	-17.8532
412.000000	86.155	-17.5671
418.000000	86.112	-17.2866
425.000000	86.064	-16.9639
431.000000	86.023	-16.6927
437.000000	85.983	-16.4222
444.000000	85.936	-16.1071
450.000000	85.896	-15.8343
455.000000	85.864	-15.6043
462.000000	85.819	-15.2788
468.000000	85.782	-14.9995
475.000000	85.739	-14.6803
482.000000	85.697	-14.3573
487.000000	85.668	-14.1255
494.000000	85.628	-13.8040
500.000000	85.594	-13.5261
508.000000	85.549	-13.1540
515.000000	85.512	-12.8315
522.000000	85.475	-12.5099
530.000000	85.435	-12.1363
538.000000	85.395	-11.7608
545.000000	85.361	-11.4359
552.000000	85.328	-11.1114
560.000000	85.292	-10.7376
570.000000	85.247	-10.2697
580.000000	85.203	-9.7989
590.000000	85.161	-9.3301
600.000000	85.120	-8.8559
608.000000	85.088	-8.4744
615.000000	85.060	-8.1384
622.000000	85.034	-7.8002
630.000000	85.006	-7.4129
640.000000	84.971	-6.9292
650.000000	84.938	-6.4447
660.000000	84.906	-5.9594
670.000000	84.877	-5.4750
680.000000	84.849	-4.9894
690.000000	84.821	-4.5045
700.000000	84.795	-4.0155
710.000000	84.770	-3.5241
720.000000	84.747	-3.0315
730.000000	84.725	-2.5485
740.000000	84.704	-2.0714
750.000000	84.685	-1.5990
762.000000	84.660	-1.0362
775.000000	84.632	-0.4200
788.000000	84.602	0.2261
800.000000	84.576	0.8625
812.000000	84.555	1.5291
825.000000	84.538	2.2705
838.000000	84.527	3.0218
850.000000	84.522	3.7191
862.000000	84.522	4.4107
875.000000	84.528	5.1517
885.000000	84.535	5.7146
900.000000	84.549	6.5495
912.000000	84.564	7.2098
925.000000	84.584	7.9144
938.000000	84.607	8.6089
950.000000	84.633	9.2424
962.000000	84.661	9.8649
975.000000	84.695	10.5265
988.000000	84.732	11.1775
1000.000000	84.768	11.7677
1015.000000	84.817	12.4886
1030.000000	84.869	13.1919
1044.000000	84.921	13.8327
1060.000000	84.984	14.5460
1075.000000	85.047	15.1945
1090.000000	85.114	15.8199
1106.000000	85.188	16.4659
1120.000000	85.256	17.0135
1138.000000	85.346	17.6874
1150.000000	85.408	18.1150
1172.000000	85.528	18.8510
1180.000000	85.572	19.1019
1206.000000	85.720	19.8544
1220.000000	85.801	20.2184
1241.000000	85.922	20.7114
1250.000000	85.975	20.9025
1265.000000	86.061	21.1945
1280.000000	86.146	21.4527
1315.000000	86.339	21.9416
1320.000000	86.366	22.0003
1340.000000	86.469	22.2100
1360.000000	86.568	22.3821
1380.000000	86.661	22.5250
1400.000000	86.749	22.6499
1430.000000	86.873	22.8130
1450.000000	86.951	22.9075
1475.000000	87.044	23.0121
1500.000000	87.132	23.1091
