* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 2M Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: May 28, 2025 8:20:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Hexa (-DDfilt, AEX07) 2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.580	2.8738
20.600000	95.571	1.9890
20.900000	95.559	1.0359
21.200001	95.548	0.0899
21.400000	95.542	-0.5326
21.799999	95.531	-1.7561
22.000000	95.525	-2.3566
22.400000	95.511	-3.5349
22.700001	95.497	-4.3997
23.000000	95.483	-5.2496
23.299999	95.467	-6.0855
23.600000	95.452	-6.9083
24.000000	95.433	-7.9857
24.299999	95.418	-8.7789
24.700001	95.396	-9.8160
25.000000	95.379	-10.5782
25.400000	95.355	-11.5738
25.799999	95.331	-12.5475
26.200001	95.307	-13.5024
26.500000	95.288	-14.2080
26.900000	95.263	-15.1359
27.200001	95.244	-15.8222
27.600000	95.217	-16.7237
28.000000	95.189	-17.6093
28.500000	95.154	-18.6947
29.000000	95.118	-19.7589
29.500000	95.082	-20.8038
30.000000	95.045	-21.8294
30.400000	95.016	-22.6358
30.700001	94.993	-23.2324
31.100000	94.963	-24.0169
31.500000	94.933	-24.7888
32.000000	94.895	-25.7368
32.500000	94.856	-26.6674
33.000000	94.816	-27.5823
33.500000	94.777	-28.4811
34.000000	94.737	-29.3634
34.500000	94.697	-30.2311
35.000000	94.657	-31.0874
35.500000	94.617	-31.9328
36.000000	94.577	-32.7632
36.500000	94.536	-33.5755
37.000000	94.494	-34.3727
37.500000	94.452	-35.1626
38.200001	94.394	-36.2628
38.700001	94.353	-37.0378
39.500000	94.288	-38.2444
40.000000	94.247	-38.9805
40.599998	94.199	-39.8535
41.200001	94.150	-40.7174
41.799999	94.100	-41.5699
42.500000	94.043	-42.5456
43.099998	93.995	-43.3635
43.700001	93.947	-44.1699
44.400002	93.887	-45.1098
45.000000	93.835	-45.9130
45.500000	93.794	-46.5682
46.200001	93.739	-47.4515
46.799999	93.693	-48.1876
47.500000	93.637	-49.0435
48.200001	93.580	-49.8973
48.700001	93.541	-50.5008
49.400002	93.485	-51.3369
50.000000	93.437	-52.0469
50.799999	93.372	-52.9754
51.500000	93.315	-53.7686
52.200001	93.260	-54.5502
53.000000	93.198	-55.4272
53.799999	93.136	-56.2911
54.500000	93.081	-57.0492
55.200001	93.026	-57.7996
56.000000	92.965	-58.6361
57.000000	92.888	-59.6682
58.000000	92.813	-60.6769
59.000000	92.730	-61.7644
60.000000	92.647	-62.8726
60.799999	92.593	-63.5812
61.500000	92.550	-64.1380
62.200001	92.502	-64.7483
63.000000	92.444	-65.4957
64.000000	92.373	-66.4127
65.000000	92.302	-67.3176
66.000000	92.231	-68.2018
67.000000	92.161	-69.0732
68.000000	92.092	-69.9352
69.000000	92.023	-70.7811
70.000000	91.955	-71.6150
71.000000	91.887	-72.4419
72.000000	91.821	-73.2614
73.000000	91.755	-74.0653
74.000000	91.688	-74.8585
75.000000	91.622	-75.6434
76.199997	91.545	-76.5693
77.500000	91.461	-77.5501
78.800003	91.376	-78.5156
80.000000	91.301	-79.3943
81.199997	91.228	-80.2628
82.500000	91.148	-81.1866
83.800003	91.069	-82.0929
85.000000	90.997	-82.9200
86.199997	90.925	-83.7319
87.500000	90.848	-84.5958
88.500000	90.790	-85.2552
90.000000	90.705	-86.2230
91.199997	90.637	-86.9836
92.500000	90.563	-87.8142
93.800003	90.491	-88.6336
95.000000	90.427	-89.3646
96.199997	90.363	-90.0816
97.500000	90.293	-90.8501
98.800003	90.225	-91.6079
100.000000	90.161	-92.3016
101.500000	90.083	-93.1590
103.000000	90.008	-94.0012
104.400002	89.938	-94.7747
106.000000	89.859	-95.6479
107.500000	89.787	-96.4509
109.000000	89.715	-97.2426
110.599998	89.639	-98.0765
112.000000	89.574	-98.8021
113.800003	89.489	-99.7065
115.000000	89.433	-100.2957
117.199997	89.333	-101.3750
118.000000	89.298	-101.7604
120.599998	89.184	-102.9941
122.000000	89.124	-103.6468
124.099998	89.033	-104.5926
125.000000	88.995	-104.9904
126.500000	88.933	-105.6528
128.000000	88.871	-106.3161
131.500000	88.730	-107.8165
132.000000	88.710	-108.0235
134.000000	88.633	-108.8456
136.000000	88.556	-109.6672
138.000000	88.479	-110.4758
140.000000	88.404	-111.2551
143.000000	88.294	-112.3712
145.000000	88.220	-113.1143
147.500000	88.131	-114.0302
150.000000	88.043	-114.9128
152.500000	87.962	-115.7700
155.000000	87.881	-116.6001
157.500000	87.798	-117.4267
160.000000	87.717	-118.2525
162.500000	87.639	-119.0520
165.000000	87.561	-119.8291
167.500000	87.484	-120.5801
170.000000	87.409	-121.3170
172.500000	87.334	-122.0291
175.000000	87.260	-122.7096
177.500000	87.188	-123.3593
180.000000	87.119	-123.9674
182.500000	87.056	-124.5450
185.000000	87.000	-125.1148
187.500000	86.947	-125.6980
190.000000	86.897	-126.3133
192.500000	86.849	-126.9589
195.000000	86.801	-127.6189
197.500000	86.750	-128.2682
200.000000	86.696	-128.8985
203.000000	86.629	-129.6337
206.000000	86.562	-130.3552
209.000000	86.494	-131.0452
212.000000	86.424	-131.7001
214.000000	86.377	-132.1147
218.000000	86.292	-132.8876
220.000000	86.250	-133.2714
224.000000	86.169	-134.0500
227.000000	86.109	-134.6234
230.000000	86.049	-135.1739
233.000000	85.988	-135.6920
236.000000	85.925	-136.1841
240.000000	85.847	-136.7954
243.000000	85.794	-137.2248
247.000000	85.728	-137.7804
250.000000	85.683	-138.1818
254.000000	85.630	-138.7100
258.000000	85.583	-139.3047
262.000000	85.528	-139.9454
265.000000	85.482	-140.3896
269.000000	85.422	-140.9037
272.000000	85.383	-141.2605
276.000000	85.336	-141.7715
280.000000	85.291	-142.3382
285.000000	85.225	-143.0323
290.000000	85.155	-143.6276
295.000000	85.087	-144.1788
300.000000	85.024	-144.7178
304.000000	84.973	-145.1378
307.000000	84.936	-145.4428
311.000000	84.888	-145.8321
315.000000	84.841	-146.2108
320.000000	84.784	-146.6805
325.000000	84.727	-147.1231
330.000000	84.672	-147.5406
335.000000	84.617	-147.9449
340.000000	84.564	-148.3315
345.000000	84.512	-148.6950
350.000000	84.463	-149.0550
355.000000	84.414	-149.4019
360.000000	84.367	-149.7321
365.000000	84.320	-150.0411
370.000000	84.274	-150.3382
375.000000	84.229	-150.6226
382.000000	84.168	-151.0023
387.000000	84.126	-151.2662
395.000000	84.061	-151.6608
